"year","f_A","m_M","m_F","sr_A","int_mig","iim_M","iim_F","iom_M","iom_F","idm_M","idm_F","odm_M","odm_F"
NA,"fertility","mortality","mortality","sex ratio at birth","internal migration change","net international in-migrants","net international in-migrants","net international out-migrants","net international out-migrants","domestic in-migration","domestic in-migration","domestic out-migration","domestic out-migration"
NA,"Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
NA,NA,"male","female",NA,"Total","male","female","male","female","male","female","male","female"
2020,"2.152598551","65.6510197","75.15687413","103.792248638254","1","3836.68456264105","3250.10085529479","1181.16346988944","596.609132736007","1","1","1","1"
2021,"2.09751147738","67.6621281","75.60788068","103.787888382782","1.01924488","3836.68456264105","3250.10085529479","1181.16346988944","596.609132736007","1.01924488","1.01924488","1.01924488","1.01924488"
2022,"2.03758804942","73.52202376","79.72447489","103.784292322308","1.01924488","3836.68456264105","3250.10085529479","1181.16346988944","596.609132736007","1.01924488","1.01924488","1.01924488","1.01924488"
2023,"1.98288600763","73.66765616","79.88580099","103.781433377569","1.01924488","3836.68456264105","3250.10085529479","1181.16346988944","596.609132736007","1.01924488","1.01924488","1.01924488","1.01924488"
2024,"1.93677011904","73.84527111","80.08199963","103.779273162011","1.01924488","3836.68456264105","3250.10085529479","1181.16346988944","596.609132736007","1.01924488","1.01924488","1.01924488","1.01924488"
2025,"1.89472331525","74.00519998","80.25812832","103.777774869671","1.01924488","3959.61636526235","3295.52163190303","1173.05001446254","557.169004516877","1.01924488","1.01924488","1.01924488","1.01924488"
2026,"1.85078363816","74.18070707","80.45081851","103.776904984508","1.03713729","3959.61636526235","3295.52163190303","1173.05001446254","557.169004516877","1.03713729","1.03713729","1.03713729","1.03713729"
2027,"1.80346235004","74.34522872","80.63086488","103.776632898992","1.03713729","3959.61636526235","3295.52163190303","1173.05001446254","557.169004516877","1.03713729","1.03713729","1.03713729","1.03713729"
2028,"1.7559762436","74.51729453","80.81855144","103.776931323423","1.03713729","3959.61636526235","3295.52163190303","1173.05001446254","557.169004516877","1.03713729","1.03713729","1.03713729","1.03713729"
2029,"1.71215480163","74.68257812","80.99823985","103.777777600984","1.03713729","3959.61636526235","3295.52163190303","1173.05001446254","557.169004516877","1.03713729","1.03713729","1.03713729","1.03713729"
2030,"1.672355268","74.85134666","81.18109019","103.779155595511","1.03713729","4031.40588691237","3380.70813486133","1167.29666266733","566.712861328248","1.03713729","1.03713729","1.03713729","1.03713729"
2031,"1.63488639979","75.01583482","81.35868546","103.781059266991","1.05387395","4031.40588691237","3380.70813486133","1167.29666266733","566.712861328248","1.05387395","1.05387395","1.05387395","1.05387395"
2032,"1.5983525492","75.18170499","81.53714163","103.783498619639","1.05387395","4031.40588691237","3380.70813486133","1167.29666266733","566.712861328248","1.05387395","1.05387395","1.05387395","1.05387395"
2033,"1.5621370956","75.34473576","81.7119232","103.786507559743","1.05387395","4031.40588691237","3380.70813486133","1167.29666266733","566.712861328248","1.05387395","1.05387395","1.05387395","1.05387395"
2034,"1.5271865337","75.50805899","81.88637638","103.790155522661","1.05387395","4031.40588691237","3380.70813486133","1167.29666266733","566.712861328248","1.05387395","1.05387395","1.05387395","1.05387395"
2035,"1.4940757819","75.66936035","82.05805281","103.79456606896","1.05387395","4045.63806999384","3427.74120182476","1163.31907489526","587.405517446039","1.05387395","1.05387395","1.05387395","1.05387395"
2036,"1.46312249748","75.83037442","82.22877788","103.79994461025","1.06961038","4045.63806999384","3427.74120182476","1163.31907489526","587.405517446039","1.06961038","1.06961038","1.06961038","1.06961038"
2037,"1.43366492288","75.98985043","82.39723856","103.806574092421","1.06961038","4045.63806999384","3427.74120182476","1163.31907489526","587.405517446039","1.06961038","1.06961038","1.06961038","1.06961038"
2038,"1.40538887586","76.14872986","82.56444486","103.814443602032","1.06961038","4045.63806999384","3427.74120182476","1163.31907489526","587.405517446039","1.06961038","1.06961038","1.06961038","1.06961038"
2039,"1.37814927417","76.30634173","82.72967653","103.820732091081","1.06961038","4045.63806999384","3427.74120182476","1163.31907489526","587.405517446039","1.06961038","1.06961038","1.06961038","1.06961038"
2040,"1.351908264","76.46321147","82.89350104","103.826403856115","1.06961038","4040.28110527143","3447.91392059074","1160.75844307951","582.113198122366","1.06961038","1.06961038","1.06961038","1.06961038"
2041,"1.32654964988","76.61896695","83.05553641","103.831547230122","1.08447177","4040.28110527143","3447.91392059074","1160.75844307951","582.113198122366","1.08447177","1.08447177","1.08447177","1.08447177"
2042,"1.3022055735","76.77391532","83.21609822","103.836377856821","1.08447177","4040.28110527143","3447.91392059074","1160.75844307951","582.113198122366","1.08447177","1.08447177","1.08447177","1.08447177"
2043,"1.27883157787","76.92785173","83.37498858","103.840895959375","1.08447177","4040.28110527143","3447.91392059074","1160.75844307951","582.113198122366","1.08447177","1.08447177","1.08447177","1.08447177"
2044,"1.25606651144","77.0809497","83.53239271","103.845043782036","1.08447177","4040.28110527143","3447.91392059074","1160.75844307951","582.113198122366","1.08447177","1.08447177","1.08447177","1.08447177"
2045,"1.23393625125","77.23311041","83.68820725","103.848784092648","1.08447177","3992.86968273606","3447.00142748153","1157.95551516951","583.601096437546","1.08447177","1.08447177","1.08447177","1.08447177"
2046,"1.220598028175","77.38443453","83.84255004","103.852114683958","1.08447177","3992.86968273606","3447.00142748153","1157.95551516951","583.601096437546","1.08447177","1.08447177","1.08447177","1.08447177"
2047,"1.20786560458","77.53487655","83.99537937","103.855076153623","1.08447177","3992.86968273606","3447.00142748153","1157.95551516951","583.601096437546","1.08447177","1.08447177","1.08447177","1.08447177"
2048,"1.195674851175","77.68450136","84.14676981","103.857762753591","1.08447177","3992.86968273606","3447.00142748153","1157.95551516951","583.601096437546","1.08447177","1.08447177","1.08447177","1.08447177"
2049,"1.18397572734","77.83330205","84.29671305","103.860307140643","1.08447177","3992.86968273606","3447.00142748153","1157.95551516951","583.601096437546","1.08447177","1.08447177","1.08447177","1.08447177"
2050,"1.172536899375","77.98131702","84.44527108","103.862837002104","1.08447177","3934.61382932463","3428.58666967437","1155.62286712594","578.087358609021","1.08447177","1.08447177","1.08447177","1.08447177"
2051,"1.16153058744","78.12856233","84.59245179","103.865441087634","1.08447177","3934.61382932463","3428.58666967437","1155.62286712594","578.087358609021","1.08447177","1.08447177","1.08447177","1.08447177"
2052,"1.15071345961","78.27507305","84.73830637","103.868156003968","1.08447177","3934.61382932463","3428.58666967437","1155.62286712594","578.087358609021","1.08447177","1.08447177","1.08447177","1.08447177"
2053,"1.14020256739","78.42087113","84.88286054","103.870668769265","1.08447177","3934.61382932463","3428.58666967437","1155.62286712594","578.087358609021","1.08447177","1.08447177","1.08447177","1.08447177"
2054,"1.129891390215","78.5659956","85.0261609","103.873245632731","1.08447177","3934.61382932463","3428.58666967437","1155.62286712594","578.087358609021","1.08447177","1.08447177","1.08447177","1.08447177"
2055,"1.1196840774","78.71047179","85.16824022","103.875843370657","1.08447177","3867.85053777334","3397.87889430265","1155.06822696183","569.500395106604","1.08447177","1.08447177","1.08447177","1.08447177"
2056,"1.109812158765","78.85434668","85.30914539","103.878419085653","1.08447177","3867.85053777334","3397.87889430265","1155.06822696183","569.500395106604","1.08447177","1.08447177","1.08447177","1.08447177"
2057,"1.10011172028","78.99764326","85.44891246","103.880943850836","1.08447177","3867.85053777334","3397.87889430265","1155.06822696183","569.500395106604","1.08447177","1.08447177","1.08447177","1.08447177"
2058,"1.090450907475","79.14040573","85.58758653","103.883400301929","1.08447177","3867.85053777334","3397.87889430265","1155.06822696183","569.500395106604","1.08447177","1.08447177","1.08447177","1.08447177"
2059,"1.08098849484","79.28266578","85.72521201","103.885779089148","1.08447177","3867.85053777334","3397.87889430265","1155.06822696183","569.500395106604","1.08447177","1.08447177","1.08447177","1.08447177"
2060,"1.0715922567","79.42447192","85.86183005","103.888076052577","1.08447177","3794.14067012672","3357.18454434176","1161.17063523986","561.316846012333","1.08447177","1.08447177","1.08447177","1.08447177"
2061,"1.06239174641","79.56584802","85.99747511","103.890291658724","1.08447177","3794.14067012672","3357.18454434176","1161.17063523986","561.316846012333","1.08447177","1.08447177","1.08447177","1.08447177"
2062,"1.053234951405","79.70683921","86.13219526","103.892429272822","1.08447177","3794.14067012672","3357.18454434176","1161.17063523986","561.316846012333","1.08447177","1.08447177","1.08447177","1.08447177"
2063,"1.04420339232","79.84747364","86.26601841","103.894494119347","1.08447177","3794.14067012672","3357.18454434176","1161.17063523986","561.316846012333","1.08447177","1.08447177","1.08447177","1.08447177"
