"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"AGS","BC","Total","f",0,0.00113074998396099
"AGS","BC","Total","f",1,0.00113074998396099
"AGS","BC","Total","f",2,0.00113074998396099
"AGS","BC","Total","f",3,0.00113074998396099
"AGS","BC","Total","f",4,0.00113074998396099
"AGS","BC","Total","f",5,0.000602698189533303
"AGS","BC","Total","f",6,0.000602698189533303
"AGS","BC","Total","f",7,0.000602698189533303
"AGS","BC","Total","f",8,0.000602698189533303
"AGS","BC","Total","f",9,0.000602698189533303
"AGS","BC","Total","f",10,0.000584944423834869
"AGS","BC","Total","f",11,0.000584944423834869
"AGS","BC","Total","f",12,0.000584944423834869
"AGS","BC","Total","f",13,0.000584944423834869
"AGS","BC","Total","f",14,0.000584944423834869
"AGS","BC","Total","f",15,0.000833198900687252
"AGS","BC","Total","f",16,0.000833198900687252
"AGS","BC","Total","f",17,0.000833198900687252
"AGS","BC","Total","f",18,0.000833198900687252
"AGS","BC","Total","f",19,0.000833198900687252
"AGS","BC","Total","f",20,0.00126156203515703
"AGS","BC","Total","f",21,0.00126156203515703
"AGS","BC","Total","f",22,0.00126156203515703
"AGS","BC","Total","f",23,0.00126156203515703
"AGS","BC","Total","f",24,0.00126156203515703
"AGS","BC","Total","f",25,0.00121439677092445
"AGS","BC","Total","f",26,0.00121439677092445
"AGS","BC","Total","f",27,0.00121439677092445
"AGS","BC","Total","f",28,0.00121439677092445
"AGS","BC","Total","f",29,0.00121439677092445
"AGS","BC","Total","f",30,0.0010929624621846
"AGS","BC","Total","f",31,0.0010929624621846
"AGS","BC","Total","f",32,0.0010929624621846
"AGS","BC","Total","f",33,0.0010929624621846
"AGS","BC","Total","f",34,0.0010929624621846
"AGS","BC","Total","f",35,0.000731818091700515
"AGS","BC","Total","f",36,0.000731818091700515
"AGS","BC","Total","f",37,0.000731818091700515
"AGS","BC","Total","f",38,0.000731818091700515
"AGS","BC","Total","f",39,0.000731818091700515
"AGS","BC","Total","f",40,0.000641325222527325
"AGS","BC","Total","f",41,0.000641325222527325
"AGS","BC","Total","f",42,0.000641325222527325
"AGS","BC","Total","f",43,0.000641325222527325
"AGS","BC","Total","f",44,0.000641325222527325
"AGS","BC","Total","f",45,0.000541132543388876
"AGS","BC","Total","f",46,0.000541132543388876
"AGS","BC","Total","f",47,0.000541132543388876
"AGS","BC","Total","f",48,0.000541132543388876
"AGS","BC","Total","f",49,0.000541132543388876
"AGS","BC","Total","f",50,0.000393588183729029
"AGS","BC","Total","f",51,0.000393588183729029
"AGS","BC","Total","f",52,0.000393588183729029
"AGS","BC","Total","f",53,0.000393588183729029
"AGS","BC","Total","f",54,0.000393588183729029
"AGS","BC","Total","f",55,0.000392921409944337
"AGS","BC","Total","f",56,0.000392921409944337
"AGS","BC","Total","f",57,0.000392921409944337
"AGS","BC","Total","f",58,0.000392921409944337
"AGS","BC","Total","f",59,0.000392921409944337
"AGS","BC","Total","f",60,0.000436273326466565
"AGS","BC","Total","f",61,0.000436273326466565
"AGS","BC","Total","f",62,0.000436273326466565
"AGS","BC","Total","f",63,0.000436273326466565
"AGS","BC","Total","f",64,0.000436273326466565
"AGS","BC","Total","f",65,0.000417062747615242
"AGS","BC","Total","f",66,0.000417062747615242
"AGS","BC","Total","f",67,0.000417062747615242
"AGS","BC","Total","f",68,0.000417062747615242
"AGS","BC","Total","f",69,0.000417062747615242
"AGS","BC","Total","f",70,0.000282341788402012
"AGS","BC","Total","f",71,0.000282341788402012
"AGS","BC","Total","f",72,0.000282341788402012
"AGS","BC","Total","f",73,0.000282341788402012
"AGS","BC","Total","f",74,0.000282341788402012
"AGS","BC","Total","f",75,0.000243235830921229
"AGS","BC","Total","f",76,0.000243235830921229
"AGS","BC","Total","f",77,0.000243235830921229
"AGS","BC","Total","f",78,0.000243235830921229
"AGS","BC","Total","f",79,0.000243235830921229
"AGS","BC","Total","f",80,0.000145655815308426
"AGS","BC","Total","f",81,0.000145655815308426
"AGS","BC","Total","f",82,0.000145655815308426
"AGS","BC","Total","f",83,0.000145655815308426
"AGS","BC","Total","f",84,0.000145655815308426
"AGS","BC","Total","f",85,0.000145655815308426
"AGS","BC","Total","f",86,0.000145655815308426
"AGS","BC","Total","f",87,0.000145655815308426
"AGS","BC","Total","f",88,0.000145655815308426
"AGS","BC","Total","f",89,0.000145655815308426
"AGS","BC","Total","f",90,0
"AGS","BC","Total","f",91,0
"AGS","BC","Total","f",92,0
"AGS","BC","Total","f",93,0
"AGS","BC","Total","f",94,0
"AGS","BC","Total","f",95,0
"AGS","BC","Total","f",96,0
"AGS","BC","Total","f",97,0
"AGS","BC","Total","f",98,0
"AGS","BC","Total","f",99,0
"AGS","BC","Total","f",100,0
"AGS","BC","Total","m",0,0.000338092237709579
"AGS","BC","Total","m",1,0.000338092237709579
"AGS","BC","Total","m",2,0.000338092237709579
"AGS","BC","Total","m",3,0.000338092237709579
"AGS","BC","Total","m",4,0.000338092237709579
"AGS","BC","Total","m",5,0.00102945209938045
"AGS","BC","Total","m",6,0.00102945209938045
"AGS","BC","Total","m",7,0.00102945209938045
"AGS","BC","Total","m",8,0.00102945209938045
"AGS","BC","Total","m",9,0.00102945209938045
"AGS","BC","Total","m",10,0.000952538806734117
"AGS","BC","Total","m",11,0.000952538806734117
