"Race","Sex","Age","lx"
"Total","Female","0",1e+05
"Total","Female","1",99518.5046002027
"Total","Female","2",99019.8956820994
"Total","Female","3",98973.9822837924
"Total","Female","4",98943.5217214214
"Total","Female","5",98920.997870819
"Total","Female","6",98898.9066069181
"Total","Female","7",98884.2004498018
"Total","Female","8",98869.4339000445
"Total","Female","9",98854.6794702729
"Total","Female","10",98839.9579990189
"Total","Female","11",98817.8930457877
"Total","Female","12",98795.7853102915
"Total","Female","13",98773.5831786812
"Total","Female","14",98743.8567222284
"Total","Female","15",98706.6300090437
"Total","Female","16",98662.0604891721
"Total","Female","17",98617.7013761758
"Total","Female","18",98566.3704537954
"Total","Female","19",98501.0538588623
"Total","Female","20",98429.0396361259
"Total","Female","21",98349.8442708772
"Total","Female","22",98262.7512053285
"Total","Female","23",98174.7021451087
"Total","Female","24",98078.6227136421
"Total","Female","25",97974.7651599025
"Total","Female","26",97863.0535961156
"Total","Female","27",97743.132568503
"Total","Female","28",97614.3786842161
"Total","Female","29",97483.63655795
"Total","Female","30",97342.1508735408
"Total","Female","31",97196.8520331956
"Total","Female","32",97047.7389899332
"Total","Female","33",96895.1881819846
"Total","Female","34",96739.4915753719
"Total","Female","35",96572.0688546057
"Total","Female","36",96401.4706203778
"Total","Female","37",96227.4359449265
"Total","Female","38",96040.4594833606
"Total","Female","39",95849.7895221071
"Total","Female","40",95645.9880155041
"Total","Female","41",95429.304693875
"Total","Female","42",95200.3022411691
"Total","Female","43",94959.6188688118
"Total","Female","44",94697.8834621979
"Total","Female","45",94415.2333463316
"Total","Female","46",94110.2745822931
"Total","Female","47",93770.396162461
"Total","Female","48",93402.9367361959
"Total","Female","49",93005.1800855382
"Total","Female","50",92574.7282937699
"Total","Female","51",92108.8720360166
"Total","Female","52",91617.4375053367
"Total","Female","53",91087.0905443796
"Total","Female","54",90515.8558933855
"Total","Female","55",89889.8022638032
"Total","Female","56",89219.5222849372
"Total","Female","57",88486.7687939279
"Total","Female","58",87685.3473557371
"Total","Female","59",86809.9528729843
"Total","Female","60",85869.9918045028
"Total","Female","61",84842.9332954785
"Total","Female","62",83721.1523380426
"Total","Female","63",82497.9396997051
"Total","Female","64",81168.7762906526
"Total","Female","65",79748.0422975413
"Total","Female","66",78207.4883565935
"Total","Female","67",76548.0760299703
"Total","Female","68",74802.2238102244
"Total","Female","69",72931.8865376687
"Total","Female","70",70943.3667764171
"Total","Female","71",68854.3253448557
"Total","Female","72",66647.455942777
"Total","Female","73",64315.108472343
"Total","Female","74",61849.3535149369
"Total","Female","75",59267.906903155
"Total","Female","76",56590.5065913082
"Total","Female","77",53774.2261450297
"Total","Female","78",50862.8367906218
"Total","Female","79",47893.6110585365
"Total","Female","80",44866.8204458361
"Total","Female","81",41803.0530517875
"Total","Female","82",38704.1142769768
"Total","Female","83",35543.2222335052
"Total","Female","84",32368.4878204154
"Total","Female","85",29232.0747381977
"Total","Female","86",26151.2433319661
"Total","Female","87",23147.0174543838
"Total","Female","88",20265.0404978884
"Total","Female","89",17514.130023062
"Total","Female","90",14909.9347735596
"Total","Female","91",12492.1075129823
"Total","Female","92",10273.7128745779
"Total","Female","93",8333.92093322403
"Total","Female","94",6599.89916792476
"Total","Female","95",5133.25490838593
"Total","Female","96",3871.25868506181
"Total","Female","97",2821.42582131624
"Total","Female","98",1970.26942829346
"Total","Female","99",1313.51295219564
"Total","Female","100+",843.413579830885
"Total","Male","0",1e+05
"Total","Male","1",99345.3418933601
"Total","Male","2",98658.9545529134
"Total","Male","3",98607.5601207743
"Total","Male","4",98578.3668530307
"Total","Male","5",98556.8047444266
"Total","Male","6",98535.6801479751
"Total","Male","7",98514.5781712864
"Total","Male","8",98493.3671521947
"Total","Male","9",98472.162221881
"Total","Male","10",98450.9937587901
"Total","Male","11",98429.8343948701
"Total","Male","12",98401.5621460134
"Total","Male","13",98366.029136897
"Total","Male","14",98315.9391355178
"Total","Male","15",98251.1984402759
"Total","Male","16",98172.0651301647
"Total","Male","17",98064.5107367854
"Total","Male","18",97929.3229476326
"Total","Male","19",97767.3922939214
"Total","Male","20",97571.8994006679
"Total","Male","21",97341.7852194835
"Total","Male","22",97074.7102853073
"Total","Male","23",96776.4558718484
"Total","Male","24",96447.7460608682
"Total","Male","25",96082.4543859134
"Total","Male","26",95680.4357483154
"Total","Male","27",95233.0274206591
"Total","Male","28",94752.0525346962
"Total","Male","29",94241.1400488685
"Total","Male","30",93710.3322114513
"Total","Male","31",93155.3475522351
"Total","Male","32",92591.3068698844
"Total","Male","33",92019.064478911
"Total","Male","34",91438.61026884
"Total","Male","35",90849.222911294
"Total","Male","36",90239.7713032783
"Total","Male","37",89617.037624272
"Total","Male","38",88990.2080714902
"Total","Male","39",88361.5886228822
"Total","Male","40",87735.946031736
"Total","Male","41",87108.2347826154
"Total","Male","42",86462.7495304286
"Total","Male","43",85804.5817234334
"Total","Male","44",85127.3892838999
"Total","Male","45",84423.2399302544
"Total","Male","46",83679.7035946834
"Total","Male","47",82903.6611170855
"Total","Male","48",82090.4605175891
"Total","Male","49",81235.520647984
"Total","Male","50",80345.9002636824
"Total","Male","51",79418.0797806374
"Total","Male","52",78439.0151503142
"Total","Male","53",77418.0665727033
"Total","Male","54",76353.3315495457
"Total","Male","55",75232.5265879629
"Total","Male","56",74052.9867296509
"Total","Male","57",72809.2432931872
"Total","Male","58",71481.1016020159
"Total","Male","59",70076.132796191
"Total","Male","60",68589.3593704422
"Total","Male","61",67013.885980473
"Total","Male","62",65341.9916561961
"Total","Male","63",63583.5067743617
"Total","Male","64",61723.8867858354
"Total","Male","65",59762.8799216594
"Total","Male","66",57707.4775306269
"Total","Male","67",55573.6409113906
"Total","Male","68",53392.1959354528
"Total","Male","69",51161.4261052729
"Total","Male","70",48878.4363522213
"Total","Male","71",46570.7083201117
"Total","Male","72",44211.7345326551
"Total","Male","73",41814.6550199325
"Total","Male","74",39416.4046857643
"Total","Male","75",37012.1310550433
"Total","Male","76",34617.8686344818
"Total","Male","77",32222.0987202606
"Total","Male","78",29841.3576683178
"Total","Male","79",27502.4968853566
"Total","Male","80",25205.3045701064
"Total","Male","81",22970.1376560117
"Total","Male","82",20797.2867966592
"Total","Male","83",18698.3745100729
"Total","Male","84",16684.3513070296
"Total","Male","85",14765.0149820352
"Total","Male","86",12951.3595984151
"Total","Male","87",11255.4865030172
"Total","Male","88",9680.64477008479
"Total","Male","89",8230.274685625
"Total","Male","90",6904.2859862743
"Total","Male","91",5727.16181812262
"Total","Male","92",4694.02674504952
"Total","Male","93",3820.19837723601
"Total","Male","94",3060.62677006627
"Total","Male","95",2435.09721122061
"Total","Male","96",1893.96449761603
"Total","Male","97",1443.02056961221
"Total","Male","98",1076.53915510752
"Total","Male","99",795.702853775127
"Total","Male","100+",575.354371191246
