"Race","Sex","Age","Population"
"Total","Male",0,13518
"Total","Male",1,13414
"Total","Male",2,13434
"Total","Male",3,13509
"Total","Male",4,13714
"Total","Male",5,13995
"Total","Male",6,14007
"Total","Male",7,13932
"Total","Male",8,13933
"Total","Male",9,13954
"Total","Male",10,13957
"Total","Male",11,13924
"Total","Male",12,13844
"Total","Male",13,13743
"Total","Male",14,13663
"Total","Male",15,13652
"Total","Male",16,13684
"Total","Male",17,13773
"Total","Male",18,13898
"Total","Male",19,13989
"Total","Male",20,13976
"Total","Male",21,13831
"Total","Male",22,13649
"Total","Male",23,13520
"Total","Male",24,13440
"Total","Male",25,13356
"Total","Male",26,13228
"Total","Male",27,13035
"Total","Male",28,12762
"Total","Male",29,12393
"Total","Male",30,11953
"Total","Male",31,11526
"Total","Male",32,11130
"Total","Male",33,10746
"Total","Male",34,10361
"Total","Male",35,9954
"Total","Male",36,9531
"Total","Male",37,9118
"Total","Male",38,8746
"Total","Male",39,8444
"Total","Male",40,8217
"Total","Male",41,8067
"Total","Male",42,7983
"Total","Male",43,7951
"Total","Male",44,7946
"Total","Male",45,7913
"Total","Male",46,7835
"Total","Male",47,7710
"Total","Male",48,7546
"Total","Male",49,7356
"Total","Male",50,7146
"Total","Male",51,6933
"Total","Male",52,6717
"Total","Male",53,6499
"Total","Male",54,6289
"Total","Male",55,6075
"Total","Male",56,5845
"Total","Male",57,5595
"Total","Male",58,5340
"Total","Male",59,5083
"Total","Male",60,4820
"Total","Male",61,4552
"Total","Male",62,4289
"Total","Male",63,4043
"Total","Male",64,3810
"Total","Male",65,3572
"Total","Male",66,3318
"Total","Male",67,3072
"Total","Male",68,2859
"Total","Male",69,2673
"Total","Male",70,2523
"Total","Male",71,2386
"Total","Male",72,2243
"Total","Male",73,2100
"Total","Male",74,1955
"Total","Male",75,1810
"Total","Male",76,1660
"Total","Male",77,1512
"Total","Male",78,1373
"Total","Male",79,1239
"Total","Male",80,1110
"Total","Male",81,987
"Total","Male",82,875
"Total","Male",83,773
"Total","Male",84,680
"Total","Male",85,596
"Total","Male",86,521
"Total","Male",87,452
"Total","Male",88,389
"Total","Male",89,331
"Total","Male",90,279
"Total","Male",91,232
"Total","Male",92,190
"Total","Male",93,154
"Total","Male",94,123
"Total","Male",95,96
"Total","Male",96,74
"Total","Male",97,55
"Total","Male",98,40
"Total","Male",99,28
"Total","Male",100,46
"Total","Female",0,13030
"Total","Female",1,12941
"Total","Female",2,12937
"Total","Female",3,12995
"Total","Female",4,13177
"Total","Female",5,13432
"Total","Female",6,13449
"Total","Female",7,13392
"Total","Female",8,13401
"Total","Female",9,13429
"Total","Female",10,13437
"Total","Female",11,13408
"Total","Female",12,13348
"Total","Female",13,13289
"Total","Female",14,13260
"Total","Female",15,13285
"Total","Female",16,13342
"Total","Female",17,13445
"Total","Female",18,13577
"Total","Female",19,13673
"Total","Female",20,13666
"Total","Female",21,13545
"Total","Female",22,13386
"Total","Female",23,13277
"Total","Female",24,13214
"Total","Female",25,13148
"Total","Female",26,13049
"Total","Female",27,12897
"Total","Female",28,12684
"Total","Female",29,12393
"Total","Female",30,12050
"Total","Female",31,11724
"Total","Female",32,11442
"Total","Female",33,11193
"Total","Female",34,10969
"Total","Female",35,10746
"Total","Female",36,10515
"Total","Female",37,10283
"Total","Female",38,10064
"Total","Female",39,9866
"Total","Female",40,9700
"Total","Female",41,9573
"Total","Female",42,9481
"Total","Female",43,9420
"Total","Female",44,9367
"Total","Female",45,9273
"Total","Female",46,9121
"Total","Female",47,8914
"Total","Female",48,8670
"Total","Female",49,8407
"Total","Female",50,8127
"Total","Female",51,7851
"Total","Female",52,7579
"Total","Female",53,7312
"Total","Female",54,7060
"Total","Female",55,6814
"Total","Female",56,6548
"Total","Female",57,6265
"Total","Female",58,5980
"Total","Female",59,5695
"Total","Female",60,5402
"Total","Female",61,5109
"Total","Female",62,4824
"Total","Female",63,4556
"Total","Female",64,4304
"Total","Female",65,4050
"Total","Female",66,3777
"Total","Female",67,3511
"Total","Female",68,3278
"Total","Female",69,3075
"Total","Female",70,2911
"Total","Female",71,2763
"Total","Female",72,2611
"Total","Female",73,2456
"Total","Female",74,2299
"Total","Female",75,2142
"Total","Female",76,1979
"Total","Female",77,1815
"Total","Female",78,1663
"Total","Female",79,1517
"Total","Female",80,1372
"Total","Female",81,1234
"Total","Female",82,1104
"Total","Female",83,984
"Total","Female",84,874
"Total","Female",85,773
"Total","Female",86,681
"Total","Female",87,595
"Total","Female",88,515
"Total","Female",89,442
"Total","Female",90,374
"Total","Female",91,313
"Total","Female",92,259
"Total","Female",93,211
"Total","Female",94,168
"Total","Female",95,132
"Total","Female",96,102
"Total","Female",97,76
"Total","Female",98,55
"Total","Female",99,39
"Total","Female",100,68
