Age,lx_male_100,lx_female_100
0,100000,100000
1,99982.20361,99969.07175
2,99964.40722,99938.1435
3,99946.61083,99907.21525
4,99928.81444,99876.287
5,99911.01805,99845.35874
6,99910.13719,99843.80617
7,99909.25634,99842.25359
8,99908.37548,99840.70102
9,99907.49463,99839.14844
10,99906.61377,99837.59587
11,99905.99719,99836.72979
12,99905.38062,99835.86371
13,99904.76405,99834.99763
14,99904.14747,99834.13155
15,99903.5309,99833.26547
16,99902.60938,99832.17655
17,99901.68785,99831.08764
18,99900.76633,99829.99872
19,99899.84481,99828.90981
20,99898.92329,99827.82089
21,99897.57985,99826.34374
22,99896.23641,99824.86659
23,99894.89297,99823.38944
24,99893.54953,99821.91229
25,99892.20608,99820.43514
26,99890.59242,99818.47718
27,99888.97876,99816.51923
28,99887.3651,99814.56127
29,99885.75144,99812.60332
30,99884.13777,99810.64536
31,99882.21394,99808.05014
32,99880.29011,99805.45492
33,99878.36627,99802.8597
34,99876.44244,99800.26448
35,99874.51861,99797.66926
36,99871.7086,99793.95595
37,99868.89859,99790.24264
38,99866.08858,99786.52933
39,99863.27857,99782.81602
40,99860.46855,99779.10271
41,99856.03231,99773.51774
42,99851.59606,99767.93277
43,99847.15982,99762.3478
44,99842.72357,99756.76283
45,99838.28733,99751.17785
46,99830.85186,99742.56628
47,99823.4164,99733.9547
48,99815.98093,99725.34313
49,99808.54546,99716.73155
50,99801.10999,99708.11998
51,99788.12717,99694.59275
52,99775.14435,99681.06551
53,99762.16152,99667.53828
54,99749.1787,99654.01105
55,99736.19587,99640.48382
56,99713.84474,99618.85728
57,99691.4936,99597.23073
58,99669.14246,99575.60419
59,99646.79132,99553.97764
60,99624.44019,99532.3511
61,99586.5091,99497.01646
62,99548.578,99461.68183
63,99510.64691,99426.3472
64,99472.71582,99391.01257
65,99434.78473,99355.67794
66,99354.93674,99278.99798
67,99275.08874,99202.31802
68,99195.24074,99125.63807
69,99115.39275,99048.95811
70,99035.54475,98972.27815
71,98871.58638,98809.9074
72,98707.628,98647.53665
73,98543.66963,98485.1659
74,98379.71126,98322.79515
75,98215.75289,98160.42441
76,97885.79301,97831.93802
77,97555.83313,97503.45163
78,97225.87325,97174.96525
79,96895.91336,96846.47886
80,96565.95348,96517.99247
81,95904.22415,95824.76188
82,95242.49481,95131.53129
83,94580.76548,94438.3007
84,93919.03614,93745.07011
85,93257.3068,93051.83952
86,91963.71225,91724.2355
87,90670.1177,90396.63147
88,89376.52315,89069.02745
89,88082.9286,87741.42343
90,86789.33404,86413.8194
91,84470.94493,84086.42365
92,82152.55582,81759.02789
93,79834.16671,79431.63214
94,77515.77759,77104.23639
95,75197.38848,74776.84063
96,71515.24571,71186.46048
97,67833.10295,67596.08033
98,64150.96018,64005.70018
99,60468.81741,60415.32003
100,56786.67464,56824.93988
