"year","f_A","m_M","m_F","sr_A","int_mig","iim_M","iim_F","iom_M","iom_F","idm_M","idm_F","odm_M","odm_F"
NA,"fertility","mortality","mortality","sex ratio at birth","internal migration change","net international in-migrants","net international in-migrants","net international out-migrants","net international out-migrants","domestic in-migration","domestic in-migration","domestic out-migration","domestic out-migration"
NA,"Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
NA,NA,"male","female",NA,"Total","male","female","male","female","male","female","male","female"
2020,"1.656575911","65.59071472","72.59656723","104.118629949181","1","4954.24980462113","7575.68923761567","8488.55339275312","5364.06179327312","1","1","1","1"
2021,"1.62140132067","67.94762609","75.04050656","104.110347188275","0.99696334","4954.24980462113","7575.68923761567","8488.55339275312","5364.06179327312","0.99696334","0.99696334","0.99696334","0.99696334"
2022,"1.5907236246","73.48512879","79.61329751","104.103057480529","0.99696334","4954.24980462113","7575.68923761567","8488.55339275312","5364.06179327312","0.99696334","0.99696334","0.99696334","0.99696334"
2023,"1.56102461554","73.73114067","79.87623428","104.096735832187","0.99696334","4954.24980462113","7575.68923761567","8488.55339275312","5364.06179327312","0.99696334","0.99696334","0.99696334","0.99696334"
2024,"1.53201603954","74.00925612","80.17439405","104.091346422625","0.99696334","4954.24980462113","7575.68923761567","8488.55339275312","5364.06179327312","0.99696334","0.99696334","0.99696334","0.99696334"
2025,"1.5043002312","74.26967618","80.45228157","104.086849614585","0.99696334","5084.02415255379","7638.04421655905","8404.29211866281","4994.03700369978","0.99696334","0.99696334","0.99696334","0.99696334"
2026,"1.47778698295","74.54576179","80.74689458","104.083202575256","0.99279534","5084.02415255379","7638.04421655905","8404.29211866281","4994.03700369978","0.99279534","0.99279534","0.99279534","0.99279534"
2027,"1.451848731005","74.81086705","81.02873917","104.080359421373","0.99279534","5084.02415255379","7638.04421655905","8404.29211866281","4994.03700369978","0.99279534","0.99279534","0.99279534","0.99279534"
2028,"1.4267858976","75.08358425","81.31829305","104.078272427243","0.99279534","5084.02415255379","7638.04421655905","8404.29211866281","4994.03700369978","0.99279534","0.99279534","0.99279534","0.99279534"
2029,"1.40291544464","75.34953577","81.599772","104.076894263308","0.99279534","5084.02415255379","7638.04421655905","8404.29211866281","4994.03700369978","0.99279534","0.99279534","0.99279534","0.99279534"
2030,"1.38071768515","75.6190264","81.88443812","104.076182063377","0.99279534","5111.43051211781","7737.4369126189","8288.80292891371","5034.47091893526","0.99279534","0.99279534","0.99279534","0.99279534"
2031,"1.359961283205","75.88425626","82.16379712","104.076103657696","0.986265945","5111.43051211781","7737.4369126189","8288.80292891371","5034.47091893526","0.986265945","0.986265945","0.986265945","0.986265945"
2032,"1.3404251433","76.15091675","82.44402875","104.076646411536","0.986265945","5111.43051211781","7737.4369126189","8288.80292891371","5034.47091893526","0.986265945","0.986265945","0.986265945","0.986265945"
2033,"1.321874864915","76.41476449","82.72054252","104.077830766562","0.986265945","5111.43051211781","7737.4369126189","8288.80292891371","5034.47091893526","0.986265945","0.986265945","0.986265945","0.986265945"
2034,"1.30422319941","76.67893336","82.9967233","104.079731072089","0.986265945","5111.43051211781","7737.4369126189","8288.80292891371","5034.47091893526","0.986265945","0.986265945","0.986265945","0.986265945"
2035,"1.287552293125","76.94112317","83.27009246","104.082510032966","0.986265945","5043.7232857781","7713.93111138517","8156.82604808471","5152.76777676999","0.986265945","0.986265945","0.986265945","0.986265945"
2036,"1.27178737452","77.20305296","83.54251142","104.0864784797","0.97817625","5043.7232857781","7713.93111138517","8156.82604808471","5152.76777676999","0.97817625","0.97817625","0.97817625","0.97817625"
2037,"1.256938209315","77.46346852","83.81263492","104.092162299078","0.97817625","5043.7232857781","7713.93111138517","8156.82604808471","5152.76777676999","0.97817625","0.97817625","0.97817625","0.97817625"
2038,"1.24281411072","77.72332424","84.08148599","104.100020972838","0.97817625","5043.7232857781","7713.93111138517","8156.82604808471","5152.76777676999","0.97817625","0.97817625","0.97817625","0.97817625"
2039,"1.229330060085","77.98193763","84.34834589","104.106058029448","0.97817625","5043.7232857781","7713.93111138517","8156.82604808471","5152.76777676999","0.97817625","0.97817625","0.97817625","0.97817625"
2040,"1.2164387778","78.23983987","84.61378124","104.111716689874","0.97817625","4937.95052136858","7606.67871471429","8010.33792595965","5025.70080097856","0.97817625","0.97817625","0.97817625","0.97817625"
2041,"1.203917941345","78.49665682","84.87740545","104.116949496696","0.969498895","4937.95052136858","7606.67871471429","8010.33792595965","5025.70080097856","0.969498895","0.969498895","0.969498895","0.969498895"
2042,"1.19198535621","78.75269056","85.13954201","104.121725999704","0.969498895","4937.95052136858","7606.67871471429","8010.33792595965","5025.70080097856","0.969498895","0.969498895","0.969498895","0.969498895"
2043,"1.1805048807","79.00774188","85.3999863","104.125916429393","0.969498895","4937.95052136858","7606.67871471429","8010.33792595965","5025.70080097856","0.969498895","0.969498895","0.969498895","0.969498895"
2044,"1.1693504636","79.26197838","85.65892522","104.129422832057","0.969498895","4937.95052136858","7606.67871471429","8010.33792595965","5025.70080097856","0.969498895","0.969498895","0.969498895","0.969498895"
2045,"1.15862915525","79.5153004","85.91626308","104.132247090157","0.969498895","4791.06815179248","7466.07215293071","7869.30687696464","4961.81882700639","0.969498895","0.969498895","0.969498895","0.969498895"
2046,"1.151574791015","79.76781006","86.17210835","104.134486126882","0.96288359","4791.06815179248","7466.07215293071","7869.30687696464","4961.81882700639","0.96288359","0.96288359","0.96288359","0.96288359"
2047,"1.14487913784","80.01946346","86.42642174","104.136309246595","0.96288359","4791.06815179248","7466.07215293071","7869.30687696464","4961.81882700639","0.96288359","0.96288359","0.96288359","0.96288359"
2048,"1.1385556016875","80.27032421","86.67928339","104.137913435031","0.96288359","4791.06815179248","7466.07215293071","7869.30687696464","4961.81882700639","0.96288359","0.96288359","0.96288359","0.96288359"
2049,"1.132500782035","80.52037218","86.93068203","104.139491030543","0.96288359","4791.06815179248","7466.07215293071","7869.30687696464","4961.81882700639","0.96288359","0.96288359","0.96288359","0.96288359"
2050,"1.12673899485","80.76966693","87.18067192","104.141209150442","0.96288359","4627.28583736725","7278.51619652801","7726.56857681559","4835.53138496213","0.96288359","0.96288359","0.96288359","0.96288359"
2051,"1.12120664502","81.01820479","87.42927188","104.143189618446","0.954410485","4627.28583736725","7278.51619652801","7726.56857681559","4835.53138496213","0.954410485","0.954410485","0.954410485","0.954410485"
2052,"1.11597467464","81.26603586","87.67653363","104.145490779958","0.954410485","4627.28583736725","7278.51619652801","7726.56857681559","4835.53138496213","0.954410485","0.954410485","0.954410485","0.954410485"
2053,"1.11088406313","81.51316911","87.92247588","104.147086684682","0.954410485","4627.28583736725","7278.51619652801","7726.56857681559","4835.53138496213","0.954410485","0.954410485","0.954410485","0.954410485"
2054,"1.1059234703825","81.75965277","88.16715134","104.148901741701","0.954410485","4627.28583736725","7278.51619652801","7726.56857681559","4835.53138496213","0.954410485","0.954410485","0.954410485","0.954410485"
2055,"1.1011618165","82.00550447","88.41058767","104.150961263178","0.954410485","4441.77920222968","7043.66488470624","7576.79170200675","4673.60428037949","0.954410485","0.954410485","0.954410485","0.954410485"
2056,"1.0965231310425","82.25077327","88.65283733","104.153187677839","0.94992529","4441.77920222968","7043.66488470624","7576.79170200675","4673.60428037949","0.94992529","0.94992529","0.94992529","0.94992529"
2057,"1.09200848185","82.49548586","88.89393562","104.155509168735","0.94992529","4441.77920222968","7043.66488470624","7576.79170200675","4673.60428037949","0.94992529","0.94992529","0.94992529","0.94992529"
2058,"1.0875337910375","82.73968048","89.13393075","104.157872187181","0.94992529","4441.77920222968","7043.66488470624","7576.79170200675","4673.60428037949","0.94992529","0.94992529","0.94992529","0.94992529"
2059,"1.08318326088","82.98339312","89.37285763","104.160240347447","0.94992529","4441.77920222968","7043.66488470624","7576.79170200675","4673.60428037949","0.94992529","0.94992529","0.94992529","0.94992529"
2060,"1.0789258302","83.22666664","89.61076485","104.162591951225","0.94992529","4242.33717817647","6775.9544268185","7422.44395767021","4488.89199696224","0.94992529","0.94992529","0.94992529","0.94992529"
2061,"1.074659127365","83.46953118","89.84769163","104.164917133033","0.9436521","4242.33717817647","6775.9544268185","7422.44395767021","4488.89199696224","0.9436521","0.9436521","0.9436521","0.9436521"
2062,"1.07050343832","83.71202329","90.08367425","104.167215110362","0.9436521","4242.33717817647","6775.9544268185","7422.44395767021","4488.89199696224","0.9436521","0.9436521","0.9436521","0.9436521"
2063,"1.06642494224","83.95418092","90.31875575","104.169491366806","0.9436521","4242.33717817647","6775.9544268185","7422.44395767021","4488.89199696224","0.9436521","0.9436521","0.9436521","0.9436521"
