"Race","Sex","Age","lx"
"Total","Female","0",1e+05
"Total","Female","1",99424.3427268061
"Total","Female","2",98817.8165580318
"Total","Female","3",98770.9826159164
"Total","Female","4",98739.2433016776
"Total","Female","5",98715.3002964603
"Total","Female","6",98695.3315900182
"Total","Female","7",98675.6796473128
"Total","Female","8",98659.4268382526
"Total","Female","9",98640.1410963803
"Total","Female","10",98621.1028859844
"Total","Female","11",98599.1239394809
"Total","Female","12",98574.1471182429
"Total","Female","13",98546.1063664985
"Total","Female","14",98514.994730708
"Total","Female","15",98477.791182849
"Total","Female","16",98431.7398097957
"Total","Female","17",98380.1070721878
"Total","Female","18",98320.2651579103
"Total","Female","19",98255.6136400374
"Total","Female","20",98183.3339142506
"Total","Female","21",98103.2822763262
"Total","Female","22",98014.8662528771
"Total","Female","23",97920.7706126105
"Total","Female","24",97821.3831672688
"Total","Female","25",97714.2897486472
"Total","Female","26",97599.3927533737
"Total","Female","27",97476.4751221761
"Total","Female","28",97344.8995874688
"Total","Female","29",97203.7422840445
"Total","Female","30",97054.5467765393
"Total","Female","31",96896.0040919056
"Total","Female","32",96730.9572430831
"Total","Female","33",96562.6416745376
"Total","Female","34",96388.1440162146
"Total","Female","35",96207.532099223
"Total","Female","36",96020.5460774498
"Total","Female","37",95826.8536754952
"Total","Female","38",95619.5158661119
"Total","Female","39",95398.2807572327
"Total","Female","40",95166.7021694993
"Total","Female","41",94918.1840146164
"Total","Female","42",94653.3305517708
"Total","Female","43",94369.3315102472
"Total","Female","44",94063.4111020192
"Total","Female","45",93728.6278433925
"Total","Female","46",93363.1861538536
"Total","Female","47",92964.0896444329
"Total","Female","48",92527.6037866403
"Total","Female","49",92053.7350793442
"Total","Female","50",91538.9673169857
"Total","Female","51",90983.5270720864
"Total","Female","52",90384.8691831954
"Total","Female","53",89736.0557370371
"Total","Female","54",89034.1946011304
"Total","Female","55",88272.5126642211
"Total","Female","56",87442.8615073028
"Total","Female","57",86539.4652963346
"Total","Female","58",85554.9318999957
"Total","Female","59",84488.7772571426
"Total","Female","60",83330.1118601596
"Total","Female","61",82070.3669599163
"Total","Female","62",80707.1815576625
"Total","Female","63",79233.6790392264
"Total","Female","64",77652.7943556174
"Total","Female","65",75961.3675267193
