"Race","Sex","Age","Population"
"Total","Male",0,27878
"Total","Male",1,28036
"Total","Male",2,28516
"Total","Male",3,29122
"Total","Male",4,30023
"Total","Male",5,30849
"Total","Male",6,31367
"Total","Male",7,31648
"Total","Male",8,32045
"Total","Male",9,32512
"Total","Male",10,32906
"Total","Male",11,33118
"Total","Male",12,33167
"Total","Male",13,33145
"Total","Male",14,33185
"Total","Male",15,33495
"Total","Male",16,33867
"Total","Male",17,34435
"Total","Male",18,35155
"Total","Male",19,35850
"Total","Male",20,36383
"Total","Male",21,36563
"Total","Male",22,36668
"Total","Male",23,36921
"Total","Male",24,37295
"Total","Male",25,37561
"Total","Male",26,37701
"Total","Male",27,37585
"Total","Male",28,37177
"Total","Male",29,36426
"Total","Male",30,35372
"Total","Male",31,34355
"Total","Male",32,33389
"Total","Male",33,32425
"Total","Male",34,31441
"Total","Male",35,30369
"Total","Male",36,29259
"Total","Male",37,28172
"Total","Male",38,27208
"Total","Male",39,26450
"Total","Male",40,25916
"Total","Male",41,25620
"Total","Male",42,25529
"Total","Male",43,25609
"Total","Male",44,25760
"Total","Male",45,25813
"Total","Male",46,25692
"Total","Male",47,25379
"Total","Male",48,24902
"Total","Male",49,24298
"Total","Male",50,23583
"Total","Male",51,22824
"Total","Male",52,22013
"Total","Male",53,21161
"Total","Male",54,20298
"Total","Male",55,19408
"Total","Male",56,18460
"Total","Male",57,17455
"Total","Male",58,16445
"Total","Male",59,15448
"Total","Male",60,14445
"Total","Male",61,13460
"Total","Male",62,12513
"Total","Male",63,11633
"Total","Male",64,10818
"Total","Male",65,10018
"Total","Male",66,9195
"Total","Male",67,8416
"Total","Male",68,7741
"Total","Male",69,7155
"Total","Male",70,6675
"Total","Male",71,6245
"Total","Male",72,5818
"Total","Male",73,5396
"Total","Male",74,4979
"Total","Male",75,4572
"Total","Male",76,4163
"Total","Male",77,3761
"Total","Male",78,3391
"Total","Male",79,3044
"Total","Male",80,2711
"Total","Male",81,2400
"Total","Male",82,2114
"Total","Male",83,1854
"Total","Male",84,1618
"Total","Male",85,1404
"Total","Male",86,1210
"Total","Male",87,1034
"Total","Male",88,875
"Total","Male",89,731
"Total","Male",90,600
"Total","Male",91,485
"Total","Male",92,386
"Total","Male",93,302
"Total","Male",94,231
"Total","Male",95,173
"Total","Male",96,125
"Total","Male",97,88
"Total","Male",98,60
"Total","Male",99,39
"Total","Male",100,59
"Total","Female",0,26792
"Total","Female",1,26965
"Total","Female",2,27423
"Total","Female",3,28003
"Total","Female",4,28864
"Total","Female",5,29658
"Total","Female",6,30130
"Total","Female",7,30354
"Total","Female",8,30691
"Total","Female",9,31084
"Total","Female",10,31406
"Total","Female",11,31577
"Total","Female",12,31634
"Total","Female",13,31670
"Total","Female",14,31770
"Total","Female",15,32069
"Total","Female",16,32400
"Total","Female",17,32870
"Total","Female",18,33446
"Total","Female",19,33972
"Total","Female",20,34328
"Total","Female",21,34381
"Total","Female",22,34358
"Total","Female",23,34466
"Total","Female",24,34691
"Total","Female",25,34848
"Total","Female",26,34915
"Total","Female",27,34796
"Total","Female",28,34456
"Total","Female",29,33853
"Total","Female",30,33030
"Total","Female",31,32262
"Total","Female",32,31581
"Total","Female",33,30961
"Total","Female",34,30391
"Total","Female",35,29813
"Total","Female",36,29219
"Total","Female",37,28624
"Total","Female",38,28061
"Total","Female",39,27567
"Total","Female",40,27153
"Total","Female",41,26841
"Total","Female",42,26623
"Total","Female",43,26486
"Total","Female",44,26364
"Total","Female",45,26110
"Total","Female",46,25678
"Total","Female",47,25073
"Total","Female",48,24345
"Total","Female",49,23539
"Total","Female",50,22674
"Total","Female",51,21813
"Total","Female",52,20960
"Total","Female",53,20122
"Total","Female",54,19321
"Total","Female",55,18532
"Total","Female",56,17718
"Total","Female",57,16868
"Total","Female",58,16029
"Total","Female",59,15208
"Total","Female",60,14377
"Total","Female",61,13553
"Total","Female",62,12754
"Total","Female",63,12008
"Total","Female",64,11307
"Total","Female",65,10600
"Total","Female",66,9847
"Total","Female",67,9117
"Total","Female",68,8468
"Total","Female",69,7900
"Total","Female",70,7434
"Total","Female",71,7017
"Total","Female",72,6593
"Total","Female",73,6169
"Total","Female",74,5747
"Total","Female",75,5330
"Total","Female",76,4904
"Total","Female",77,4481
"Total","Female",78,4088
"Total","Female",79,3713
"Total","Female",80,3343
"Total","Female",81,2992
"Total","Female",82,2663
"Total","Female",83,2356
"Total","Female",84,2071
"Total","Female",85,1807
"Total","Female",86,1566
"Total","Female",87,1344
"Total","Female",88,1143
"Total","Female",89,960
"Total","Female",90,794
"Total","Female",91,647
"Total","Female",92,520
"Total","Female",93,412
"Total","Female",94,321
"Total","Female",95,247
"Total","Female",96,185
"Total","Female",97,136
"Total","Female",98,97
"Total","Female",99,67
"Total","Female",100,116
