"year","f_A","m_M","m_F","sr_A","int_mig","iim_M","iim_F","iom_M","iom_F","idm_M","idm_F","odm_M","odm_F"
NA,"fertility","mortality","mortality","sex ratio at birth","internal migration change","net international in-migrants","net international in-migrants","net international out-migrants","net international out-migrants","domestic in-migration","domestic in-migration","domestic out-migration","domestic out-migration"
NA,"Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
NA,NA,"male","female",NA,"Total","male","female","male","female","male","female","male","female"
2020,"1.83771449037531","69.69172911","75.58666907","103.887293807473","1","182.387444446618","287.276035736792","166.114197161036","87.6023254603018","1","1","1","1"
2021,"1.83768937075062","66.62221768","72.65725629","103.886037230873","0.99392668","182.387444446618","287.276035736792","166.114197161036","87.6023254603018","0.99392668","0.99392668","0.99392668","0.99392668"
2022,"1.83766425112594","73.74127565","79.78842476","103.885128332053","0.99392668","182.387444446618","287.276035736792","166.114197161036","87.6023254603018","0.99392668","0.99392668","0.99392668","0.99392668"
2023,"1.83763913150125","73.78308704","79.8461275","103.884561466756","0.99392668","182.387444446618","287.276035736792","166.114197161036","87.6023254603018","0.99392668","0.99392668","0.99392668","0.99392668"
2024,"1.83761401187656","73.85610555","79.93792514","103.884313833051","0.99392668","182.387444446618","287.276035736792","166.114197161036","87.6023254603018","0.99392668","0.99392668","0.99392668","0.99392668"
2025,"1.83758889225187","73.91195446","80.01010495","103.884359692972","0.99392668","188.522169709212","291.740822628649","164.964092271935","81.8066924890614","0.99392668","0.99392668","0.99392668","0.99392668"
2026,"1.83756377262719","73.9830465","80.09846928","103.884673404233","0.98559068","188.522169709212","291.740822628649","164.964092271935","81.8066924890614","0.98559068","0.98559068","0.98559068","0.98559068"
2027,"1.8375386530025","74.04348307","80.17448027","103.885230122015","0.98559068","188.522169709212","291.740822628649","164.964092271935","81.8066924890614","0.98559068","0.98559068","0.98559068","0.98559068"
2028,"1.83751353337781","74.11132997","80.25795876","103.886007097613","0.98559068","188.522169709212","291.740822628649","164.964092271935","81.8066924890614","0.98559068","0.98559068","0.98559068","0.98559068"
2029,"1.83748841375312","74.1726166","80.33362577","103.886984786251","0.98559068","188.522169709212","291.740822628649","164.964092271935","81.8066924890614","0.98559068","0.98559068","0.98559068","0.98559068"
2030,"1.83746329412844","74.23735333","80.41237566","103.888148635217","0.98559068","192.171641543882","299.643023448741","164.331788843603","83.2975832215283","0.98559068","0.98559068","0.98559068","0.98559068"
2031,"1.83743817450375","74.29795542","80.4859898","103.889492693715","0.97253189","192.171641543882","299.643023448741","164.331788843603","83.2975832215283","0.97253189","0.97253189","0.97253189","0.97253189"
2032,"1.83741305487906","74.35995395","80.56045475","103.891024207814","0.97253189","192.171641543882","299.643023448741","164.331788843603","83.2975832215283","0.97253189","0.97253189","0.97253189","0.97253189"
2033,"1.83738793525437","74.41921995","80.63132221","103.892771408874","0.97253189","192.171641543882","299.643023448741","164.331788843603","83.2975832215283","0.97253189","0.97253189","0.97253189","0.97253189"
2034,"1.83736281562969","74.47880566","80.70187419","103.894794526285","0.97253189","192.171641543882","299.643023448741","164.331788843603","83.2975832215283","0.97253189","0.97253189","0.97253189","0.97253189"
2035,"1.837337696005","74.53646201","80.76970489","103.897205610308","0.97253189","193.14385147962","304.274531503351","164.228280894772","86.5797071000097","0.97253189","0.97253189","0.97253189","0.97253189"
2036,"1.83731257638031","74.59386671","80.83661922","103.900208853754","0.9563525","193.14385147962","304.274531503351","164.228280894772","86.5797071000097","0.9563525","0.9563525","0.9563525","0.9563525"
2037,"1.83728745675562","74.64979628","80.90131438","103.90414648434","0.9563525","193.14385147962","304.274531503351","164.228280894772","86.5797071000097","0.9563525","0.9563525","0.9563525","0.9563525"
2038,"1.83726233713094","74.70518337","80.96478131","103.909303360656","0.9563525","193.14385147962","304.274531503351","164.228280894772","86.5797071000097","0.9563525","0.9563525","0.9563525","0.9563525"
2039,"1.83723721750625","74.7593495","81.02632337","103.91336459907","0.9563525","193.14385147962","304.274531503351","164.228280894772","86.5797071000097","0.9563525","0.9563525","0.9563525","0.9563525"
2040,"1.83721209788156","74.81282002","81.08649399","103.91690648632","0.9563525","193.286941284878","306.69808443796","164.697666984423","86.2346957033953","0.9563525","0.9563525","0.9563525","0.9563525"
2041,"1.83718697825687","74.86522703","81.14491235","103.919982579805","0.93899779","193.286941284878","306.69808443796","164.697666984423","86.2346957033953","0.93899779","0.93899779","0.93899779","0.93899779"
2042,"1.83716185863219","74.91686288","81.20189386","103.922861097994","0.93899779","193.286941284878","306.69808443796","164.697666984423","86.2346957033953","0.93899779","0.93899779","0.93899779","0.93899779"
2043,"1.8371367390075","74.96753515","81.25724195","103.925599839206","0.93899779","193.286941284878","306.69808443796","164.697666984423","86.2346957033953","0.93899779","0.93899779","0.93899779","0.93899779"
2044,"1.83711161938281","75.01740296","81.31113499","103.92820450402","0.93899779","193.286941284878","306.69808443796","164.697666984423","86.2346957033953","0.93899779","0.93899779","0.93899779","0.93899779"
2045,"1.83708649975812","75.06637385","81.36348224","103.93065306216","0.93899779","191.515241253596","307.413819310434","165.247653354863","86.9537903255767","0.93899779","0.93899779","0.93899779","0.93899779"
2046,"1.83706138013344","75.11454402","81.4143872","103.932919541763","0.92576718","191.515241253596","307.413819310434","165.247653354863","86.9537903255767","0.92576718","0.92576718","0.92576718","0.92576718"
2047,"1.83703626050875","75.16186505","81.46381685","103.935012736804","0.92576718","191.515241253596","307.413819310434","165.247653354863","86.9537903255767","0.92576718","0.92576718","0.92576718","0.92576718"
2048,"1.83701114088406","75.20839901","81.51183869","103.936955445914","0.92576718","191.515241253596","307.413819310434","165.247653354863","86.9537903255767","0.92576718","0.92576718","0.92576718","0.92576718"
2049,"1.83698602125937","75.25414097","81.55845127","103.9387286242","0.92576718","191.515241253596","307.413819310434","165.247653354863","86.9537903255767","0.92576718","0.92576718","0.92576718","0.92576718"
2050,"1.83696090163469","75.29912874","81.60370569","103.940311018938","0.92576718","189.231307798679","306.598288821962","165.951844341535","86.6739166711072","0.92576718","0.92576718","0.92576718","0.92576718"
2051,"1.83693578201","75.34336692","81.64761739","103.941674594459","0.90882097","189.231307798679","306.598288821962","165.951844341535","86.6739166711072","0.90882097","0.90882097","0.90882097","0.90882097"
2052,"1.83691066238531","75.38690118","81.69023466","103.94279949294","0.90882097","189.231307798679","306.598288821962","165.951844341535","86.6739166711072","0.90882097","0.90882097","0.90882097","0.90882097"
2053,"1.83688554276062","75.4297476","81.73158359","103.942940793964","0.90882097","189.231307798679","306.598288821962","165.951844341535","86.6739166711072","0.90882097","0.90882097","0.90882097","0.90882097"
2054,"1.83686042313594","75.4719423","81.77170306","103.943414993891","0.90882097","189.231307798679","306.598288821962","165.951844341535","86.6739166711072","0.90882097","0.90882097","0.90882097","0.90882097"
2055,"1.83683530351125","75.5135129","81.81063409","103.944212011744","0.90882097","186.552689839388","304.721743983787","166.983051008531","85.9582919573442","0.90882097","0.90882097","0.90882097","0.90882097"
2056,"1.83681018388656","75.55449148","81.84841978","103.945223436032","0.89985058","186.552689839388","304.721743983787","166.983051008531","85.9582919573442","0.89985058","0.89985058","0.89985058","0.89985058"
2057,"1.83678506426187","75.59491903","81.88509217","103.946368284595","0.89985058","186.552689839388","304.721743983787","166.983051008531","85.9582919573442","0.89985058","0.89985058","0.89985058","0.89985058"
2058,"1.83675994463719","75.63482593","81.92070147","103.947595740809","0.89985058","186.552689839388","304.721743983787","166.983051008531","85.9582919573442","0.89985058","0.89985058","0.89985058","0.89985058"
2059,"1.8367348250125","75.67425234","81.95528694","103.94887787482","0.89985058","186.552689839388","304.721743983787","166.983051008531","85.9582919573442","0.89985058","0.89985058","0.89985058","0.89985058"
2060,"1.83670970538781","75.71323085","81.98888011","103.950202515374","0.89985058","183.679218238466","302.193783692944","168.911415146056","85.2511066913184","0.89985058","0.89985058","0.89985058","0.89985058"
2061,"1.83668458576312","75.75179695","82.02152828","103.95156776972","0.8873042","183.679218238466","302.193783692944","168.911415146056","85.2511066913184","0.8873042","0.8873042","0.8873042","0.8873042"
2062,"1.83665946613844","75.78998953","82.05327132","103.952977762286","0.8873042","183.679218238466","302.193783692944","168.911415146056","85.2511066913184","0.8873042","0.8873042","0.8873042","0.8873042"
2063,"1.83663434651375","75.82783113","82.08414744","103.954441466181","0.8873042","183.679218238466","302.193783692944","168.911415146056","85.2511066913184","0.8873042","0.8873042","0.8873042","0.8873042"
2064,"1.83660922688906","75.86536096","82.11418407","103.955970305939","0.8873042","183.679218238466","302.193783692944","168.911415146056","85.2511066913184","0.8873042","0.8873042","0.8873042","0.8873042"
