"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"AGS","BCS","Total","f",0,5.61365240264323e-05
"AGS","BCS","Total","f",1,5.61365240264323e-05
"AGS","BCS","Total","f",2,5.61365240264323e-05
"AGS","BCS","Total","f",3,5.61365240264323e-05
"AGS","BCS","Total","f",4,5.61365240264323e-05
"AGS","BCS","Total","f",5,6.20825638268909e-05
"AGS","BCS","Total","f",6,6.20825638268909e-05
"AGS","BCS","Total","f",7,6.20825638268909e-05
"AGS","BCS","Total","f",8,6.20825638268909e-05
"AGS","BCS","Total","f",9,6.20825638268909e-05
"AGS","BCS","Total","f",10,5.32397344811227e-05
"AGS","BCS","Total","f",11,5.32397344811227e-05
"AGS","BCS","Total","f",12,5.32397344811227e-05
"AGS","BCS","Total","f",13,5.32397344811227e-05
"AGS","BCS","Total","f",14,5.32397344811227e-05
"AGS","BCS","Total","f",15,4.03146482577033e-05
"AGS","BCS","Total","f",16,4.03146482577033e-05
"AGS","BCS","Total","f",17,4.03146482577033e-05
"AGS","BCS","Total","f",18,4.03146482577033e-05
"AGS","BCS","Total","f",19,4.03146482577033e-05
"AGS","BCS","Total","f",20,7.1745770097304e-05
"AGS","BCS","Total","f",21,7.1745770097304e-05
"AGS","BCS","Total","f",22,7.1745770097304e-05
"AGS","BCS","Total","f",23,7.1745770097304e-05
"AGS","BCS","Total","f",24,7.1745770097304e-05
"AGS","BCS","Total","f",25,0.000150191531003233
"AGS","BCS","Total","f",26,0.000150191531003233
"AGS","BCS","Total","f",27,0.000150191531003233
"AGS","BCS","Total","f",28,0.000150191531003233
"AGS","BCS","Total","f",29,0.000150191531003233
"AGS","BCS","Total","f",30,0.000195037940992999
"AGS","BCS","Total","f",31,0.000195037940992999
"AGS","BCS","Total","f",32,0.000195037940992999
"AGS","BCS","Total","f",33,0.000195037940992999
"AGS","BCS","Total","f",34,0.000195037940992999
"AGS","BCS","Total","f",35,0.000177519185159923
"AGS","BCS","Total","f",36,0.000177519185159923
"AGS","BCS","Total","f",37,0.000177519185159923
"AGS","BCS","Total","f",38,0.000177519185159923
