"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"BCS","AGS","Total","f",0,0.000125356482497101
"BCS","AGS","Total","f",1,0.000125356482497101
"BCS","AGS","Total","f",2,0.000125356482497101
"BCS","AGS","Total","f",3,0.000125356482497101
"BCS","AGS","Total","f",4,0.000125356482497101
"BCS","AGS","Total","f",5,0.000205139192104332
"BCS","AGS","Total","f",6,0.000205139192104332
"BCS","AGS","Total","f",7,0.000205139192104332
"BCS","AGS","Total","f",8,0.000205139192104332
"BCS","AGS","Total","f",9,0.000205139192104332
"BCS","AGS","Total","f",10,0.000342308986985827
"BCS","AGS","Total","f",11,0.000342308986985827
"BCS","AGS","Total","f",12,0.000342308986985827
"BCS","AGS","Total","f",13,0.000342308986985827
"BCS","AGS","Total","f",14,0.000342308986985827
"BCS","AGS","Total","f",15,0.000306020842397504
"BCS","AGS","Total","f",16,0.000306020842397504
"BCS","AGS","Total","f",17,0.000306020842397504
"BCS","AGS","Total","f",18,0.000306020842397504
"BCS","AGS","Total","f",19,0.000306020842397504
"BCS","AGS","Total","f",20,0.000398183349309988
"BCS","AGS","Total","f",21,0.000398183349309988
"BCS","AGS","Total","f",22,0.000398183349309988
"BCS","AGS","Total","f",23,0.000398183349309988
"BCS","AGS","Total","f",24,0.000398183349309988
"BCS","AGS","Total","f",25,0.000354084924949361
"BCS","AGS","Total","f",26,0.000354084924949361
"BCS","AGS","Total","f",27,0.000354084924949361
"BCS","AGS","Total","f",28,0.000354084924949361
"BCS","AGS","Total","f",29,0.000354084924949361
"BCS","AGS","Total","f",30,0.000390971667396657
"BCS","AGS","Total","f",31,0.000390971667396657
"BCS","AGS","Total","f",32,0.000390971667396657
"BCS","AGS","Total","f",33,0.000390971667396657
"BCS","AGS","Total","f",34,0.000390971667396657
"BCS","AGS","Total","f",35,0.000229600719691636
"BCS","AGS","Total","f",36,0.000229600719691636
"BCS","AGS","Total","f",37,0.000229600719691636
"BCS","AGS","Total","f",38,0.000229600719691636
"BCS","AGS","Total","f",39,0.000229600719691636
"BCS","AGS","Total","f",40,0.000189171678797772
"BCS","AGS","Total","f",41,0.000189171678797772
"BCS","AGS","Total","f",42,0.000189171678797772
"BCS","AGS","Total","f",43,0.000189171678797772
"BCS","AGS","Total","f",44,0.000189171678797772
"BCS","AGS","Total","f",45,0.000196578875769951
"BCS","AGS","Total","f",46,0.000196578875769951
"BCS","AGS","Total","f",47,0.000196578875769951
"BCS","AGS","Total","f",48,0.000196578875769951
"BCS","AGS","Total","f",49,0.000196578875769951
"BCS","AGS","Total","f",50,0.000241640038588133
"BCS","AGS","Total","f",51,0.000241640038588133
"BCS","AGS","Total","f",52,0.000241640038588133
"BCS","AGS","Total","f",53,0.000241640038588133
"BCS","AGS","Total","f",54,0.000241640038588133
"BCS","AGS","Total","f",55,0.00055707907106037
"BCS","AGS","Total","f",56,0.00055707907106037
"BCS","AGS","Total","f",57,0.00055707907106037
"BCS","AGS","Total","f",58,0.00055707907106037
"BCS","AGS","Total","f",59,0.00055707907106037
"BCS","AGS","Total","f",60,0.0006516279942286
"BCS","AGS","Total","f",61,0.0006516279942286
"BCS","AGS","Total","f",62,0.0006516279942286
"BCS","AGS","Total","f",63,0.0006516279942286
"BCS","AGS","Total","f",64,0.0006516279942286
"BCS","AGS","Total","f",65,0.000644872974072952
"BCS","AGS","Total","f",66,0.000644872974072952
"BCS","AGS","Total","f",67,0.000644872974072952
"BCS","AGS","Total","f",68,0.000644872974072952
"BCS","AGS","Total","f",69,0.000644872974072952
"BCS","AGS","Total","f",70,0.00032673001419035
"BCS","AGS","Total","f",71,0.00032673001419035
"BCS","AGS","Total","f",72,0.00032673001419035
"BCS","AGS","Total","f",73,0.00032673001419035
"BCS","AGS","Total","f",74,0.00032673001419035
"BCS","AGS","Total","f",75,0.00015576792503362
"BCS","AGS","Total","f",76,0.00015576792503362
