"Race","Sex","Age","lx"
"Total","Female","0",1e+05
"Total","Female","1",99550.4237413732
"Total","Female","2",99085.1973634021
"Total","Female","3",99037.7162369601
"Total","Female","4",99006.5674034212
"Total","Female","5",98991.3835114798
"Total","Female","6",98976.4852672912
"Total","Female","7",98961.7992393563
"Total","Female","8",98947.2278193107
"Total","Female","9",98932.7945572847
"Total","Female","10",98918.5113270014
"Total","Female","11",98904.306040676
"Total","Female","12",98890.0925886331
"Total","Female","13",98861.4951066815
"Total","Female","14",98832.6725133559
"Total","Female","15",98803.6425023372
"Total","Female","16",98760.0045299401
"Total","Female","17",98716.2699349752
"Total","Female","18",98658.0731656694
"Total","Female","19",98600.234635307
"Total","Female","20",98528.4261474799
"Total","Female","21",98457.1269028548
"Total","Female","22",98371.36285503
"Total","Female","23",98285.4364935319
"Total","Female","24",98185.6760272875
"Total","Female","25",98087.0748175908
"Total","Female","26",97975.9594680381
"Total","Female","27",97866.3206827893
"Total","Female","28",97744.1659242919
"Total","Female","29",97622.5179268752
"Total","Female","30",97486.8180131598
"Total","Female","31",97349.2995789474
"Total","Female","32",97210.169523811
"Total","Female","33",97055.4770298129
"Total","Female","34",96899.1078980183
"Total","Female","35",96740.9052728786
"Total","Female","36",96580.1454030997
"Total","Female","37",96416.4628517656
"Total","Female","38",96249.3237624315
"Total","Female","39",96062.9445652152
"Total","Female","40",95872.5638327986
"Total","Female","41",95678.260376289
"Total","Female","42",95464.0491673177
"Total","Female","43",95229.8636603364
"Total","Female","44",94992.7628082566
"Total","Female","45",94735.5389717869
"Total","Female","46",94438.8085871678
"Total","Female","47",94117.2235409004
"Total","Female","48",93767.7214892485
"Total","Female","49",93387.247878012
"Total","Female","50",92973.1137410807
"Total","Female","51",92542.8249502128
"Total","Female","52",92075.0073608506
"Total","Female","53",91567.7070448128
"Total","Female","54",91019.2605838506
"Total","Female","55",90428.4566075826
"Total","Female","56",89769.0188416394
"Total","Female","57",89060.9815099307
"Total","Female","58",88272.8312310817
"Total","Female","59",87425.4995177628
"Total","Female","60",86513.9270236056
"Total","Female","61",85501.3715954464
"Total","Female","62",84377.5857694383
"Total","Female","63",83165.4053487552
"Total","Female","64",81860.5806570737
"Total","Female","65",80456.9479265281
"Total","Female","66",78941.0374615912
"Total","Female","67",77292.6633663912
"Total","Female","68",75540.3829140704
"Total","Female","69",73686.3537614354
"Total","Female","70",71688.4022714546
"Total","Female","71",69611.9106194538
"Total","Female","72",67364.7176133966
"Total","Female","73",64982.4682675397
"Total","Female","74",62462.0689924075
"Total","Female","75",59852.3912688374
"Total","Female","76",57147.8627832121
"Total","Female","77",54336.3101756958
"Total","Female","78",51409.5300022976
"Total","Female","79",48441.6931195479
"Total","Female","80",45369.2812937838
"Total","Female","81",42255.0092548969
"Total","Female","82",39097.814818823
"Total","Female","83",35903.0517402421
"Total","Female","84",32678.4622082598
"Total","Female","85",29527.7575701334
"Total","Female","86",26463.165620358
"Total","Female","87",23409.7234333936
"Total","Female","88",20483.5080042194
"Total","Female","89",17694.2643610916
"Total","Female","90",15134.9942041258
"Total","Female","91",12709.8022545032
"Total","Female","92",10464.2541530009
"Total","Female","93",8462.39683677464
"Total","Female","94",6724.17478381552
"Total","Female","95",5270.29915488244
"Total","Female","96",4019.71969440186
"Total","Female","97",2971.09716542746
"Total","Female","98",2122.21226101962
"Total","Female","99",1427.6700665041
"Total","Female","100+",915.173119553913
"Total","Male","0",1e+05
"Total","Male","1",99335.9230917318
"Total","Male","2",98641.7517214192
"Total","Male","3",98596.2282608909
"Total","Male","4",98566.3958166365
"Total","Male","5",98537.3416100583
"Total","Male","6",98508.8831720481
"Total","Male","7",98494.8675381046
"Total","Male","8",98480.9685939801
"Total","Male","9",98467.2171496467
"Total","Male","10",98440.0462839873
"Total","Male","11",98413.0764082931
"Total","Male","12",98386.1323764222
"Total","Male","13",98359.0585920588
"Total","Male","14",98318.1296544382
"Total","Male","15",98263.1649418431
"Total","Male","16",98194.5022593319
"Total","Male","17",98112.2163635838
"Total","Male","18",98003.3086723241
"Total","Male","19",97868.8918451779
"Total","Male","20",97709.7769959512
"Total","Male","21",97526.7754069287
"Total","Male","22",97318.329186449
"Total","Male","23",97097.5790902225
"Total","Male","24",96853.3407897374
"Total","Male","25",96600.4930132337
"Total","Male","26",96315.2614400513
"Total","Male","27",96010.3698242234
"Total","Male","28",95685.0538945937
"Total","Male","29",95349.4430328815
"Total","Male","30",95000.420142638
"Total","Male","31",94646.2827065385
"Total","Male","32",94287.1407767394
"Total","Male","33",93935.1823789593
"Total","Male","34",93577.1392117103
"Total","Male","35",93211.5525090554
"Total","Male","36",92835.3202083125
"Total","Male","37",92446.7136952563
"Total","Male","38",92058.4331835083
"Total","Male","39",91671.3202508266
"Total","Male","40",91272.348987599
"Total","Male","41",90863.3381165756
"Total","Male","42",90431.4553370408
"Total","Male","43",89979.1365179202
"Total","Male","44",89508.8481590809
"Total","Male","45",88989.014558157
"Total","Male","46",88433.1397657673
"Total","Male","47",87821.2601638349
"Total","Male","48",87164.809920157
"Total","Male","49",86475.7600393652
"Total","Male","50",85733.0234500701
"Total","Male","51",84949.5742930511
"Total","Male","52",84123.9102177486
"Total","Male","53",83253.7628876029
"Total","Male","54",82336.6955761016
"Total","Male","55",81351.364888579
"Total","Male","56",80315.311118718
"Total","Male","57",79202.0944134443
"Total","Male","58",78026.7208662128
"Total","Male","59",76760.2817538667
"Total","Male","60",75420.235571844
"Total","Male","61",73998.1705240247
"Total","Male","62",72487.1922973116
"Total","Male","63",70880.6744703173
"Total","Male","64",69175.4920875452
"Total","Male","65",67366.9824904852
"Total","Male","66",65441.7606905697
"Total","Male","67",63444.5553795655
"Total","Male","68",61403.6323557082
"Total","Male","69",59297.0978722442
"Total","Male","70",57097.3356993071
"Total","Male","71",54867.5931615378
"Total","Male","72",52536.2828296648
"Total","Male","73",50135.8274218163
"Total","Male","74",47702.8929888686
"Total","Male","75",45235.888649999
"Total","Male","76",42730.5163555375
"Total","Male","77",40178.7221393759
"Total","Male","78",37573.617960763
"Total","Male","79",34975.1658196314
"Total","Male","80",32392.3843437201
"Total","Male","81",29818.8961229755
"Total","Male","82",27266.3057933823
"Total","Male","83",24743.872217783
"Total","Male","84",22328.3252428305
"Total","Male","85",19964.5254317154
"Total","Male","86",17746.2448281915
"Total","Male","87",15611.3582323188
"Total","Male","88",13575.0941150598
"Total","Male","89",11709.814007647
"Total","Male","90",10026.96648559
"Total","Male","91",8506.63221701676
"Total","Male","92",7095.05132511005
"Total","Male","93",5874.39733369327
"Total","Male","94",4835.38828147541
"Total","Male","95",3910.35747980186
"Total","Male","96",3101.31800122216
"Total","Male","97",2433.34181634354
"Total","Male","98",1915.60951499385
"Total","Male","99",1464.87786440706
"Total","Male","100+",1046.34133171933
