"Race","Sex","Age","Population"
"Total","Male",0,6438
"Total","Male",1,6417
"Total","Male",2,6499
"Total","Male",3,6609
"Total","Male",4,6784
"Total","Male",5,6924
"Total","Male",6,7028
"Total","Male",7,7086
"Total","Male",8,7161
"Total","Male",9,7247
"Total","Male",10,7299
"Total","Male",11,7304
"Total","Male",12,7267
"Total","Male",13,7208
"Total","Male",14,7153
"Total","Male",15,7153
"Total","Male",16,7157
"Total","Male",17,7203
"Total","Male",18,7286
"Total","Male",19,7375
"Total","Male",20,7468
"Total","Male",21,7478
"Total","Male",22,7486
"Total","Male",23,7544
"Total","Male",24,7651
"Total","Male",25,7778
"Total","Male",26,7885
"Total","Male",27,7955
"Total","Male",28,7969
"Total","Male",29,7908
"Total","Male",30,7765
"Total","Male",31,7628
"Total","Male",32,7487
"Total","Male",33,7332
"Total","Male",34,7153
"Total","Male",35,6923
"Total","Male",36,6675
"Total","Male",37,6415
"Total","Male",38,6170
"Total","Male",39,5961
"Total","Male",40,5789
"Total","Male",41,5667
"Total","Male",42,5584
"Total","Male",43,5534
"Total","Male",44,5494
"Total","Male",45,5426
"Total","Male",46,5329
"Total","Male",47,5198
"Total","Male",48,5040
"Total","Male",49,4869
"Total","Male",50,4684
"Total","Male",51,4505
"Total","Male",52,4328
"Total","Male",53,4153
"Total","Male",54,3987
"Total","Male",55,3823
"Total","Male",56,3654
"Total","Male",57,3478
"Total","Male",58,3300
"Total","Male",59,3123
"Total","Male",60,2942
"Total","Male",61,2763
"Total","Male",62,2588
"Total","Male",63,2423
"Total","Male",64,2265
"Total","Male",65,2104
"Total","Male",66,1936
"Total","Male",67,1774
"Total","Male",68,1633
"Total","Male",69,1508
"Total","Male",70,1406
"Total","Male",71,1313
"Total","Male",72,1219
"Total","Male",73,1126
"Total","Male",74,1036
"Total","Male",75,948
"Total","Male",76,861
"Total","Male",77,776
"Total","Male",78,698
"Total","Male",79,626
"Total","Male",80,556
"Total","Male",81,492
"Total","Male",82,433
"Total","Male",83,380
"Total","Male",84,331
"Total","Male",85,289
"Total","Male",86,250
"Total","Male",87,215
"Total","Male",88,183
"Total","Male",89,155
"Total","Male",90,128
"Total","Male",91,105
"Total","Male",92,85
"Total","Male",93,67
"Total","Male",94,52
"Total","Male",95,39
"Total","Male",96,29
"Total","Male",97,21
"Total","Male",98,15
"Total","Male",99,9
"Total","Male",100,18
"Total","Female",0,6204
"Total","Female",1,6191
"Total","Female",2,6259
"Total","Female",3,6358
"Total","Female",4,6520
"Total","Female",5,6644
"Total","Female",6,6739
"Total","Female",7,6791
"Total","Female",8,6855
"Total","Female",9,6926
"Total","Female",10,6963
"Total","Female",11,6958
"Total","Female",12,6915
"Total","Female",13,6859
"Total","Female",14,6808
"Total","Female",15,6791
"Total","Female",16,6773
"Total","Female",17,6783
"Total","Female",18,6821
"Total","Female",19,6863
"Total","Female",20,6907
"Total","Female",21,6885
"Total","Female",22,6866
"Total","Female",23,6893
"Total","Female",24,6967
"Total","Female",25,7058
"Total","Female",26,7145
"Total","Female",27,7206
"Total","Female",28,7227
"Total","Female",29,7189
"Total","Female",30,7084
"Total","Female",31,6992
"Total","Female",32,6907
"Total","Female",33,6822
"Total","Female",34,6732
"Total","Female",35,6614
"Total","Female",36,6485
"Total","Female",37,6340
"Total","Female",38,6191
"Total","Female",39,6049
"Total","Female",40,5915
"Total","Female",41,5800
"Total","Female",42,5700
"Total","Female",43,5616
"Total","Female",44,5532
"Total","Female",45,5419
"Total","Female",46,5277
"Total","Female",47,5107
"Total","Female",48,4919
"Total","Female",49,4725
"Total","Female",50,4527
"Total","Female",51,4341
"Total","Female",52,4163
"Total","Female",53,3995
"Total","Female",54,3839
"Total","Female",55,3689
"Total","Female",56,3536
"Total","Female",57,3375
"Total","Female",58,3214
"Total","Female",59,3053
"Total","Female",60,2888
"Total","Female",61,2721
"Total","Female",62,2557
"Total","Female",63,2403
"Total","Female",64,2255
"Total","Female",65,2103
"Total","Female",66,1943
"Total","Female",67,1788
"Total","Female",68,1650
"Total","Female",69,1528
"Total","Female",70,1429
"Total","Female",71,1341
"Total","Female",72,1250
"Total","Female",73,1163
"Total","Female",74,1078
"Total","Female",75,995
"Total","Female",76,912
"Total","Female",77,831
"Total","Female",78,757
"Total","Female",79,687
"Total","Female",80,619
"Total","Female",81,554
"Total","Female",82,493
"Total","Female",83,436
"Total","Female",84,385
"Total","Female",85,338
"Total","Female",86,294
"Total","Female",87,255
"Total","Female",88,219
"Total","Female",89,186
"Total","Female",90,155
"Total","Female",91,129
"Total","Female",92,104
"Total","Female",93,83
"Total","Female",94,66
"Total","Female",95,52
"Total","Female",96,40
"Total","Female",97,30
"Total","Female",98,23
"Total","Female",99,16
"Total","Female",100,29
