"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"AGS","CAMP","Total","f",0,1.60390068646949e-05
"AGS","CAMP","Total","f",1,1.60390068646949e-05
"AGS","CAMP","Total","f",2,1.60390068646949e-05
"AGS","CAMP","Total","f",3,1.60390068646949e-05
"AGS","CAMP","Total","f",4,1.60390068646949e-05
"AGS","CAMP","Total","f",5,4.00975171617373e-06
"AGS","CAMP","Total","f",6,4.00975171617373e-06
"AGS","CAMP","Total","f",7,4.00975171617373e-06
"AGS","CAMP","Total","f",8,4.00975171617373e-06
"AGS","CAMP","Total","f",9,4.00975171617373e-06
"AGS","CAMP","Total","f",10,5.30186148356688e-06
"AGS","CAMP","Total","f",11,5.30186148356688e-06
"AGS","CAMP","Total","f",12,5.30186148356688e-06
"AGS","CAMP","Total","f",13,5.30186148356688e-06
"AGS","CAMP","Total","f",14,5.30186148356688e-06
"AGS","CAMP","Total","f",15,5.30186148356688e-06
"AGS","CAMP","Total","f",16,5.30186148356688e-06
"AGS","CAMP","Total","f",17,5.30186148356688e-06
"AGS","CAMP","Total","f",18,5.30186148356688e-06
"AGS","CAMP","Total","f",19,5.30186148356688e-06
"AGS","CAMP","Total","f",20,5.30186148356688e-06
"AGS","CAMP","Total","f",21,5.30186148356688e-06
"AGS","CAMP","Total","f",22,5.30186148356688e-06
"AGS","CAMP","Total","f",23,5.30186148356688e-06
"AGS","CAMP","Total","f",24,5.30186148356688e-06
"AGS","CAMP","Total","f",25,1.99306413680392e-05
"AGS","CAMP","Total","f",26,1.99306413680392e-05
"AGS","CAMP","Total","f",27,1.99306413680392e-05
"AGS","CAMP","Total","f",28,1.99306413680392e-05
"AGS","CAMP","Total","f",29,1.99306413680392e-05
"AGS","CAMP","Total","f",30,1.99306413680392e-05
"AGS","CAMP","Total","f",31,1.99306413680392e-05
"AGS","CAMP","Total","f",32,1.99306413680392e-05
"AGS","CAMP","Total","f",33,1.99306413680392e-05
"AGS","CAMP","Total","f",34,1.99306413680392e-05
"AGS","CAMP","Total","f",35,1.99306413680392e-05
