"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"CAMP","AGS","Total","f",0,7.23484300390682e-05
"CAMP","AGS","Total","f",1,7.23484300390682e-05
"CAMP","AGS","Total","f",2,7.23484300390682e-05
"CAMP","AGS","Total","f",3,7.23484300390682e-05
"CAMP","AGS","Total","f",4,7.23484300390682e-05
"CAMP","AGS","Total","f",5,0.000142008687837491
"CAMP","AGS","Total","f",6,0.000142008687837491
"CAMP","AGS","Total","f",7,0.000142008687837491
"CAMP","AGS","Total","f",8,0.000142008687837491
"CAMP","AGS","Total","f",9,0.000142008687837491
"CAMP","AGS","Total","f",10,0.000147999948867858
"CAMP","AGS","Total","f",11,0.000147999948867858
"CAMP","AGS","Total","f",12,0.000147999948867858
"CAMP","AGS","Total","f",13,0.000147999948867858
"CAMP","AGS","Total","f",14,0.000147999948867858
"CAMP","AGS","Total","f",15,0.000214424932209871
"CAMP","AGS","Total","f",16,0.000214424932209871
"CAMP","AGS","Total","f",17,0.000214424932209871
"CAMP","AGS","Total","f",18,0.000214424932209871
"CAMP","AGS","Total","f",19,0.000214424932209871
"CAMP","AGS","Total","f",20,0.000232119889763571
"CAMP","AGS","Total","f",21,0.000232119889763571
"CAMP","AGS","Total","f",22,0.000232119889763571
"CAMP","AGS","Total","f",23,0.000232119889763571
"CAMP","AGS","Total","f",24,0.000232119889763571
"CAMP","AGS","Total","f",25,0.000270480614504398
"CAMP","AGS","Total","f",26,0.000270480614504398
"CAMP","AGS","Total","f",27,0.000270480614504398
"CAMP","AGS","Total","f",28,0.000270480614504398
"CAMP","AGS","Total","f",29,0.000270480614504398
"CAMP","AGS","Total","f",30,0.000206065882513047
"CAMP","AGS","Total","f",31,0.000206065882513047
"CAMP","AGS","Total","f",32,0.000206065882513047
"CAMP","AGS","Total","f",33,0.000206065882513047
"CAMP","AGS","Total","f",34,0.000206065882513047
"CAMP","AGS","Total","f",35,0.000171808814007708
"CAMP","AGS","Total","f",36,0.000171808814007708
"CAMP","AGS","Total","f",37,0.000171808814007708
"CAMP","AGS","Total","f",38,0.000171808814007708
"CAMP","AGS","Total","f",39,0.000171808814007708
"CAMP","AGS","Total","f",40,0.000110675551757467
"CAMP","AGS","Total","f",41,0.000110675551757467
"CAMP","AGS","Total","f",42,0.000110675551757467
"CAMP","AGS","Total","f",43,0.000110675551757467
"CAMP","AGS","Total","f",44,0.000110675551757467
"CAMP","AGS","Total","f",45,8.56413482820906e-05
"CAMP","AGS","Total","f",46,8.56413482820906e-05
"CAMP","AGS","Total","f",47,8.56413482820906e-05
"CAMP","AGS","Total","f",48,8.56413482820906e-05
"CAMP","AGS","Total","f",49,8.56413482820906e-05
"CAMP","AGS","Total","f",50,0.000144380312465514
"CAMP","AGS","Total","f",51,0.000144380312465514
"CAMP","AGS","Total","f",52,0.000144380312465514
"CAMP","AGS","Total","f",53,0.000144380312465514
"CAMP","AGS","Total","f",54,0.000144380312465514
"CAMP","AGS","Total","f",55,0.000141128175398997
"CAMP","AGS","Total","f",56,0.000141128175398997
"CAMP","AGS","Total","f",57,0.000141128175398997
"CAMP","AGS","Total","f",58,0.000141128175398997
"CAMP","AGS","Total","f",59,0.000141128175398997
"CAMP","AGS","Total","f",60,9.80079994686795e-05
"CAMP","AGS","Total","f",61,9.80079994686795e-05
"CAMP","AGS","Total","f",62,9.80079994686795e-05
"CAMP","AGS","Total","f",63,9.80079994686795e-05
"CAMP","AGS","Total","f",64,9.80079994686795e-05
"CAMP","AGS","Total","f",65,2.28906285766607e-05
"CAMP","AGS","Total","f",66,2.28906285766607e-05
"CAMP","AGS","Total","f",67,2.28906285766607e-05
"CAMP","AGS","Total","f",68,2.28906285766607e-05
"CAMP","AGS","Total","f",69,2.28906285766607e-05
"CAMP","AGS","Total","f",70,0
"CAMP","AGS","Total","f",71,0
"CAMP","AGS","Total","f",72,0
"CAMP","AGS","Total","f",73,0
"CAMP","AGS","Total","f",74,0
"CAMP","AGS","Total","f",75,0
"CAMP","AGS","Total","f",76,0
"CAMP","AGS","Total","f",77,0
"CAMP","AGS","Total","f",78,0
"CAMP","AGS","Total","f",79,0
"CAMP","AGS","Total","f",80,0
"CAMP","AGS","Total","f",81,0
"CAMP","AGS","Total","f",82,0
"CAMP","AGS","Total","f",83,0
"CAMP","AGS","Total","f",84,0
"CAMP","AGS","Total","f",85,0
"CAMP","AGS","Total","f",86,0
"CAMP","AGS","Total","f",87,0
"CAMP","AGS","Total","f",88,0
"CAMP","AGS","Total","f",89,0
"CAMP","AGS","Total","f",90,0
"CAMP","AGS","Total","f",91,0
"CAMP","AGS","Total","f",92,0
"CAMP","AGS","Total","f",93,0
"CAMP","AGS","Total","f",94,0
"CAMP","AGS","Total","f",95,0
"CAMP","AGS","Total","f",96,0
"CAMP","AGS","Total","f",97,0
"CAMP","AGS","Total","f",98,0
"CAMP","AGS","Total","f",99,0
"CAMP","AGS","Total","f",100,0
