"Race","Sex","Age","lx"
"Total","Female","0",1e+05
"Total","Female","1",99478.2904403471
"Total","Female","2",98904.0819043467
"Total","Female","3",98851.8070196193
"Total","Female","4",98813.5047372739
"Total","Female","5",98788.7890032226
"Total","Female","6",98764.7352440302
"Total","Female","7",98741.0250687225
"Total","Female","8",98717.329118382
"Total","Female","9",98693.7068812156
"Total","Female","10",98670.1971844836
"Total","Female","11",98646.6818848686
"Total","Female","12",98623.0142548578
"Total","Female","13",98599.096948139
"Total","Female","14",98562.8094806982
"Total","Female","15",98526.1531330329
"Total","Female","16",98476.883897812
"Total","Female","17",98427.4477111163
"Total","Female","18",98365.7415812742
"Total","Female","19",98292.1328946332
"Total","Female","20",98218.9262415339
"Total","Female","21",98133.5131744253
"Total","Female","22",98047.6517167388
"Total","Female","23",97948.9874131244
"Total","Female","24",97850.4471843386
"Total","Female","25",97740.4273174313
"Total","Female","26",97619.4614420385
"Total","Female","27",97487.6485069299
"Total","Female","28",97344.7920187038
"Total","Female","29",97202.1622868083
"Total","Female","30",97046.8395519145
"Total","Female","31",96877.9155492131
"Total","Female","32",96707.1625821114
"Total","Female","33",96522.5482087443
"Total","Female","34",96336.3430485448
"Total","Female","35",96148.4185871718
"Total","Female","36",95945.6540297189
"Total","Female","37",95739.651551931
"Total","Female","38",95516.6198182712
"Total","Female","39",95275.7541476731
"Total","Female","40",95016.5375186467
"Total","Female","41",94752.7762193766
"Total","Female","42",94470.7319383247
"Total","Female","43",94156.3059016162
"Total","Female","44",93824.1848931449
"Total","Female","45",93459.7058903746
"Total","Female","46",93060.9681074813
"Total","Female","47",92639.4690607311
"Total","Female","48",92176.7344500382
"Total","Female","49",91669.1358435331
"Total","Female","50",91129.6652268881
"Total","Female","51",90539.7201084305
"Total","Female","52",89914.2298140717
"Total","Female","53",89234.1460694589
"Total","Female","54",88497.7388396718
"Total","Female","55",87703.6980297452
"Total","Female","56",86850.1340586528
"Total","Female","57",85911.8611473192
"Total","Female","58",84901.9820070485
"Total","Female","59",83794.6574361013
"Total","Female","60",82605.7684446274
"Total","Female","61",81306.684763749
"Total","Female","62",79911.5722434462
"Total","Female","63",78390.8486464255
"Total","Female","64",76766.1678454633
"Total","Female","65",75035.7829145205
"Total","Female","66",73162.9418868113
"Total","Female","67",71180.9736468435
"Total","Female","68",69081.7632090758
"Total","Female","69",66870.1638533383
"Total","Female","70",64556.0979792953
"Total","Female","71",62160.3350653195
"Total","Female","72",59658.1181876901
"Total","Female","73",57042.4165470831
"Total","Female","74",54306.5692306763
"Total","Female","75",51480.4644393593
"Total","Female","76",48599.6923360169
"Total","Female","77",45656.4586319292
"Total","Female","78",42682.0965060706
"Total","Female","79",39694.1606407808
"Total","Female","80",36699.8235711668
"Total","Female","81",33738.9036227499
"Total","Female","82",30818.8113793774
"Total","Female","83",27910.2487023321
"Total","Female","84",25073.2728141924
"Total","Female","85",22316.2117398031
"Total","Female","86",19723.6223509073
"Total","Female","87",17263.1302266492
"Total","Female","88",14940.3829441582
"Total","Female","89",12792.0925861747
"Total","Female","90",10824.0783421478
"Total","Female","91",9023.25822858695
"Total","Female","92",7424.19980833103
"Total","Female","93",6026.25887750025
"Total","Female","94",4828.49313787287
"Total","Female","95",3788.51000048487
"Total","Female","96",2897.09588272372
"Total","Female","97",2163.65388709747
"Total","Female","98",1576.90029059646
"Total","Female","99",1105.64273248717
"Total","Female","100+",760.12937858493
"Total","Male","0",1e+05
"Total","Male","1",99457.982014484
"Total","Male","2",98878.727605547
"Total","Male","3",98815.7755920463
"Total","Male","4",98778.9154954624
"Total","Male","5",98755.1562854815
"Total","Male","6",98732.0529619851
"Total","Male","7",98709.2905290255
"Total","Male","8",98686.5543110067
"Total","Male","9",98663.9041952593
"Total","Male","10",98641.370472707
"Total","Male","11",98607.5988194782
"Total","Male","12",98573.6371873723
"Total","Male","13",98527.8475521674
"Total","Male","14",98469.7841143972
"Total","Male","15",98387.3776957469
"Total","Male","16",98292.1103244607
"Total","Male","17",98172.3149432
"Total","Male","18",98016.4573265105
"Total","Male","19",97837.3009431683
"Total","Male","20",97623.0586783293
"Total","Male","21",97384.3714932967
"Total","Male","22",97119.6419526007
"Total","Male","23",96816.3136936445
"Total","Male","24",96488.2257777702
"Total","Male","25",96125.5789757991
"Total","Male","26",95729.8770976476
"Total","Male","27",95289.4113322291
"Total","Male","28",94815.2167000707
"Total","Male","29",94316.7514226389
"Total","Male","30",93790.0428222332
"Total","Male","31",93255.7650019098
"Total","Male","32",92701.1480158415
"Total","Male","33",92138.7548023985
"Total","Male","34",91567.764791229
"Total","Male","35",90986.3821576339
"Total","Male","36",90392.0883486356
"Total","Male","37",89780.5505036851
"Total","Male","38",89163.5984152637
"Total","Male","39",88542.2492973873
"Total","Male","40",87920.0685260153
"Total","Male","41",87286.8993082353
"Total","Male","42",86631.8095673759
"Total","Male","43",85959.2972842135
"Total","Male","44",85258.3351010769
"Total","Male","45",84516.3657520043
"Total","Male","46",83717.8333721387
"Total","Male","47",82858.5704744684
"Total","Male","48",81949.0362211812
"Total","Male","49",80984.6597792396
"Total","Male","50",79961.6956557123
"Total","Male","51",78877.6290479426
"Total","Male","52",77730.3180799725
"Total","Male","53",76534.2183632086
"Total","Male","54",75287.6258652223
"Total","Male","55",73990.4235640322
"Total","Male","56",72624.1351088432
"Total","Male","57",71200.3006423181
"Total","Male","58",69693.972018643
"Total","Male","59",68117.7526566177
"Total","Male","60",66467.9685502949
"Total","Male","61",64721.0359304906
"Total","Male","62",62889.2175442559
"Total","Male","63",60969.3893454226
"Total","Male","64",58963.7506861115
"Total","Male","65",56852.728373025
"Total","Male","66",54629.8512629272
"Total","Male","67",52319.0913930668
"Total","Male","68",49962.8809721909
"Total","Male","69",47532.3782723046
"Total","Male","70",45068.5972958429
"Total","Male","71",42577.0757713504
"Total","Male","72",40027.55027606
"Total","Male","73",37465.9716766696
"Total","Male","74",34915.390348175
"Total","Male","75",32378.1672197643
"Total","Male","76",29880.5526375945
"Total","Male","77",27435.7801490641
"Total","Male","78",25063.8106837271
"Total","Male","79",22775.0831190537
"Total","Male","80",20574.2698161876
"Total","Male","81",18478.2316043508
"Total","Male","82",16491.7944206581
"Total","Male","83",14637.8149171592
"Total","Male","84",12898.2485067142
"Total","Male","85",11289.8839155936
"Total","Male","86",9817.29036138573
"Total","Male","87",8457.66562701867
"Total","Male","88",7210.45226266568
"Total","Male","89",6074.9479693325
"Total","Male","90",5044.04770787002
"Total","Male","91",4136.65288211562
"Total","Male","92",3343.79441304346
"Total","Male","93",2663.4193711835
"Total","Male","94",2089.26908757508
"Total","Male","95",1611.28132584204
"Total","Male","96",1213.97908111386
"Total","Male","97",894.876008363934
"Total","Male","98",639.197148831382
"Total","Male","99",449.805401029491
"Total","Male","100+",312.217866596941
