"Race","Sex","Age","Population"
"Total","Male",0,7529
"Total","Male",1,7704
"Total","Male",2,7851
"Total","Male",3,8041
"Total","Male",4,8314
"Total","Male",5,8548
"Total","Male",6,8674
"Total","Male",7,8682
"Total","Male",8,8713
"Total","Male",9,8756
"Total","Male",10,8761
"Total","Male",11,8709
"Total","Male",12,8609
"Total","Male",13,8482
"Total","Male",14,8361
"Total","Male",15,8258
"Total","Male",16,8200
"Total","Male",17,8182
"Total","Male",18,8199
"Total","Male",19,8211
"Total","Male",20,8170
"Total","Male",21,8082
"Total","Male",22,7992
"Total","Male",23,7954
"Total","Male",24,7967
"Total","Male",25,8000
"Total","Male",26,8023
"Total","Male",27,8018
"Total","Male",28,7968
"Total","Male",29,7857
"Total","Male",30,7702
"Total","Male",31,7544
"Total","Male",32,7395
"Total","Male",33,7239
"Total","Male",34,7065
"Total","Male",35,6867
"Total","Male",36,6629
"Total","Male",37,6381
"Total","Male",38,6149
"Total","Male",39,5956
"Total","Male",40,5811
"Total","Male",41,5708
"Total","Male",42,5646
"Total","Male",43,5618
"Total","Male",44,5606
"Total","Male",45,5583
"Total","Male",46,5525
"Total","Male",47,5436
"Total","Male",48,5322
"Total","Male",49,5192
"Total","Male",50,5055
"Total","Male",51,4914
"Total","Male",52,4772
"Total","Male",53,4628
"Total","Male",54,4488
"Total","Male",55,4346
"Total","Male",56,4192
"Total","Male",57,4022
"Total","Male",58,3847
"Total","Male",59,3671
"Total","Male",60,3492
"Total","Male",61,3309
"Total","Male",62,3129
"Total","Male",63,2960
"Total","Male",64,2798
"Total","Male",65,2633
"Total","Male",66,2453
"Total","Male",67,2279
"Total","Male",68,2126
"Total","Male",69,1992
"Total","Male",70,1882
"Total","Male",71,1782
"Total","Male",72,1679
"Total","Male",73,1575
"Total","Male",74,1472
"Total","Male",75,1371
"Total","Male",76,1266
"Total","Male",77,1162
"Total","Male",78,1066
"Total","Male",79,975
"Total","Male",80,885
"Total","Male",81,801
"Total","Male",82,722
"Total","Male",83,649
"Total","Male",84,579
"Total","Male",85,516
"Total","Male",86,457
"Total","Male",87,402
"Total","Male",88,351
"Total","Male",89,302
"Total","Male",90,258
"Total","Male",91,217
"Total","Male",92,181
"Total","Male",93,149
"Total","Male",94,120
"Total","Male",95,96
"Total","Male",96,76
"Total","Male",97,60
"Total","Male",98,46
"Total","Male",99,36
"Total","Male",100,97
"Total","Female",0,7251
"Total","Female",1,7428
"Total","Female",2,7566
"Total","Female",3,7741
"Total","Female",4,7995
"Total","Female",5,8213
"Total","Female",6,8330
"Total","Female",7,8333
"Total","Female",8,8357
"Total","Female",9,8395
"Total","Female",10,8391
"Total","Female",11,8335
"Total","Female",12,8246
"Total","Female",13,8150
"Total","Female",14,8065
"Total","Female",15,7997
"Total","Female",16,7966
"Total","Female",17,7973
"Total","Female",18,8015
"Total","Female",19,8053
"Total","Female",20,8046
"Total","Female",21,7997
"Total","Female",22,7946
"Total","Female",23,7948
"Total","Female",24,8000
"Total","Female",25,8075
"Total","Female",26,8141
"Total","Female",27,8183
"Total","Female",28,8184
"Total","Female",29,8129
"Total","Female",30,8036
"Total","Female",31,7936
"Total","Female",32,7850
"Total","Female",33,7768
"Total","Female",34,7682
"Total","Female",35,7579
"Total","Female",36,7444
"Total","Female",37,7289
"Total","Female",38,7129
"Total","Female",39,6974
"Total","Female",40,6835
"Total","Female",41,6709
"Total","Female",42,6599
"Total","Female",43,6509
"Total","Female",44,6423
"Total","Female",45,6315
"Total","Female",46,6168
"Total","Female",47,5991
"Total","Female",48,5795
"Total","Female",49,5591
"Total","Female",50,5389
"Total","Female",51,5193
"Total","Female",52,5005
"Total","Female",53,4827
"Total","Female",54,4660
"Total","Female",55,4499
"Total","Female",56,4327
"Total","Female",57,4144
"Total","Female",58,3961
"Total","Female",59,3779
"Total","Female",60,3596
"Total","Female",61,3409
"Total","Female",62,3227
"Total","Female",63,3056
"Total","Female",64,2895
"Total","Female",65,2730
"Total","Female",66,2549
"Total","Female",67,2372
"Total","Female",68,2213
"Total","Female",69,2073
"Total","Female",70,1957
"Total","Female",71,1850
"Total","Female",72,1740
"Total","Female",73,1628
"Total","Female",74,1516
"Total","Female",75,1407
"Total","Female",76,1297
"Total","Female",77,1188
"Total","Female",78,1089
"Total","Female",79,995
"Total","Female",80,904
"Total","Female",81,818
"Total","Female",82,737
"Total","Female",83,663
"Total","Female",84,593
"Total","Female",85,527
"Total","Female",86,466
"Total","Female",87,409
"Total","Female",88,355
"Total","Female",89,306
"Total","Female",90,259
"Total","Female",91,216
"Total","Female",92,178
"Total","Female",93,145
"Total","Female",94,116
"Total","Female",95,90
"Total","Female",96,69
"Total","Female",97,51
"Total","Female",98,37
"Total","Female",99,27
"Total","Female",100,46
