"year","f_A","m_M","m_F","sr_A","int_mig","iim_M","iim_F","iom_M","iom_F","idm_M","idm_F","odm_M","odm_F"
NA,"fertility","mortality","mortality","sex ratio at birth","internal migration change","net international in-migrants","net international in-migrants","net international out-migrants","net international out-migrants","domestic in-migration","domestic in-migration","domestic out-migration","domestic out-migration"
NA,"Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
NA,NA,"male","female",NA,"Total","male","female","male","female","male","female","male","female"
2020,"1.403593426","64.48948997","74.63323936","104.000107350957","1","13838.7531218872","10370.2440880859","8031.81444737407","12580.4438400768","1","1","1","1"
2021,"1.402426129","66.20005576","75.0091721","103.997847296872","1","13838.7531218872","10370.2440880859","8031.81444737407","12580.4438400768","1","1","1","1"
2022,"1.39897737","73.51855441","79.67535495","103.996408184701","1","13838.7531218872","10370.2440880859","8031.81444737407","12580.4438400768","1","1","1","1"
2023,"1.391766448","73.66216045","79.83537366","103.995771167078","1","13838.7531218872","10370.2440880859","8031.81444737407","12580.4438400768","1","1","1","1"
2024,"1.383140668","73.83731939","80.02998245","103.995905417195","1","13838.7531218872","10370.2440880859","8031.81444737407","12580.4438400768","1","1","1","1"
2025,"1.375360718","73.99505543","80.20468381","103.99677519981","1","13731.6170010842","9676.18643973998","8266.0189093638","12720.6412253783","1","1","1","1"
2026,"1.368744708","74.16817321","80.39581563","103.998340634725","1","13731.6170010842","9676.18643973998","8266.0189093638","12720.6412253783","1","1","1","1"
2027,"1.362369391","74.330472","80.5744019","104.000557800905","1","13731.6170010842","9676.18643973998","8266.0189093638","12720.6412253783","1","1","1","1"
2028,"1.355818285","74.50022127","80.76056194","104.003379759309","1","13731.6170010842","9676.18643973998","8266.0189093638","12720.6412253783","1","1","1","1"
2029,"1.349394851","74.66329821","80.93879618","104.006758654792","1","13731.6170010842","9676.18643973998","8266.0189093638","12720.6412253783","1","1","1","1"
2030,"1.343483865","74.82982709","81.12015598","104.010649395787","1","13624.4808802811","9813.27378409328","8362.23577163618","12966.2716036912","1","1","1","1"
2031,"1.33817024","74.99214198","81.29631077","104.015015422597","1","13624.4808802811","9813.27378409328","8362.23577163618","12966.2716036912","1","1","1","1"
2032,"1.333331145","75.15583561","81.47331546","104.019837453692","1","13624.4808802811","9813.27378409328","8362.23577163618","12966.2716036912","1","1","1","1"
2033,"1.328827981","75.31673777","81.64667266","104.025126885063","1","13624.4808802811","9813.27378409328","8362.23577163618","12966.2716036912","1","1","1","1"
2034,"1.32459359","75.47793496","81.81970604","104.030946633718","1","13624.4808802811","9813.27378409328","8362.23577163618","12966.2716036912","1","1","1","1"
2035,"1.320660613","75.63715259","81.9899792","104.037446261068","1","13517.3447594781","10126.1111367477","8318.88295112797","13032.4949214637","1","1","1","1"
2036,"1.317001259","75.79609346","82.1593167","104.04492440787","1","13517.3447594781","10126.1111367477","8318.88295112797","13032.4949214637","1","1","1","1"
2037,"1.313688571","75.95351919","82.32640037","104.053911251668","1","13517.3447594781","10126.1111367477","8318.88295112797","13032.4949214637","1","1","1","1"
2038,"1.310613989","76.11037241","82.49223595","104.064958983596","1","13517.3447594781","10126.1111367477","8318.88295112797","13032.4949214637","1","1","1","1"
2039,"1.307670239","76.26597421","82.65611891","104.07409490691","1","13517.3447594781","10126.1111367477","8318.88295112797","13032.4949214637","1","1","1","1"
2040,"1.304920418","76.42085479","82.81860009","104.083029121489","1","13410.208638675","9977.30517694237","8222.84395618222","12975.0319048866","1","1","1","1"
2041,"1.302302927","76.57464362","82.97930801","104.091743042684","1","13410.208638675","9977.30517694237","8222.84395618222","12975.0319048866","1","1","1","1"
2042,"1.299843098","76.72763609","83.13855139","104.100219579611","1","13410.208638675","9977.30517694237","8222.84395618222","12975.0319048866","1","1","1","1"
2043,"1.297523517","76.87963687","83.296137","104.108305398528","1","13410.208638675","9977.30517694237","8222.84395618222","12975.0319048866","1","1","1","1"
2044,"1.295265112","77.03081721","83.45224259","104.115837863895","1","13410.208638675","9977.30517694237","8222.84395618222","12975.0319048866","1","1","1","1"
2045,"1.293093687","77.18107419","83.60677768","104.122714425441","1","13303.072517872","9946.91275781479","8049.6292643525","12849.1310706065","1","1","1","1"
2046,"1.291037229","77.33050458","83.75984577","104.1289076502","1","13303.072517872","9946.91275781479","8049.6292643525","12849.1310706065","1","1","1","1"
2047,"1.289140372","77.47907556","83.91141224","104.134485163962","1","13303.072517872","9946.91275781479","8049.6292643525","12849.1310706065","1","1","1","1"
2048,"1.28738046","77.62684059","84.06155173","104.13960452129","1","13303.072517872","9946.91275781479","8049.6292643525","12849.1310706065","1","1","1","1"
2049,"1.285665561","77.77379206","84.21025619","104.144482101943","1","13303.072517872","9946.91275781479","8049.6292643525","12849.1310706065","1","1","1","1"
2050,"1.284173953","77.9199733","84.35758227","104.149360414172","1","13195.936397069","9793.31414730085","7847.80601724895","12644.5340733575","1","1","1","1"
2051,"1.282755251","78.06539652","84.50354079","104.154463934846","1","13195.936397069","9793.31414730085","7847.80601724895","12644.5340733575","1","1","1","1"
2052,"1.281435378","78.21009447","84.64818251","104.159950885387","1","13195.936397069","9793.31414730085","7847.80601724895","12644.5340733575","1","1","1","1"
2053,"1.280246437","78.35409039","84.79152992","104.164603077004","1","13195.936397069","9793.31414730085","7847.80601724895","12644.5340733575","1","1","1","1"
2054,"1.279151579","78.49742411","84.93363776","104.169727200049","1","13195.936397069","9793.31414730085","7847.80601724895","12644.5340733575","1","1","1","1"
2055,"1.278003418","78.64012185","85.07452881","104.175264223656","1","13088.8002762659","9574.10882434325","7614.93087948988","12369.3173246505","1","1","1","1"
2056,"1.276984587","78.78221753","85.21425513","104.181065072513","1","13088.8002762659","9574.10882434325","7614.93087948988","12369.3173246505","1","1","1","1"
2057,"1.276014407","78.9237503","85.35285385","104.187015549562","1","13088.8002762659","9574.10882434325","7614.93087948988","12369.3173246505","1","1","1","1"
2058,"1.275119583","79.06475484","85.49036755","104.193038614885","1","13088.8002762659","9574.10882434325","7614.93087948988","12369.3173246505","1","1","1","1"
2059,"1.274281725","79.2052663","85.62682989","104.199085946004","1","13088.8002762659","9574.10882434325","7614.93087948988","12369.3173246505","1","1","1","1"
2060,"1.273484105","79.34532298","85.7622938","104.205131586474","1","12981.6641554629","9310.10390665242","7363.08946784835","12046.5702428779","1","1","1","1"
2061,"1.272678537","79.48496093","85.89679658","104.211166713762","1","12981.6641554629","9310.10390665242","7363.08946784835","12046.5702428779","1","1","1","1"
2062,"1.271880595","79.62421308","86.03037272","104.217195343279","1","12981.6641554629","9310.10390665242","7363.08946784835","12046.5702428779","1","1","1","1"
2063,"1.271020923","79.76311282","86.16306493","104.223230080894","1","12981.6641554629","9310.10390665242","7363.08946784835","12046.5702428779","1","1","1","1"
2064,"1.270213002","79.90169668","86.29490374","104.229288595205","1","12981.6641554629","9310.10390665242","7363.08946784835","12046.5702428779","1","1","1","1"
2065,"1.269354917","80.03998591","86.42591791","104.235390852901","1","12874.5280346598","9292.11074439131","7383.60293216059","12127.4806097212","1","1","1","1"
2066,"1.268520417","80.17801764","86.5561468","104.241557519375","1","12874.5280346598","9292.11074439131","7383.60293216059","12127.4806097212","1","1","1","1"
2067,"1.267641887","80.31580418","86.68560715","104.247808830376","1","12874.5280346598","9292.11074439131","7383.60293216059","12127.4806097212","1","1","1","1"
2068,"1.266818887","80.45337166","86.81433034","104.254163313905","1","12874.5280346598","9292.11074439131","7383.60293216059","12127.4806097212","1","1","1","1"
2069,"1.26600642","80.59074111","86.94232734","104.260636780763","1","12874.5280346598","9292.11074439131","7383.60293216059","12127.4806097212","1","1","1","1"
2070,"1.265134686","80.72791853","87.06962619","104.267241900569","1","12767.3919138568","9188.39590567048","7264.12783188281","12025.0179479668","1","1","1","1"
2071,"1.264262952","80.8572516723437","87.187334918572","104.273988641274","1","12767.3919138568","9188.39590567048","7264.12783188281","12025.0179479668","1","1","1","1"
2072,"1.263391218","80.9912701704392","87.3100207412512","104.280885987508","1","12767.3919138568","9188.39590567048","7264.12783188281","12025.0179479668","1","1","1","1"
2073,"1.262519484","81.1247759970985","87.4316325897438","104.287941970682","1","12767.3919138568","9188.39590567048","7264.12783188281","12025.0179479668","1","1","1","1"
2074,"1.26164775","81.2577710281837","87.5521726484469","104.295163647929","1","12767.3919138568","9188.39590567048","7264.12783188281","12025.0179479668","1","1","1","1"
2075,"1.260776016","81.390256917868","87.6716428416129","104.302557227089","1","12660.2557930538","9084.68106694964","7144.65273160502","11922.5552862124","1","1","1","1"
2076,"1.259904282","81.5222351311211","87.7900448717588","104.310128176551","1","12660.2557930538","9084.68106694964","7144.65273160502","11922.5552862124","1","1","1","1"
