"year","f_A","m_M","m_F","sr_A","int_mig","iim_M","iim_F","iom_M","iom_F","idm_M","idm_F","odm_M","odm_F"
NA,"fertility","mortality","mortality","sex ratio at birth","internal migration change","net international in-migrants","net international in-migrants","net international out-migrants","net international out-migrants","domestic in-migration","domestic in-migration","domestic out-migration","domestic out-migration"
NA,"Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
NA,NA,"male","female",NA,"Total","male","female","male","female","male","female","male","female"
2020,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2021,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2022,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2023,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2024,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2025,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2026,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2027,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2028,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2029,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2030,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2031,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2032,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2033,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2034,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2035,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2036,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2037,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2038,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2039,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2040,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2041,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2042,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2043,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2044,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2045,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2046,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2047,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2048,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2049,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2050,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2051,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2052,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2053,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2054,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2055,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2056,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2057,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2058,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2059,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2060,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2061,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2062,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2063,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2064,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2065,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2066,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2067,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2068,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2069,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2070,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2071,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2072,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2073,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2074,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2075,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2076,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2077,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2078,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2079,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2080,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2081,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2082,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2083,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2084,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2085,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2086,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2087,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2088,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
2089,"1.403593426","64.48948997","74.63323936","103.926555917654","1","14885.8","10376.2","8033","12578.2","1","1","1","1"
