"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"AGS","CDMX","Total","f",0,0.00161993969333419
"AGS","CDMX","Total","f",1,0.00161993969333419
"AGS","CDMX","Total","f",2,0.00161993969333419
"AGS","CDMX","Total","f",3,0.00161993969333419
"AGS","CDMX","Total","f",4,0.00161993969333419
"AGS","CDMX","Total","f",5,0.000714832834428155
"AGS","CDMX","Total","f",6,0.000714832834428155
"AGS","CDMX","Total","f",7,0.000714832834428155
"AGS","CDMX","Total","f",8,0.000714832834428155
"AGS","CDMX","Total","f",9,0.000714832834428155
"AGS","CDMX","Total","f",10,0.000497002146732914
"AGS","CDMX","Total","f",11,0.000497002146732914
"AGS","CDMX","Total","f",12,0.000497002146732914
"AGS","CDMX","Total","f",13,0.000497002146732914
"AGS","CDMX","Total","f",14,0.000497002146732914
"AGS","CDMX","Total","f",15,0.00110610605397579
"AGS","CDMX","Total","f",16,0.00110610605397579
"AGS","CDMX","Total","f",17,0.00110610605397579
"AGS","CDMX","Total","f",18,0.00110610605397579
"AGS","CDMX","Total","f",19,0.00110610605397579
"AGS","CDMX","Total","f",20,0.00195123967465127
"AGS","CDMX","Total","f",21,0.00195123967465127
"AGS","CDMX","Total","f",22,0.00195123967465127
"AGS","CDMX","Total","f",23,0.00195123967465127
"AGS","CDMX","Total","f",24,0.00195123967465127
"AGS","CDMX","Total","f",25,0.00262211858034188
"AGS","CDMX","Total","f",26,0.00262211858034188
"AGS","CDMX","Total","f",27,0.00262211858034188
"AGS","CDMX","Total","f",28,0.00262211858034188
"AGS","CDMX","Total","f",29,0.00262211858034188
"AGS","CDMX","Total","f",30,0.00216910530172907
"AGS","CDMX","Total","f",31,0.00216910530172907
"AGS","CDMX","Total","f",32,0.00216910530172907
"AGS","CDMX","Total","f",33,0.00216910530172907
"AGS","CDMX","Total","f",34,0.00216910530172907
"AGS","CDMX","Total","f",35,0.0016093033720309
"AGS","CDMX","Total","f",36,0.0016093033720309
"AGS","CDMX","Total","f",37,0.0016093033720309
"AGS","CDMX","Total","f",38,0.0016093033720309
"AGS","CDMX","Total","f",39,0.0016093033720309
"AGS","CDMX","Total","f",40,0.00113064417547572
"AGS","CDMX","Total","f",41,0.00113064417547572
"AGS","CDMX","Total","f",42,0.00113064417547572
"AGS","CDMX","Total","f",43,0.00113064417547572
"AGS","CDMX","Total","f",44,0.00113064417547572
"AGS","CDMX","Total","f",45,0.00121452336385775
"AGS","CDMX","Total","f",46,0.00121452336385775
"AGS","CDMX","Total","f",47,0.00121452336385775
"AGS","CDMX","Total","f",48,0.00121452336385775
"AGS","CDMX","Total","f",49,0.00121452336385775
"AGS","CDMX","Total","f",50,0.00118946464006658
"AGS","CDMX","Total","f",51,0.00118946464006658
"AGS","CDMX","Total","f",52,0.00118946464006658
"AGS","CDMX","Total","f",53,0.00118946464006658
"AGS","CDMX","Total","f",54,0.00118946464006658
"AGS","CDMX","Total","f",55,0.00143975148473666
"AGS","CDMX","Total","f",56,0.00143975148473666
"AGS","CDMX","Total","f",57,0.00143975148473666
"AGS","CDMX","Total","f",58,0.00143975148473666
"AGS","CDMX","Total","f",59,0.00143975148473666
"AGS","CDMX","Total","f",60,0.00146514146199792
"AGS","CDMX","Total","f",61,0.00146514146199792
"AGS","CDMX","Total","f",62,0.00146514146199792
"AGS","CDMX","Total","f",63,0.00146514146199792
"AGS","CDMX","Total","f",64,0.00146514146199792
"AGS","CDMX","Total","f",65,0.00155725119215573
"AGS","CDMX","Total","f",66,0.00155725119215573
"AGS","CDMX","Total","f",67,0.00155725119215573
"AGS","CDMX","Total","f",68,0.00155725119215573
"AGS","CDMX","Total","f",69,0.00155725119215573
"AGS","CDMX","Total","f",70,0.00141888637941206
"AGS","CDMX","Total","f",71,0.00141888637941206
"AGS","CDMX","Total","f",72,0.00141888637941206
"AGS","CDMX","Total","f",73,0.00141888637941206
"AGS","CDMX","Total","f",74,0.00141888637941206
"AGS","CDMX","Total","f",75,0.00137885953970673
"AGS","CDMX","Total","f",76,0.00137885953970673
"AGS","CDMX","Total","f",77,0.00137885953970673
"AGS","CDMX","Total","f",78,0.00137885953970673
"AGS","CDMX","Total","f",79,0.00137885953970673
"AGS","CDMX","Total","f",80,0.000890959461642713
"AGS","CDMX","Total","f",81,0.000890959461642713
"AGS","CDMX","Total","f",82,0.000890959461642713
"AGS","CDMX","Total","f",83,0.000890959461642713
"AGS","CDMX","Total","f",84,0.000890959461642713
"AGS","CDMX","Total","f",85,0.000364139538271065
"AGS","CDMX","Total","f",86,0.000364139538271065
"AGS","CDMX","Total","f",87,0.000364139538271065
"AGS","CDMX","Total","f",88,0.000364139538271065
"AGS","CDMX","Total","f",89,0.000364139538271065
"AGS","CDMX","Total","f",90,0
"AGS","CDMX","Total","f",91,0
"AGS","CDMX","Total","f",92,0
"AGS","CDMX","Total","f",93,0
"AGS","CDMX","Total","f",94,0
"AGS","CDMX","Total","f",95,0
"AGS","CDMX","Total","f",96,0
"AGS","CDMX","Total","f",97,0
"AGS","CDMX","Total","f",98,0
"AGS","CDMX","Total","f",99,0
"AGS","CDMX","Total","f",100,0
"AGS","CDMX","Total","m",0,0.00107574802907593
"AGS","CDMX","Total","m",1,0.00107574802907593
"AGS","CDMX","Total","m",2,0.00107574802907593
"AGS","CDMX","Total","m",3,0.00107574802907593
"AGS","CDMX","Total","m",4,0.00107574802907593
"AGS","CDMX","Total","m",5,0.000642248482195373
"AGS","CDMX","Total","m",6,0.000642248482195373
"AGS","CDMX","Total","m",7,0.000642248482195373
"AGS","CDMX","Total","m",8,0.000642248482195373
"AGS","CDMX","Total","m",9,0.000642248482195373
"AGS","CDMX","Total","m",10,0.000746086160218958
"AGS","CDMX","Total","m",11,0.000746086160218958
"AGS","CDMX","Total","m",12,0.000746086160218958
"AGS","CDMX","Total","m",13,0.000746086160218958
"AGS","CDMX","Total","m",14,0.000746086160218958
"AGS","CDMX","Total","m",15,0.00169695381924412
"AGS","CDMX","Total","m",16,0.00169695381924412
"AGS","CDMX","Total","m",17,0.00169695381924412
"AGS","CDMX","Total","m",18,0.00169695381924412
"AGS","CDMX","Total","m",19,0.00169695381924412
"AGS","CDMX","Total","m",20,0.00236731777475975
"AGS","CDMX","Total","m",21,0.00236731777475975
"AGS","CDMX","Total","m",22,0.00236731777475975
"AGS","CDMX","Total","m",23,0.00236731777475975
"AGS","CDMX","Total","m",24,0.00236731777475975
"AGS","CDMX","Total","m",25,0.00281541269474792
"AGS","CDMX","Total","m",26,0.00281541269474792
"AGS","CDMX","Total","m",27,0.00281541269474792
"AGS","CDMX","Total","m",28,0.00281541269474792
"AGS","CDMX","Total","m",29,0.00281541269474792
"AGS","CDMX","Total","m",30,0.00228536556092593
"AGS","CDMX","Total","m",31,0.00228536556092593
"AGS","CDMX","Total","m",32,0.00228536556092593
"AGS","CDMX","Total","m",33,0.00228536556092593
"AGS","CDMX","Total","m",34,0.00228536556092593
"AGS","CDMX","Total","m",35,0.00191472979016105
"AGS","CDMX","Total","m",36,0.00191472979016105
"AGS","CDMX","Total","m",37,0.00191472979016105
"AGS","CDMX","Total","m",38,0.00191472979016105
"AGS","CDMX","Total","m",39,0.00191472979016105
"AGS","CDMX","Total","m",40,0.00148975395968454
"AGS","CDMX","Total","m",41,0.00148975395968454
"AGS","CDMX","Total","m",42,0.00148975395968454
"AGS","CDMX","Total","m",43,0.00148975395968454
"AGS","CDMX","Total","m",44,0.00148975395968454
"AGS","CDMX","Total","m",45,0.00165506048372619
"AGS","CDMX","Total","m",46,0.00165506048372619
"AGS","CDMX","Total","m",47,0.00165506048372619
"AGS","CDMX","Total","m",48,0.00165506048372619
"AGS","CDMX","Total","m",49,0.00165506048372619
"AGS","CDMX","Total","m",50,0.00145198774826411
"AGS","CDMX","Total","m",51,0.00145198774826411
"AGS","CDMX","Total","m",52,0.00145198774826411
"AGS","CDMX","Total","m",53,0.00145198774826411
"AGS","CDMX","Total","m",54,0.00145198774826411
"AGS","CDMX","Total","m",55,0.00147343915567074
"AGS","CDMX","Total","m",56,0.00147343915567074
"AGS","CDMX","Total","m",57,0.00147343915567074
"AGS","CDMX","Total","m",58,0.00147343915567074
"AGS","CDMX","Total","m",59,0.00147343915567074
"AGS","CDMX","Total","m",60,0.00128104704295515
"AGS","CDMX","Total","m",61,0.00128104704295515
"AGS","CDMX","Total","m",62,0.00128104704295515
"AGS","CDMX","Total","m",63,0.00128104704295515
"AGS","CDMX","Total","m",64,0.00128104704295515
"AGS","CDMX","Total","m",65,0.00129254646549017
"AGS","CDMX","Total","m",66,0.00129254646549017
"AGS","CDMX","Total","m",67,0.00129254646549017
"AGS","CDMX","Total","m",68,0.00129254646549017
"AGS","CDMX","Total","m",69,0.00129254646549017
"AGS","CDMX","Total","m",70,0.00139902095940289
"AGS","CDMX","Total","m",71,0.00139902095940289
"AGS","CDMX","Total","m",72,0.00139902095940289
"AGS","CDMX","Total","m",73,0.00139902095940289
"AGS","CDMX","Total","m",74,0.00139902095940289
"AGS","CDMX","Total","m",75,0.00107183884814587
"AGS","CDMX","Total","m",76,0.00107183884814587
"AGS","CDMX","Total","m",77,0.00107183884814587
"AGS","CDMX","Total","m",78,0.00107183884814587
"AGS","CDMX","Total","m",79,0.00107183884814587
