"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"CDMX","AGS","Total","f",0,0.000590403398309145
"CDMX","AGS","Total","f",1,0.000590403398309145
"CDMX","AGS","Total","f",2,0.000590403398309145
"CDMX","AGS","Total","f",3,0.000590403398309145
"CDMX","AGS","Total","f",4,0.000590403398309145
"CDMX","AGS","Total","f",5,0.000660052441418328
"CDMX","AGS","Total","f",6,0.000660052441418328
"CDMX","AGS","Total","f",7,0.000660052441418328
"CDMX","AGS","Total","f",8,0.000660052441418328
"CDMX","AGS","Total","f",9,0.000660052441418328
"CDMX","AGS","Total","f",10,0.000575407544480943
"CDMX","AGS","Total","f",11,0.000575407544480943
"CDMX","AGS","Total","f",12,0.000575407544480943
"CDMX","AGS","Total","f",13,0.000575407544480943
"CDMX","AGS","Total","f",14,0.000575407544480943
"CDMX","AGS","Total","f",15,0.000445458520939944
"CDMX","AGS","Total","f",16,0.000445458520939944
"CDMX","AGS","Total","f",17,0.000445458520939944
"CDMX","AGS","Total","f",18,0.000445458520939944
"CDMX","AGS","Total","f",19,0.000445458520939944
"CDMX","AGS","Total","f",20,0.000508271850609073
"CDMX","AGS","Total","f",21,0.000508271850609073
"CDMX","AGS","Total","f",22,0.000508271850609073
"CDMX","AGS","Total","f",23,0.000508271850609073
"CDMX","AGS","Total","f",24,0.000508271850609073
"CDMX","AGS","Total","f",25,0.000655384611365189
"CDMX","AGS","Total","f",26,0.000655384611365189
"CDMX","AGS","Total","f",27,0.000655384611365189
"CDMX","AGS","Total","f",28,0.000655384611365189
"CDMX","AGS","Total","f",29,0.000655384611365189
"CDMX","AGS","Total","f",30,0.000749665722741183
"CDMX","AGS","Total","f",31,0.000749665722741183
"CDMX","AGS","Total","f",32,0.000749665722741183
"CDMX","AGS","Total","f",33,0.000749665722741183
"CDMX","AGS","Total","f",34,0.000749665722741183
"CDMX","AGS","Total","f",35,0.000733014053831014
"CDMX","AGS","Total","f",36,0.000733014053831014
"CDMX","AGS","Total","f",37,0.000733014053831014
"CDMX","AGS","Total","f",38,0.000733014053831014
