"Race","Sex","Age","lx"
"Total","Female","0",1e+05
"Total","Female","1",99590.1144376314
"Total","Female","2",99171.8226747431
"Total","Female","3",99126.7182774854
"Total","Female","4",99097.7217043765
"Total","Female","5",99075.0656180244
"Total","Female","6",99056.8863733377
"Total","Female","7",99039.0498553361
"Total","Female","8",99023.3125792532
"Total","Female","9",99006.2239788806
"Total","Female","10",98989.5545806284
"Total","Female","11",98970.0081669023
"Total","Female","12",98949.1607281523
"Total","Female","13",98925.3842075407
"Total","Female","14",98897.1561053271
"Total","Female","15",98863.0734035348
"Total","Female","16",98823.5129586176
"Total","Female","17",98777.2245498493
"Total","Female","18",98723.2475258225
"Total","Female","19",98663.5925838594
"Total","Female","20",98595.7525811005
"Total","Female","21",98519.8147722386
"Total","Female","22",98436.8439560651
"Total","Female","23",98346.946087587
"Total","Female","24",98252.0824560782
"Total","Female","25",98150.369593472
"Total","Female","26",98040.7948072465
"Total","Female","27",97923.5182066846
"Total","Female","28",97797.0308264069
"Total","Female","29",97663.1065175001
"Total","Female","30",97519.4596567385
"Total","Female","31",97368.4418298823
"Total","Female","32",97211.0900269138
"Total","Female","33",97049.8255473048
"Total","Female","34",96882.0558039985
"Total","Female","35",96708.8391984281
"Total","Female","36",96528.5449125577
"Total","Female","37",96339.2442181449
"Total","Female","38",96139.2007299097
"Total","Female","39",95925.6273366347
"Total","Female","40",95701.4346018844
"Total","Female","41",95460.8225032498
"Total","Female","42",95205.8914735243
"Total","Female","43",94931.1894819369
"Total","Female","44",94634.2250758998
"Total","Female","45",94314.7891464724
"Total","Female","46",93966.1207947295
"Total","Female","47",93582.3460682186
"Total","Female","48",93166.6598797135
"Total","Female","49",92716.9629601369
"Total","Female","50",92227.371107023
"Total","Female","51",91701.6255897
"Total","Female","52",91137.0268717771
"Total","Female","53",90528.3059252667
"Total","Female","54",89870.1043463941
"Total","Female","55",89154.8221060021
"Total","Female","56",88376.8008776617
"Total","Female","57",87532.1797985835
"Total","Female","58",86615.8018573076
"Total","Female","59",85624.0970902828
"Total","Female","60",84548.6443007921
"Total","Female","61",83379.8171920768
"Total","Female","62",82110.6225361379
"Total","Female","63",80740.2465496629
"Total","Female","64",79272.9857449082
"Total","Female","65",77695.9464209704
"Total","Female","66",76008.5787162517
"Total","Female","67",74214.2379563202
"Total","Female","68",72319.9101595091
"Total","Female","69",70323.023200298
"Total","Female","70",68230.1943075062
"Total","Female","71",66051.5629535239
"Total","Female","72",63770.5624656592
"Total","Female","73",61378.6788969262
"Total","Female","74",58878.5335142316
"Total","Female","75",56305.1437927883
"Total","Female","76",53667.5882360926
"Total","Female","77",50943.1813775175
"Total","Female","78",48156.0021165808
"Total","Female","79",45354.1547043884
"Total","Female","80",42533.96646795
"Total","Female","81",39703.7809440511
"Total","Female","82",36853.4886265277
"Total","Female","83",33987.5974073877
"Total","Female","84",31129.0991256315
"Total","Female","85",28308.6684131398
"Total","Female","86",25550.0134230373
"Total","Female","87",22870.0184239535
"Total","Female","88",20279.0915020817
"Total","Female","89",17798.4263077452
"Total","Female","90",15429.771959194
"Total","Female","91",13200.5892901532
"Total","Female","92",11137.2847465283
"Total","Female","93",9272.18231841804
"Total","Female","94",7593.77404002891
"Total","Female","95",6113.07730082202
"Total","Female","96",4812.16626931704
"Total","Female","97",3680.43017681839
"Total","Female","98",2717.90359243671
"Total","Female","99",1937.80776430451
"Total","Female","100+",1333.41113042175
"Total","Male","0",1e+05
"Total","Male","1",99436.7821558871
"Total","Male","2",98865.021611425
"Total","Male","3",98816.0477595779
"Total","Male","4",98784.4732802314
"Total","Male","5",98759.0704179941
"Total","Male","6",98738.0916984633
"Total","Male","7",98717.5023176027
"Total","Male","8",98697.3177851041
"Total","Male","9",98677.5963994839
"Total","Male","10",98656.7636344974
"Total","Male","11",98633.2830602046
"Total","Male","12",98607.0903472005
"Total","Male","13",98575.0832232094
"Total","Male","14",98529.7384128579
"Total","Male","15",98468.3729473832
"Total","Male","16",98390.3781965338
"Total","Male","17",98287.8603938445
"Total","Male","18",98154.0271204129
"Total","Male","19",97998.0359436476
"Total","Male","20",97826.4653992615
"Total","Male","21",97624.995847534
"Total","Male","22",97389.4278873491
"Total","Male","23",97124.3779941847
"Total","Male","24",96828.5557681882
"Total","Male","25",96498.6664535737
"Total","Male","26",96131.1920262601
"Total","Male","27",95723.5816909845
"Total","Male","28",95266.8525276809
"Total","Male","29",94748.3733998306
"Total","Male","30",94191.8367472878
"Total","Male","31",93636.023844821
"Total","Male","32",93078.9034309547
"Total","Male","33",92483.9903972271
"Total","Male","34",91821.7791196956
"Total","Male","35",91106.2476953215
"Total","Male","36",90400.5112202634
"Total","Male","37",89721.8958431844
"Total","Male","38",89023.8721613616
"Total","Male","39",88286.8091688806
"Total","Male","40",87533.0693639946
"Total","Male","41",86805.128467003
"Total","Male","42",86083.3904873875
"Total","Male","43",85314.7496447936
"Total","Male","44",84514.119179159
"Total","Male","45",83707.9746954753
"Total","Male","46",82854.8129186158
"Total","Male","47",81914.6242588008
"Total","Male","48",80885.1777811365
"Total","Male","49",79789.6858584154
"Total","Male","50",78659.1094299012
"Total","Male","51",77511.7713854581
"Total","Male","52",76327.7837163029
"Total","Male","53",75058.006689493
"Total","Male","54",73731.6298923649
"Total","Male","55",72416.2441042332
"Total","Male","56",71070.3761761035
"Total","Male","57",69635.65016891
"Total","Male","58",68151.9010716294
"Total","Male","59",66598.1996542431
"Total","Male","60",64896.2448597397
"Total","Male","61",63093.9182123976
"Total","Male","62",61280.5781787139
"Total","Male","63",59451.0796387348
"Total","Male","64",57548.694825846
"Total","Male","65",55543.8225780396
"Total","Male","66",53390.1352358961
"Total","Male","67",51082.1613143294
"Total","Male","68",48774.7090093816
"Total","Male","69",46561.3459930998
"Total","Male","70",44358.5422149372
"Total","Male","71",42087.1096573318
"Total","Male","72",39757.0581175195
"Total","Male","73",37381.0430124281
"Total","Male","74",34987.6634503329
"Total","Male","75",32646.2175439939
"Total","Male","76",30395.6138365704
"Total","Male","77",28193.4890502323
"Total","Male","78",25984.0564683974
"Total","Male","79",23765.6141605435
"Total","Male","80",21631.5138397124
"Total","Male","81",19676.7415528025
"Total","Male","82",17851.7613248136
"Total","Male","83",16073.2356622244
"Total","Male","84",14341.3876242445
"Total","Male","85",12723.7790000498
"Total","Male","86",11239.7711929189
"Total","Male","87",9811.15032676299
"Total","Male","88",8435.43129037085
"Total","Male","89",7177.09672019084
"Total","Male","90",6014.16762494149
"Total","Male","91",4942.59681592577
"Total","Male","92",4028.68268769798
"Total","Male","93",3270.86685709366
"Total","Male","94",2616.50598972439
"Total","Male","95",2086.55668218675
"Total","Male","96",1647.99969620635
"Total","Male","97",1199.09671147284
"Total","Male","98",769.362629904539
"Total","Male","99",484.282345866263
"Total","Male","100+",331.181437855298
