"Race","Sex","Age","Population"
"Total","Male",0,52300
"Total","Male",1,52024
"Total","Male",2,52474
"Total","Male",3,53195
"Total","Male",4,54435
"Total","Male",5,56485
"Total","Male",6,57541
"Total","Male",7,58683
"Total","Male",8,60049
"Total","Male",9,61570
"Total","Male",10,63017
"Total","Male",11,64008
"Total","Male",12,64686
"Total","Male",13,65202
"Total","Male",14,65810
"Total","Male",15,66886
"Total","Male",16,68106
"Total","Male",17,69721
"Total","Male",18,71675
"Total","Male",19,73618
"Total","Male",20,75185
"Total","Male",21,76162
"Total","Male",22,77057
"Total","Male",23,78349
"Total","Male",24,79994
"Total","Male",25,81513
"Total","Male",26,82840
"Total","Male",27,83634
"Total","Male",28,83742
"Total","Male",29,83006
"Total","Male",30,81442
"Total","Male",31,79764
"Total","Male",32,77979
"Total","Male",33,75981
"Total","Male",34,73756
"Total","Male",35,71241
"Total","Male",36,68480
"Total","Male",37,65683
"Total","Male",38,63148
"Total","Male",39,61115
"Total","Male",40,59754
"Total","Male",41,58928
"Total","Male",42,58646
"Total","Male",43,58863
"Total","Male",44,59368
"Total","Male",45,59838
"Total","Male",46,59936
"Total","Male",47,59699
"Total","Male",48,59181
"Total","Male",49,58442
"Total","Male",50,57577
"Total","Male",51,56586
"Total","Male",52,55498
"Total","Male",53,54350
"Total","Male",54,53220
"Total","Male",55,52027
"Total","Male",56,50605
"Total","Male",57,48986
"Total","Male",58,47267
"Total","Male",59,45468
"Total","Male",60,43567
"Total","Male",61,41599
"Total","Male",62,39595
"Total","Male",63,37639
"Total","Male",64,35735
"Total","Male",65,33737
"Total","Male",66,31505
"Total","Male",67,29341
"Total","Male",68,27459
"Total","Male",69,25776
"Total","Male",70,24376
"Total","Male",71,23095
"Total","Male",72,21768
"Total","Male",73,20410
"Total","Male",74,19050
"Total","Male",75,17703
"Total","Male",76,16296
"Total","Male",77,14872
"Total","Male",78,13545
"Total","Male",79,12306
"Total","Male",80,11126
"Total","Male",81,9994
"Total","Male",82,8927
"Total","Male",83,7938
"Total","Male",84,7044
"Total","Male",85,6225
"Total","Male",86,5452
"Total","Male",87,4735
"Total","Male",88,4082
"Total","Male",89,3471
"Total","Male",90,2909
"Total","Male",91,2405
"Total","Male",92,1965
"Total","Male",93,1570
"Total","Male",94,1238
"Total","Male",95,958
"Total","Male",96,704
"Total","Male",97,497
"Total","Male",98,354
"Total","Male",99,253
"Total","Male",100,394
"Total","Female",0,50324
"Total","Female",1,50131
"Total","Female",2,50559
"Total","Female",3,51271
"Total","Female",4,52482
"Total","Female",5,54494
"Total","Female",6,55531
"Total","Female",7,56635
"Total","Female",8,57942
"Total","Female",9,59389
"Total","Female",10,60766
"Total","Female",11,61709
"Total","Female",12,62417
"Total","Female",13,63072
"Total","Female",14,63826
"Total","Female",15,64962
"Total","Female",16,66168
"Total","Female",17,67691
"Total","Female",18,69485
"Total","Female",19,71239
"Total","Female",20,72681
"Total","Female",21,73588
"Total","Female",22,74425
"Total","Female",23,75644
"Total","Female",24,77238
"Total","Female",25,78781
"Total","Female",26,80206
"Total","Female",27,81236
"Total","Female",28,81731
"Total","Female",29,81526
"Total","Female",30,80656
"Total","Female",31,79760
"Total","Female",32,78902
"Total","Female",33,78026
"Total","Female",34,77116
"Total","Female",35,76097
"Total","Female",36,74885
"Total","Female",37,73607
"Total","Female",38,72393
"Total","Female",39,71371
"Total","Female",40,70709
"Total","Female",41,70304
"Total","Female",42,70254
"Total","Female",43,70537
"Total","Female",44,70981
"Total","Female",45,71280
"Total","Female",46,71105
"Total","Female",47,70533
"Total","Female",48,69650
"Total","Female",49,68562
"Total","Female",50,67345
"Total","Female",51,66063
"Total","Female",52,64761
"Total","Female",53,63449
"Total","Female",54,62196
"Total","Female",55,60925
"Total","Female",56,59461
"Total","Female",57,57772
"Total","Female",58,56012
"Total","Female",59,54195
"Total","Female",60,52225
"Total","Female",61,50135
"Total","Female",62,48010
"Total","Female",63,45967
"Total","Female",64,43994
"Total","Female",65,41902
"Total","Female",66,39516
"Total","Female",67,37130
"Total","Female",68,35002
"Total","Female",69,33135
"Total","Female",70,31650
"Total","Female",71,30307
"Total","Female",72,28882
"Total","Female",73,27393
"Total","Female",74,25871
"Total","Female",75,24329
"Total","Female",76,22693
"Total","Female",77,21031
"Total","Female",78,19474
"Total","Female",79,17966
"Total","Female",80,16461
"Total","Female",81,15001
"Total","Female",82,13620
"Total","Female",83,12324
"Total","Female",84,11106
"Total","Female",85,9957
"Total","Female",86,8871
"Total","Female",87,7844
"Total","Female",88,6869
"Total","Female",89,5948
"Total","Female",90,5086
"Total","Female",91,4270
"Total","Female",92,3540
"Total","Female",93,2884
"Total","Female",94,2305
"Total","Female",95,1814
"Total","Female",96,1392
"Total","Female",97,1037
"Total","Female",98,749
"Total","Female",99,525
"Total","Female",100,912
