"year","f_A","m_M","m_F","sr_A","int_mig","iim_M","iim_F","iom_M","iom_F","idm_M","idm_F","odm_M","odm_F"
NA,"fertility","mortality","mortality","sex ratio at birth","internal migration change","net international in-migrants","net international in-migrants","net international out-migrants","net international out-migrants","domestic in-migration","domestic in-migration","domestic out-migration","domestic out-migration"
NA,"Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
NA,NA,"male","female",NA,"Total","male","female","male","female","male","female","male","female"
2020,"1.88245847","65.67416218","73.90752373","103.941947455054","1","10787.1805984477","7295.18452834526","6192.00556496106","8004.02869967341","1","1","1","1"
2021,"1.853555736","69.20678947","75.87090009","103.935699136907","1","10787.1805984477","7295.18452834526","6192.00556496106","8004.02869967341","1","1","1","1"
2022,"1.826369374","73.34337668","79.47786541","103.930372076855","1","10787.1805984477","7295.18452834526","6192.00556496106","8004.02869967341","1","1","1","1"
2023,"1.794956142","73.4889046","79.6401754","103.925947090573","1","10787.1805984477","7295.18452834526","6192.00556496106","8004.02869967341","1","1","1","1"
2024,"1.762580644","73.6664187","79.83757029","103.922392772969","1","10787.1805984477","7295.18452834526","6192.00556496106","8004.02869967341","1","1","1","1"
2025,"1.732333268","73.82629132","80.01477149","103.919671480837","1","10703.6689790453","6806.93385893141","6372.56194378194","8093.22618028995","1","1","1","1"
2026,"1.704624275","74.00177369","80.20863306","103.917740086722","1","10703.6689790453","6806.93385893141","6372.56194378194","8093.22618028995","1","1","1","1"
2027,"1.678230327","74.16630017","80.38977458","103.916550205309","1","10703.6689790453","6806.93385893141","6372.56194378194","8093.22618028995","1","1","1","1"
2028,"1.652825353","74.33840144","80.57859816","103.916049444768","1","10703.6689790453","6806.93385893141","6372.56194378194","8093.22618028995","1","1","1","1"
2029,"1.628692103","74.50375547","80.75937482","103.916183657408","1","10703.6689790453","6806.93385893141","6372.56194378194","8093.22618028995","1","1","1","1"
2030,"1.606266903","74.67262415","80.9433314","103.916900824009","1","10620.1573596428","6903.37107536174","6446.73887485241","8249.50306706122","1","1","1","1"
2031,"1.585527613","74.83724123","81.12199991","103.918157871963","1","10620.1573596428","6903.37107536174","6446.73887485241","8249.50306706122","1","1","1","1"
2032,"1.566099076","75.00326993","81.30153418","103.919930333146","1","10620.1573596428","6903.37107536174","6446.73887485241","8249.50306706122","1","1","1","1"
2033,"1.54777763","75.16648822","81.47736729","103.922227174129","1","10620.1573596428","6903.37107536174","6446.73887485241","8249.50306706122","1","1","1","1"
2034,"1.530357379","75.33002446","81.65287096","103.925114086033","1","10620.1573596428","6903.37107536174","6446.73887485241","8249.50306706122","1","1","1","1"
2035,"1.513862457","75.49157056","81.82557073","103.92875312095","1","10536.6457402404","7123.44364024912","6413.31667522336","8291.63618595408","1","1","1","1"
2036,"1.498309089","75.65285275","81.99732499","103.933472849607","1","10536.6457402404","7123.44364024912","6413.31667522336","8291.63618595408","1","1","1","1"
2037,"1.483717868","75.81261961","82.16679232","103.939864620042","1","10536.6457402404","7123.44364024912","6413.31667522336","8291.63618595408","1","1","1","1"
2038,"1.469960324","75.971818","82.3349961","103.948584320493","1","10536.6457402404","7123.44364024912","6413.31667522336","8291.63618595408","1","1","1","1"
2039,"1.456993479","76.12977062","82.50121057","103.955437561403","1","10536.6457402404","7123.44364024912","6413.31667522336","8291.63618595408","1","1","1","1"
2040,"1.444789028","76.28700075","82.66601255","103.962089333225","1","10453.1341208379","7018.76269672679","6339.27686827143","8255.07661463052","1","1","1","1"
2041,"1.433377793","76.44314647","82.82900831","103.968418336183","1","10453.1341208379","7018.76269672679","6339.27686827143","8255.07661463052","1","1","1","1"
2042,"1.422840322","76.59850069","82.99052175","103.974325753101","1","10453.1341208379","7018.76269672679","6339.27686827143","8255.07661463052","1","1","1","1"
2043,"1.413017643","76.75286731","83.15035206","103.979607877915","1","10453.1341208379","7018.76269672679","6339.27686827143","8255.07661463052","1","1","1","1"
2044,"1.4039902","76.90641536","83.30868051","103.984090916207","1","10453.1341208379","7018.76269672679","6339.27686827143","8255.07661463052","1","1","1","1"
2045,"1.395562217","77.05904556","83.46541329","103.9877170966","1","10369.6225014355","6997.38245688719","6205.73962799152","8174.97499789102","1","1","1","1"
2046,"1.38775107","77.21085757","83.62066153","103.990562563193","1","10369.6225014355","6997.38245688719","6205.73962799152","8174.97499789102","1","1","1","1"
2047,"1.380553526","77.36180769","83.77438247","103.992820058718","1","10369.6225014355","6997.38245688719","6205.73962799152","8174.97499789102","1","1","1","1"
2048,"1.373864237","77.51195924","83.9266565","103.994734052072","1","10369.6225014355","6997.38245688719","6205.73962799152","8174.97499789102","1","1","1","1"
2049,"1.367606186","77.66129755","84.07747515","103.996559810995","1","10369.6225014355","6997.38245688719","6205.73962799152","8174.97499789102","1","1","1","1"
2050,"1.361658823","77.80987549","84.22689369","103.99856583374","1","10286.110882033","6889.33001400554","6050.14705580352","8044.8046908124","1","1","1","1"
2051,"1.356099825","77.95769811","84.37492433","104.000975388602","1","10286.110882033","6889.33001400554","6050.14705580352","8044.8046908124","1","1","1","1"
2052,"1.350897797","78.10480108","84.52161952","104.003885789232","1","10286.110882033","6889.33001400554","6050.14705580352","8044.8046908124","1","1","1","1"
2053,"1.345999374","78.25120847","84.66700551","104.005937014595","1","10286.110882033","6889.33001400554","6050.14705580352","8044.8046908124","1","1","1","1"
2054,"1.34139949","78.3969541","84.81112594","104.008264767443","1","10286.110882033","6889.33001400554","6050.14705580352","8044.8046908124","1","1","1","1"
2055,"1.337088998","78.54207308","84.95401587","104.010934088977","1","10202.5992626306","6735.12503416246","5870.61549934224","7869.70413130243","1","1","1","1"
2056,"1.333200734","78.68659894","85.095725","104.013859259117","1","10202.5992626306","6735.12503416246","5870.61549934224","7869.70413130243","1","1","1","1"
2057,"1.329614435","78.8305642","85.23628294","104.01695254832","1","10202.5992626306","6735.12503416246","5870.61549934224","7869.70413130243","1","1","1","1"
2058,"1.326291983","78.97400725","85.37574365","104.020147224451","1","10202.5992626306","6735.12503416246","5870.61549934224","7869.70413130243","1","1","1","1"
2059,"1.323304222","79.11696838","85.51414137","104.023397691615","1","10202.5992626306","6735.12503416246","5870.61549934224","7869.70413130243","1","1","1","1"
2060,"1.320601159","79.2594813","85.65152486","104.026677084524","1","10119.0876432281","6549.40475847889","5676.46218160943","7664.36345031514","1","1","1","1"
2061,"1.31808233","79.40158417","85.78792782","104.029973614576","1","10119.0876432281","6549.40475847889","5676.46218160943","7664.36345031514","1","1","1","1"
2062,"1.315657341","79.54330811","85.92339473","104.033286754196","1","10119.0876432281","6549.40475847889","5676.46218160943","7664.36345031514","1","1","1","1"
2063,"1.313399562","79.68469286","86.05796168","104.03662387714","1","10119.0876432281","6549.40475847889","5676.46218160943","7664.36345031514","1","1","1","1"
2064,"1.311229353","79.82576475","86.19166134","104.039997778157","1","10119.0876432281","6549.40475847889","5676.46218160943","7664.36345031514","1","1","1","1"
2065,"1.309222028","79.96655733","86.32453077","104.043424965545","1","10035.5760238257","6536.74705844519","5692.27672588336","7715.84087881819","1","1","1","1"
2066,"1.307203516","80.10709679","86.45659383","104.046924278168","1","10035.5760238257","6536.74705844519","5692.27672588336","7715.84087881819","1","1","1","1"
2067,"1.305390618","80.24740962","86.58788376","104.050514923059","1","10035.5760238257","6536.74705844519","5692.27672588336","7715.84087881819","1","1","1","1"
2068,"1.303631811","80.38751381","86.71842219","104.054214972324","1","10035.5760238257","6536.74705844519","5692.27672588336","7715.84087881819","1","1","1","1"
2069,"1.301992878","80.52742702","86.84822581","104.058041158453","1","10035.5760238257","6536.74705844519","5692.27672588336","7715.84087881819","1","1","1","1"
2070,"1.300495711","80.6671628","86.97731716","104.062008943244","1","9952.06440442321","6463.78649161867","5600.16920887814","7650.65128012419","1","1","1","1"
2071,"1.298998544","80.7989738700342","87.0966829163736","104.066131620035","1","9952.06440442321","6463.78649161867","5600.16920887814","7650.65128012419","1","1","1","1"
2072,"1.297501377","80.9355386014451","87.2210958689233","104.070420075606","1","9952.06440442321","6463.78649161867","5600.16920887814","7650.65128012419","1","1","1","1"
2073,"1.29600421","81.071598022946","87.344418868601","104.074883778994","1","9952.06440442321","6463.78649161867","5600.16920887814","7650.65128012419","1","1","1","1"
2074,"1.294507043","81.2071540319752","87.4666541311111","104.079531164227","1","9952.06440442321","6463.78649161867","5600.16920887814","7650.65128012419","1","1","1","1"
2075,"1.293009876","81.3422083018062","87.5878036082819","104.084369753096","1","9868.55278502076","6390.82592479216","5508.06169187291","7585.46168143019","1","1","1","1"
