"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"AGS","CHIH","Total","f",0,0.000721755308911272
"AGS","CHIH","Total","f",1,0.000721755308911272
"AGS","CHIH","Total","f",2,0.000721755308911272
"AGS","CHIH","Total","f",3,0.000721755308911272
"AGS","CHIH","Total","f",4,0.000721755308911272
"AGS","CHIH","Total","f",5,0.000497371168686386
"AGS","CHIH","Total","f",6,0.000497371168686386
"AGS","CHIH","Total","f",7,0.000497371168686386
"AGS","CHIH","Total","f",8,0.000497371168686386
"AGS","CHIH","Total","f",9,0.000497371168686386
"AGS","CHIH","Total","f",10,0.000341998214708681
"AGS","CHIH","Total","f",11,0.000341998214708681
"AGS","CHIH","Total","f",12,0.000341998214708681
"AGS","CHIH","Total","f",13,0.000341998214708681
"AGS","CHIH","Total","f",14,0.000341998214708681
"AGS","CHIH","Total","f",15,0.000309947258715573
"AGS","CHIH","Total","f",16,0.000309947258715573
"AGS","CHIH","Total","f",17,0.000309947258715573
"AGS","CHIH","Total","f",18,0.000309947258715573
"AGS","CHIH","Total","f",19,0.000309947258715573
"AGS","CHIH","Total","f",20,0.000493416314292773
"AGS","CHIH","Total","f",21,0.000493416314292773
"AGS","CHIH","Total","f",22,0.000493416314292773
"AGS","CHIH","Total","f",23,0.000493416314292773
"AGS","CHIH","Total","f",24,0.000493416314292773
"AGS","CHIH","Total","f",25,0.000744053219714588
"AGS","CHIH","Total","f",26,0.000744053219714588
"AGS","CHIH","Total","f",27,0.000744053219714588
"AGS","CHIH","Total","f",28,0.000744053219714588
"AGS","CHIH","Total","f",29,0.000744053219714588
"AGS","CHIH","Total","f",30,0.000744752072812849
"AGS","CHIH","Total","f",31,0.000744752072812849
"AGS","CHIH","Total","f",32,0.000744752072812849
"AGS","CHIH","Total","f",33,0.000744752072812849
"AGS","CHIH","Total","f",34,0.000744752072812849
"AGS","CHIH","Total","f",35,0.000557790322706513
"AGS","CHIH","Total","f",36,0.000557790322706513
"AGS","CHIH","Total","f",37,0.000557790322706513
"AGS","CHIH","Total","f",38,0.000557790322706513
"AGS","CHIH","Total","f",39,0.000557790322706513
"AGS","CHIH","Total","f",40,0.000541292523058303
"AGS","CHIH","Total","f",41,0.000541292523058303
"AGS","CHIH","Total","f",42,0.000541292523058303
"AGS","CHIH","Total","f",43,0.000541292523058303
"AGS","CHIH","Total","f",44,0.000541292523058303
"AGS","CHIH","Total","f",45,0.00057200181564164
"AGS","CHIH","Total","f",46,0.00057200181564164
"AGS","CHIH","Total","f",47,0.00057200181564164
"AGS","CHIH","Total","f",48,0.00057200181564164
"AGS","CHIH","Total","f",49,0.00057200181564164
"AGS","CHIH","Total","f",50,0.000548061925115463
"AGS","CHIH","Total","f",51,0.000548061925115463
"AGS","CHIH","Total","f",52,0.000548061925115463
"AGS","CHIH","Total","f",53,0.000548061925115463
"AGS","CHIH","Total","f",54,0.000548061925115463
"AGS","CHIH","Total","f",55,0.00030970816892032
"AGS","CHIH","Total","f",56,0.00030970816892032
"AGS","CHIH","Total","f",57,0.00030970816892032
"AGS","CHIH","Total","f",58,0.00030970816892032
"AGS","CHIH","Total","f",59,0.00030970816892032
"AGS","CHIH","Total","f",60,0.000250578495028873
"AGS","CHIH","Total","f",61,0.000250578495028873
"AGS","CHIH","Total","f",62,0.000250578495028873
"AGS","CHIH","Total","f",63,0.000250578495028873
"AGS","CHIH","Total","f",64,0.000250578495028873
"AGS","CHIH","Total","f",65,0.000696431451871633
"AGS","CHIH","Total","f",66,0.000696431451871633
"AGS","CHIH","Total","f",67,0.000696431451871633
"AGS","CHIH","Total","f",68,0.000696431451871633
"AGS","CHIH","Total","f",69,0.000696431451871633
"AGS","CHIH","Total","f",70,0.000820641853491072
"AGS","CHIH","Total","f",71,0.000820641853491072
"AGS","CHIH","Total","f",72,0.000820641853491072
"AGS","CHIH","Total","f",73,0.000820641853491072
"AGS","CHIH","Total","f",74,0.000820641853491072
"AGS","CHIH","Total","f",75,0.00080108887475068
