"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"CHIH","AGS","Total","f",0,0.000403743541777493
"CHIH","AGS","Total","f",1,0.000403743541777493
"CHIH","AGS","Total","f",2,0.000403743541777493
"CHIH","AGS","Total","f",3,0.000403743541777493
"CHIH","AGS","Total","f",4,0.000403743541777493
"CHIH","AGS","Total","f",5,0.00034539188288859
"CHIH","AGS","Total","f",6,0.00034539188288859
"CHIH","AGS","Total","f",7,0.00034539188288859
"CHIH","AGS","Total","f",8,0.00034539188288859
"CHIH","AGS","Total","f",9,0.00034539188288859
"CHIH","AGS","Total","f",10,0.000256930176756021
"CHIH","AGS","Total","f",11,0.000256930176756021
"CHIH","AGS","Total","f",12,0.000256930176756021
"CHIH","AGS","Total","f",13,0.000256930176756021
"CHIH","AGS","Total","f",14,0.000256930176756021
"CHIH","AGS","Total","f",15,0.000236374778215796
"CHIH","AGS","Total","f",16,0.000236374778215796
"CHIH","AGS","Total","f",17,0.000236374778215796
"CHIH","AGS","Total","f",18,0.000236374778215796
"CHIH","AGS","Total","f",19,0.000236374778215796
"CHIH","AGS","Total","f",20,0.000383183354715119
"CHIH","AGS","Total","f",21,0.000383183354715119
"CHIH","AGS","Total","f",22,0.000383183354715119
"CHIH","AGS","Total","f",23,0.000383183354715119
"CHIH","AGS","Total","f",24,0.000383183354715119
"CHIH","AGS","Total","f",25,0.000403743541777493
"CHIH","AGS","Total","f",26,0.000403743541777493
"CHIH","AGS","Total","f",27,0.000403743541777493
"CHIH","AGS","Total","f",28,0.000403743541777493
"CHIH","AGS","Total","f",29,0.000403743541777493
"CHIH","AGS","Total","f",30,0.000402580332973979
"CHIH","AGS","Total","f",31,0.000402580332973979
"CHIH","AGS","Total","f",32,0.000402580332973979
"CHIH","AGS","Total","f",33,0.000402580332973979
"CHIH","AGS","Total","f",34,0.000402580332973979
"CHIH","AGS","Total","f",35,0.000216422721902148
"CHIH","AGS","Total","f",36,0.000216422721902148
"CHIH","AGS","Total","f",37,0.000216422721902148
"CHIH","AGS","Total","f",38,0.000216422721902148
"CHIH","AGS","Total","f",39,0.000216422721902148
"CHIH","AGS","Total","f",40,0.000217614675529783
"CHIH","AGS","Total","f",41,0.000217614675529783
"CHIH","AGS","Total","f",42,0.000217614675529783
"CHIH","AGS","Total","f",43,0.000217614675529783
"CHIH","AGS","Total","f",44,0.000217614675529783
"CHIH","AGS","Total","f",45,0.000221959060162008
"CHIH","AGS","Total","f",46,0.000221959060162008
"CHIH","AGS","Total","f",47,0.000221959060162008
"CHIH","AGS","Total","f",48,0.000221959060162008
"CHIH","AGS","Total","f",49,0.000221959060162008
"CHIH","AGS","Total","f",50,0.000380581527254455
"CHIH","AGS","Total","f",51,0.000380581527254455
"CHIH","AGS","Total","f",52,0.000380581527254455
"CHIH","AGS","Total","f",53,0.000380581527254455
"CHIH","AGS","Total","f",54,0.000380581527254455
"CHIH","AGS","Total","f",55,0.000369768804270254
"CHIH","AGS","Total","f",56,0.000369768804270254
"CHIH","AGS","Total","f",57,0.000369768804270254
"CHIH","AGS","Total","f",58,0.000369768804270254
"CHIH","AGS","Total","f",59,0.000369768804270254
"CHIH","AGS","Total","f",60,0.000373091579724029
"CHIH","AGS","Total","f",61,0.000373091579724029
"CHIH","AGS","Total","f",62,0.000373091579724029
"CHIH","AGS","Total","f",63,0.000373091579724029
"CHIH","AGS","Total","f",64,0.000373091579724029
"CHIH","AGS","Total","f",65,0.000242276755630235
"CHIH","AGS","Total","f",66,0.000242276755630235
"CHIH","AGS","Total","f",67,0.000242276755630235
"CHIH","AGS","Total","f",68,0.000242276755630235
"CHIH","AGS","Total","f",69,0.000242276755630235
"CHIH","AGS","Total","f",70,0.0003189013063831
"CHIH","AGS","Total","f",71,0.0003189013063831
"CHIH","AGS","Total","f",72,0.0003189013063831
"CHIH","AGS","Total","f",73,0.0003189013063831
"CHIH","AGS","Total","f",74,0.0003189013063831
"CHIH","AGS","Total","f",75,0.000389529543898438
"CHIH","AGS","Total","f",76,0.000389529543898438
"CHIH","AGS","Total","f",77,0.000389529543898438
"CHIH","AGS","Total","f",78,0.000389529543898438
"CHIH","AGS","Total","f",79,0.000389529543898438
"CHIH","AGS","Total","f",80,0.000310284746814647
"CHIH","AGS","Total","f",81,0.000310284746814647
"CHIH","AGS","Total","f",82,0.000310284746814647
"CHIH","AGS","Total","f",83,0.000310284746814647
"CHIH","AGS","Total","f",84,0.000310284746814647
"CHIH","AGS","Total","f",85,0.000158140270419862
"CHIH","AGS","Total","f",86,0.000158140270419862
"CHIH","AGS","Total","f",87,0.000158140270419862
"CHIH","AGS","Total","f",88,0.000158140270419862
"CHIH","AGS","Total","f",89,0.000158140270419862
"CHIH","AGS","Total","f",90,0
"CHIH","AGS","Total","f",91,0
"CHIH","AGS","Total","f",92,0
"CHIH","AGS","Total","f",93,0
"CHIH","AGS","Total","f",94,0
"CHIH","AGS","Total","f",95,0
"CHIH","AGS","Total","f",96,0
"CHIH","AGS","Total","f",97,0
"CHIH","AGS","Total","f",98,0
"CHIH","AGS","Total","f",99,0
"CHIH","AGS","Total","f",100,0
"CHIH","AGS","Total","m",0,0.000296957137080469
"CHIH","AGS","Total","m",1,0.000296957137080469
"CHIH","AGS","Total","m",2,0.000296957137080469
"CHIH","AGS","Total","m",3,0.000296957137080469
"CHIH","AGS","Total","m",4,0.000296957137080469
"CHIH","AGS","Total","m",5,0.000219370239369138
"CHIH","AGS","Total","m",6,0.000219370239369138
"CHIH","AGS","Total","m",7,0.000219370239369138
"CHIH","AGS","Total","m",8,0.000219370239369138
"CHIH","AGS","Total","m",9,0.000219370239369138
"CHIH","AGS","Total","m",10,0.000224732913573895
"CHIH","AGS","Total","m",11,0.000224732913573895
"CHIH","AGS","Total","m",12,0.000224732913573895
"CHIH","AGS","Total","m",13,0.000224732913573895
"CHIH","AGS","Total","m",14,0.000224732913573895
"CHIH","AGS","Total","m",15,0.000277251497038552
"CHIH","AGS","Total","m",16,0.000277251497038552
"CHIH","AGS","Total","m",17,0.000277251497038552
"CHIH","AGS","Total","m",18,0.000277251497038552
"CHIH","AGS","Total","m",19,0.000277251497038552
"CHIH","AGS","Total","m",20,0.000408242462631559
"CHIH","AGS","Total","m",21,0.000408242462631559
"CHIH","AGS","Total","m",22,0.000408242462631559
"CHIH","AGS","Total","m",23,0.000408242462631559
"CHIH","AGS","Total","m",24,0.000408242462631559
"CHIH","AGS","Total","m",25,0.000581081728715189
"CHIH","AGS","Total","m",26,0.000581081728715189
"CHIH","AGS","Total","m",27,0.000581081728715189
"CHIH","AGS","Total","m",28,0.000581081728715189
"CHIH","AGS","Total","m",29,0.000581081728715189
"CHIH","AGS","Total","m",30,0.000578224438783445
"CHIH","AGS","Total","m",31,0.000578224438783445
"CHIH","AGS","Total","m",32,0.000578224438783445
"CHIH","AGS","Total","m",33,0.000578224438783445
"CHIH","AGS","Total","m",34,0.000578224438783445
"CHIH","AGS","Total","m",35,0.000483188445569533
"CHIH","AGS","Total","m",36,0.000483188445569533
"CHIH","AGS","Total","m",37,0.000483188445569533
"CHIH","AGS","Total","m",38,0.000483188445569533
"CHIH","AGS","Total","m",39,0.000483188445569533
"CHIH","AGS","Total","m",40,0.000315127984317326
"CHIH","AGS","Total","m",41,0.000315127984317326
"CHIH","AGS","Total","m",42,0.000315127984317326
"CHIH","AGS","Total","m",43,0.000315127984317326
"CHIH","AGS","Total","m",44,0.000315127984317326
"CHIH","AGS","Total","m",45,0.000283166772066441
"CHIH","AGS","Total","m",46,0.000283166772066441
"CHIH","AGS","Total","m",47,0.000283166772066441
"CHIH","AGS","Total","m",48,0.000283166772066441
"CHIH","AGS","Total","m",49,0.000283166772066441
"CHIH","AGS","Total","m",50,0.000270818633291649
"CHIH","AGS","Total","m",51,0.000270818633291649
"CHIH","AGS","Total","m",52,0.000270818633291649
"CHIH","AGS","Total","m",53,0.000270818633291649
"CHIH","AGS","Total","m",54,0.000270818633291649
"CHIH","AGS","Total","m",55,0.000312724907596882
"CHIH","AGS","Total","m",56,0.000312724907596882
"CHIH","AGS","Total","m",57,0.000312724907596882
"CHIH","AGS","Total","m",58,0.000312724907596882
"CHIH","AGS","Total","m",59,0.000312724907596882
"CHIH","AGS","Total","m",60,0.000327523185555116
"CHIH","AGS","Total","m",61,0.000327523185555116
"CHIH","AGS","Total","m",62,0.000327523185555116
"CHIH","AGS","Total","m",63,0.000327523185555116
"CHIH","AGS","Total","m",64,0.000327523185555116
"CHIH","AGS","Total","m",65,0.000323265766393449
"CHIH","AGS","Total","m",66,0.000323265766393449
"CHIH","AGS","Total","m",67,0.000323265766393449
"CHIH","AGS","Total","m",68,0.000323265766393449
"CHIH","AGS","Total","m",69,0.000323265766393449
"CHIH","AGS","Total","m",70,0.000260556746945249
"CHIH","AGS","Total","m",71,0.000260556746945249
"CHIH","AGS","Total","m",72,0.000260556746945249
"CHIH","AGS","Total","m",73,0.000260556746945249
"CHIH","AGS","Total","m",74,0.000260556746945249
"CHIH","AGS","Total","m",75,0.00022192906287559
"CHIH","AGS","Total","m",76,0.00022192906287559
"CHIH","AGS","Total","m",77,0.00022192906287559
"CHIH","AGS","Total","m",78,0.00022192906287559
"CHIH","AGS","Total","m",79,0.00022192906287559
"CHIH","AGS","Total","m",80,0.000143710654731937
"CHIH","AGS","Total","m",81,0.000143710654731937
"CHIH","AGS","Total","m",82,0.000143710654731937
"CHIH","AGS","Total","m",83,0.000143710654731937
"CHIH","AGS","Total","m",84,0.000143710654731937
"CHIH","AGS","Total","m",85,6.11901483861098e-05
"CHIH","AGS","Total","m",86,6.11901483861098e-05
"CHIH","AGS","Total","m",87,6.11901483861098e-05
"CHIH","AGS","Total","m",88,6.11901483861098e-05
"CHIH","AGS","Total","m",89,6.11901483861098e-05
"CHIH","AGS","Total","m",90,0
"CHIH","AGS","Total","m",91,0
"CHIH","AGS","Total","m",92,0
"CHIH","AGS","Total","m",93,0
"CHIH","AGS","Total","m",94,0
"CHIH","AGS","Total","m",95,0
"CHIH","AGS","Total","m",96,0
"CHIH","AGS","Total","m",97,0
"CHIH","AGS","Total","m",98,0
"CHIH","AGS","Total","m",99,0
"CHIH","AGS","Total","m",100,0
"CHIH","BC","Total","f",0,0.000741783080978517
"CHIH","BC","Total","f",1,0.000741783080978517
"CHIH","BC","Total","f",2,0.000741783080978517
"CHIH","BC","Total","f",3,0.000741783080978517
"CHIH","BC","Total","f",4,0.000741783080978517
"CHIH","BC","Total","f",5,0.00075264140725242
"CHIH","BC","Total","f",6,0.00075264140725242
"CHIH","BC","Total","f",7,0.00075264140725242
"CHIH","BC","Total","f",8,0.00075264140725242
"CHIH","BC","Total","f",9,0.00075264140725242
"CHIH","BC","Total","f",10,0.000762160713748047
"CHIH","BC","Total","f",11,0.000762160713748047
"CHIH","BC","Total","f",12,0.000762160713748047
"CHIH","BC","Total","f",13,0.000762160713748047
"CHIH","BC","Total","f",14,0.000762160713748047
"CHIH","BC","Total","f",15,0.000769550102381305
"CHIH","BC","Total","f",16,0.000769550102381305
"CHIH","BC","Total","f",17,0.000769550102381305
"CHIH","BC","Total","f",18,0.000769550102381305
"CHIH","BC","Total","f",19,0.000769550102381305
"CHIH","BC","Total","f",20,0.000789786943678518
"CHIH","BC","Total","f",21,0.000789786943678518
"CHIH","BC","Total","f",22,0.000789786943678518
"CHIH","BC","Total","f",23,0.000789786943678518
"CHIH","BC","Total","f",24,0.000789786943678518
"CHIH","BC","Total","f",25,0.000969878288023774
"CHIH","BC","Total","f",26,0.000969878288023774
"CHIH","BC","Total","f",27,0.000969878288023774
"CHIH","BC","Total","f",28,0.000969878288023774
"CHIH","BC","Total","f",29,0.000969878288023774
"CHIH","BC","Total","f",30,0.000958524424691897
"CHIH","BC","Total","f",31,0.000958524424691897
"CHIH","BC","Total","f",32,0.000958524424691897
"CHIH","BC","Total","f",33,0.000958524424691897
"CHIH","BC","Total","f",34,0.000958524424691897
"CHIH","BC","Total","f",35,0.00090571002882499
"CHIH","BC","Total","f",36,0.00090571002882499
"CHIH","BC","Total","f",37,0.00090571002882499
"CHIH","BC","Total","f",38,0.00090571002882499
"CHIH","BC","Total","f",39,0.00090571002882499
"CHIH","BC","Total","f",40,0.00064844279415705
"CHIH","BC","Total","f",41,0.00064844279415705
"CHIH","BC","Total","f",42,0.00064844279415705
"CHIH","BC","Total","f",43,0.00064844279415705
"CHIH","BC","Total","f",44,0.00064844279415705
"CHIH","BC","Total","f",45,0.000513171619655055
"CHIH","BC","Total","f",46,0.000513171619655055
"CHIH","BC","Total","f",47,0.000513171619655055
"CHIH","BC","Total","f",48,0.000513171619655055
"CHIH","BC","Total","f",49,0.000513171619655055
"CHIH","BC","Total","f",50,0.000363038745117467
"CHIH","BC","Total","f",51,0.000363038745117467
"CHIH","BC","Total","f",52,0.000363038745117467
"CHIH","BC","Total","f",53,0.000363038745117467
"CHIH","BC","Total","f",54,0.000363038745117467
"CHIH","BC","Total","f",55,0.000332771836933968
"CHIH","BC","Total","f",56,0.000332771836933968
"CHIH","BC","Total","f",57,0.000332771836933968
"CHIH","BC","Total","f",58,0.000332771836933968
"CHIH","BC","Total","f",59,0.000332771836933968
"CHIH","BC","Total","f",60,0.000457115902517667
"CHIH","BC","Total","f",61,0.000457115902517667
"CHIH","BC","Total","f",62,0.000457115902517667
"CHIH","BC","Total","f",63,0.000457115902517667
"CHIH","BC","Total","f",64,0.000457115902517667
"CHIH","BC","Total","f",65,0.000494266948116264
"CHIH","BC","Total","f",66,0.000494266948116264
"CHIH","BC","Total","f",67,0.000494266948116264
"CHIH","BC","Total","f",68,0.000494266948116264
"CHIH","BC","Total","f",69,0.000494266948116264
"CHIH","BC","Total","f",70,0.000446132232768053
"CHIH","BC","Total","f",71,0.000446132232768053
"CHIH","BC","Total","f",72,0.000446132232768053
"CHIH","BC","Total","f",73,0.000446132232768053
"CHIH","BC","Total","f",74,0.000446132232768053
"CHIH","BC","Total","f",75,0.000299129616307963
"CHIH","BC","Total","f",76,0.000299129616307963
"CHIH","BC","Total","f",77,0.000299129616307963
"CHIH","BC","Total","f",78,0.000299129616307963
"CHIH","BC","Total","f",79,0.000299129616307963
"CHIH","BC","Total","f",80,0.000170356821046802
"CHIH","BC","Total","f",81,0.000170356821046802
"CHIH","BC","Total","f",82,0.000170356821046802
"CHIH","BC","Total","f",83,0.000170356821046802
"CHIH","BC","Total","f",84,0.000170356821046802
"CHIH","BC","Total","f",85,7.90701352099312e-05
"CHIH","BC","Total","f",86,7.90701352099312e-05
"CHIH","BC","Total","f",87,7.90701352099312e-05
"CHIH","BC","Total","f",88,7.90701352099312e-05
"CHIH","BC","Total","f",89,7.90701352099312e-05
"CHIH","BC","Total","f",90,0
"CHIH","BC","Total","f",91,0
"CHIH","BC","Total","f",92,0
"CHIH","BC","Total","f",93,0
"CHIH","BC","Total","f",94,0
"CHIH","BC","Total","f",95,0
"CHIH","BC","Total","f",96,0
"CHIH","BC","Total","f",97,0
"CHIH","BC","Total","f",98,0
"CHIH","BC","Total","f",99,0
"CHIH","BC","Total","f",100,0
"CHIH","BC","Total","m",0,0.000423321876263647
"CHIH","BC","Total","m",1,0.000423321876263647
"CHIH","BC","Total","m",2,0.000423321876263647
"CHIH","BC","Total","m",3,0.000423321876263647
"CHIH","BC","Total","m",4,0.000423321876263647
"CHIH","BC","Total","m",5,0.000856226513966838
"CHIH","BC","Total","m",6,0.000856226513966838
"CHIH","BC","Total","m",7,0.000856226513966838
"CHIH","BC","Total","m",8,0.000856226513966838
"CHIH","BC","Total","m",9,0.000856226513966838
"CHIH","BC","Total","m",10,0.000905905193511027
"CHIH","BC","Total","m",11,0.000905905193511027
"CHIH","BC","Total","m",12,0.000905905193511027
"CHIH","BC","Total","m",13,0.000905905193511027
"CHIH","BC","Total","m",14,0.000905905193511027
"CHIH","BC","Total","m",15,0.000840193451041115
"CHIH","BC","Total","m",16,0.000840193451041115
"CHIH","BC","Total","m",17,0.000840193451041115
"CHIH","BC","Total","m",18,0.000840193451041115
"CHIH","BC","Total","m",19,0.000840193451041115
"CHIH","BC","Total","m",20,0.000908786432446768
"CHIH","BC","Total","m",21,0.000908786432446768
"CHIH","BC","Total","m",22,0.000908786432446768
