"Race","Sex","Age","lx"
"Total","Female","0",1e+05
"Total","Female","1",99523.0490388299
"Total","Female","2",99026.572266235
"Total","Female","3",98979.5957139265
"Total","Female","4",98950.0735557656
"Total","Female","5",98927.8329432818
"Total","Female","6",98909.3423355855
"Total","Female","7",98891.1191563798
"Total","Female","8",98872.9778803551
"Total","Female","9",98854.9949809862
"Total","Female","10",98837.1854094666
"Total","Female","11",98816.5627199912
"Total","Female","12",98793.0936396635
"Total","Female","13",98766.6983704005
"Total","Female","14",98734.3875945652
"Total","Female","15",98699.1043113271
"Total","Female","16",98655.0677681105
"Total","Female","17",98605.3018550808
"Total","Female","18",98547.0537516723
"Total","Female","19",98483.3928642359
"Total","Female","20",98411.2977317603
"Total","Female","21",98333.1556276017
"Total","Female","22",98245.3346437421
"Total","Female","23",98153.3987785559
"Total","Female","24",98054.7476399416
"Total","Female","25",97949.8265568496
"Total","Female","26",97835.7149188227
"Total","Female","27",97712.1982890042
"Total","Female","28",97581.8163080752
"Total","Female","29",97443.8654815712
"Total","Female","30",97297.2653414443
"Total","Female","31",97144.1869469905
"Total","Female","32",96984.5416110053
"Total","Female","33",96818.5290440574
"Total","Female","34",96646.2570865782
"Total","Female","35",96471.1888342059
"Total","Female","36",96289.760196977
"Total","Female","37",96098.0398676884
"Total","Female","38",95895.7282048091
"Total","Female","39",95682.8631033555
"Total","Female","40",95459.8261264246
"Total","Female","41",95223.5997562157
"Total","Female","42",94971.3119106073
"Total","Female","43",94700.2986944224
"Total","Female","44",94408.0600768339
"Total","Female","45",94091.5855986318
"Total","Female","46",93746.1999752704
"Total","Female","47",93369.6268570688
"Total","Female","48",92962.7711096182
"Total","Female","49",92518.9982104941
"Total","Female","50",92039.3321783379
"Total","Female","51",91524.8897575313
"Total","Female","52",90973.5226981473
"Total","Female","53",90378.8423950981
"Total","Female","54",89734.1388398734
"Total","Female","55",89037.4657556662
"Total","Female","56",88281.6260412834
"Total","Female","57",87456.4551908461
"Total","Female","58",86559.4659068374
