"Race","Sex","Age","Population"
"Total","Male",0,29933
"Total","Male",1,30089
"Total","Male",2,30652
"Total","Male",3,31358
"Total","Male",4,32385
"Total","Male",5,33397
"Total","Male",6,33893
"Total","Male",7,34051
"Total","Male",8,34361
"Total","Male",9,34718
"Total","Male",10,34989
"Total","Male",11,35115
"Total","Male",12,35061
"Total","Male",13,34893
"Total","Male",14,34733
"Total","Male",15,34701
"Total","Male",16,34747
"Total","Male",17,34909
"Total","Male",18,35143
"Total","Male",19,35285
"Total","Male",20,35181
"Total","Male",21,34773
"Total","Male",22,34309
"Total","Male",23,34022
"Total","Male",24,33904
"Total","Male",25,33799
"Total","Male",26,33629
"Total","Male",27,33318
"Total","Male",28,32826
"Total","Male",29,32097
"Total","Male",30,31182
"Total","Male",31,30296
"Total","Male",32,29471
"Total","Male",33,28652
"Total","Male",34,27809
"Total","Male",35,26901
"Total","Male",36,25934
"Total","Male",37,24989
"Total","Male",38,24160
"Total","Male",39,23520
"Total","Male",40,23102
"Total","Male",41,22898
"Total","Male",42,22892
"Total","Male",43,23055
"Total","Male",44,23301
"Total","Male",45,23479
"Total","Male",46,23505
"Total","Male",47,23366
"Total","Male",48,23079
"Total","Male",49,22670
"Total","Male",50,22165
"Total","Male",51,21607
"Total","Male",52,20994
"Total","Male",53,20332
"Total","Male",54,19653
"Total","Male",55,18941
"Total","Male",56,18155
"Total","Male",57,17294
"Total","Male",58,16407
"Total","Male",59,15516
"Total","Male",60,14605
"Total","Male",61,13692
"Total","Male",62,12803
"Total","Male",63,11974
"Total","Male",64,11201
"Total","Male",65,10438
"Total","Male",66,9645
"Total","Male",67,8896
"Total","Male",68,8256
"Total","Male",69,7710
"Total","Male",70,7277
"Total","Male",71,6899
"Total","Male",72,6520
"Total","Male",73,6142
"Total","Male",74,5763
"Total","Male",75,5383
"Total","Male",76,4984
"Total","Male",77,4581
"Total","Male",78,4199
"Total","Male",79,3826
"Total","Male",80,3453
"Total","Male",81,3091
"Total","Male",82,2747
"Total","Male",83,2421
"Total","Male",84,2118
"Total","Male",85,1837
"Total","Male",86,1577
"Total","Male",87,1336
"Total","Male",88,1118
"Total","Male",89,922
"Total","Male",90,745
"Total","Male",91,589
"Total","Male",92,457
"Total","Male",93,347
"Total","Male",94,256
"Total","Male",95,185
"Total","Male",96,129
"Total","Male",97,87
"Total","Male",98,54
"Total","Male",99,31
"Total","Male",100,54
"Total","Female",0,28815
"Total","Female",1,28994
"Total","Female",2,29505
"Total","Female",3,30170
"Total","Female",4,31140
"Total","Female",5,32098
"Total","Female",6,32563
"Total","Female",7,32704
"Total","Female",8,32986
"Total","Female",9,33301
"Total","Female",10,33545
"Total","Female",11,33680
"Total","Female",12,33681
"Total","Female",13,33619
"Total","Female",14,33574
"Total","Female",15,33612
"Total","Female",16,33692
"Total","Female",17,33847
"Total","Female",18,34045
"Total","Female",19,34138
"Total","Female",20,33990
"Total","Female",21,33576
"Total","Female",22,33112
"Total","Female",23,32817
"Total","Female",24,32692
"Total","Female",25,32599
"Total","Female",26,32455
"Total","Female",27,32204
"Total","Female",28,31809
"Total","Female",29,31217
"Total","Female",30,30485
"Total","Female",31,29792
"Total","Female",32,29185
"Total","Female",33,28637
"Total","Female",34,28129
"Total","Female",35,27624
"Total","Female",36,27094
"Total","Female",37,26572
"Total","Female",38,26100
"Total","Female",39,25710
"Total","Female",40,25427
"Total","Female",41,25255
"Total","Female",42,25195
"Total","Female",43,25237
"Total","Female",44,25314
"Total","Female",45,25289
"Total","Female",46,25093
"Total","Female",47,24731
"Total","Female",48,24242
"Total","Female",49,23663
"Total","Female",50,23015
"Total","Female",51,22342
"Total","Female",52,21652
"Total","Female",53,20953
"Total","Female",54,20272
"Total","Female",55,19589
"Total","Female",56,18848
"Total","Female",57,18042
"Total","Female",58,17220
"Total","Female",59,16392
"Total","Female",60,15536
"Total","Female",61,14672
"Total","Female",62,13829
"Total","Female",63,13042
"Total","Female",64,12306
"Total","Female",65,11564
"Total","Female",66,10774
"Total","Female",67,10014
"Total","Female",68,9353
"Total","Female",69,8786
"Total","Female",70,8339
"Total","Female",71,7949
"Total","Female",72,7549
"Total","Female",73,7140
"Total","Female",74,6725
"Total","Female",75,6302
"Total","Female",76,5857
"Total","Female",77,5401
"Total","Female",78,4968
"Total","Female",79,4543
"Total","Female",80,4112
"Total","Female",81,3690
"Total","Female",82,3287
"Total","Female",83,2907
"Total","Female",84,2551
"Total","Female",85,2221
"Total","Female",86,1914
"Total","Female",87,1632
"Total","Female",88,1376
"Total","Female",89,1145
"Total","Female",90,937
"Total","Female",91,752
"Total","Female",92,594
"Total","Female",93,461
"Total","Female",94,351
"Total","Female",95,262
"Total","Female",96,191
"Total","Female",97,134
"Total","Female",98,91
"Total","Female",99,59
"Total","Female",100,88
