"year","f_A","m_M","m_F","sr_A","int_mig","iim_M","iim_F","iom_M","iom_F","idm_M","idm_F","odm_M","odm_F"
NA,"fertility","mortality","mortality","sex ratio at birth","internal migration change","net international in-migrants","net international in-migrants","net international out-migrants","net international out-migrants","domestic in-migration","domestic in-migration","domestic out-migration","domestic out-migration"
NA,"Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
NA,NA,"male","female",NA,"Total","male","female","male","female","male","female","male","female"
2020,"2.966988127","63.79602756","72.58645509","103.714031545181","1","4466.25378686507","2720.95114947423","3843.23369580898","2142.59246078394","1","1","1","1"
2021,"2.9151534258","63.75223205","71.91222814","103.710143907581","0.99696334","4466.25378686507","2720.95114947423","3843.23369580898","2142.59246078394","0.99696334","0.99696334","0.99696334","0.99696334"
2022,"2.85230778994","69.25353343","75.77553095","103.707146140496","0.99696334","4466.25378686507","2720.95114947423","3843.23369580898","2142.59246078394","0.99696334","0.99696334","0.99696334","0.99696334"
2023,"2.78018934066","69.33127217","75.87724952","103.70499547912","0.99696334","4466.25378686507","2720.95114947423","3843.23369580898","2142.59246078394","0.99696334","0.99696334","0.99696334","0.99696334"
2024,"2.70582216864","69.44796273","76.02256688","103.70364604914","0.99696334","4466.25378686507","2720.95114947423","3843.23369580898","2142.59246078394","0.99696334","0.99696334","0.99696334","0.99696334"
2025,"2.6345230824","69.54301156","76.14278437","103.703057672906","0.99696334","4583.24529834508","2743.34711191537","3805.08399551821","1994.79171668415","0.99696334","0.99696334","0.99696334","0.99696334"
2026,"2.56699943898","69.65700192","76.28369753","103.70319627815","0.99279534","4583.24529834508","2743.34711191537","3805.08399551821","1994.79171668415","0.99279534","0.99279534","0.99279534","0.99279534"
2027,"2.50156250136","69.75755002","76.40879458","103.704033617344","0.99279534","4583.24529834508","2743.34711191537","3805.08399551821","1994.79171668415","0.99279534","0.99279534","0.99279534","0.99279534"
2028,"2.43761113256","69.86725735","76.54343367","103.705547942701","0.99279534","4583.24529834508","2743.34711191537","3805.08399551821","1994.79171668415","0.99279534","0.99279534","0.99279534","0.99279534"
2029,"2.37602262534","69.96867971","76.66806674","103.707725132289","0.99279534","4583.24529834508","2743.34711191537","3805.08399551821","1994.79171668415","0.99279534","0.99279534","0.99279534","0.99279534"
2030,"2.3174425368","70.07433969","76.79663981","103.710560779578","0.99279534","4607.95211814913","2779.04586645913","3752.79570503938","2010.94242584492","0.99279534","0.99279534","0.99279534","0.99279534"
2031,"2.2618798111","70.17478498","76.91863601","103.714063043154","0.986265945","4607.95211814913","2779.04586645913","3752.79570503938","2010.94242584492","0.986265945","0.986265945","0.986265945","0.986265945"
2032,"2.20894183488","70.27692858","77.04170167","103.71825647022","0.986265945","4607.95211814913","2779.04586645913","3752.79570503938","2010.94242584492","0.986265945","0.986265945","0.986265945","0.986265945"
2033,"2.15850048306","70.37563609","77.1601589","103.72318691377","0.986265945","4607.95211814913","2779.04586645913","3752.79570503938","2010.94242584492","0.986265945","0.986265945","0.986265945","0.986265945"
2034,"2.11019632158","70.47473091","77.2781998","103.72892863947","0.986265945","4607.95211814913","2779.04586645913","3752.79570503938","2010.94242584492","0.986265945","0.986265945","0.986265945","0.986265945"
2035,"2.0639988371","70.57141805","77.39275531","103.735593881301","0.986265945","4546.91408656748","2770.60331623298","3693.04253250201","2058.19429681497","0.986265945","0.986265945","0.986265945","0.986265945"
2036,"2.01980400384","70.66780702","77.50612044","103.743335873283","0.97817625","4546.91408656748","2770.60331623298","3693.04253250201","2058.19429681497","0.97817625","0.97817625","0.97817625","0.97817625"
2037,"1.97753982383","70.76237997","77.61664062","103.752278598439","0.97817625","4546.91408656748","2770.60331623298","3693.04253250201","2058.19429681497","0.97817625","0.97817625","0.97817625","0.97817625"
2038,"1.93693432542","70.85630599","77.72557631","103.762010017253","0.97817625","4546.91408656748","2770.60331623298","3693.04253250201","2058.19429681497","0.97817625","0.97817625","0.97817625","0.97817625"
2039,"1.89765856998","70.94876515","77.83204244","103.769912943721","0.97817625","4546.91408656748","2770.60331623298","3693.04253250201","2058.19429681497","0.97817625","0.97817625","0.97817625","0.97817625"
2040,"1.859682492","71.04041135","77.93673633","103.777094643274","0.97817625","4451.55999094828","2732.08160251795","3626.71932512637","2007.43933633208","0.97817625","0.97817625","0.97817625","0.97817625"
2041,"1.82296584221","71.13079913","78.03918135","103.783764205527","0.969498895","4451.55999094828","2732.08160251795","3626.71932512637","2007.43933633208","0.969498895","0.969498895","0.969498895","0.969498895"
2042,"1.78750401336","71.22030756","78.13977371","103.790102959062","0.969498895","4451.55999094828","2732.08160251795","3626.71932512637","2007.43933633208","0.969498895","0.969498895","0.969498895","0.969498895"
2043,"1.75303506301","71.3086903","78.23826475","103.796131080468","0.969498895","4451.55999094828","2732.08160251795","3626.71932512637","2007.43933633208","0.969498895","0.969498895","0.969498895","0.969498895"
2044,"1.71952950776","71.39617101","78.33488331","103.801838166725","0.969498895","4451.55999094828","2732.08160251795","3626.71932512637","2007.43933633208","0.969498895","0.969498895","0.969498895","0.969498895"
2045,"1.6869498885","71.48262916","78.42951185","103.807232153054","0.969498895","4319.14560628583","2681.58011362252","3562.86683406286","1981.92265865614","0.969498895","0.969498895","0.969498895","0.969498895"
2046,"1.66651770591","71.56819819","78.52228259","103.812331387778","0.96288359","4319.14560628583","2681.58011362252","3562.86683406286","1981.92265865614","0.96288359","0.96288359","0.96288359","0.96288359"
2047,"1.6467698077","71.65282141","78.61315527","103.817175740104","0.96288359","4319.14560628583","2681.58011362252","3562.86683406286","1981.92265865614","0.96288359","0.96288359","0.96288359","0.96288359"
2048,"1.62773113524","71.7365888","78.70220928","103.821816631755","0.96288359","4319.14560628583","2681.58011362252","3562.86683406286","1981.92265865614","0.96288359","0.96288359","0.96288359","0.96288359"
2049,"1.60930272221","71.81948584","78.78944734","103.826303841611","0.96288359","4319.14560628583","2681.58011362252","3562.86683406286","1981.92265865614","0.96288359","0.96288359","0.96288359","0.96288359"
2050,"1.59151479595","71.90157671","78.87493827","103.830679357578","0.96288359","4171.49592956971","2614.21586739252","3498.24137676365","1931.47907100862","0.96288359","0.96288359","0.96288359","0.96288359"
2051,"1.57431951288","71.98286882","78.95869728","103.834967274169","0.954410485","4171.49592956971","2614.21586739252","3498.24137676365","1931.47907100862","0.954410485","0.954410485","0.954410485","0.954410485"
2052,"1.557616508305","72.0634215","79.04078133","103.839176401976","0.954410485","4171.49592956971","2614.21586739252","3498.24137676365","1931.47907100862","0.954410485","0.954410485","0.954410485","0.954410485"
2053,"1.54132602262","72.14325835","79.12122982","103.843150106624","0.954410485","4171.49592956971","2614.21586739252","3498.24137676365","1931.47907100862","0.954410485","0.954410485","0.954410485","0.954410485"
2054,"1.525479677505","72.22242705","79.2000973","103.847052637145","0.954410485","4171.49592956971","2614.21586739252","3498.24137676365","1931.47907100862","0.954410485","0.954410485","0.954410485","0.954410485"
2055,"1.5099338254","72.30096804","79.27742287","103.85090428633","0.954410485","4004.26178830801","2529.86460550548","3430.4291706686","1866.79976513067","0.954410485","0.954410485","0.954410485","0.954410485"
2056,"1.494594723475","72.378928","79.35326856","103.85469165046","0.94992529","4004.26178830801","2529.86460550548","3430.4291706686","1866.79976513067","0.94992529","0.94992529","0.94992529","0.94992529"
2057,"1.47950470818","72.4563531","79.42767672","103.858400254245","0.94992529","4004.26178830801","2529.86460550548","3430.4291706686","1866.79976513067","0.94992529","0.94992529","0.94992529","0.94992529"
2058,"1.464595981255","72.53329085","79.50070555","103.862019428046","0.94992529","4004.26178830801","2529.86460550548","3430.4291706686","1866.79976513067","0.94992529","0.94992529","0.94992529","0.94992529"
2059,"1.4498637544","72.60978583","79.57240713","103.865541864746","0.94992529","4004.26178830801","2529.86460550548","3430.4291706686","1866.79976513067","0.94992529","0.94992529","0.94992529","0.94992529"
2060,"1.43524084815","72.68588891","79.64283286","103.868963086086","0.94992529","3824.46490072337","2433.71136383091","3360.54748123813","1793.01926797825","0.94992529","0.94992529","0.94992529","0.94992529"
2061,"1.42086849884","72.76164096","79.71203167","103.872280964038","0.9436521","3824.46490072337","2433.71136383091","3360.54748123813","1793.01926797825","0.9436521","0.9436521","0.9436521","0.9436521"
2062,"1.406757077705","72.83709367","79.78005289","103.875495136397","0.9436521","3824.46490072337","2433.71136383091","3360.54748123813","1793.01926797825","0.9436521","0.9436521","0.9436521","0.9436521"
2063,"1.39280856924","72.91228731","79.84694123","103.878606492589","0.9436521","3824.46490072337","2433.71136383091","3360.54748123813","1793.01926797825","0.9436521","0.9436521","0.9436521","0.9436521"
