"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"CHIS","AGS","Total","f",0,0.00015316202132566
"CHIS","AGS","Total","f",1,0.00015316202132566
"CHIS","AGS","Total","f",2,0.00015316202132566
"CHIS","AGS","Total","f",3,0.00015316202132566
"CHIS","AGS","Total","f",4,0.00015316202132566
"CHIS","AGS","Total","f",5,0.000122850000928478
"CHIS","AGS","Total","f",6,0.000122850000928478
"CHIS","AGS","Total","f",7,0.000122850000928478
"CHIS","AGS","Total","f",8,0.000122850000928478
"CHIS","AGS","Total","f",9,0.000122850000928478
"CHIS","AGS","Total","f",10,8.95159834471296e-05
"CHIS","AGS","Total","f",11,8.95159834471296e-05
"CHIS","AGS","Total","f",12,8.95159834471296e-05
"CHIS","AGS","Total","f",13,8.95159834471296e-05
"CHIS","AGS","Total","f",14,8.95159834471296e-05
"CHIS","AGS","Total","f",15,8.28544080051585e-05
"CHIS","AGS","Total","f",16,8.28544080051585e-05
"CHIS","AGS","Total","f",17,8.28544080051585e-05
"CHIS","AGS","Total","f",18,8.28544080051585e-05
"CHIS","AGS","Total","f",19,8.28544080051585e-05
"CHIS","AGS","Total","f",20,0.000104839817662261
"CHIS","AGS","Total","f",21,0.000104839817662261
"CHIS","AGS","Total","f",22,0.000104839817662261
"CHIS","AGS","Total","f",23,0.000104839817662261
"CHIS","AGS","Total","f",24,0.000104839817662261
"CHIS","AGS","Total","f",25,0.00019028360823896
"CHIS","AGS","Total","f",26,0.00019028360823896
"CHIS","AGS","Total","f",27,0.00019028360823896
"CHIS","AGS","Total","f",28,0.00019028360823896
"CHIS","AGS","Total","f",29,0.00019028360823896
"CHIS","AGS","Total","f",30,0.000189480454756054
"CHIS","AGS","Total","f",31,0.000189480454756054
"CHIS","AGS","Total","f",32,0.000189480454756054
"CHIS","AGS","Total","f",33,0.000189480454756054
"CHIS","AGS","Total","f",34,0.000189480454756054
"CHIS","AGS","Total","f",35,0.000154203498213873
"CHIS","AGS","Total","f",36,0.000154203498213873
"CHIS","AGS","Total","f",37,0.000154203498213873
"CHIS","AGS","Total","f",38,0.000154203498213873
"CHIS","AGS","Total","f",39,0.000154203498213873
"CHIS","AGS","Total","f",40,9.21256548492828e-05
"CHIS","AGS","Total","f",41,9.21256548492828e-05
