"Race","Sex","Age","lx"
"Total","Female","0",1e+05
"Total","Female","1",99510.0831613172
"Total","Female","2",98971.7378899988
"Total","Female","3",98915.5440741282
"Total","Female","4",98882.9542512495
"Total","Female","5",98856.2471738015
"Total","Female","6",98833.9646882444
"Total","Female","7",98814.7194414937
"Total","Female","8",98795.504756614
"Total","Female","9",98776.3403898448
"Total","Female","10",98755.6460775496
"Total","Female","11",98731.7213613405
"Total","Female","12",98705.9827455885
"Total","Female","13",98676.6045077555
"Total","Female","14",98640.0680737523
"Total","Female","15",98597.7931549361
"Total","Female","16",98549.5225937077
"Total","Female","17",98495.2508972632
"Total","Female","18",98434.9918097311
"Total","Female","19",98367.0093720013
"Total","Female","20",98292.8813287666
"Total","Female","21",98210.1408916089
"Total","Female","22",98119.8655749081
"Total","Female","23",98023.6394396746
"Total","Female","24",97921.900367583
"Total","Female","25",97813.2705276278
"Total","Female","26",97696.2203595641
"Total","Female","27",97566.5028806118
"Total","Female","28",97423.6809290727
"Total","Female","29",97266.9284830823
"Total","Female","30",97101.0996049251
"Total","Female","31",96929.5485046907
"Total","Female","32",96752.0654647562
"Total","Female","33",96571.1710015315
"Total","Female","34",96391.5413035585
"Total","Female","35",96217.8546152596
"Total","Female","36",96045.42953555
"Total","Female","37",95864.139732135
"Total","Female","38",95668.2587764093
"Total","Female","39",95451.8830596312
"Total","Female","40",95214.1577417783
"Total","Female","41",94959.8789662696
"Total","Female","42",94688.8592763151
"Total","Female","43",94403.9559678959
"Total","Female","44",94099.8993281329
"Total","Female","45",93773.4717797226
"Total","Female","46",93411.0848161334
"Total","Female","47",93009.0457152995
"Total","Female","48",92575.7689575668
"Total","Female","49",92114.6991713153
"Total","Female","50",91630.408711142
"Total","Female","51",91118.3053785729
"Total","Female","52",90573.7843074696
"Total","Female","53",89988.4278719493
"Total","Female","54",89360.6945302083
"Total","Female","55",88681.7722336524
"Total","Female","56",87941.7296280864
"Total","Female","57",87114.4556606614
"Total","Female","58",86200.9477142161
"Total","Female","59",85186.3964079244
"Total","Female","60",84055.078231828
"Total","Female","61",82807.6689603979
"Total","Female","62",81450.1661905553
"Total","Female","63",79991.8253359322
"Total","Female","64",78424.899689673
"Total","Female","65",76713.6069402293
"Total","Female","66",74817.2893892348
"Total","Female","67",72724.1162278768
"Total","Female","68",70459.0010713099
"Total","Female","69",68047.6821468942
"Total","Female","70",65548.2326071192
"Total","Female","71",63048.3522558733
"Total","Female","72",60574.2371962035
"Total","Female","73",58085.1739382283
"Total","Female","74",55520.1235115324
"Total","Female","75",52899.297805398
"Total","Female","76",50242.8956279753
"Total","Female","77",47510.3806661122
"Total","Female","78",44594.5950175888
"Total","Female","79",41415.6826483518
"Total","Female","80",38002.8002453189
"Total","Female","81",34526.7653859179
"Total","Female","82",31188.6626812511
"Total","Female","83",28076.9406728392
"Total","Female","84",25152.5083677642
"Total","Female","85",22355.5590542865
"Total","Female","86",19649.6988805688
"Total","Female","87",17046.9296624332
