"Race","Sex","Age","Population"
"Total","Male",0,71045
"Total","Male",1,69236
"Total","Male",2,67374
"Total","Male",3,65858
"Total","Male",4,64987
"Total","Male",5,64077
"Total","Male",6,63544
"Total","Male",7,63621
"Total","Male",8,63761
"Total","Male",9,63945
"Total","Male",10,63749
"Total","Male",11,63101
"Total","Male",12,61991
"Total","Male",13,60593
"Total","Male",14,59127
"Total","Male",15,57570
"Total","Male",16,56346
"Total","Male",17,55332
"Total","Male",18,54493
"Total","Male",19,53574
"Total","Male",20,52244
"Total","Male",21,50639
"Total","Male",22,49058
"Total","Male",23,47842
"Total","Male",24,46988
"Total","Male",25,46420
"Total","Male",26,45789
"Total","Male",27,45080
"Total","Male",28,44188
"Total","Male",29,43033
"Total","Male",30,41794
"Total","Male",31,40564
"Total","Male",32,39451
"Total","Male",33,38354
"Total","Male",34,37209
"Total","Male",35,35975
"Total","Male",36,34563
"Total","Male",37,33097
"Total","Male",38,31728
"Total","Male",39,30563
"Total","Male",40,29650
"Total","Male",41,28952
"Total","Male",42,28455
"Total","Male",43,28120
"Total","Male",44,27864
"Total","Male",45,27547
"Total","Male",46,27070
"Total","Male",47,26442
"Total","Male",48,25731
"Total","Male",49,24987
"Total","Male",50,24229
"Total","Male",51,23477
"Total","Male",52,22743
"Total","Male",53,22024
"Total","Male",54,21336
"Total","Male",55,20663
"Total","Male",56,19935
"Total","Male",57,19155
"Total","Male",58,18360
"Total","Male",59,17553
"Total","Male",60,16722
"Total","Male",61,15876
"Total","Male",62,15049
"Total","Male",63,14278
"Total","Male",64,13547
"Total","Male",65,12791
"Total","Male",66,11952
"Total","Male",67,11130
"Total","Male",68,10417
"Total","Male",69,9806
"Total","Male",70,9308
"Total","Male",71,8846
"Total","Male",72,8379
"Total","Male",73,7914
"Total","Male",74,7433
"Total","Male",75,6950
"Total","Male",76,6461
"Total","Male",77,5961
"Total","Male",78,5482
"Total","Male",79,5016
"Total","Male",80,4557
"Total","Male",81,4116
"Total","Male",82,3702
"Total","Male",83,3314
"Total","Male",84,2940
"Total","Male",85,2593
"Total","Male",86,2292
"Total","Male",87,2019
"Total","Male",88,1747
"Total","Male",89,1480
"Total","Male",90,1236
"Total","Male",91,1038
"Total","Male",92,877
"Total","Male",93,728
"Total","Male",94,592
"Total","Male",95,481
"Total","Male",96,390
"Total","Male",97,313
"Total","Male",98,245
"Total","Male",99,186
"Total","Male",100,564
"Total","Female",0,68497
"Total","Female",1,66917
"Total","Female",2,65148
"Total","Female",3,63728
"Total","Female",4,62934
"Total","Female",5,62104
"Total","Female",6,61620
"Total","Female",7,61706
"Total","Female",8,61856
"Total","Female",9,62044
"Total","Female",10,61909
"Total","Female",11,61367
"Total","Female",12,60468
"Total","Female",13,59406
"Total","Female",14,58320
"Total","Female",15,57179
"Total","Female",16,56276
"Total","Female",17,55557
"Total","Female",18,55003
"Total","Female",19,54386
"Total","Female",20,53436
"Total","Female",21,52195
"Total","Female",22,50959
"Total","Female",23,50075
"Total","Female",24,49551
"Total","Female",25,49274
"Total","Female",26,48922
"Total","Female",27,48467
"Total","Female",28,47818
"Total","Female",29,46884
"Total","Female",30,45807
"Total","Female",31,44742
"Total","Female",32,43817
"Total","Female",33,42969
"Total","Female",34,42140
"Total","Female",35,41257
"Total","Female",36,40226
"Total","Female",37,39112
"Total","Female",38,37981
"Total","Female",39,36894
"Total","Female",40,35899
"Total","Female",41,34988
"Total","Female",42,34181
"Total","Female",43,33478
"Total","Female",44,32806
"Total","Female",45,32025
"Total","Female",46,31067
"Total","Female",47,29983
"Total","Female",48,28841
"Total","Female",49,27697
"Total","Female",50,26586
"Total","Female",51,25526
"Total","Female",52,24523
"Total","Female",53,23571
"Total","Female",54,22684
"Total","Female",55,21838
"Total","Female",56,20949
"Total","Female",57,20016
"Total","Female",58,19089
"Total","Female",59,18176
"Total","Female",60,17256
"Total","Female",61,16335
"Total","Female",62,15443
"Total","Female",63,14609
"Total","Female",64,13825
"Total","Female",65,13025
"Total","Female",66,12159
"Total","Female",67,11315
"Total","Female",68,10569
"Total","Female",69,9915
"Total","Female",70,9388
"Total","Female",71,8919
"Total","Female",72,8438
"Total","Female",73,7950
"Total","Female",74,7467
"Total","Female",75,6989
"Total","Female",76,6493
"Total","Female",77,5986
"Total","Female",78,5506
"Total","Female",79,5038
"Total","Female",80,4580
"Total","Female",81,4144
"Total","Female",82,3733
"Total","Female",83,3340
"Total","Female",84,2964
"Total","Female",85,2608
"Total","Female",86,2277
"Total","Female",87,1970
"Total","Female",88,1689
"Total","Female",89,1432
"Total","Female",90,1202
"Total","Female",91,1000
"Total","Female",92,827
"Total","Female",93,675
"Total","Female",94,545
"Total","Female",95,437
"Total","Female",96,347
"Total","Female",97,270
"Total","Female",98,205
"Total","Female",99,152
"Total","Female",100,440
