"year","f_A","m_M","m_F","sr_A","int_mig","iim_M","iim_F","iom_M","iom_F","idm_M","idm_F","odm_M","odm_F"
NA,"fertility","mortality","mortality","sex ratio at birth","internal migration change","net international in-migrants","net international in-migrants","net international out-migrants","net international out-migrants","domestic in-migration","domestic in-migration","domestic out-migration","domestic out-migration"
NA,"Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
NA,NA,"male","female",NA,"Total","male","female","male","female","male","female","male","female"
2020,"2.15670065739906","66.02694702","74.24636892","103.975383703577","1","1470.55895678157","1869.87354317816","1611.55080640912","1008.85913882079","1","1","1","1"
2021,"2.15790548679812","69.32703745","76.79152301","103.963807373464","0.99392668","1470.55895678157","1869.87354317816","1611.55080640912","1008.85913882079","0.99392668","0.99392668","0.99392668","0.99392668"
2022,"2.15911031619719","74.00798356","80.1292053","103.953512988517","0.99392668","1470.55895678157","1869.87354317816","1611.55080640912","1008.85913882079","0.99392668","0.99392668","0.99392668","0.99392668"
2023,"2.16031514559625","74.24998776","80.3881207","103.944442331609","0.99392668","1470.55895678157","1869.87354317816","1611.55080640912","1008.85913882079","0.99392668","0.99392668","0.99392668","0.99392668"
2024,"2.16151997499531","74.52319624","80.68139051","103.936535806641","0.99392668","1470.55895678157","1869.87354317816","1611.55080640912","1008.85913882079","0.99392668","0.99392668","0.99392668","0.99392668"
2025,"2.16272480439437","74.77918062","80.95488698","103.92974149508","0.99392668","1520.02220360579","1898.934745111","1600.39310590451","942.114594568519","0.99392668","0.99392668","0.99392668","0.99392668"
2026,"2.16392963379344","75.05037961","81.2447007","103.92401499572","0.98559068","1520.02220360579","1898.934745111","1600.39310590451","942.114594568519","0.98559068","0.98559068","0.98559068","0.98559068"
2027,"2.1651344631925","75.31088571","81.52205872","103.9193187086","0.98559068","1520.02220360579","1898.934745111","1600.39310590451","942.114594568519","0.98559068","0.98559068","0.98559068","0.98559068"
2028,"2.16633929259156","75.5787709","81.80694391","103.915622486388","0.98559068","1520.02220360579","1898.934745111","1600.39310590451","942.114594568519","0.98559068","0.98559068","0.98559068","0.98559068"
2029,"2.16754412199062","75.84006127","82.08395162","103.912905335393","0.98559068","1520.02220360579","1898.934745111","1600.39310590451","942.114594568519","0.98559068","0.98559068","0.98559068","0.98559068"
2030,"2.16874895138969","76.10476769","82.36407069","103.911158196365","0.98559068","1549.44727455999","1950.37000043424","1594.2588373276","959.284215723315","0.98559068","0.98559068","0.98559068","0.98559068"
2031,"2.16995378078875","76.36531437","82.63901777","103.910387793753","0.97253189","1549.44727455999","1950.37000043424","1594.2588373276","959.284215723315","0.97253189","0.97253189","0.97253189","0.97253189"
2032,"2.17115861018781","76.62722911","82.91481394","103.910621973402","0.97253189","1549.44727455999","1950.37000043424","1594.2588373276","959.284215723315","0.97253189","0.97253189","0.97253189","0.97253189"
2033,"2.17236343958687","76.88638664","83.18698429","103.91191684484","0.97253189","1549.44727455999","1950.37000043424","1594.2588373276","959.284215723315","0.97253189","0.97253189","0.97253189","0.97253189"
2034,"2.17356826898594","77.14584265","83.45883521","103.914366206177","0.97253189","1549.44727455999","1950.37000043424","1594.2588373276","959.284215723315","0.97253189","0.97253189","0.97253189","0.97253189"
2035,"2.174773098385","77.4033459","83.72794944","103.918113378261","0.97253189","1557.28603798589","1980.51638683268","1593.25465874889","997.082306723176","0.97253189","0.97253189","0.97253189","0.97253189"
2036,"2.17597792778406","77.66057527","83.99612993","103.923356308398","0.9563525","1557.28603798589","1980.51638683268","1593.25465874889","997.082306723176","0.9563525","0.9563525","0.9563525","0.9563525"
2037,"2.17718275718312","77.91630955","84.26208024","103.930255994831","0.9563525","1557.28603798589","1980.51638683268","1593.25465874889","997.082306723176","0.9563525","0.9563525","0.9563525","0.9563525"
2038,"2.17838758658219","78.17148009","84.52679151","103.938283182639","0.9563525","1557.28603798589","1980.51638683268","1593.25465874889","997.082306723176","0.9563525","0.9563525","0.9563525","0.9563525"
2039,"2.17959241598125","78.42541859","84.78955921","103.943908289341","0.9563525","1557.28603798589","1980.51638683268","1593.25465874889","997.082306723176","0.9563525","0.9563525","0.9563525","0.9563525"
2040,"2.18079724538031","78.67864176","85.05094243","103.948786158223","0.9563525","1558.43974675891","1996.29124080298","1597.80839072498","993.10903433979","0.9563525","0.9563525","0.9563525","0.9563525"
2041,"2.18200207477937","78.93078911","85.31056195","103.953211556583","0.93899779","1558.43974675891","1996.29124080298","1597.80839072498","993.10903433979","0.93899779","0.93899779","0.93899779","0.93899779"
2042,"2.18320690417844","79.1821509","85.5687297","103.957359622354","0.93899779","1558.43974675891","1996.29124080298","1597.80839072498","993.10903433979","0.93899779","0.93899779","0.93899779","0.93899779"
2043,"2.1844117335775","79.43253179","85.82525214","103.961207398215","0.93899779","1558.43974675891","1996.29124080298","1597.80839072498","993.10903433979","0.93899779","0.93899779","0.93899779","0.93899779"
2044,"2.18561656297656","79.68210158","86.0803082","103.964702227317","0.93899779","1558.43974675891","1996.29124080298","1597.80839072498","993.10903433979","0.93899779","0.93899779","0.93899779","0.93899779"
2045,"2.18682139237562","79.93075972","86.33380257","103.967829224648","0.93899779","1544.1548306144","2000.9499437071","1603.14406337635","1001.39038049644","0.93899779","0.93899779","0.93899779","0.93899779"
2046,"2.18802622177469","80.1786061","86.5858485","103.970617937831","0.92576718","1544.1548306144","2000.9499437071","1603.14406337635","1001.39038049644","0.92576718","0.92576718","0.92576718","0.92576718"
2047,"2.18923105117375","80.42559472","86.83640091","103.97313935774","0.92576718","1544.1548306144","2000.9499437071","1603.14406337635","1001.39038049644","0.92576718","0.92576718","0.92576718","0.92576718"
2048,"2.19043588057281","80.67178886","87.08553696","103.975490843719","0.92576718","1544.1548306144","2000.9499437071","1603.14406337635","1001.39038049644","0.92576718","0.92576718","0.92576718","0.92576718"
2049,"2.19164070997187","80.91717734","87.33324854","103.977774432053","0.92576718","1544.1548306144","2000.9499437071","1603.14406337635","1001.39038049644","0.92576718","0.92576718","0.92576718","0.92576718"
2050,"2.19284553937093","81.16180558","87.57959237","103.980075330031","0.92576718","1525.7398634602","1995.64167328302","1609.97574647047","998.167257222682","0.92576718","0.92576718","0.92576718","0.92576718"
2051,"2.19405036877","81.40568001","87.82458171","103.98246377805","0.90882097","1525.7398634602","1995.64167328302","1609.97574647047","998.167257222682","0.90882097","0.90882097","0.90882097","0.90882097"
2052,"2.19525519816906","81.64884215","88.06826443","103.98496940247","0.90882097","1525.7398634602","1995.64167328302","1609.97574647047","998.167257222682","0.90882097","0.90882097","0.90882097","0.90882097"
2053,"2.19646002756812","81.89130308","88.31066695","103.987274098113","0.90882097","1525.7398634602","1995.64167328302","1609.97574647047","998.167257222682","0.90882097","0.90882097","0.90882097","0.90882097"
2054,"2.19766485696718","82.13311032","88.55183468","103.989587599128","0.90882097","1525.7398634602","1995.64167328302","1609.97574647047","998.167257222682","0.90882097","0.90882097","0.90882097","0.90882097"
2055,"2.19886968636625","82.37428602","88.79179965","103.991937087961","0.90882097","1504.14262224778","1983.42728325744","1619.97996022325","989.925871749724","0.90882097","0.90882097","0.90882097","0.90882097"
2056,"2.20007451576531","82.61486773","89.03060723","103.994306016003","0.89985058","1504.14262224778","1983.42728325744","1619.97996022325","989.925871749724","0.89985058","0.89985058","0.89985058","0.89985058"
2057,"2.20127934516437","82.85488507","89.26829561","103.996673751499","0.89985058","1504.14262224778","1983.42728325744","1619.97996022325","989.925871749724","0.89985058","0.89985058","0.89985058","0.89985058"
2058,"2.20248417456343","83.09438162","89.50491143","103.999023867628","0.89985058","1504.14262224778","1983.42728325744","1619.97996022325","989.925871749724","0.89985058","0.89985058","0.89985058","0.89985058"
2059,"2.2036890039625","83.3333863","89.74048798","104.001344836714","0.89985058","1504.14262224778","1983.42728325744","1619.97996022325","989.925871749724","0.89985058","0.89985058","0.89985058","0.89985058"
2060,"2.20489383336156","83.57194201","89.97507179","104.003629336876","0.89985058","1480.97430925006","1966.97284404907","1638.68791435354","981.781677920158","0.89985058","0.89985058","0.89985058","0.89985058"
2061,"2.20609866276062","83.81008022","90.20870144","104.005874033077","0.8873042","1480.97430925006","1966.97284404907","1638.68791435354","981.781677920158","0.8873042","0.8873042","0.8873042","0.8873042"
2062,"2.20730349215968","84.04783457","90.44141901","104.008078542332","0.8873042","1480.97430925006","1966.97284404907","1638.68791435354","981.781677920158","0.8873042","0.8873042","0.8873042","0.8873042"
2063,"2.20850832155875","84.28523949","90.67324993","104.010244462781","0.8873042","1480.97430925006","1966.97284404907","1638.68791435354","981.781677920158","0.8873042","0.8873042","0.8873042","0.8873042"
