"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"COAH","AGS","Total","f",0,0.000352112676056338
"COAH","AGS","Total","f",1,0.000352112676056338
"COAH","AGS","Total","f",2,0.000352112676056338
"COAH","AGS","Total","f",3,0.000352112676056338
"COAH","AGS","Total","f",4,0.000352112676056338
"COAH","AGS","Total","f",5,0.000396467408784458
"COAH","AGS","Total","f",6,0.000396467408784458
"COAH","AGS","Total","f",7,0.000396467408784458
"COAH","AGS","Total","f",8,0.000396467408784458
"COAH","AGS","Total","f",9,0.000396467408784458
"COAH","AGS","Total","f",10,0.000455187601174337
"COAH","AGS","Total","f",11,0.000455187601174337
"COAH","AGS","Total","f",12,0.000455187601174337
"COAH","AGS","Total","f",13,0.000455187601174337
"COAH","AGS","Total","f",14,0.000455187601174337
"COAH","AGS","Total","f",15,0.000398856958353291
"COAH","AGS","Total","f",16,0.000398856958353291
"COAH","AGS","Total","f",17,0.000398856958353291
"COAH","AGS","Total","f",18,0.000398856958353291
"COAH","AGS","Total","f",19,0.000398856958353291
"COAH","AGS","Total","f",20,0.000459360310150739
"COAH","AGS","Total","f",21,0.000459360310150739
"COAH","AGS","Total","f",22,0.000459360310150739
"COAH","AGS","Total","f",23,0.000459360310150739
"COAH","AGS","Total","f",24,0.000459360310150739
"COAH","AGS","Total","f",25,0.000375511811198925
"COAH","AGS","Total","f",26,0.000375511811198925
"COAH","AGS","Total","f",27,0.000375511811198925
"COAH","AGS","Total","f",28,0.000375511811198925
"COAH","AGS","Total","f",29,0.000375511811198925
"COAH","AGS","Total","f",30,0.000410307870235458
"COAH","AGS","Total","f",31,0.000410307870235458
"COAH","AGS","Total","f",32,0.000410307870235458
"COAH","AGS","Total","f",33,0.000410307870235458
"COAH","AGS","Total","f",34,0.000410307870235458
"COAH","AGS","Total","f",35,0.000392421189009612
"COAH","AGS","Total","f",36,0.000392421189009612
"COAH","AGS","Total","f",37,0.000392421189009612
"COAH","AGS","Total","f",38,0.000392421189009612
"COAH","AGS","Total","f",39,0.000392421189009612
"COAH","AGS","Total","f",40,0.000337918270651623
"COAH","AGS","Total","f",41,0.000337918270651623
"COAH","AGS","Total","f",42,0.000337918270651623
"COAH","AGS","Total","f",43,0.000337918270651623
"COAH","AGS","Total","f",44,0.000337918270651623
"COAH","AGS","Total","f",45,0.000265348255989954
"COAH","AGS","Total","f",46,0.000265348255989954
"COAH","AGS","Total","f",47,0.000265348255989954
"COAH","AGS","Total","f",48,0.000265348255989954
"COAH","AGS","Total","f",49,0.000265348255989954
"COAH","AGS","Total","f",50,0.000193082027197417
"COAH","AGS","Total","f",51,0.000193082027197417
"COAH","AGS","Total","f",52,0.000193082027197417
"COAH","AGS","Total","f",53,0.000193082027197417
"COAH","AGS","Total","f",54,0.000193082027197417
"COAH","AGS","Total","f",55,0.000179182339863881
"COAH","AGS","Total","f",56,0.000179182339863881
"COAH","AGS","Total","f",57,0.000179182339863881
"COAH","AGS","Total","f",58,0.000179182339863881
"COAH","AGS","Total","f",59,0.000179182339863881
"COAH","AGS","Total","f",60,0.000196459596114485
"COAH","AGS","Total","f",61,0.000196459596114485
"COAH","AGS","Total","f",62,0.000196459596114485
"COAH","AGS","Total","f",63,0.000196459596114485
"COAH","AGS","Total","f",64,0.000196459596114485
"COAH","AGS","Total","f",65,0.00015657251721103
"COAH","AGS","Total","f",66,0.00015657251721103
"COAH","AGS","Total","f",67,0.00015657251721103
"COAH","AGS","Total","f",68,0.00015657251721103
"COAH","AGS","Total","f",69,0.00015657251721103
"COAH","AGS","Total","f",70,0.000119173989336808
"COAH","AGS","Total","f",71,0.000119173989336808
"COAH","AGS","Total","f",72,0.000119173989336808
"COAH","AGS","Total","f",73,0.000119173989336808
"COAH","AGS","Total","f",74,0.000119173989336808
"COAH","AGS","Total","f",75,0.000153270483373596
"COAH","AGS","Total","f",76,0.000153270483373596
"COAH","AGS","Total","f",77,0.000153270483373596
"COAH","AGS","Total","f",78,0.000153270483373596
"COAH","AGS","Total","f",79,0.000153270483373596
"COAH","AGS","Total","f",80,0.000140325499554826
"COAH","AGS","Total","f",81,0.000140325499554826
"COAH","AGS","Total","f",82,0.000140325499554826
"COAH","AGS","Total","f",83,0.000140325499554826
"COAH","AGS","Total","f",84,0.000140325499554826
"COAH","AGS","Total","f",85,0.000121654501216545
"COAH","AGS","Total","f",86,0.000121654501216545
"COAH","AGS","Total","f",87,0.000121654501216545
"COAH","AGS","Total","f",88,0.000121654501216545
"COAH","AGS","Total","f",89,0.000121654501216545
"COAH","AGS","Total","f",90,0
"COAH","AGS","Total","f",91,0
