"Race","Sex","Age","lx"
"Total","Female","0",1e+05
"Total","Female","1",99509.5058240014
"Total","Female","2",99001.7390315587
"Total","Female","3",98954.644510915
"Total","Female","4",98925.9692779637
"Total","Female","5",98901.3752487006
"Total","Female","6",98880.6939587869
"Total","Female","7",98863.4868424624
"Total","Female","8",98846.1146365122
"Total","Female","9",98828.672538325
"Total","Female","10",98811.1934218364
"Total","Female","11",98790.1196948776
"Total","Female","12",98768.8927675689
"Total","Female","13",98743.9101211119
"Total","Female","14",98715.1343932608
"Total","Female","15",98678.9895672225
"Total","Female","16",98639.2178759066
"Total","Female","17",98592.3609584204
"Total","Female","18",98538.6740866081
"Total","Female","19",98478.4047002377
"Total","Female","20",98411.5311074535
"Total","Female","21",98334.1275936584
"Total","Female","22",98249.0297296607
"Total","Female","23",98159.453473092
"Total","Female","24",98062.042639911
"Total","Female","25",97960.6827818905
"Total","Female","26",97851.7124647316
"Total","Female","27",97734.7873415475
"Total","Female","28",97609.3538986359
"Total","Female","29",97474.6377224225
"Total","Female","30",97333.3341552891
"Total","Female","31",97184.602182557
"Total","Female","32",97028.4373122363
"Total","Female","33",96865.2408824789
"Total","Female","34",96699.5176303276
"Total","Female","35",96527.5029559304
"Total","Female","36",96353.5298314961
"Total","Female","37",96169.006181163
"Total","Female","38",95973.8096236585
"Total","Female","39",95768.0122811254
"Total","Female","40",95547.5619973422
"Total","Female","41",95317.390903862
"Total","Female","42",95069.3300296815
"Total","Female","43",94804.2052422411
"Total","Female","44",94518.4716581757
"Total","Female","45",94208.0230893634
"Total","Female","46",93866.9590002026
"Total","Female","47",93492.293389392
"Total","Female","48",93084.9390670902
"Total","Female","49",92641.4270652478
"Total","Female","50",92163.3382435602
"Total","Female","51",91647.7997961095
"Total","Female","52",91092.5989319185
"Total","Female","53",90490.4181658699
"Total","Female","54",89838.8409141094
"Total","Female","55",89130.8739901916
"Total","Female","56",88358.8414938752
"Total","Female","57",87517.5194937068
"Total","Female","58",86606.3101094846
"Total","Female","59",85613.9333774336
"Total","Female","60",84534.3125277813
"Total","Female","61",83358.7572441918
"Total","Female","62",82085.0533342041
"Total","Female","63",80706.4380227829
"Total","Female","64",79226.5459382755
"Total","Female","65",77634.7939005094
"Total","Female","66",75935.6478120147
"Total","Female","67",74118.3554130244
"Total","Female","68",72209.1921898194
"Total","Female","69",70188.5081089385
"Total","Female","70",68065.9690321046
"Total","Female","71",65854.0472182077
"Total","Female","72",63544.7880536723
"Total","Female","73",61121.4048742177
"Total","Female","74",58578.154057487
"Total","Female","75",55961.4433441872
"Total","Female","76",53265.5540766351
"Total","Female","77",50476.7816118898
"Total","Female","78",47631.079897921
"Total","Female","79",44757.1967388971
"Total","Female","80",41854.811649101
"Total","Female","81",38936.448739122
"Total","Female","82",35999.7929956487
"Total","Female","83",33047.4642017684
"Total","Female","84",30101.0802899375
"Total","Female","85",27211.4893466281
"Total","Female","86",24388.2701805773
"Total","Female","87",21655.3580531557
"Total","Female","88",19036.003914518
"Total","Female","89",16539.4788109747
"Total","Female","90",14184.7055565308
"Total","Female","91",11982.2136161193
"Total","Female","92",9969.67526704635
"Total","Female","93",8179.13201943384
"Total","Female","94",6588.00032603578
"Total","Female","95",5209.75758000319
"Total","Female","96",4022.72420734424
"Total","Female","97",3000.16121938623
"Total","Female","98",2154.21412146093
"Total","Female","99",1482.25742302358
"Total","Female","100+",984.855603217008
"Total","Male","0",1e+05
"Total","Male","1",99531.7625549679
"Total","Male","2",99050.262123462
"Total","Male","3",99001.5152021793
"Total","Male","4",98970.5659450953
"Total","Male","5",98947.0147421441
"Total","Male","6",98923.9482496557
"Total","Male","7",98904.2068909948
"Total","Male","8",98884.2484192178
"Total","Male","9",98864.1846577449
"Total","Male","10",98844.0555353469
"Total","Male","11",98820.4477632416
"Total","Male","12",98793.2582054583
"Total","Male","13",98755.4912298285
"Total","Male","14",98706.9184053057
"Total","Male","15",98644.0010027314
"Total","Male","16",98560.0427069634
"Total","Male","17",98451.9820401465
"Total","Male","18",98317.2653656007
"Total","Male","19",98153.5851235936
"Total","Male","20",97958.0466219392
"Total","Male","21",97729.8626273416
"Total","Male","22",97470.4132514756
"Total","Male","23",97182.0844089213
"Total","Male","24",96862.2945911506
"Total","Male","25",96508.7081173886
"Total","Male","26",96117.6473033261
"Total","Male","27",95684.4928861545
"Total","Male","28",95217.0518490297
"Total","Male","29",94718.9071396287
"Total","Male","30",94196.0796853162
"Total","Male","31",93652.0896125226
"Total","Male","32",93090.4915697513
"Total","Male","33",92516.1661580184
"Total","Male","34",91929.5068925903
"Total","Male","35",91326.3761528375
"Total","Male","36",90705.2194866825
"Total","Male","37",90064.0154955783
"Total","Male","38",89410.6613049933
