"Race","Sex","Age","Population"
"Total","Male",0,28290
"Total","Male",1,28251
"Total","Male",2,28440
"Total","Male",3,28785
"Total","Male",4,29413
"Total","Male",5,30024
"Total","Male",6,30063
"Total","Male",7,29730
"Total","Male",8,29568
"Total","Male",9,29466
"Total","Male",10,29305
"Total","Male",11,29072
"Total","Male",12,28769
"Total","Male",13,28457
"Total","Male",14,28230
"Total","Male",15,28186
"Total","Male",16,28259
"Total","Male",17,28482
"Total","Male",18,28808
"Total","Male",19,29085
"Total","Male",20,29158
"Total","Male",21,28966
"Total","Male",22,28692
"Total","Male",23,28519
"Total","Male",24,28438
"Total","Male",25,28323
"Total","Male",26,28118
"Total","Male",27,27771
"Total","Male",28,27262
"Total","Male",29,26558
"Total","Male",30,25726
"Total","Male",31,24939
"Total","Male",32,24238
"Total","Male",33,23580
"Total","Male",34,22940
"Total","Male",35,22272
"Total","Male",36,21567
"Total","Male",37,20877
"Total","Male",38,20270
"Total","Male",39,19802
"Total","Male",40,19492
"Total","Male",41,19340
"Total","Male",42,19328
"Total","Male",43,19427
"Total","Male",44,19566
"Total","Male",45,19622
"Total","Male",46,19532
"Total","Male",47,19294
"Total","Male",48,18935
"Total","Male",49,18495
"Total","Male",50,18001
"Total","Male",51,17486
"Total","Male",52,16953
"Total","Male",53,16412
"Total","Male",54,15883
"Total","Male",55,15354
"Total","Male",56,14785
"Total","Male",57,14168
"Total","Male",58,13536
"Total","Male",59,12894
"Total","Male",60,12225
"Total","Male",61,11543
"Total","Male",62,10869
"Total","Male",63,10228
"Total","Male",64,9618
"Total","Male",65,9000
"Total","Male",66,8339
"Total","Male",67,7702
"Total","Male",68,7147
"Total","Male",69,6667
"Total","Male",70,6277
"Total","Male",71,5928
"Total","Male",72,5573
"Total","Male",73,5214
"Total","Male",74,4853
"Total","Male",75,4492
"Total","Male",76,4122
"Total","Male",77,3753
"Total","Male",78,3409
"Total","Male",79,3079
"Total","Male",80,2756
"Total","Male",81,2451
"Total","Male",82,2168
"Total","Male",83,1908
"Total","Male",84,1670
"Total","Male",85,1453
"Total","Male",86,1256
"Total","Male",87,1074
"Total","Male",88,909
"Total","Male",89,760
"Total","Male",90,625
"Total","Male",91,503
"Total","Male",92,399
"Total","Male",93,311
"Total","Male",94,236
"Total","Male",95,175
"Total","Male",96,127
"Total","Male",97,88
"Total","Male",98,59
"Total","Male",99,38
"Total","Male",100,51
"Total","Female",0,27204
"Total","Female",1,27171
"Total","Female",2,27322
"Total","Female",3,27603
"Total","Female",4,28153
"Total","Female",5,28690
"Total","Female",6,28730
"Total","Female",7,28452
"Total","Female",8,28333
"Total","Female",9,28268
"Total","Female",10,28130
"Total","Female",11,27921
"Total","Female",12,27671
"Total","Female",13,27448
"Total","Female",14,27306
"Total","Female",15,27287
"Total","Female",16,27360
"Total","Female",17,27539
"Total","Female",18,27786
"Total","Female",19,27970
"Total","Female",20,27960
"Total","Female",21,27721
"Total","Female",22,27408
"Total","Female",23,27194
"Total","Female",24,27075
"Total","Female",25,26954
"Total","Female",26,26764
"Total","Female",27,26475
"Total","Female",28,26066
"Total","Female",29,25505
"Total","Female",30,24849
"Total","Female",31,24251
"Total","Female",32,23762
"Total","Female",33,23360
"Total","Female",34,23028
"Total","Female",35,22728
"Total","Female",36,22432
"Total","Female",37,22148
"Total","Female",38,21895
"Total","Female",39,21696
"Total","Female",40,21560
"Total","Female",41,21490
"Total","Female",42,21485
"Total","Female",43,21534
"Total","Female",44,21581
"Total","Female",45,21506
"Total","Female",46,21253
"Total","Female",47,20840
"Total","Female",48,20310
"Total","Female",49,19714
"Total","Female",50,19075
"Total","Female",51,18432
"Total","Female",52,17791
"Total","Female",53,17159
"Total","Female",54,16558
"Total","Female",55,15978
"Total","Female",56,15365
"Total","Female",57,14714
"Total","Female",58,14057
"Total","Female",59,13396
"Total","Female",60,12711
"Total","Female",61,12015
"Total","Female",62,11336
"Total","Female",63,10699
"Total","Female",64,10101
"Total","Female",65,9490
"Total","Female",66,8835
"Total","Female",67,8201
"Total","Female",68,7646
"Total","Female",69,7165
"Total","Female",70,6781
"Total","Female",71,6444
"Total","Female",72,6096
"Total","Female",73,5742
"Total","Female",74,5384
"Total","Female",75,5024
"Total","Female",76,4650
"Total","Female",77,4275
"Total","Female",78,3922
"Total","Female",79,3581
"Total","Female",80,3239
"Total","Female",81,2909
"Total","Female",82,2596
"Total","Female",83,2304
"Total","Female",84,2033
"Total","Female",85,1782
"Total","Female",86,1550
"Total","Female",87,1336
"Total","Female",88,1140
"Total","Female",89,959
"Total","Female",90,796
"Total","Female",91,649
"Total","Female",92,522
"Total","Female",93,413
"Total","Female",94,321
"Total","Female",95,245
"Total","Female",96,182
"Total","Female",97,131
"Total","Female",98,92
"Total","Female",99,62
"Total","Female",100,93
