"year","f_A","m_M","m_F","sr_A","int_mig","iim_M","iim_F","iom_M","iom_F","idm_M","idm_F","odm_M","odm_F"
NA,"fertility","mortality","mortality","sex ratio at birth","internal migration change","net international in-migrants","net international in-migrants","net international out-migrants","net international out-migrants","domestic in-migration","domestic in-migration","domestic out-migration","domestic out-migration"
NA,"Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
NA,NA,"male","female",NA,"Total","male","female","male","female","male","female","male","female"
2020,"1.767950054","69.05925019","75.47887126","104.018558678959","1","713.776354849421","402.132469445355","1368.09761509693","1393.76413461107","1","1","1","1"
2021,"1.737817","66.53299913","73.08584715","104.008741858393","1","713.776354849421","402.132469445355","1368.09761509693","1393.76413461107","1","1","1","1"
2022,"1.711030669","72.80115597","79.06696317","104.000169471592","1","713.776354849421","402.132469445355","1368.09761509693","1393.76413461107","1","1","1","1"
2023,"1.685284063","72.9514186","79.23469926","103.992790228224","1","713.776354849421","402.132469445355","1368.09761509693","1393.76413461107","1","1","1","1"
2024,"1.658459655","73.13476188","79.43869292","103.986548360111","1","713.776354849421","402.132469445355","1368.09761509693","1393.76413461107","1","1","1","1"
2025,"1.633395314","73.2999291","79.62181889","103.981393364292","1","708.250479136055","375.218626945983","1407.99078842565","1409.29634395785","1","1","1","1"
2026,"1.611206056","73.48127191","79.82215773","103.977279781689","1","708.250479136055","375.218626945983","1407.99078842565","1409.29634395785","1","1","1","1"
2027,"1.589501146","73.65134056","80.00935134","103.97416705625","1","708.250479136055","375.218626945983","1407.99078842565","1409.29634395785","1","1","1","1"
2028,"1.568705879","73.82928709","80.20448467","103.972020819029","1","708.250479136055","375.218626945983","1407.99078842565","1409.29634395785","1","1","1","1"
2029,"1.548696002","74.00030469","80.39130244","103.970815254013","1","708.250479136055","375.218626945983","1407.99078842565","1409.29634395785","1","1","1","1"
2030,"1.529889812","74.17500097","80.58140129","103.970536435487","1","702.724603422689","380.534535795017","1424.37986970604","1436.50927984592","1","1","1","1"
2031,"1.51263669","74.34533905","80.7660361","103.97118589529","1","702.724603422689","380.534535795017","1424.37986970604","1436.50927984592","1","1","1","1"
2032,"1.496947265","74.51718667","80.95156797","103.972787257474","1","702.724603422689","380.534535795017","1424.37986970604","1436.50927984592","1","1","1","1"
2033,"1.481913012","74.68616621","81.13326948","103.975396185154","1","702.724603422689","380.534535795017","1424.37986970604","1436.50927984592","1","1","1","1"
2034,"1.467862432","74.85551253","81.31463136","103.979112048764","1","702.724603422689","380.534535795017","1424.37986970604","1436.50927984592","1","1","1","1"
2035,"1.45460107","75.02283698","81.49309628","103.984092989379","1","697.198727709324","392.665596172102","1416.99537511473","1443.84603889509","1","1","1","1"
2036,"1.442866183","75.18992905","81.67058231","103.990567833624","1","697.198727709324","392.665596172102","1416.99537511473","1443.84603889509","1","1","1","1"
2037,"1.431574061","75.35548607","81.84570779","103.998770013785","1","697.198727709324","392.665596172102","1416.99537511473","1443.84603889509","1","1","1","1"
2038,"1.421423423","75.52049384","82.01951889","104.008355961898","1","697.198727709324","392.665596172102","1416.99537511473","1443.84603889509","1","1","1","1"
2039,"1.411575957","75.68424109","82.19127884","104.01565716674","1","697.198727709324","392.665596172102","1416.99537511473","1443.84603889509","1","1","1","1"
2040,"1.402605621","75.84728411","82.36157233","104.022540412037","1","691.672851995958","386.895268340237","1400.63659083224","1437.47981743344","1","1","1","1"
2041,"1.394081785","76.00923086","82.53000542","104.029267764847","1","691.672851995958","386.895268340237","1400.63659083224","1437.47981743344","1","1","1","1"
2042,"1.38596109","76.17039305","82.69690062","104.036005819476","1","691.672851995958","386.895268340237","1400.63659083224","1437.47981743344","1","1","1","1"
2043,"1.378688447","76.33056171","82.86205643","104.042638761475","1","691.672851995958","386.895268340237","1400.63659083224","1437.47981743344","1","1","1","1"
2044,"1.372106398","76.4899132","83.0256611","104.048987317572","1","691.672851995958","386.895268340237","1400.63659083224","1437.47981743344","1","1","1","1"
2045,"1.365268797","76.64834516","83.1876188","104.054964860197","1","686.146976282592","385.71672534237","1371.13209862258","1423.53149656592","1","1","1","1"
2046,"1.359619503","76.80595719","83.34803402","104.060621523733","1","686.146976282592","385.71672534237","1371.13209862258","1423.53149656592","1","1","1","1"
2047,"1.353964444","76.96270719","83.50687797","104.066096407007","1","686.146976282592","385.71672534237","1371.13209862258","1423.53149656592","1","1","1","1"
2048,"1.34898346","77.11865849","83.66422161","104.071477217876","1","686.146976282592","385.71672534237","1371.13209862258","1423.53149656592","1","1","1","1"
2049,"1.34382048","77.27379613","83.8200604","104.076746266049","1","686.146976282592","385.71672534237","1371.13209862258","1423.53149656592","1","1","1","1"
2050,"1.33970486","77.42816911","83.9744504","104.08188091356","1","680.621100569226","379.760550345456","1336.75457348892","1400.8645731696","1","1","1","1"
2051,"1.335575875","77.58178185","84.12740542","104.086865115798","1","680.621100569226","379.760550345456","1336.75457348892","1400.8645731696","1","1","1","1"
2052,"1.33129328","77.73468398","84.27898302","104.091666045786","1","680.621100569226","379.760550345456","1336.75457348892","1400.8645731696","1","1","1","1"
2053,"1.327809732","77.88688542","84.4292021","104.094848526333","1","680.621100569226","379.760550345456","1336.75457348892","1400.8645731696","1","1","1","1"
2054,"1.324182141","78.038429","84.57811499","104.098527969282","1","680.621100569226","379.760550345456","1336.75457348892","1400.8645731696","1","1","1","1"
2055,"1.321217979","78.18934409","84.72575575","104.102645838906","1","675.09522485586","371.260308973338","1297.08783035497","1370.37381795713","1","1","1","1"
2056,"1.318043875","78.33966888","84.87217181","104.107028103133","1","675.09522485586","371.260308973338","1297.08783035497","1370.37381795713","1","1","1","1"
2057,"1.315190879","78.48943623","85.01740366","104.111553775588","1","675.09522485586","371.260308973338","1297.08783035497","1370.37381795713","1","1","1","1"
2058,"1.312745567","78.63869099","85.16149539","104.116146895562","1","675.09522485586","371.260308973338","1297.08783035497","1370.37381795713","1","1","1","1"
2059,"1.310926787","78.78746372","85.30448977","104.120762489257","1","675.09522485586","371.260308973338","1297.08783035497","1370.37381795713","1","1","1","1"
2060,"1.308570272","78.93579711","85.44643222","104.125380864331","1","669.569349142495","361.022849893788","1254.19047049849","1334.61726494172","1","1","1","1"
2061,"1.306487723","79.08372767","85.58736778","104.130000012962","1","669.569349142495","361.022849893788","1254.19047049849","1334.61726494172","1","1","1","1"
2062,"1.304566855","79.23129039","85.72732971","104.134627192087","1","669.569349142495","361.022849893788","1254.19047049849","1334.61726494172","1","1","1","1"
2063,"1.302928772","79.37852042","85.86636234","104.139274089314","1","669.569349142495","361.022849893788","1254.19047049849","1334.61726494172","1","1","1","1"
2064,"1.301406202","79.52545072","86.00449674","104.143956233723","1","669.569349142495","361.022849893788","1254.19047049849","1334.61726494172","1","1","1","1"
2065,"1.299603561","79.67211529","86.1417704","104.148693117129","1","664.043473429129","360.325119472813","1257.68462761415","1343.58117502771","1","1","1","1"
2066,"1.298086991","79.81853759","86.27821541","104.15350789325","1","664.043473429129","360.325119472813","1257.68462761415","1343.58117502771","1","1","1","1"
2067,"1.296693709","79.96474563","86.4138553","104.158424549039","1","664.043473429129","360.325119472813","1257.68462761415","1343.58117502771","1","1","1","1"
2068,"1.295249271","80.11076034","86.54872249","104.163463405919","1","664.043473429129","360.325119472813","1257.68462761415","1343.58117502771","1","1","1","1"
2069,"1.294405679","80.25659775","86.68282614","104.16864125088","1","664.043473429129","360.325119472813","1257.68462761415","1343.58117502771","1","1","1","1"
2070,"1.293063837","80.40227808","86.81619424","104.173972526031","1","658.517597715763","356.303314020726","1237.33385870328","1332.22952599963","1","1","1","1"
2071,"1.291721995","80.5398343420077","86.9395093085778","104.179467994478","1","658.517597715763","356.303314020726","1237.33385870328","1332.22952599963","1","1","1","1"
2072,"1.290380153","80.6822912337084","87.0680403545523","104.185136939276","1","658.517597715763","356.303314020726","1237.33385870328","1332.22952599963","1","1","1","1"
2073,"1.289038311","80.8242483533201","87.195444172791","104.190987564886","1","658.517597715763","356.303314020726","1237.33385870328","1332.22952599963","1","1","1","1"
2074,"1.287696469","80.9657076487574","87.3217230533846","104.197027016505","1","658.517597715763","356.303314020726","1237.33385870328","1332.22952599963","1","1","1","1"
2075,"1.286354627","81.1066708380075","87.446879013691","104.203261531038","1","652.991722002397","352.281508568639","1216.98308979241","1320.87787697155","1","1","1","1"
2076,"1.285012785","81.2471394427859","87.5709138386018","104.209696565639","1","652.991722002397","352.281508568639","1216.98308979241","1320.87787697155","1","1","1","1"
2077,"1.283670943","81.3871148164081","87.6938291138378","104.216336906959","1","652.991722002397","352.281508568639","1216.98308979241","1320.87787697155","1","1","1","1"
