"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"AGS","COL","Total","f",0,0.000338820903256667
"AGS","COL","Total","f",1,0.000338820903256667
"AGS","COL","Total","f",2,0.000338820903256667
"AGS","COL","Total","f",3,0.000338820903256667
"AGS","COL","Total","f",4,0.000338820903256667
"AGS","COL","Total","f",5,0.000199897268549685
"AGS","COL","Total","f",6,0.000199897268549685
"AGS","COL","Total","f",7,0.000199897268549685
"AGS","COL","Total","f",8,0.000199897268549685
"AGS","COL","Total","f",9,0.000199897268549685
"AGS","COL","Total","f",10,0.000142617134604468
"AGS","COL","Total","f",11,0.000142617134604468
"AGS","COL","Total","f",12,0.000142617134604468
"AGS","COL","Total","f",13,0.000142617134604468
"AGS","COL","Total","f",14,0.000142617134604468
"AGS","COL","Total","f",15,0.000146551593996683
"AGS","COL","Total","f",16,0.000146551593996683
"AGS","COL","Total","f",17,0.000146551593996683
"AGS","COL","Total","f",18,0.000146551593996683
"AGS","COL","Total","f",19,0.000146551593996683
"AGS","COL","Total","f",20,0.000175171191253884
"AGS","COL","Total","f",21,0.000175171191253884
"AGS","COL","Total","f",22,0.000175171191253884
"AGS","COL","Total","f",23,0.000175171191253884
"AGS","COL","Total","f",24,0.000175171191253884
"AGS","COL","Total","f",25,0.000245696600470905
"AGS","COL","Total","f",26,0.000245696600470905
"AGS","COL","Total","f",27,0.000245696600470905
"AGS","COL","Total","f",28,0.000245696600470905
"AGS","COL","Total","f",29,0.000245696600470905
"AGS","COL","Total","f",30,0.000220351799657198
"AGS","COL","Total","f",31,0.000220351799657198
"AGS","COL","Total","f",32,0.000220351799657198
"AGS","COL","Total","f",33,0.000220351799657198
"AGS","COL","Total","f",34,0.000220351799657198
"AGS","COL","Total","f",35,0.000193610388264994
"AGS","COL","Total","f",36,0.000193610388264994
"AGS","COL","Total","f",37,0.000193610388264994
"AGS","COL","Total","f",38,0.000193610388264994
"AGS","COL","Total","f",39,0.000193610388264994
"AGS","COL","Total","f",40,0.000133078241888311
"AGS","COL","Total","f",41,0.000133078241888311
"AGS","COL","Total","f",42,0.000133078241888311
"AGS","COL","Total","f",43,0.000133078241888311
"AGS","COL","Total","f",44,0.000133078241888311
"AGS","COL","Total","f",45,0.00015160495582706
"AGS","COL","Total","f",46,0.00015160495582706
"AGS","COL","Total","f",47,0.00015160495582706
"AGS","COL","Total","f",48,0.00015160495582706
"AGS","COL","Total","f",49,0.00015160495582706
"AGS","COL","Total","f",50,0.00011588840752246
"AGS","COL","Total","f",51,0.00011588840752246
"AGS","COL","Total","f",52,0.00011588840752246
"AGS","COL","Total","f",53,0.00011588840752246
"AGS","COL","Total","f",54,0.00011588840752246
"AGS","COL","Total","f",55,8.03203727152406e-05
"AGS","COL","Total","f",56,8.03203727152406e-05
"AGS","COL","Total","f",57,8.03203727152406e-05
"AGS","COL","Total","f",58,8.03203727152406e-05
"AGS","COL","Total","f",59,8.03203727152406e-05
"AGS","COL","Total","f",60,7.60072958171924e-05
"AGS","COL","Total","f",61,7.60072958171924e-05
"AGS","COL","Total","f",62,7.60072958171924e-05
"AGS","COL","Total","f",63,7.60072958171924e-05
"AGS","COL","Total","f",64,7.60072958171924e-05
"AGS","COL","Total","f",65,0.000160610578711759
"AGS","COL","Total","f",66,0.000160610578711759
"AGS","COL","Total","f",67,0.000160610578711759
"AGS","COL","Total","f",68,0.000160610578711759
"AGS","COL","Total","f",69,0.000160610578711759
"AGS","COL","Total","f",70,0.000143770458810105
"AGS","COL","Total","f",71,0.000143770458810105
"AGS","COL","Total","f",72,0.000143770458810105
"AGS","COL","Total","f",73,0.000143770458810105
"AGS","COL","Total","f",74,0.000143770458810105
"AGS","COL","Total","f",75,9.75800156128025e-05
"AGS","COL","Total","f",76,9.75800156128025e-05
"AGS","COL","Total","f",77,9.75800156128025e-05
"AGS","COL","Total","f",78,9.75800156128025e-05
"AGS","COL","Total","f",79,9.75800156128025e-05
"AGS","COL","Total","f",80,0
"AGS","COL","Total","f",81,0
"AGS","COL","Total","f",82,0
"AGS","COL","Total","f",83,0
"AGS","COL","Total","f",84,0
"AGS","COL","Total","f",85,0
"AGS","COL","Total","f",86,0
"AGS","COL","Total","f",87,0
"AGS","COL","Total","f",88,0
"AGS","COL","Total","f",89,0
"AGS","COL","Total","f",90,0.00131926121372032
"AGS","COL","Total","f",91,0.00131926121372032
"AGS","COL","Total","f",92,0.00131926121372032
"AGS","COL","Total","f",93,0.00131926121372032
"AGS","COL","Total","f",94,0.00131926121372032
"AGS","COL","Total","f",95,0
"AGS","COL","Total","f",96,0
"AGS","COL","Total","f",97,0
"AGS","COL","Total","f",98,0
"AGS","COL","Total","f",99,0
"AGS","COL","Total","f",100,0
