"Race","Sex","Age","Population"
"Total","Male",0,5466
"Total","Male",1,5489
"Total","Male",2,5577
"Total","Male",3,5699
"Total","Male",4,5881
"Total","Male",5,6120
"Total","Male",6,6238
"Total","Male",7,6309
"Total","Male",8,6393
"Total","Male",9,6488
"Total","Male",10,6561
"Total","Male",11,6582
"Total","Male",12,6563
"Total","Male",13,6518
"Total","Male",14,6473
"Total","Male",15,6448
"Total","Male",16,6442
"Total","Male",17,6464
"Total","Male",18,6508
"Total","Male",19,6545
"Total","Male",20,6537
"Total","Male",21,6484
"Total","Male",22,6426
"Total","Male",23,6407
"Total","Male",24,6427
"Total","Male",25,6461
"Total","Male",26,6480
"Total","Male",27,6475
"Total","Male",28,6434
"Total","Male",29,6343
"Total","Male",30,6217
"Total","Male",31,6085
"Total","Male",32,5956
"Total","Male",33,5821
"Total","Male",34,5672
"Total","Male",35,5502
"Total","Male",36,5310
"Total","Male",37,5112
"Total","Male",38,4930
"Total","Male",39,4778
"Total","Male",40,4667
"Total","Male",41,4593
"Total","Male",42,4556
"Total","Male",43,4550
"Total","Male",44,4558
"Total","Male",45,4550
"Total","Male",46,4517
"Total","Male",47,4456
"Total","Male",48,4375
"Total","Male",49,4278
"Total","Male",50,4175
"Total","Male",51,4072
"Total","Male",52,3968
"Total","Male",53,3865
"Total","Male",54,3764
"Total","Male",55,3667
"Total","Male",56,3559
"Total","Male",57,3439
"Total","Male",58,3314
"Total","Male",59,3184
"Total","Male",60,3048
"Total","Male",61,2902
"Total","Male",62,2755
"Total","Male",63,2612
"Total","Male",64,2473
"Total","Male",65,2330
"Total","Male",66,2172
"Total","Male",67,2016
"Total","Male",68,1878
"Total","Male",69,1757
"Total","Male",70,1660
"Total","Male",71,1571
"Total","Male",72,1480
"Total","Male",73,1389
"Total","Male",74,1297
"Total","Male",75,1205
"Total","Male",76,1110
"Total","Male",77,1015
"Total","Male",78,926
"Total","Male",79,841
"Total","Male",80,758
"Total","Male",81,677
"Total","Male",82,604
"Total","Male",83,536
"Total","Male",84,473
"Total","Male",85,416
"Total","Male",86,365
"Total","Male",87,317
"Total","Male",88,273
"Total","Male",89,233
"Total","Male",90,197
"Total","Male",91,165
"Total","Male",92,136
"Total","Male",93,112
"Total","Male",94,91
"Total","Male",95,72
"Total","Male",96,56
"Total","Male",97,44
"Total","Male",98,34
"Total","Male",99,26
"Total","Male",100,62
"Total","Female",0,5255
"Total","Female",1,5278
"Total","Female",2,5364
"Total","Female",3,5478
"Total","Female",4,5648
"Total","Female",5,5876
"Total","Female",6,5976
"Total","Female",7,6029
"Total","Female",8,6098
"Total","Female",9,6174
"Total","Female",10,6237
"Total","Female",11,6264
"Total","Female",12,6261
"Total","Female",13,6245
"Total","Female",14,6232
"Total","Female",15,6231
"Total","Female",16,6242
"Total","Female",17,6273
"Total","Female",18,6322
"Total","Female",19,6359
"Total","Female",20,6353
"Total","Female",21,6307
"Total","Female",22,6257
"Total","Female",23,6246
"Total","Female",24,6273
"Total","Female",25,6317
"Total","Female",26,6355
"Total","Female",27,6377
"Total","Female",28,6368
"Total","Female",29,6319
"Total","Female",30,6242
"Total","Female",31,6161
"Total","Female",32,6090
"Total","Female",33,6021
"Total","Female",34,5948
"Total","Female",35,5862
"Total","Female",36,5758
"Total","Female",37,5643
"Total","Female",38,5526
"Total","Female",39,5416
"Total","Female",40,5318
"Total","Female",41,5238
"Total","Female",42,5175
"Total","Female",43,5130
"Total","Female",44,5094
"Total","Female",45,5039
"Total","Female",46,4954
"Total","Female",47,4843
"Total","Female",48,4715
"Total","Female",49,4578
"Total","Female",50,4442
"Total","Female",51,4309
"Total","Female",52,4182
"Total","Female",53,4058
"Total","Female",54,3944
"Total","Female",55,3833
"Total","Female",56,3713
"Total","Female",57,3582
"Total","Female",58,3446
"Total","Female",59,3308
"Total","Female",60,3162
"Total","Female",61,3010
"Total","Female",62,2859
"Total","Female",63,2714
"Total","Female",64,2577
"Total","Female",65,2436
"Total","Female",66,2280
"Total","Female",67,2127
"Total","Female",68,1992
"Total","Female",69,1874
"Total","Female",70,1780
"Total","Female",71,1698
"Total","Female",72,1611
"Total","Female",73,1523
"Total","Female",74,1433
"Total","Female",75,1342
"Total","Female",76,1246
"Total","Female",77,1151
"Total","Female",78,1062
"Total","Female",79,974
"Total","Female",80,888
"Total","Female",81,803
"Total","Female",82,723
"Total","Female",83,649
"Total","Female",84,579
"Total","Female",85,514
"Total","Female",86,454
"Total","Female",87,397
"Total","Female",88,343
"Total","Female",89,293
"Total","Female",90,249
"Total","Female",91,208
"Total","Female",92,172
"Total","Female",93,140
"Total","Female",94,113
"Total","Female",95,89
"Total","Female",96,70
"Total","Female",97,54
"Total","Female",98,41
"Total","Female",99,30
"Total","Female",100,68
