"year","f_A","m_M","m_F","sr_A","int_mig","iim_M","iim_F","iom_M","iom_F","idm_M","idm_F","odm_M","odm_F"
NA,"fertility","mortality","mortality","sex ratio at birth","internal migration change","net international in-migrants","net international in-migrants","net international out-migrants","net international out-migrants","domestic in-migration","domestic in-migration","domestic out-migration","domestic out-migration"
NA,"Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
NA,NA,"male","female",NA,"Total","male","female","male","female","male","female","male","female"
2020,"2.10694265771969","66.1395705","73.98547023","103.727563261074","1","1684.1467877122","1488.72750459537","1428.09590769078","713.333221605315","1","1","1","1"
2021,"2.10869539343938","67.46521945","74.69777066","103.738442536993","0.99392668","1684.1467877122","1488.72750459537","1428.09590769078","713.333221605315","0.99392668","0.99392668","0.99392668","0.99392668"
2022,"2.11044812915906","71.95856217","78.21553953","103.748963955651","0.99392668","1684.1467877122","1488.72750459537","1428.09590769078","713.333221605315","0.99392668","0.99392668","0.99392668","0.99392668"
2023,"2.11220086487875","72.01273604","78.28913249","103.759152918354","0.99392668","1684.1467877122","1488.72750459537","1428.09590769078","713.333221605315","0.99392668","0.99392668","0.99392668","0.99392668"
2024,"2.11395360059844","72.10077195","78.40025449","103.769026935057","0.99392668","1684.1467877122","1488.72750459537","1428.09590769078","713.333221605315","0.99392668","0.99392668","0.99392668","0.99392668"
2025,"2.11570633631813","72.17008613","78.4897767","103.778593528658","0.99392668","1740.79420593685","1511.86501076089","1418.20837180517","666.140210268071","0.99392668","0.99392668","0.99392668","0.99392668"
2026,"2.11745907203781","72.2558964","78.59711328","103.787850852915","0.98559068","1740.79420593685","1511.86501076089","1418.20837180517","666.140210268071","0.98559068","0.98559068","0.98559068","0.98559068"
2027,"2.1192118077575","72.33008408","78.69084356","103.796788480186","0.98559068","1740.79420593685","1511.86501076089","1418.20837180517","666.140210268071","0.98559068","0.98559068","0.98559068","0.98559068"
2028,"2.12096454347719","72.412268","78.79279116","103.8053878036","0.98559068","1740.79420593685","1511.86501076089","1418.20837180517","666.140210268071","0.98559068","0.98559068","0.98559068","0.98559068"
2029,"2.12271727919688","72.4872855","78.88612408","103.813622500928","0.98559068","1740.79420593685","1511.86501076089","1418.20837180517","666.140210268071","0.98559068","0.98559068","0.98559068","0.98559068"
2030,"2.12447001491656","72.56600539","78.98285652","103.82145967006","0.98559068","1774.49305119374","1552.81595077764","1412.77241296569","678.280320518159","0.98559068","0.98559068","0.98559068","0.98559068"
2031,"2.12622275063625","72.64020259","79.07393027","103.828862423602","0.97253189","1774.49305119374","1552.81595077764","1412.77241296569","678.280320518159","0.97253189","0.97253189","0.97253189","0.97253189"
2032,"2.12797548635594","72.71588677","79.16593014","103.835793307901","0.97253189","1774.49305119374","1552.81595077764","1412.77241296569","678.280320518159","0.97253189","0.97253189","0.97253189","0.97253189"
2033,"2.12972822207563","72.78858872","79.2539677","103.842220420149","0.97253189","1774.49305119374","1552.81595077764","1412.77241296569","678.280320518159","0.97253189","0.97253189","0.97253189","0.97253189"
2034,"2.13148095779531","72.86161245","79.34164779","103.848128613405","0.97253189","1774.49305119374","1552.81595077764","1412.77241296569","678.280320518159","0.97253189","0.97253189","0.97253189","0.97253189"
2035,"2.133233693515","72.93252489","79.42633218","103.853540070805","0.97253189","1783.47033713151","1576.81744262143","1411.88254755583","705.006186385793","0.97253189","0.97253189","0.97253189","0.97253189"
2036,"2.13498642923469","73.00315922","79.51000016","103.85856313299","0.9563525","1783.47033713151","1576.81744262143","1411.88254755583","705.006186385793","0.9563525","0.9563525","0.9563525","0.9563525"
2037,"2.13673916495438","73.07218292","79.59121851","103.863526771963","0.9563525","1783.47033713151","1576.81744262143","1411.88254755583","705.006186385793","0.9563525","0.9563525","0.9563525","0.9563525"
2038,"2.13849190067406","73.14061073","79.67108145","103.869280281717","0.9563525","1783.47033713151","1576.81744262143","1411.88254755583","705.006186385793","0.9563525","0.9563525","0.9563525","0.9563525"
2039,"2.14024463639375","73.20772082","79.74881887","103.875028313421","0.9563525","1783.47033713151","1576.81744262143","1411.88254755583","705.006186385793","0.9563525","0.9563525","0.9563525","0.9563525"
2040,"2.14199737211344","73.27407644","79.82503664","103.880965961354","0.9563525","1784.79161358565","1589.37682615421","1415.91789411389","702.196807870505","0.9563525","0.9563525","0.9563525","0.9563525"
2041,"2.14375010783313","73.33928658","79.89932424","103.886802792698","0.93899779","1784.79161358565","1589.37682615421","1415.91789411389","702.196807870505","0.93899779","0.93899779","0.93899779","0.93899779"
2042,"2.14550284355281","73.4036699","79.97202191","103.892334709331","0.93899779","1784.79161358565","1589.37682615421","1415.91789411389","702.196807870505","0.93899779","0.93899779","0.93899779","0.93899779"
2043,"2.1472555792725","73.46701724","80.04291671","103.897431764415","0.93899779","1784.79161358565","1589.37682615421","1415.91789411389","702.196807870505","0.93899779","0.93899779","0.93899779","0.93899779"
2044,"2.14900831499219","73.52951285","80.11220129","103.902008903888","0.93899779","1784.79161358565","1589.37682615421","1415.91789411389","702.196807870505","0.93899779","0.93899779","0.93899779","0.93899779"
2045,"2.15076105071188","73.5910495","80.17978179","103.90603027526","0.93899779","1768.43191884063","1593.08592144271","1420.64616718347","708.052292651125","0.93899779","0.93899779","0.93899779","0.93899779"
2046,"2.15251378643156","73.65173842","80.24576426","103.909551083858","0.92576718","1768.43191884063","1593.08592144271","1420.64616718347","708.052292651125","0.92576718","0.92576718","0.92576718","0.92576718"
2047,"2.15426652215125","73.7115259","80.3101183","103.912683537551","0.92576718","1768.43191884063","1593.08592144271","1420.64616718347","708.052292651125","0.92576718","0.92576718","0.92576718","0.92576718"
2048,"2.15601925787094","73.77049116","80.37291627","103.915562528314","0.92576718","1768.43191884063","1593.08592144271","1420.64616718347","708.052292651125","0.92576718","0.92576718","0.92576718","0.92576718"
2049,"2.15777199359063","73.82861303","80.43415301","103.918327351987","0.92576718","1768.43191884063","1593.08592144271","1420.64616718347","708.052292651125","0.92576718","0.92576718","0.92576718","0.92576718"
2050,"2.15952472931031","73.88594633","80.49389174","103.92113358213","0.92576718","1747.34231367006","1588.85966335644","1426.70014862206","705.77332146473","0.92576718","0.92576718","0.92576718","0.92576718"
2051,"2.16127746503","73.94250247","80.55214683","103.92411871003","0.90882097","1747.34231367006","1588.85966335644","1426.70014862206","705.77332146473","0.90882097","0.90882097","0.90882097","0.90882097"
2052,"2.16303020074969","73.99831914","80.60896598","103.927364659913","0.90882097","1747.34231367006","1588.85966335644","1426.70014862206","705.77332146473","0.90882097","0.90882097","0.90882097","0.90882097"
2053,"2.16478293646938","74.05342176","80.66437854","103.930337898064","0.90882097","1747.34231367006","1588.85966335644","1426.70014862206","705.77332146473","0.90882097","0.90882097","0.90882097","0.90882097"
2054,"2.16653567218906","74.10784908","80.71844215","103.933474137711","0.90882097","1747.34231367006","1588.85966335644","1426.70014862206","705.77332146473","0.90882097","0.90882097","0.90882097","0.90882097"
2055,"2.16828840790875","74.16163292","80.77118109","103.936698845041","0.90882097","1722.60823262992","1579.13499590538","1435.56550779237","699.94609165266","0.90882097","0.90882097","0.90882097","0.90882097"
2056,"2.17004114362844","74.21481466","80.8226543","103.939936173519","0.89985058","1722.60823262992","1579.13499590538","1435.56550779237","699.94609165266","0.89985058","0.89985058","0.89985058","0.89985058"
2057,"2.17179387934813","74.26743023","80.87289232","103.943135236302","0.89985058","1722.60823262992","1579.13499590538","1435.56550779237","699.94609165266","0.89985058","0.89985058","0.89985058","0.89985058"
2058,"2.17354661506782","74.31951851","80.92195684","103.946263537281","0.89985058","1722.60823262992","1579.13499590538","1435.56550779237","699.94609165266","0.89985058","0.89985058","0.89985058","0.89985058"
2059,"2.1752993507875","74.37111947","80.96988361","103.949302361741","0.89985058","1722.60823262992","1579.13499590538","1435.56550779237","699.94609165266","0.89985058","0.89985058","0.89985058","0.89985058"
2060,"2.17705208650719","74.42227782","81.01671532","103.952242971104","0.89985058","1696.07489322732","1566.03455052417","1452.14379538248","694.187583057879","0.89985058","0.89985058","0.89985058","0.89985058"
2061,"2.17880482222688","74.47302343","81.06249895","103.95508330477","0.8873042","1696.07489322732","1566.03455052417","1452.14379538248","694.187583057879","0.8873042","0.8873042","0.8873042","0.8873042"
2062,"2.18055755794657","74.52340182","81.10727167","103.957826218133","0.8873042","1696.07489322732","1566.03455052417","1452.14379538248","694.187583057879","0.8873042","0.8873042","0.8873042","0.8873042"
2063,"2.18231029366625","74.57344462","81.15108318","103.960477575627","0.8873042","1696.07489322732","1566.03455052417","1452.14379538248","694.187583057879","0.8873042","0.8873042","0.8873042","0.8873042"
