"Race","Sex","Age","lx"
"Total","Female","0",1e+05
"Total","Female","1",99629.4123029187
"Total","Female","2",99236.2029795722
"Total","Female","3",99193.756771338
"Total","Female","4",99163.9428923529
"Total","Female","5",99140.7045203587
"Total","Female","6",99123.6490331573
"Total","Female","7",99106.7668652218
"Total","Female","8",99089.8885307666
"Total","Female","9",99073.0598820309
"Total","Female","10",99056.2957781562
"Total","Female","11",99033.9493124683
"Total","Female","12",99011.5040862657
"Total","Female","13",98983.2013380491
"Total","Female","14",98954.602568485
"Total","Female","15",98919.9444857455
"Total","Female","16",98879.153957549
"Total","Female","17",98832.2917992752
"Total","Female","18",98779.4638482022
"Total","Female","19",98720.7992420445
"Total","Female","20",98650.3053657634
"Total","Female","21",98573.292666784
"Total","Female","22",98489.0831172761
"Total","Female","23",98397.3430454433
"Total","Female","24",98298.3704240359
"Total","Female","25",98192.5963127463
"Total","Female","26",98080.1763449541
"Total","Female","27",97960.7771233905
"Total","Female","28",97833.8602650328
"Total","Female","29",97698.6283370706
"Total","Female","30",97553.9188626604
"Total","Female","31",97405.506843092
"Total","Female","32",97246.3870833426
"Total","Female","33",97083.6553067835
"Total","Female","34",96917.5089418104
"Total","Female","35",96748.0920536734
"Total","Female","36",96567.8720746849
"Total","Female","37",96383.9040694625
"Total","Female","38",96188.3277858915
"Total","Female","39",95981.076893173
"Total","Female","40",95762.468847611
"Total","Female","41",95524.9363157219
"Total","Female","42",95277.3768746826
"Total","Female","43",95004.2928049501
"Total","Female","44",94715.0612781225
"Total","Female","45",94402.0081052454
"Total","Female","46",94056.0321593099
"Total","Female","47",93674.7015159706
"Total","Female","48",93263.5715617153
"Total","Female","49",92811.477603443
"Total","Female","50",92324.4608543994
"Total","Female","51",91800.3695290124
"Total","Female","52",91237.4555827362
"Total","Female","53",90624.8121735938
"Total","Female","54",89960.5465346251
"Total","Female","55",89243.3432978698
"Total","Female","56",88461.5919954879
"Total","Female","57",87609.6344481798
"Total","Female","58",86680.4492648529
"Total","Female","59",85668.4057633131
"Total","Female","60",84567.3123299385
"Total","Female","61",83368.756799506
"Total","Female","62",82063.9690198885
"Total","Female","63",80657.5492884489
"Total","Female","64",79146.5520477558
"Total","Female","65",77514.3885335864
"Total","Female","66",75764.6907630325
"Total","Female","67",73906.8592653949
"Total","Female","68",71933.9862254562
"Total","Female","69",69854.8782373327
"Total","Female","70",67664.561534966
"Total","Female","71",65371.4068224559
"Total","Female","72",62971.844604145
"Total","Female","73",60444.2083476232
"Total","Female","74",57802.4905148637
"Total","Female","75",55060.2568905572
"Total","Female","76",52249.1893911503
"Total","Female","77",49340.5447678819
"Total","Female","78",46364.4197864524
"Total","Female","79",43347.212425078
"Total","Female","80",40327.0817880668
"Total","Female","81",37277.1344259441
"Total","Female","82",34213.7849096878
"Total","Female","83",31162.6265848818
"Total","Female","84",28132.9267780183
"Total","Female","85",25175.7443512636
"Total","Female","86",22319.6305533813
"Total","Female","87",19587.4345540475
"Total","Female","88",16978.4732143757
"Total","Female","89",14538.4531117109
"Total","Female","90",12270.3318251334
"Total","Female","91",10173.8932218443
"Total","Female","92",8290.22224892905
"Total","Female","93",6642.60575165762
"Total","Female","94",5213.18426079458
"Total","Female","95",4002.79117376692
"Total","Female","96",2999.42485287601
"Total","Female","97",2160.87596927627
"Total","Female","98",1500.9039983643
"Total","Female","99",1000.6026655762
"Total","Female","100+",642.492237896299
"Total","Male","0",1e+05
"Total","Male","1",99311.2430499292
"Total","Male","2",98568.5748426593
"Total","Male","3",98510.8310964129
"Total","Male","4",98476.8969486015
"Total","Male","5",98449.4545919208
"Total","Male","6",98428.0455553672
"Total","Male","7",98406.8634290304
"Total","Male","8",98385.6344648563
"Total","Male","9",98364.4249505551
"Total","Male","10",98343.2599317384
"Total","Male","11",98316.7772981227
"Total","Male","12",98290.1425685429
"Total","Male","13",98252.4370747503
"Total","Male","14",98203.2739838948
"Total","Male","15",98142.3658609875
"Total","Male","16",98058.3901907034
"Total","Male","17",97951.3549214865
"Total","Male","18",97815.9226989888
"Total","Male","19",97652.5628695511
"Total","Male","20",97455.4613038273
"Total","Male","21",97222.9316146803
"Total","Male","22",96958.2698290089
"Total","Male","23",96665.997959988
"Total","Male","24",96347.0267476544
"Total","Male","25",95990.779653006
"Total","Male","26",95597.5945566802
"Total","Male","27",95166.0838797269
"Total","Male","28",94705.9641281614
"Total","Male","29",94220.0559504621
"Total","Male","30",93716.3400672733
"Total","Male","31",93198.0333126669
"Total","Male","32",92670.9819055513
"Total","Male","33",92136.0250828283
"Total","Male","34",91600.2275538441
"Total","Male","35",91056.1755192736
"Total","Male","36",90502.4605888417
"Total","Male","37",89937.0380527481
"Total","Male","38",89367.6894100888
"Total","Male","39",88796.8084612117
"Total","Male","40",88228.8208563713
"Total","Male","41",87652.1337681925
"Total","Male","42",87063.2250540104
"Total","Male","43",86458.3793063148
"Total","Male","44",85842.2253609466
"Total","Male","45",85192.0014316964
"Total","Male","46",84507.0574060665
"Total","Male","47",83783.7445038748
"Total","Male","48",83026.1985999697
"Total","Male","49",82230.4872388603
"Total","Male","50",81393.255970629
"Total","Male","51",80520.1765607011
"Total","Male","52",79601.1350278666
"Total","Male","53",78642.7737622745
"Total","Male","54",77634.3614575782
