"Race","Sex","Age","Population"
"Total","Male",0,16453
"Total","Male",1,16786
"Total","Male",2,17065
"Total","Male",3,17415
"Total","Male",4,17940
"Total","Male",5,18392
"Total","Male",6,18585
"Total","Male",7,18540
"Total","Male",8,18553
"Total","Male",9,18588
"Total","Male",10,18565
"Total","Male",11,18454
"Total","Male",12,18244
"Total","Male",13,17982
"Total","Male",14,17730
"Total","Male",15,17523
"Total","Male",16,17397
"Total","Male",17,17346
"Total","Male",18,17350
"Total","Male",19,17323
"Total","Male",20,17163
"Total","Male",21,16875
"Total","Male",22,16562
"Total","Male",23,16338
"Total","Male",24,16197
"Total","Male",25,16080
"Total","Male",26,15915
"Total","Male",27,15681
"Total","Male",28,15358
"Total","Male",29,14924
"Total","Male",30,14425
"Total","Male",31,13930
"Total","Male",32,13473
"Total","Male",33,13031
"Total","Male",34,12590
"Total","Male",35,12132
"Total","Male",36,11648
"Total","Male",37,11180
"Total","Male",38,10767
"Total","Male",39,10441
"Total","Male",40,10217
"Total","Male",41,10087
"Total","Male",42,10041
"Total","Male",43,10067
"Total","Male",44,10127
"Total","Male",45,10158
"Total","Male",46,10121
"Total","Male",47,10019
"Total","Male",48,9865
"Total","Male",49,9674
"Total","Male",50,9458
"Total","Male",51,9234
"Total","Male",52,8999
"Total","Male",53,8756
"Total","Male",54,8515
"Total","Male",55,8274
"Total","Male",56,8005
"Total","Male",57,7704
"Total","Male",58,7392
"Total","Male",59,7070
"Total","Male",60,6733
"Total","Male",61,6385
"Total","Male",62,6041
"Total","Male",63,5715
"Total","Male",64,5409
"Total","Male",65,5097
"Total","Male",66,4760
"Total","Male",67,4433
"Total","Male",68,4151
"Total","Male",69,3909
"Total","Male",70,3719
"Total","Male",71,3553
"Total","Male",72,3379
"Total","Male",73,3202
"Total","Male",74,3021
"Total","Male",75,2837
"Total","Male",76,2642
"Total","Male",77,2444
"Total","Male",78,2258
"Total","Male",79,2077
"Total","Male",80,1894
"Total","Male",81,1716
"Total","Male",82,1545
"Total","Male",83,1382
"Total","Male",84,1230
"Total","Male",85,1086
"Total","Male",86,951
"Total","Male",87,825
"Total","Male",88,706
"Total","Male",89,595
"Total","Male",90,493
"Total","Male",91,400
"Total","Male",92,320
"Total","Male",93,251
"Total","Male",94,191
"Total","Male",95,142
"Total","Male",96,103
"Total","Male",97,73
"Total","Male",98,48
"Total","Male",99,31
"Total","Male",100,51
"Total","Female",0,15870
"Total","Female",1,16184
"Total","Female",2,16362
"Total","Female",3,16633
"Total","Female",4,17067
"Total","Female",5,17437
"Total","Female",6,17613
"Total","Female",7,17614
"Total","Female",8,17663
"Total","Female",9,17728
"Total","Female",10,17729
"Total","Female",11,17647
"Total","Female",12,17489
"Total","Female",13,17303
"Total","Female",14,17128
"Total","Female",15,16972
"Total","Female",16,16876
"Total","Female",17,16833
"Total","Female",18,16833
"Total","Female",19,16799
"Total","Female",20,16646
"Total","Female",21,16381
"Total","Female",22,16096
"Total","Female",23,15899
"Total","Female",24,15790
"Total","Female",25,15713
"Total","Female",26,15598
"Total","Female",27,15427
"Total","Female",28,15182
"Total","Female",29,14842
"Total","Female",30,14450
"Total","Female",31,14068
"Total","Female",32,13733
"Total","Female",33,13428
"Total","Female",34,13146
"Total","Female",35,12872
"Total","Female",36,12586
"Total","Female",37,12308
"Total","Female",38,12054
"Total","Female",39,11841
"Total","Female",40,11677
"Total","Female",41,11561
"Total","Female",42,11497
"Total","Female",43,11479
"Total","Female",44,11478
"Total","Female",45,11439
"Total","Female",46,11323
"Total","Female",47,11140
"Total","Female",48,10907
"Total","Female",49,10644
"Total","Female",50,10364
"Total","Female",51,10080
"Total","Female",52,9796
"Total","Female",53,9515
"Total","Female",54,9245
"Total","Female",55,8979
"Total","Female",56,8680
"Total","Female",57,8347
"Total","Female",58,8004
"Total","Female",59,7653
"Total","Female",60,7286
"Total","Female",61,6910
"Total","Female",62,6537
"Total","Female",63,6187
"Total","Female",64,5855
"Total","Female",65,5519
"Total","Female",66,5156
"Total","Female",67,4805
"Total","Female",68,4501
"Total","Female",69,4238
"Total","Female",70,4032
"Total","Female",71,3851
"Total","Female",72,3662
"Total","Female",73,3469
"Total","Female",74,3272
"Total","Female",75,3073
"Total","Female",76,2864
"Total","Female",77,2653
"Total","Female",78,2453
"Total","Female",79,2258
"Total","Female",80,2061
"Total","Female",81,1867
"Total","Female",82,1682
"Total","Female",83,1507
"Total","Female",84,1343
"Total","Female",85,1189
"Total","Female",86,1043
"Total","Female",87,904
"Total","Female",88,775
"Total","Female",89,656
"Total","Female",90,546
"Total","Female",91,446
"Total","Female",92,358
"Total","Female",93,282
"Total","Female",94,217
"Total","Female",95,164
"Total","Female",96,120
"Total","Female",97,86
"Total","Female",98,60
"Total","Female",99,39
"Total","Female",100,59
