"year","f_A","m_M","m_F","sr_A","int_mig","iim_M","iim_F","iom_M","iom_F","idm_M","idm_F","odm_M","odm_F"
NA,"fertility","mortality","mortality","sex ratio at birth","internal migration change","net international in-migrants","net international in-migrants","net international out-migrants","net international out-migrants","domestic in-migration","domestic in-migration","domestic out-migration","domestic out-migration"
NA,"Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
NA,NA,"male","female",NA,"Total","male","female","male","female","male","female","male","female"
2020,"2.499094928","65.32853939","73.29707869","103.753714058197","1","3372.41467020529","1066.51210904741","7109.59675107651","5335.34197332714","1","1","1","1"
2021,"2.429775816","66.28015473","72.84247609","103.749619088601","1","3372.41467020529","1066.51210904741","7109.59675107651","5335.34197332714","1","1","1","1"
2022,"2.364544205","69.56403361","76.09902025","103.746397635179","1","3372.41467020529","1066.51210904741","7109.59675107651","5335.34197332714","1","1","1","1"
2023,"2.300743673","69.74081902","76.29944009","103.744014462369","1","3372.41467020529","1066.51210904741","7109.59675107651","5335.34197332714","1","1","1","1"
2024,"2.241863534","69.9563583","76.54317803","103.742423007878","1","3372.41467020529","1066.51210904741","7109.59675107651","5335.34197332714","1","1","1","1"
2025,"2.190405611","70.15039152","76.7619771","103.741579374235","1","3346.30629018559","995.13279723465","7316.90971789862","5394.79941408668","1","1","1","1"
2026,"2.145272544","70.36328119","77.0013364","103.741443686099","1","3346.30629018559","995.13279723465","7316.90971789862","5394.79941408668","1","1","1","1"
2027,"2.104280053","70.56281384","77.2249849","103.741979360901","1","3346.30629018559","995.13279723465","7316.90971789862","5394.79941408668","1","1","1","1"
2028,"2.066361243","70.77147429","77.45811204","103.743153828303","1","3346.30629018559","995.13279723465","7316.90971789862","5394.79941408668","1","1","1","1"
2029,"2.031949209","70.97190511","77.68129906","103.74494043851","1","3346.30629018559","995.13279723465","7316.90971789862","5394.79941408668","1","1","1","1"
2030,"2.001453","71.17655998","77.9084007","103.747321557796","1","3320.19791016589","1009.23133835944","7402.07890300525","5498.9707838727","1","1","1","1"
2031,"1.974975115","71.37603827","78.12896513","103.750292746085","1","3320.19791016589","1009.23133835944","7402.07890300525","5498.9707838727","1","1","1","1"
2032,"1.951738075","71.57721835","78.35059757","103.753868648764","1","3320.19791016589","1009.23133835944","7402.07890300525","5498.9707838727","1","1","1","1"
2033,"1.931546859","71.77498889","78.56764834","103.758091879521","1","3320.19791016589","1009.23133835944","7402.07890300525","5498.9707838727","1","1","1","1"
2034,"1.913894904","71.97314989","78.78428427","103.763046383823","1","3320.19791016589","1009.23133835944","7402.07890300525","5498.9707838727","1","1","1","1"
2035,"1.898279184","72.16892384","78.99745761","103.768878707843","1","3294.08953014619","1041.40462395757","7363.70387904837","5527.05596523961","1","1","1","1"
2036,"1.884497431","72.36440569","79.20945049","103.775826725673","1","3294.08953014619","1041.40462395757","7363.70387904837","5527.05596523961","1","1","1","1"
2037,"1.872145989","72.55808644","79.41861472","103.784205745158","1","3294.08953014619","1041.40462395757","7363.70387904837","5527.05596523961","1","1","1","1"
2038,"1.860931591","72.75113087","79.62620997","103.793944976237","1","3294.08953014619","1041.40462395757","7363.70387904837","5527.05596523961","1","1","1","1"
2039,"1.850589348","72.9427138","79.83134492","103.801601582526","1","3294.08953014619","1041.40462395757","7363.70387904837","5527.05596523961","1","1","1","1"
2040,"1.841174134","73.13349471","80.0347245","103.808408006507","1","3267.98115012649","1026.10089950491","7278.69213843649","5502.68601071691","1","1","1","1"
2041,"1.832845199","73.32302418","80.23586252","103.814520530025","1","3267.98115012649","1026.10089950491","7278.69213843649","5502.68601071691","1","1","1","1"
2042,"1.825468197","73.51167383","80.43517068","103.82018453118","1","3267.98115012649","1026.10089950491","7278.69213843649","5502.68601071691","1","1","1","1"
2043,"1.819051452","73.69921144","80.63238493","103.825424945419","1","3267.98115012649","1026.10089950491","7278.69213843649","5502.68601071691","1","1","1","1"
2044,"1.813400207","73.88584865","80.82773739","103.830234106112","1","3267.98115012649","1026.10089950491","7278.69213843649","5502.68601071691","1","1","1","1"
2045,"1.808413126","74.07146767","81.02111432","103.834636982713","1","3241.87277010679","1022.97523700869","7125.36606020844","5449.2917096771","1","1","1","1"
2046,"1.803888757","74.25620061","81.21264713","103.838674421863","1","3241.87277010679","1022.97523700869","7125.36606020844","5449.2917096771","1","1","1","1"
2047,"1.799675533","74.43999469","81.40228749","103.842396062097","1","3241.87277010679","1022.97523700869","7125.36606020844","5449.2917096771","1","1","1","1"
2048,"1.795856851","74.62293334","81.59013136","103.845860307589","1","3241.87277010679","1022.97523700869","7125.36606020844","5449.2917096771","1","1","1","1"
2049,"1.792166591","74.80500266","81.77617019","103.849153027208","1","3241.87277010679","1022.97523700869","7125.36606020844","5449.2917096771","1","1","1","1"
2050,"1.788886574","74.98626481","81.96046576","103.852364582017","1","3215.76439008708","1007.17861962394","6946.71627798293","5362.52251767436","1","1","1","1"
2051,"1.785929599","75.1667336","82.1430437","103.855571944908","1","3215.76439008708","1007.17861962394","6946.71627798293","5362.52251767436","1","1","1","1"
2052,"1.783370195","75.34646112","82.32396088","103.858831915672","1","3215.76439008708","1007.17861962394","6946.71627798293","5362.52251767436","1","1","1","1"
2053,"1.781173198","75.5254724","82.50325063","103.861850394936","1","3215.76439008708","1007.17861962394","6946.71627798293","5362.52251767436","1","1","1","1"
2054,"1.77924129","75.70381737","82.68096789","103.864940312891","1","3215.76439008708","1007.17861962394","6946.71627798293","5362.52251767436","1","1","1","1"
2055,"1.777359878","75.8815305","82.85715668","103.868071323652","1","3189.65601006738","984.634778869936","6740.58000159525","5245.8036252565","1","1","1","1"
2056,"1.775631674","76.05866747","83.03187552","103.871194720389","1","3189.65601006738","984.634778869936","6740.58000159525","5245.8036252565","1","1","1","1"
2057,"1.773840196","76.23526089","83.20516522","103.874274560207","1","3189.65601006738","984.634778869936","6740.58000159525","5245.8036252565","1","1","1","1"
2058,"1.771931863","76.4113683","83.37708619","103.877286878232","1","3189.65601006738","984.634778869936","6740.58000159525","5245.8036252565","1","1","1","1"
2059,"1.769959033","76.58702825","83.54768666","103.880216544685","1","3189.65601006738","984.634778869936","6740.58000159525","5245.8036252565","1","1","1","1"
2060,"1.768027496","76.76229424","83.71701994","103.883054823921","1","3163.54763004768","957.483591378716","6517.65517013597","5108.92721023968","1","1","1","1"
2061,"1.766086926","76.9372084","83.88513815","103.885798178224","1","3163.54763004768","957.483591378716","6517.65517013597","5108.92721023968","1","1","1","1"
2062,"1.764243837","77.1118191","84.05208095","103.888447177042","1","3163.54763004768","957.483591378716","6517.65517013597","5108.92721023968","1","1","1","1"
2063,"1.762610061","77.28616485","84.21790123","103.89100568145","1","3163.54763004768","957.483591378716","6517.65517013597","5108.92721023968","1","1","1","1"
2064,"1.761233132","77.46028695","84.38264123","103.893479329746","1","3163.54763004768","957.483591378716","6517.65517013597","5108.92721023968","1","1","1","1"
2065,"1.759905893","77.6342246","84.54634304","103.895874460545","1","3137.43925002798","955.633111749835","6535.813266315","5143.24114079598","1","1","1","1"
2066,"1.758770431","77.80800906","84.70903811","103.898197436608","1","3137.43925002798","955.633111749835","6535.813266315","5143.24114079598","1","1","1","1"
2067,"1.757593598","77.98167671","84.87076735","103.900454054926","1","3137.43925002798","955.633111749835","6535.813266315","5143.24114079598","1","1","1","1"
2068,"1.756445727","78.15524778","85.03155112","103.902649579052","1","3137.43925002798","955.633111749835","6535.813266315","5143.24114079598","1","1","1","1"
2069,"1.755253863","78.3287483","85.19142078","103.904788264432","1","3137.43925002798","955.633111749835","6535.813266315","5143.24114079598","1","1","1","1"
2070,"1.754068706","78.5021987","85.35039289","103.906873243759","1","3111.33087000828","944.966715622211","6430.05636787879","5099.78692352779","1","1","1","1"
2071,"1.752883549","78.6656471809344","85.4973913875041","103.908906901646","1","3111.33087000828","944.966715622211","6430.05636787879","5099.78692352779","1","1","1","1"
2072,"1.751698392","78.8353834427364","85.650579790149","103.910891554348","1","3111.33087000828","944.966715622211","6430.05636787879","5099.78692352779","1","1","1","1"
2073,"1.750513235","79.0046475082793","85.8024114672702","103.912829313637","1","3111.33087000828","944.966715622211","6430.05636787879","5099.78692352779","1","1","1","1"
2074,"1.749328078","79.1734418142865","85.9528891437423","103.914722027055","1","3111.33087000828","944.966715622211","6430.05636787879","5099.78692352779","1","1","1","1"
2075,"1.748142921","79.3417685085784","86.1020152199279","103.916571311847","1","3085.22248998858","934.300319494588","6324.29946944257","5056.3327062596","1","1","1","1"
2076,"1.746957764","79.50962949255","86.2497918195898","103.918378584943","1","3085.22248998858","934.300319494588","6324.29946944257","5056.3327062596","1","1","1","1"
