"Race","Age","Fertility"
"Total",0,0
"Total",1,0
"Total",2,0
"Total",3,0
"Total",4,0
"Total",5,0
"Total",6,0
"Total",7,0
"Total",8,0
"Total",9,0
"Total",10,0
"Total",11,0
"Total",12,0
"Total",13,0
"Total",14,0
"Total",15,0.07284610192
"Total",16,0.07284610192
"Total",17,0.07284610192
"Total",18,0.07284610192
"Total",19,0.07284610192
"Total",20,0.1400086966
"Total",21,0.1400086966
"Total",22,0.1400086966
"Total",23,0.1400086966
"Total",24,0.1400086966
"Total",25,0.1276711103
"Total",26,0.1276711103
"Total",27,0.1276711103
"Total",28,0.1276711103
"Total",29,0.1276711103
"Total",30,0.09166384149
"Total",31,0.09166384149
"Total",32,0.09166384149
"Total",33,0.09166384149
"Total",34,0.09166384149
"Total",35,0.05035886674
"Total",36,0.05035886674
"Total",37,0.05035886674
"Total",38,0.05035886674
"Total",39,0.05035886674
"Total",40,0.01513554148
"Total",41,0.01513554148
"Total",42,0.01513554148
"Total",43,0.01513554148
"Total",44,0.01513554148
"Total",45,0.002134827059
"Total",46,0.002134827059
"Total",47,0.002134827059
"Total",48,0.002134827059
"Total",49,0.002134827059
"Total",50,0
"Total",51,0
"Total",52,0
"Total",53,0
"Total",54,0
"Total",55,0
"Total",56,0
"Total",57,0
"Total",58,0
"Total",59,0
"Total",60,0
"Total",61,0
"Total",62,0
"Total",63,0
"Total",64,0
"Total",65,0
"Total",66,0
"Total",67,0
"Total",68,0
"Total",69,0
"Total",70,0
"Total",71,0
"Total",72,0
"Total",73,0
"Total",74,0
"Total",75,0
"Total",76,0
"Total",77,0
"Total",78,0
"Total",79,0
"Total",80,0
"Total",81,0
"Total",82,0
"Total",83,0
"Total",84,0
"Total",85,0
"Total",86,0
"Total",87,0
"Total",88,0
"Total",89,0
"Total",90,0
"Total",91,0
"Total",92,0
"Total",93,0
"Total",94,0
"Total",95,0
"Total",96,0
"Total",97,0
"Total",98,0
"Total",99,0
"Total",100,0
