"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"AGS","GRO","Total","f",0,0.000136331558349907
"AGS","GRO","Total","f",1,0.000136331558349907
"AGS","GRO","Total","f",2,0.000136331558349907
"AGS","GRO","Total","f",3,0.000136331558349907
"AGS","GRO","Total","f",4,0.000136331558349907
"AGS","GRO","Total","f",5,0.000147426968040449
"AGS","GRO","Total","f",6,0.000147426968040449
"AGS","GRO","Total","f",7,0.000147426968040449
"AGS","GRO","Total","f",8,0.000147426968040449
"AGS","GRO","Total","f",9,0.000147426968040449
"AGS","GRO","Total","f",10,0.000134851320744173
"AGS","GRO","Total","f",11,0.000134851320744173
"AGS","GRO","Total","f",12,0.000134851320744173
"AGS","GRO","Total","f",13,0.000134851320744173
"AGS","GRO","Total","f",14,0.000134851320744173
"AGS","GRO","Total","f",15,0.000125137778476791
"AGS","GRO","Total","f",16,0.000125137778476791
"AGS","GRO","Total","f",17,0.000125137778476791
"AGS","GRO","Total","f",18,0.000125137778476791
"AGS","GRO","Total","f",19,0.000125137778476791
"AGS","GRO","Total","f",20,0.00013107643063904
"AGS","GRO","Total","f",21,0.00013107643063904
"AGS","GRO","Total","f",22,0.00013107643063904
"AGS","GRO","Total","f",23,0.00013107643063904
"AGS","GRO","Total","f",24,0.00013107643063904
"AGS","GRO","Total","f",25,0.00014379000367417
"AGS","GRO","Total","f",26,0.00014379000367417
"AGS","GRO","Total","f",27,0.00014379000367417
"AGS","GRO","Total","f",28,0.00014379000367417
"AGS","GRO","Total","f",29,0.00014379000367417
"AGS","GRO","Total","f",30,0.000135646182981905
"AGS","GRO","Total","f",31,0.000135646182981905
"AGS","GRO","Total","f",32,0.000135646182981905
"AGS","GRO","Total","f",33,0.000135646182981905
"AGS","GRO","Total","f",34,0.000135646182981905
"AGS","GRO","Total","f",35,0.000106224937048331
"AGS","GRO","Total","f",36,0.000106224937048331
"AGS","GRO","Total","f",37,0.000106224937048331
"AGS","GRO","Total","f",38,0.000106224937048331
"AGS","GRO","Total","f",39,0.000106224937048331
"AGS","GRO","Total","f",40,8.26024109826693e-05
"AGS","GRO","Total","f",41,8.26024109826693e-05
"AGS","GRO","Total","f",42,8.26024109826693e-05
"AGS","GRO","Total","f",43,8.26024109826693e-05
"AGS","GRO","Total","f",44,8.26024109826693e-05
"AGS","GRO","Total","f",45,0.000168281074593065
"AGS","GRO","Total","f",46,0.000168281074593065
"AGS","GRO","Total","f",47,0.000168281074593065
"AGS","GRO","Total","f",48,0.000168281074593065
"AGS","GRO","Total","f",49,0.000168281074593065
"AGS","GRO","Total","f",50,0.00017336599101975
"AGS","GRO","Total","f",51,0.00017336599101975
"AGS","GRO","Total","f",52,0.00017336599101975
"AGS","GRO","Total","f",53,0.00017336599101975
"AGS","GRO","Total","f",54,0.00017336599101975
"AGS","GRO","Total","f",55,0.000197682273370275
"AGS","GRO","Total","f",56,0.000197682273370275
"AGS","GRO","Total","f",57,0.000197682273370275
"AGS","GRO","Total","f",58,0.000197682273370275
"AGS","GRO","Total","f",59,0.000197682273370275
"AGS","GRO","Total","f",60,0.000157307100736713
"AGS","GRO","Total","f",61,0.000157307100736713
"AGS","GRO","Total","f",62,0.000157307100736713
"AGS","GRO","Total","f",63,0.000157307100736713
"AGS","GRO","Total","f",64,0.000157307100736713
"AGS","GRO","Total","f",65,0.000163880307171175
"AGS","GRO","Total","f",66,0.000163880307171175
"AGS","GRO","Total","f",67,0.000163880307171175
"AGS","GRO","Total","f",68,0.000163880307171175
"AGS","GRO","Total","f",69,0.000163880307171175
"AGS","GRO","Total","f",70,0.000113359947466214
"AGS","GRO","Total","f",71,0.000113359947466214
"AGS","GRO","Total","f",72,0.000113359947466214
"AGS","GRO","Total","f",73,0.000113359947466214
"AGS","GRO","Total","f",74,0.000113359947466214
"AGS","GRO","Total","f",75,3.25266718709342e-05
"AGS","GRO","Total","f",76,3.25266718709342e-05
"AGS","GRO","Total","f",77,3.25266718709342e-05
"AGS","GRO","Total","f",78,3.25266718709342e-05
"AGS","GRO","Total","f",79,3.25266718709342e-05
"AGS","GRO","Total","f",80,0
"AGS","GRO","Total","f",81,0
"AGS","GRO","Total","f",82,0
"AGS","GRO","Total","f",83,0
"AGS","GRO","Total","f",84,0
"AGS","GRO","Total","f",85,0
"AGS","GRO","Total","f",86,0
"AGS","GRO","Total","f",87,0
"AGS","GRO","Total","f",88,0
"AGS","GRO","Total","f",89,0
"AGS","GRO","Total","f",90,0
"AGS","GRO","Total","f",91,0
"AGS","GRO","Total","f",92,0
"AGS","GRO","Total","f",93,0
"AGS","GRO","Total","f",94,0
"AGS","GRO","Total","f",95,0
"AGS","GRO","Total","f",96,0
"AGS","GRO","Total","f",97,0
"AGS","GRO","Total","f",98,0
"AGS","GRO","Total","f",99,0
"AGS","GRO","Total","f",100,0
"AGS","GRO","Total","m",0,0.000145994375374591
"AGS","GRO","Total","m",1,0.000145994375374591
"AGS","GRO","Total","m",2,0.000145994375374591
"AGS","GRO","Total","m",3,0.000145994375374591
"AGS","GRO","Total","m",4,0.000145994375374591
"AGS","GRO","Total","m",5,0.000156347668230665
"AGS","GRO","Total","m",6,0.000156347668230665
"AGS","GRO","Total","m",7,0.000156347668230665
"AGS","GRO","Total","m",8,0.000156347668230665
"AGS","GRO","Total","m",9,0.000156347668230665
"AGS","GRO","Total","m",10,0.000169183257314574
"AGS","GRO","Total","m",11,0.000169183257314574
"AGS","GRO","Total","m",12,0.000169183257314574
"AGS","GRO","Total","m",13,0.000169183257314574
"AGS","GRO","Total","m",14,0.000169183257314574
"AGS","GRO","Total","m",15,0.000149935302592054
"AGS","GRO","Total","m",16,0.000149935302592054
"AGS","GRO","Total","m",17,0.000149935302592054
"AGS","GRO","Total","m",18,0.000149935302592054
"AGS","GRO","Total","m",19,0.000149935302592054
"AGS","GRO","Total","m",20,0.000142259070007325
"AGS","GRO","Total","m",21,0.000142259070007325
"AGS","GRO","Total","m",22,0.000142259070007325
"AGS","GRO","Total","m",23,0.000142259070007325
"AGS","GRO","Total","m",24,0.000142259070007325
"AGS","GRO","Total","m",25,0.000128934032156358
"AGS","GRO","Total","m",26,0.000128934032156358
"AGS","GRO","Total","m",27,0.000128934032156358
"AGS","GRO","Total","m",28,0.000128934032156358
"AGS","GRO","Total","m",29,0.000128934032156358
"AGS","GRO","Total","m",30,0.000139092612975409
"AGS","GRO","Total","m",31,0.000139092612975409
"AGS","GRO","Total","m",32,0.000139092612975409
"AGS","GRO","Total","m",33,0.000139092612975409
"AGS","GRO","Total","m",34,0.000139092612975409
