"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"GRO","AGS","Total","f",0,0.000128057005287331
"GRO","AGS","Total","f",1,0.000128057005287331
"GRO","AGS","Total","f",2,0.000128057005287331
"GRO","AGS","Total","f",3,0.000128057005287331
"GRO","AGS","Total","f",4,0.000128057005287331
"GRO","AGS","Total","f",5,0.000152426157280959
"GRO","AGS","Total","f",6,0.000152426157280959
"GRO","AGS","Total","f",7,0.000152426157280959
"GRO","AGS","Total","f",8,0.000152426157280959
"GRO","AGS","Total","f",9,0.000152426157280959
"GRO","AGS","Total","f",10,0.00019027086217155
"GRO","AGS","Total","f",11,0.00019027086217155
"GRO","AGS","Total","f",12,0.00019027086217155
"GRO","AGS","Total","f",13,0.00019027086217155
"GRO","AGS","Total","f",14,0.00019027086217155
"GRO","AGS","Total","f",15,0.000239662851290486
"GRO","AGS","Total","f",16,0.000239662851290486
"GRO","AGS","Total","f",17,0.000239662851290486
"GRO","AGS","Total","f",18,0.000239662851290486
"GRO","AGS","Total","f",19,0.000239662851290486
"GRO","AGS","Total","f",20,0.000284838710758276
"GRO","AGS","Total","f",21,0.000284838710758276
"GRO","AGS","Total","f",22,0.000284838710758276
"GRO","AGS","Total","f",23,0.000284838710758276
"GRO","AGS","Total","f",24,0.000284838710758276
"GRO","AGS","Total","f",25,0.000303709046367049
"GRO","AGS","Total","f",26,0.000303709046367049
"GRO","AGS","Total","f",27,0.000303709046367049
"GRO","AGS","Total","f",28,0.000303709046367049
"GRO","AGS","Total","f",29,0.000303709046367049
"GRO","AGS","Total","f",30,0.000257924553175047
"GRO","AGS","Total","f",31,0.000257924553175047
"GRO","AGS","Total","f",32,0.000257924553175047
"GRO","AGS","Total","f",33,0.000257924553175047
"GRO","AGS","Total","f",34,0.000257924553175047
"GRO","AGS","Total","f",35,0.000221525529310375
"GRO","AGS","Total","f",36,0.000221525529310375
"GRO","AGS","Total","f",37,0.000221525529310375
"GRO","AGS","Total","f",38,0.000221525529310375
"GRO","AGS","Total","f",39,0.000221525529310375
