"Race","Sex","Age","lx"
"Total","Female","0",1e+05
"Total","Female","1",99492.1266876645
"Total","Female","2",98928.3060291886
"Total","Female","3",98871.9414415299
"Total","Female","4",98837.6911803568
"Total","Female","5",98811.9167733847
"Total","Female","6",98788.9145230737
"Total","Female","7",98768.8270181236
"Total","Female","8",98748.98338943
"Total","Female","9",98729.3939463363
"Total","Female","10",98710.0577193278
"Total","Female","11",98688.1483205054
"Total","Female","12",98663.5803560525
"Total","Female","13",98633.4536538383
"Total","Female","14",98600.344995027
"Total","Female","15",98561.3560152238
"Total","Female","16",98516.2426814258
"Total","Female","17",98465.0284614037
"Total","Female","18",98404.8428895995
"Total","Female","19",98338.535262592
"Total","Female","20",98265.8179464862
"Total","Female","21",98185.9570966237
"Total","Female","22",98098.1112066149
"Total","Female","23",98001.8345869386
"Total","Female","24",97900.5701384003
"Total","Female","25",97794.8788383408
"Total","Female","26",97678.8018308176
"Total","Female","27",97555.1536590074
"Total","Female","28",97423.5091631447
"Total","Female","29",97283.1583576
"Total","Female","30",97136.408579158
"Total","Female","31",96982.6509082769
"Total","Female","32",96821.6185192626
"Total","Female","33",96653.5951876186
"Total","Female","34",96482.4149089203
"Total","Female","35",96308.1631976596
"Total","Female","36",96126.8754282586
"Total","Female","37",95937.8121207168
"Total","Female","38",95736.4904853437
"Total","Female","39",95522.5817711582
"Total","Female","40",95296.1156247982
"Total","Female","41",95057.5771626585
"Total","Female","42",94803.0145113367
"Total","Female","43",94528.7216497686
"Total","Female","44",94235.5007719458
"Total","Female","45",93919.3626647992
"Total","Female","46",93570.556532156
"Total","Female","47",93190.9055951297
"Total","Female","48",92782.3527428932
"Total","Female","49",92338.0859034839
"Total","Female","50",91856.149416652
"Total","Female","51",91339.9816784181
"Total","Female","52",90783.5260119404
"Total","Female","53",90185.8529409094
"Total","Female","54",89535.9846709729
"Total","Female","55",88828.2314646229
"Total","Female","56",88061.5820457145
"Total","Female","57",87226.3132382558
"Total","Female","58",86316.815833326
"Total","Female","59",85328.7893578162
"Total","Female","60",84251.9758141189
"Total","Female","61",83074.2920011153
"Total","Female","62",81794.4831316035
"Total","Female","63",80407.6017220503
"Total","Female","64",78911.9173803187
"Total","Female","65",77299.6421103462
"Total","Female","66",75569.1547935801
"Total","Female","67",73716.2961993778
"Total","Female","68",71755.5819384757
"Total","Female","69",69672.6695672848
"Total","Female","70",67471.273096042
"Total","Female","71",65167.6578341845
"Total","Female","72",62744.0353587689
"Total","Female","73",60197.900590587
"Total","Female","74",57528.3018019881
"Total","Female","75",54766.4454033532
"Total","Female","76",51920.3213096358
"Total","Female","77",48974.9319293668
"Total","Female","78",45959.0305017685
"Total","Female","79",42918.7244565787
"Total","Female","80",39865.4671978415
"Total","Female","81",36800.4080536651
"Total","Female","82",33725.165040824
"Total","Female","83",30661.7466635023
"Total","Female","84",27634.0070339009
"Total","Female","85",24678.3731504951
"Total","Female","86",21832.3558144304
"Total","Female","87",19106.1830084195
"Total","Female","88",16529.3872040313
"Total","Female","89",14116.6661343586
"Total","Female","90",11879.922602052
"Total","Female","91",9847.54199690095
"Total","Female","92",8022.85039159283
"Total","Female","93",6438.26606158073
"Total","Female","94",5076.19014451785
"Total","Female","95",3926.73420670838
"Total","Female","96",2963.44676928759
"Total","Female","97",2171.90724133455
"Total","Female","98",1537.41748543906
"Total","Female","99",1057.85606796266
"Total","Female","100+",704.383580362545
"Total","Male","0",1e+05
"Total","Male","1",99314.3592274502
"Total","Male","2",98554.1911048598
"Total","Male","3",98489.111985682
"Total","Male","4",98450.6675656798
"Total","Male","5",98423.1150448117
"Total","Male","6",98398.214960892
"Total","Male","7",98376.1154179474
"Total","Male","8",98354.2728678282
"Total","Male","9",98332.6950758923
"Total","Male","10",98308.7098667133
"Total","Male","11",98282.2486506639
"Total","Male","12",98250.5293514382
"Total","Male","13",98210.5928175917
"Total","Male","14",98159.3198907357
"Total","Male","15",98093.4834969907
"Total","Male","16",98006.6862546037
"Total","Male","17",97895.7143509374
"Total","Male","18",97760.0747543838
"Total","Male","19",97593.4656661357
"Total","Male","20",97397.4829261015
"Total","Male","21",97169.1683339229
"Total","Male","22",96911.4251818436
"Total","Male","23",96625.4932628466
"Total","Male","24",96315.1919498597
"Total","Male","25",95975.167972066
"Total","Male","26",95606.9261801158
"Total","Male","27",95205.7660410767
"Total","Male","28",94777.3816931984
"Total","Male","29",94330.4035876206
"Total","Male","30",93872.7935549589
"Total","Male","31",93406.9612023775
"Total","Male","32",92932.7747315598
"Total","Male","33",92455.4620724352
"Total","Male","34",91975.3430509791
"Total","Male","35",91487.6976386322
"Total","Male","36",90986.8877280551
"Total","Male","37",90469.8540038664
"Total","Male","38",89944.4375853908
"Total","Male","39",89412.0128782403
"Total","Male","40",88871.0586084498
"Total","Male","41",88316.4580494132
"Total","Male","42",87742.1386675469
"Total","Male","43",87142.5397192074
"Total","Male","44",86512.1426872158
"Total","Male","45",85844.0575967083
"Total","Male","46",85123.5526209635
"Total","Male","47",84351.894353578
"Total","Male","48",83530.0809522307
"Total","Male","49",82659.393254432
"Total","Male","50",81737.1400834033
"Total","Male","51",80762.1050174655
"Total","Male","52",79733.2883930392
"Total","Male","53",78645.3294358126
"Total","Male","54",77492.6263021933
"Total","Male","55",76271.2237443257
"Total","Male","56",74976.7498499581
"Total","Male","57",73599.4145281288
"Total","Male","58",72133.4993148783
"Total","Male","59",70570.5052792626
"Total","Male","60",68913.0518432202
"Total","Male","61",67156.993640754
"Total","Male","62",65302.1025710217
"Total","Male","63",63346.0940058338
"Total","Male","64",61291.6874451716
"Total","Male","65",59136.6776752647
"Total","Male","66",56882.3616758842
"Total","Male","67",54552.4469289589
"Total","Male","68",52180.9929547181
"Total","Male","69",49755.0983496638
"Total","Male","70",47293.9301259553
"Total","Male","71",44809.6829854758
"Total","Male","72",42289.0273731937
"Total","Male","73",39743.7061195492
"Total","Male","74",37198.8250239219
"Total","Male","75",34671.1329852874
"Total","Male","76",32165.0538160648
"Total","Male","77",29678.3622248578
"Total","Male","78",27240.6809591556
"Total","Male","79",24872.8556545532
"Total","Male","80",22577.5462002106
"Total","Male","81",20365.2774791277
"Total","Male","82",18245.6417100533
"Total","Male","83",16230.5407666795
"Total","Male","84",14325.6623739606
"Total","Male","85",12540.9196265051
"Total","Male","86",10886.1503948388
"Total","Male","87",9364.8430412992
"Total","Male","88",7971.94309409006
"Total","Male","89",6705.61098212906
"Total","Male","90",5573.25419976155
"Total","Male","91",4580.31810670058
"Total","Male","92",3714.77701941471
"Total","Male","93",2980.99390446859
"Total","Male","94",2363.20989929782
"Total","Male","95",1844.50074258318
"Total","Male","96",1407.41525855873
"Total","Male","97",1050.13546575735
"Total","Male","98",766.315069606711
"Total","Male","99",544.870410708954
"Total","Male","100+",381.6725099169
