"Race","Sex","Age","Population"
"Total","Male",0,37406
"Total","Male",1,36962
"Total","Male",2,36333
"Total","Male",3,35859
"Total","Male",4,35727
"Total","Male",5,35570
"Total","Male",6,35616
"Total","Male",7,36027
"Total","Male",8,36461
"Total","Male",9,36893
"Total","Male",10,37147
"Total","Male",11,37176
"Total","Male",12,36895
"Total","Male",13,36384
"Total","Male",14,35771
"Total","Male",15,35019
"Total","Male",16,34424
"Total","Male",17,33898
"Total","Male",18,33417
"Total","Male",19,32833
"Total","Male",20,31957
"Total","Male",21,30873
"Total","Male",22,29782
"Total","Male",23,28913
"Total","Male",24,28276
"Total","Male",25,27834
"Total","Male",26,27350
"Total","Male",27,26831
"Total","Male",28,26231
"Total","Male",29,25499
"Total","Male",30,24725
"Total","Male",31,23971
"Total","Male",32,23304
"Total","Male",33,22664
"Total","Male",34,22009
"Total","Male",35,21315
"Total","Male",36,20531
"Total","Male",37,19744
"Total","Male",38,19033
"Total","Male",39,18456
"Total","Male",40,18051
"Total","Male",41,17780
"Total","Male",42,17646
"Total","Male",43,17630
"Total","Male",44,17672
"Total","Male",45,17678
"Total","Male",46,17570
"Total","Male",47,17364
"Total","Male",48,17083
"Total","Male",49,16756
"Total","Male",50,16416
"Total","Male",51,16068
"Total","Male",52,15722
"Total","Male",53,15374
"Total","Male",54,15044
"Total","Male",55,14722
"Total","Male",56,14347
"Total","Male",57,13918
"Total","Male",58,13467
"Total","Male",59,13002
"Total","Male",60,12514
"Total","Male",61,11997
"Total","Male",62,11477
"Total","Male",63,10981
"Total","Male",64,10506
"Total","Male",65,10010
"Total","Male",66,9446
"Total","Male",67,8889
"Total","Male",68,8404
"Total","Male",69,7985
"Total","Male",70,7656
"Total","Male",71,7360
"Total","Male",72,7042
"Total","Male",73,6712
"Total","Male",74,6369
"Total","Male",75,6014
"Total","Male",76,5633
"Total","Male",77,5242
"Total","Male",78,4875
"Total","Male",79,4517
"Total","Male",80,4154
"Total","Male",81,3798
"Total","Male",82,3456
"Total","Male",83,3128
"Total","Male",84,2815
"Total","Male",85,2520
"Total","Male",86,2243
"Total","Male",87,1979
"Total","Male",88,1727
"Total","Male",89,1491
"Total","Male",90,1268
"Total","Male",91,1059
"Total","Male",92,876
"Total","Male",93,718
"Total","Male",94,580
"Total","Male",95,465
"Total","Male",96,368
"Total","Male",97,288
"Total","Male",98,225
"Total","Male",99,176
"Total","Male",100,522
"Total","Female",0,36071
"Total","Female",1,35720
"Total","Female",2,35093
"Total","Female",3,34635
"Total","Female",4,34508
"Total","Female",5,34362
"Total","Female",6,34422
"Total","Female",7,34838
"Total","Female",8,35283
"Total","Female",9,35738
"Total","Female",10,36039
"Total","Female",11,36148
"Total","Female",12,36019
"Total","Female",13,35743
"Total","Female",14,35398
"Total","Female",15,34948
"Total","Female",16,34616
"Total","Female",17,34346
"Total","Female",18,34122
"Total","Female",19,33796
"Total","Female",20,33209
"Total","Female",21,32399
"Total","Female",22,31571
"Total","Female",23,30953
"Total","Female",24,30551
"Total","Female",25,30312
"Total","Female",26,30000
"Total","Female",27,29622
"Total","Female",28,29133
"Total","Female",29,28484
"Total","Female",30,27775
"Total","Female",31,27079
"Total","Female",32,26484
"Total","Female",33,25950
"Total","Female",34,25447
"Total","Female",35,24945
"Total","Female",36,24381
"Total","Female",37,23802
"Total","Female",38,23247
"Total","Female",39,22750
"Total","Female",40,22344
"Total","Female",41,22002
"Total","Female",42,21743
"Total","Female",43,21566
"Total","Female",44,21426
"Total","Female",45,21232
"Total","Female",46,20907
"Total","Female",47,20484
"Total","Female",48,20001
"Total","Female",49,19492
"Total","Female",50,18988
"Total","Female",51,18492
"Total","Female",52,18016
"Total","Female",53,17561
"Total","Female",54,17137
"Total","Female",55,16728
"Total","Female",56,16264
"Total","Female",57,15742
"Total","Female",58,15201
"Total","Female",59,14646
"Total","Female",60,14066
"Total","Female",61,13462
"Total","Female",62,12865
"Total","Female",63,12303
"Total","Female",64,11772
"Total","Female",65,11219
"Total","Female",66,10595
"Total","Female",67,9979
"Total","Female",68,9438
"Total","Female",69,8971
"Total","Female",70,8608
"Total","Female",71,8286
"Total","Female",72,7943
"Total","Female",73,7585
"Total","Female",74,7217
"Total","Female",75,6841
"Total","Female",76,6440
"Total","Female",77,6028
"Total","Female",78,5642
"Total","Female",79,5260
"Total","Female",80,4865
"Total","Female",81,4472
"Total","Female",82,4088
"Total","Female",83,3716
"Total","Female",84,3354
"Total","Female",85,3007
"Total","Female",86,2673
"Total","Female",87,2351
"Total","Female",88,2045
"Total","Female",89,1755
"Total","Female",90,1486
"Total","Female",91,1234
"Total","Female",92,1013
"Total","Female",93,820
"Total","Female",94,654
"Total","Female",95,515
"Total","Female",96,399
"Total","Female",97,304
"Total","Female",98,230
"Total","Female",99,172
"Total","Female",100,460
