"year","f_A","m_M","m_F","sr_A","int_mig","iim_M","iim_F","iom_M","iom_F","idm_M","idm_F","odm_M","odm_F"
NA,"fertility","mortality","mortality","sex ratio at birth","internal migration change","net international in-migrants","net international in-migrants","net international out-migrants","net international out-migrants","domestic in-migration","domestic in-migration","domestic out-migration","domestic out-migration"
NA,"Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
NA,NA,"male","female",NA,"Total","male","female","male","female","male","female","male","female"
2020,"2.08903756537","64.11780087","73.1253067","103.661526773943","1","8132.80444600798","4368.42240271408","3067.52148669667","1178.33420563212","1","1","1","1"
2021,"2.09184305274","63.99661611","71.82729106","103.650615735282","0.99392668","8132.80444600798","4368.42240271408","3067.52148669667","1178.33420563212","0.99392668","0.99392668","0.99392668","0.99392668"
2022,"2.09464854011","71.69350006","78.03642702","103.641068076254","0.99392668","8132.80444600798","4368.42240271408","3067.52148669667","1178.33420563212","0.99392668","0.99392668","0.99392668","0.99392668"
2023,"2.09745402748","71.95504355","78.31737977","103.632826540216","0.99392668","8132.80444600798","4368.42240271408","3067.52148669667","1178.33420563212","0.99392668","0.99392668","0.99392668","0.99392668"
2024,"2.10025951485","72.25206289","78.63744505","103.625828175709","0.99392668","8132.80444600798","4368.42240271408","3067.52148669667","1178.33420563212","0.99392668","0.99392668","0.99392668","0.99392668"
2025,"2.10306500222","72.52946058","78.93499249","103.620017093618","0.99392668","8406.35683357522","4436.31555304842","3046.2832570958","1100.37745576939","0.99392668","0.99392668","0.99392668","0.99392668"
2026,"2.10587048959","72.82415014","79.25110965","103.615344632307","0.98559068","8406.35683357522","4436.31555304842","3046.2832570958","1100.37745576939","0.98559068","0.98559068","0.98559068","0.98559068"
2027,"2.10867597696","73.10665583","79.55304626","103.61176855997","0.98559068","8406.35683357522","4436.31555304842","3046.2832570958","1100.37745576939","0.98559068","0.98559068","0.98559068","0.98559068"
2028,"2.11148146433","73.39754733","79.86354082","103.609253906672","0.98559068","8406.35683357522","4436.31555304842","3046.2832570958","1100.37745576939","0.98559068","0.98559068","0.98559068","0.98559068"
2029,"2.1142869517","73.68093582","80.16505861","103.607775044516","0.98559068","8406.35683357522","4436.31555304842","3046.2832570958","1100.37745576939","0.98559068","0.98559068","0.98559068","0.98559068"
2030,"2.11709243907","73.96821121","80.47012115","103.607318905026","0.98559068","8569.08975004674","4556.47925206599","3034.60692607972","1120.43134746341","0.98559068","0.98559068","0.98559068","0.98559068"
2031,"2.11989792644","74.25076223","80.76927738","103.60788948346","0.97253189","8569.08975004674","4556.47925206599","3034.60692607972","1120.43134746341","0.97253189","0.97253189","0.97253189","0.97253189"
2032,"2.12270341381","74.5348798","81.06940411","103.609513945539","0.97253189","8569.08975004674","4556.47925206599","3034.60692607972","1120.43134746341","0.97253189","0.97253189","0.97253189","0.97253189"
2033,"2.12550890118","74.81588476","81.36539378","103.612251171866","0.97253189","8569.08975004674","4556.47925206599","3034.60692607972","1120.43134746341","0.97253189","0.97253189","0.97253189","0.97253189"
2034,"2.12831438855","75.09724805","81.66101599","103.616203808203","0.97253189","8569.08975004674","4556.47925206599","3034.60692607972","1120.43134746341","0.97253189","0.97253189","0.97253189","0.97253189"
2035,"2.13111987592","75.3764148","81.95351069","103.62153476465","0.97253189","8612.44138157937","4626.90762417931","3032.69551295242","1164.57902063094","0.97253189","0.97253189","0.97253189","0.97253189"
2036,"2.13392536329","75.65531055","82.24494","103.628479971416","0.9563525","8612.44138157937","4626.90762417931","3032.69551295242","1164.57902063094","0.9563525","0.9563525","0.9563525","0.9563525"
2037,"2.13673085066","75.93253943","82.53382234","103.637270263013","0.9563525","8612.44138157937","4626.90762417931","3032.69551295242","1164.57902063094","0.9563525","0.9563525","0.9563525","0.9563525"
2038,"2.13953633803","76.20916178","82.82128941","103.647462598476","0.9563525","8612.44138157937","4626.90762417931","3032.69551295242","1164.57902063094","0.9563525","0.9563525","0.9563525","0.9563525"
2039,"2.1423418254","76.48442935","83.10653576","103.655202427344","0.9563525","8612.44138157937","4626.90762417931","3032.69551295242","1164.57902063094","0.9563525","0.9563525","0.9563525","0.9563525"
2040,"2.14514731277","76.75893208","83.39019872","103.662127940379","0.9563525","8618.82187234126","4663.76103907191","3041.36335676211","1159.9382907436","0.9563525","0.9563525","0.9563525","0.9563525"
2041,"2.14795280014","77.0322584","83.67184691","103.668475341734","0.93899779","8618.82187234126","4663.76103907191","3041.36335676211","1159.9382907436","0.93899779","0.93899779","0.93899779","0.93899779"
2042,"2.15075828751","77.30474496","83.95183915","103.674452180747","0.93899779","8618.82187234126","4663.76103907191","3041.36335676211","1159.9382907436","0.93899779","0.93899779","0.93899779","0.93899779"
2043,"2.15356377488","77.57617576","84.22994799","103.68003117953","0.93899779","8618.82187234126","4663.76103907191","3041.36335676211","1159.9382907436","0.93899779","0.93899779","0.93899779","0.93899779"
2044,"2.15636926225","77.84674033","84.50637776","103.685158151958","0.93899779","8618.82187234126","4663.76103907191","3041.36335676211","1159.9382907436","0.93899779","0.93899779","0.93899779","0.93899779"
2045,"2.15917474962","78.11633054","84.78102784","103.689833066049","0.93899779","8539.8203273878","4674.64476017068","3051.51959287888","1169.61079413835","0.93899779","0.93899779","0.93899779","0.93899779"
2046,"2.16198023699","78.38505961","85.05401673","103.694105793291","0.92576718","8539.8203273878","4674.64476017068","3051.51959287888","1169.61079413835","0.92576718","0.92576718","0.92576718","0.92576718"
2047,"2.16478572436","78.65287793","85.32530027","103.698062013958","0.92576718","8539.8203273878","4674.64476017068","3051.51959287888","1169.61079413835","0.92576718","0.92576718","0.92576718","0.92576718"
2048,"2.16759121173","78.91986202","85.59496335","103.701798761152","0.92576718","8539.8203273878","4674.64476017068","3051.51959287888","1169.61079413835","0.92576718","0.92576718","0.92576718","0.92576718"
2049,"2.1703966991","79.18599723","85.8629978","103.705410140723","0.92576718","8539.8203273878","4674.64476017068","3051.51959287888","1169.61079413835","0.92576718","0.92576718","0.92576718","0.92576718"
2050,"2.17320218647","79.45133937","86.12946471","103.708981588652","0.92576718","8437.97787758046","4662.24351115316","3064.52342409423","1165.8462285451","0.92576718","0.92576718","0.92576718","0.92576718"
2051,"2.17600767384","79.71589903","86.39438811","103.712568160254","0.90882097","8437.97787758046","4662.24351115316","3064.52342409423","1165.8462285451","0.90882097","0.90882097","0.90882097","0.90882097"
2052,"2.17881316121","79.97971705","86.65781299","103.71618104135","0.90882097","8437.97787758046","4662.24351115316","3064.52342409423","1165.8462285451","0.90882097","0.90882097","0.90882097","0.90882097"
2053,"2.18161864858","80.24282108","86.91977034","103.719403069899","0.90882097","8437.97787758046","4662.24351115316","3064.52342409423","1165.8462285451","0.90882097","0.90882097","0.90882097","0.90882097"
2054,"2.18442413595","80.50525158","87.18031322","103.722568667399","0.90882097","8437.97787758046","4662.24351115316","3064.52342409423","1165.8462285451","0.90882097","0.90882097","0.90882097","0.90882097"
2055,"2.18722962332","80.76704102","87.43948158","103.72571063349","0.90882097","8318.53612480757","4633.7080975056","3083.56603852632","1156.22039870335","0.90882097","0.90882097","0.90882097","0.90882097"
2056,"2.19003511069","81.02823679","87.69732314","103.728807629324","0.89985058","8318.53612480757","4633.7080975056","3083.56603852632","1156.22039870335","0.89985058","0.89985058","0.89985058","0.89985058"
2057,"2.19284059806","81.28887122","87.95388096","103.731834524148","0.89985058","8318.53612480757","4633.7080975056","3083.56603852632","1156.22039870335","0.89985058","0.89985058","0.89985058","0.89985058"
2058,"2.19564608543","81.54899091","88.20921083","103.734771621446","0.89985058","8318.53612480757","4633.7080975056","3083.56603852632","1156.22039870335","0.89985058","0.89985058","0.89985058","0.89985058"
2059,"2.19845157280001","81.80863775","88.46334886","103.737605132062","0.89985058","8318.53612480757","4633.7080975056","3083.56603852632","1156.22039870335","0.89985058","0.89985058","0.89985058","0.89985058"
2060,"2.20125706017","82.06785113","88.71634777","103.740326433119","0.89985058","8190.40568971999","4595.26702691867","3119.17586915566","1146.70808742281","0.89985058","0.89985058","0.89985058","0.89985058"
2061,"2.20406254754001","82.32667136","88.96825074","103.742931273864","0.8873042","8190.40568971999","4595.26702691867","3119.17586915566","1146.70808742281","0.8873042","0.8873042","0.8873042","0.8873042"
2062,"2.20686803491001","82.58514081","89.21910524","103.745418915421","0.8873042","8190.40568971999","4595.26702691867","3119.17586915566","1146.70808742281","0.8873042","0.8873042","0.8873042","0.8873042"
2063,"2.20967352228001","82.84329882","89.46894797","103.747791066827","0.8873042","8190.40568971999","4595.26702691867","3119.17586915566","1146.70808742281","0.8873042","0.8873042","0.8873042","0.8873042"
