"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"AGS","GTO","Total","f",0,0.00198081734778982
"AGS","GTO","Total","f",1,0.00198081734778982
"AGS","GTO","Total","f",2,0.00198081734778982
"AGS","GTO","Total","f",3,0.00198081734778982
"AGS","GTO","Total","f",4,0.00198081734778982
"AGS","GTO","Total","f",5,0.00119005388339974
"AGS","GTO","Total","f",6,0.00119005388339974
"AGS","GTO","Total","f",7,0.00119005388339974
"AGS","GTO","Total","f",8,0.00119005388339974
"AGS","GTO","Total","f",9,0.00119005388339974
"AGS","GTO","Total","f",10,0.000918731884352816
"AGS","GTO","Total","f",11,0.000918731884352816
"AGS","GTO","Total","f",12,0.000918731884352816
"AGS","GTO","Total","f",13,0.000918731884352816
"AGS","GTO","Total","f",14,0.000918731884352816
"AGS","GTO","Total","f",15,0.000981275960789158
"AGS","GTO","Total","f",16,0.000981275960789158
"AGS","GTO","Total","f",17,0.000981275960789158
"AGS","GTO","Total","f",18,0.000981275960789158
"AGS","GTO","Total","f",19,0.000981275960789158
"AGS","GTO","Total","f",20,0.00148557916137837
"AGS","GTO","Total","f",21,0.00148557916137837
"AGS","GTO","Total","f",22,0.00148557916137837
"AGS","GTO","Total","f",23,0.00148557916137837
"AGS","GTO","Total","f",24,0.00148557916137837
"AGS","GTO","Total","f",25,0.00191493140473871
"AGS","GTO","Total","f",26,0.00191493140473871
"AGS","GTO","Total","f",27,0.00191493140473871
"AGS","GTO","Total","f",28,0.00191493140473871
"AGS","GTO","Total","f",29,0.00191493140473871
"AGS","GTO","Total","f",30,0.00219286295434666
"AGS","GTO","Total","f",31,0.00219286295434666
"AGS","GTO","Total","f",32,0.00219286295434666
"AGS","GTO","Total","f",33,0.00219286295434666
"AGS","GTO","Total","f",34,0.00219286295434666
"AGS","GTO","Total","f",35,0.00188765311154926
"AGS","GTO","Total","f",36,0.00188765311154926
"AGS","GTO","Total","f",37,0.00188765311154926
"AGS","GTO","Total","f",38,0.00188765311154926
"AGS","GTO","Total","f",39,0.00188765311154926
"AGS","GTO","Total","f",40,0.00127963902833516
"AGS","GTO","Total","f",41,0.00127963902833516
"AGS","GTO","Total","f",42,0.00127963902833516
"AGS","GTO","Total","f",43,0.00127963902833516
"AGS","GTO","Total","f",44,0.00127963902833516
"AGS","GTO","Total","f",45,0.000920131460904789
"AGS","GTO","Total","f",46,0.000920131460904789
"AGS","GTO","Total","f",47,0.000920131460904789
"AGS","GTO","Total","f",48,0.000920131460904789
"AGS","GTO","Total","f",49,0.000920131460904789
"AGS","GTO","Total","f",50,0.000758817043572135
"AGS","GTO","Total","f",51,0.000758817043572135
"AGS","GTO","Total","f",52,0.000758817043572135
"AGS","GTO","Total","f",53,0.000758817043572135
"AGS","GTO","Total","f",54,0.000758817043572135
"AGS","GTO","Total","f",55,0.00082861956561719
"AGS","GTO","Total","f",56,0.00082861956561719
"AGS","GTO","Total","f",57,0.00082861956561719
"AGS","GTO","Total","f",58,0.00082861956561719
"AGS","GTO","Total","f",59,0.00082861956561719
"AGS","GTO","Total","f",60,0.000795534213770342
"AGS","GTO","Total","f",61,0.000795534213770342
"AGS","GTO","Total","f",62,0.000795534213770342
"AGS","GTO","Total","f",63,0.000795534213770342
"AGS","GTO","Total","f",64,0.000795534213770342
"AGS","GTO","Total","f",65,0.000763686262502157
"AGS","GTO","Total","f",66,0.000763686262502157
"AGS","GTO","Total","f",67,0.000763686262502157
"AGS","GTO","Total","f",68,0.000763686262502157
"AGS","GTO","Total","f",69,0.000763686262502157
"AGS","GTO","Total","f",70,0.000719495465105059
"AGS","GTO","Total","f",71,0.000719495465105059
"AGS","GTO","Total","f",72,0.000719495465105059
"AGS","GTO","Total","f",73,0.000719495465105059
"AGS","GTO","Total","f",74,0.000719495465105059
"AGS","GTO","Total","f",75,0.000564913399631019
"AGS","GTO","Total","f",76,0.000564913399631019
"AGS","GTO","Total","f",77,0.000564913399631019
