"Race","Sex","Age","lx"
"Total","Female","0",1e+05
"Total","Female","1",99484.5678597382
"Total","Female","2",98921.5804443565
"Total","Female","3",98867.1880797427
"Total","Female","4",98834.4584274256
"Total","Female","5",98809.1644376262
"Total","Female","6",98789.3840831341
"Total","Female","7",98771.4253156445
"Total","Female","8",98753.523833938
"Total","Female","9",98733.9716724835
"Total","Female","10",98714.5807890012
"Total","Female","11",98695.3137682558
"Total","Female","12",98672.61575796
"Total","Female","13",98644.6725757421
"Total","Female","14",98613.1991620587
"Total","Female","15",98576.4792027988
"Total","Female","16",98527.6323295875
"Total","Female","17",98470.3624436922
"Total","Female","18",98410.1332910769
"Total","Female","19",98343.7233728634
"Total","Female","20",98267.6955152176
"Total","Female","21",98181.6001806769
"Total","Female","22",98088.0590699615
"Total","Female","23",97988.4650810943
"Total","Female","24",97883.1688875657
"Total","Female","25",97770.878915227
"Total","Female","26",97651.7019541863
"Total","Female","27",97525.3031910735
"Total","Female","28",97387.6626348999
"Total","Female","29",97236.1632772927
"Total","Female","30",97074.8617198968
"Total","Female","31",96910.0113943224
"Total","Female","32",96745.3988708661
"Total","Female","33",96571.9875765153
"Total","Female","34",96382.0569180133
"Total","Female","35",96173.3610395701
"Total","Female","36",95955.2559004663
"Total","Female","37",95737.2105087732
"Total","Female","38",95518.9906456778
"Total","Female","39",95285.76410307
"Total","Female","40",95030.8275856529
"Total","Female","41",94769.4853977765
"Total","Female","42",94506.7810358865
"Total","Female","43",94230.0474160649
"Total","Female","44",93942.2044310896
"Total","Female","45",93647.9257221956
"Total","Female","46",93320.4773596201
"Total","Female","47",92919.3310284153
"Total","Female","48",92434.7514634919
"Total","Female","49",91917.80611576
"Total","Female","50",91421.5826265657
"Total","Female","51",90915.4676526892
"Total","Female","52",90353.4393834844
"Total","Female","53",89741.2492982924
"Total","Female","54",89071.1022166705
"Total","Female","55",88315.1201003503
"Total","Female","56",87494.2833385018
"Total","Female","57",86631.4480327937
"Total","Female","58",85693.1667389406
"Total","Female","59",84638.3599013647
"Total","Female","60",83480.656141198
"Total","Female","61",82286.0364813543
"Total","Female","62",81079.549964322
"Total","Female","63",79784.8286391758
"Total","Female","64",78301.539421681
"Total","Female","65",76635.1168334178
"Total","Female","66",74839.1620084751
"Total","Female","67",72928.3002940399
"Total","Female","68",70907.8471957595
"Total","Female","69",68790.2051248389
"Total","Female","70",66630.6855223655
"Total","Female","71",64393.2082005541
"Total","Female","72",61978.9961779136
"Total","Female","73",59465.6137088957
"Total","Female","74",56900.8234205739
"Total","Female","75",54140.6699872127
"Total","Female","76",51228.6639080484
"Total","Female","77",48388.9906863761
"Total","Female","78",45596.6937512195
"Total","Female","79",42694.961300766
"Total","Female","80",39672.4564090445
"Total","Female","81",36663.6139414706
"Total","Female","82",33823.3154540295
"Total","Female","83",31149.060257715
"Total","Female","84",28518.7080726568
"Total","Female","85",25849.1217912163
"Total","Female","86",23188.6620355129
"Total","Female","87",20695.7693112333
"Total","Female","88",18313.0917914558
"Total","Female","89",15885.8015457867
"Total","Female","90",13495.4238462695
"Total","Female","91",11306.0145698248
"Total","Female","92",9374.21566384072
"Total","Female","93",7739.61771066712
"Total","Female","94",6349.33688928461
"Total","Female","95",5085.93343607203
"Total","Female","96",3889.24321581979
"Total","Female","97",2864.25964503273
"Total","Female","98",2034.98828113754
"Total","Female","99",1332.55577800377
"Total","Female","100+",818.073373278835
"Total","Male","0",1e+05
"Total","Male","1",99404.1403686885
"Total","Male","2",98768.4582362071
"Total","Male","3",98712.5126373195
"Total","Male","4",98679.2162111745
"Total","Male","5",98653.1112890266
"Total","Male","6",98628.8692172023
"Total","Male","7",98606.3940373146
"Total","Male","8",98585.7124431515
"Total","Male","9",98565.1744661834
"Total","Male","10",98543.1109924628
"Total","Male","11",98517.806544682
"Total","Male","12",98487.5001082012
"Total","Male","13",98448.6646760799
"Total","Male","14",98397.7271447722
"Total","Male","15",98327.7787817248
"Total","Male","16",98232.1275299352
"Total","Male","17",98104.3486709013
"Total","Male","18",97940.2309163491
"Total","Male","19",97735.8607153469
"Total","Male","20",97489.8881715023
"Total","Male","21",97202.6428844202
"Total","Male","22",96874.5835462422
"Total","Male","23",96509.3636271235
"Total","Male","24",96108.0985011391
"Total","Male","25",95663.8116458039
"Total","Male","26",95163.0966622919
"Total","Male","27",94607.6617156705
"Total","Male","28",94003.0628706706
"Total","Male","29",93365.884157284
"Total","Male","30",92706.5457380338
"Total","Male","31",92033.3540408162
"Total","Male","32",91352.0078415235
"Total","Male","33",90665.7937711945
"Total","Male","34",89976.9037959444
"Total","Male","35",89290.8581534386
"Total","Male","36",88601.9943502378
"Total","Male","37",87910.435257019
"Total","Male","38",87222.4684381583
"Total","Male","39",86538.3706464865
"Total","Male","40",85858.1349430755
"Total","Male","41",85177.7595975955
"Total","Male","42",84490.8421814858
"Total","Male","43",83790.4124378832
"Total","Male","44",83068.9594538077
"Total","Male","45",82316.96726922
"Total","Male","46",81525.3212263775
"Total","Male","47",80694.0603037756
"Total","Male","48",79832.0721814837
"Total","Male","49",78939.2262489896
"Total","Male","50",78011.5743840809
"Total","Male","51",77045.8605038911
"Total","Male","52",76042.9497604197
"Total","Male","53",75003.6860788222
"Total","Male","54",73921.3818064005
"Total","Male","55",72790.648003129
"Total","Male","56",71610.8068330015
"Total","Male","57",70374.6712807333
"Total","Male","58",69070.9257974726
"Total","Male","59",67681.3244039381
"Total","Male","60",66199.3851509054
"Total","Male","61",64613.7898623021
"Total","Male","62",62925.0021123607
"Total","Male","63",61133.261670114
"Total","Male","64",59253.3784996123
"Total","Male","65",57279.8703611199
"Total","Male","66",55229.9538809301
"Total","Male","67",53122.1615426546
"Total","Male","68",50982.8637555413
"Total","Male","69",48804.4355440976
"Total","Male","70",46610.3232638179
"Total","Male","71",44409.919620996
"Total","Male","72",42175.8751152385
"Total","Male","73",39909.1729791714
"Total","Male","74",37611.6799586356
"Total","Male","75",35291.3963471432
"Total","Male","76",32952.6092439357
"Total","Male","77",30597.5877159136
"Total","Male","78",28251.8253122929
"Total","Male","79",25949.985586618
"Total","Male","80",23715.7373400745
"Total","Male","81",21572.6540987123
"Total","Male","82",19540.2477604002
"Total","Male","83",17620.8353394913
"Total","Male","84",15800.2903389293
"Total","Male","85",14081.1687392436
"Total","Male","86",12466.1242960329
"Total","Male","87",10952.861949055
"Total","Male","88",9526.0523464961
"Total","Male","89",8187.54113216555
"Total","Male","90",6956.52768008888
"Total","Male","91",5850.68409323556
"Total","Male","92",4869.18485963384
"Total","Male","93",4015.57915876554
"Total","Male","94",3261.07106028024
"Total","Male","95",2583.11632067779
"Total","Male","96",1962.88158996681
"Total","Male","97",1421.87535668974
"Total","Male","98",979.369524859523
"Total","Male","99",640.013519285099
"Total","Male","100+",402.179685396273
