"Race","Sex","Age","Population"
"Total","Male",0,57268
"Total","Male",1,56894
"Total","Male",2,56478
"Total","Male",3,56319
"Total","Male",4,56694
"Total","Male",5,56966
"Total","Male",6,57042
"Total","Male",7,57208
"Total","Male",8,57596
"Total","Male",9,58069
"Total","Male",10,58407
"Total","Male",11,58504
"Total","Male",12,58317
"Total","Male",13,57967
"Total","Male",14,57655
"Total","Male",15,57539
"Total","Male",16,57620
"Total","Male",17,57935
"Total","Male",18,58405
"Total","Male",19,58733
"Total","Male",20,58629
"Total","Male",21,57976
"Total","Male",22,57186
"Total","Male",23,56643
"Total","Male",24,56329
"Total","Male",25,56023
"Total","Male",26,55520
"Total","Male",27,54749
"Total","Male",28,53666
"Total","Male",29,52209
"Total","Male",30,50494
"Total","Male",31,48851
"Total","Male",32,47347
"Total","Male",33,45889
"Total","Male",34,44422
"Total","Male",35,42868
"Total","Male",36,41221
"Total","Male",37,39585
"Total","Male",38,38100
"Total","Male",39,36875
"Total","Male",40,35948
"Total","Male",41,35321
"Total","Male",42,34957
"Total","Male",43,34808
"Total","Male",44,34749
"Total","Male",45,34563
"Total","Male",46,34151
"Total","Male",47,33521
"Total","Male",48,32720
"Total","Male",49,31808
"Total","Male",50,30828
"Total","Male",51,29842
"Total","Male",52,28850
"Total","Male",53,27864
"Total","Male",54,26923
"Total","Male",55,26008
"Total","Male",56,25040
"Total","Male",57,24012
"Total","Male",58,22979
"Total","Male",59,21953
"Total","Male",60,20914
"Total","Male",61,19862
"Total","Male",62,18833
"Total","Male",63,17867
"Total","Male",64,16947
"Total","Male",65,15999
"Total","Male",66,14959
"Total","Male",67,13942
"Total","Male",68,13055
"Total","Male",69,12285
"Total","Male",70,11665
"Total","Male",71,11104
"Total","Male",72,10520
"Total","Male",73,9920
"Total","Male",74,9316
"Total","Male",75,8710
"Total","Male",76,8082
"Total","Male",77,7451
"Total","Male",78,6864
"Total","Male",79,6302
"Total","Male",80,5748
"Total","Male",81,5219
"Total","Male",82,4724
"Total","Male",83,4259
"Total","Male",84,3824
"Total","Male",85,3419
"Total","Male",86,3041
"Total","Male",87,2684
"Total","Male",88,2349
"Total","Male",89,2036
"Total","Male",90,1743
"Total","Male",91,1469
"Total","Male",92,1223
"Total","Male",93,1003
"Total","Male",94,806
"Total","Male",95,634
"Total","Male",96,488
"Total","Male",97,369
"Total","Male",98,272
"Total","Male",99,195
"Total","Male",100,361
"Total","Female",0,55241
"Total","Female",1,54977
"Total","Female",2,54545
"Total","Female",3,54364
"Total","Female",4,54697
"Total","Female",5,54943
"Total","Female",6,55004
"Total","Female",7,55170
"Total","Female",8,55553
"Total","Female",9,56004
"Total","Female",10,56353
"Total","Female",11,56520
"Total","Female",12,56491
"Total","Female",13,56407
"Total","Female",14,56386
"Total","Female",15,56492
"Total","Female",16,56757
"Total","Female",17,57205
"Total","Female",18,57773
"Total","Female",19,58186
"Total","Female",20,58185
"Total","Female",21,57701
"Total","Female",22,57094
"Total","Female",23,56736
"Total","Female",24,56628
"Total","Female",25,56572
"Total","Female",26,56361
"Total","Female",27,55936
"Total","Female",28,55240
"Total","Female",29,54209
"Total","Female",30,52953
"Total","Female",31,51763
"Total","Female",32,50723
"Total","Female",33,49780
"Total","Female",34,48901
"Total","Female",35,48009
"Total","Female",36,47034
"Total","Female",37,46013
"Total","Female",38,44996
"Total","Female",39,44045
"Total","Female",40,43212
"Total","Female",41,42509
"Total","Female",42,41944
"Total","Female",43,41512
"Total","Female",44,41116
"Total","Female",45,40540
"Total","Female",46,39695
"Total","Female",47,38633
"Total","Female",48,37445
"Total","Female",49,36208
"Total","Female",50,34946
"Total","Female",51,33704
"Total","Female",52,32507
"Total","Female",53,31352
"Total","Female",54,30269
"Total","Female",55,29236
"Total","Female",56,28152
"Total","Female",57,26998
"Total","Female",58,25837
"Total","Female",59,24687
"Total","Female",60,23520
"Total","Female",61,22342
"Total","Female",62,21184
"Total","Female",63,20090
"Total","Female",64,19060
"Total","Female",65,18007
"Total","Female",66,16858
"Total","Female",67,15733
"Total","Female",68,14744
"Total","Female",69,13890
"Total","Female",70,13205
"Total","Female",71,12589
"Total","Female",72,11959
"Total","Female",73,11320
"Total","Female",74,10661
"Total","Female",75,10005
"Total","Female",76,9349
"Total","Female",77,8684
"Total","Female",78,8048
"Total","Female",79,7426
"Total","Female",80,6812
"Total","Female",81,6229
"Total","Female",82,5673
"Total","Female",83,5138
"Total","Female",84,4623
"Total","Female",85,4138
"Total","Female",86,3688
"Total","Female",87,3258
"Total","Female",88,2839
"Total","Female",89,2446
"Total","Female",90,2090
"Total","Female",91,1761
"Total","Female",92,1471
"Total","Female",93,1211
"Total","Female",94,973
"Total","Female",95,765
"Total","Female",96,593
"Total","Female",97,449
"Total","Female",98,326
"Total","Female",99,232
"Total","Female",100,452
