"year","f_A","m_M","m_F","sr_A","int_mig","iim_M","iim_F","iom_M","iom_F","idm_M","idm_F","odm_M","odm_F"
NA,"fertility","mortality","mortality","sex ratio at birth","internal migration change","net international in-migrants","net international in-migrants","net international out-migrants","net international out-migrants","domestic in-migration","domestic in-migration","domestic out-migration","domestic out-migration"
NA,"Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
NA,NA,"male","female",NA,"Total","male","female","male","female","male","female","male","female"
2020,"1.76363116946688","63.92772164","73.01708224","103.476908157762","1","3557.32554662223","1652.28118522974","1496.00015023758","501.338609561968","1","1","1","1"
2021,"1.76525791293375","62.65946482","72.38800268","103.476261383955","0.99392668","3557.32554662223","1652.28118522974","1496.00015023758","501.338609561968","0.99392668","0.99392668","0.99392668","0.99392668"
2022,"1.76688465640063","70.62811812","77.02534979","103.476231752329","0.99392668","3557.32554662223","1652.28118522974","1496.00015023758","501.338609561968","0.99392668","0.99392668","0.99392668","0.99392668"
2023,"1.7685113998675","70.89823074","77.31727529","103.476782216807","0.99392668","3557.32554662223","1652.28118522974","1496.00015023758","501.338609561968","0.99392668","0.99392668","0.99392668","0.99392668"
2024,"1.77013814333438","71.20567277","77.65068991","103.477879201502","0.99392668","3557.32554662223","1652.28118522974","1496.00015023758","501.338609561968","0.99392668","0.99392668","0.99392668","0.99392668"
2025,"1.77176488680125","71.49243682","77.96022082","103.479493542935","0.99392668","3676.97860149313","1677.9606101026","1485.64247391438","468.170830509689","0.99392668","0.99392668","0.99392668","0.99392668"
2026,"1.77339163026813","71.79738541","78.28944339","103.481598841852","0.98559068","3676.97860149313","1677.9606101026","1485.64247391438","468.170830509689","0.98559068","0.98559068","0.98559068","0.98559068"
2027,"1.775018373735","72.08950061","78.60361992","103.484171000553","0.98559068","3676.97860149313","1677.9606101026","1485.64247391438","468.170830509689","0.98559068","0.98559068","0.98559068","0.98559068"
2028,"1.77664511720188","72.39043062","78.92687847","103.487188745798","0.98559068","3676.97860149313","1677.9606101026","1485.64247391438","468.170830509689","0.98559068","0.98559068","0.98559068","0.98559068"
2029,"1.77827186066875","72.68345622","79.24061398","103.490635011762","0.98559068","3676.97860149313","1677.9606101026","1485.64247391438","468.170830509689","0.98559068","0.98559068","0.98559068","0.98559068"
2030,"1.77989860413563","72.98057333","79.55809936","103.494498923129","0.98559068","3748.15871714495","1723.41047752178","1479.94804177102","476.703036508746","0.98559068","0.98559068","0.98559068","0.98559068"
2031,"1.7815253476025","73.2727189","79.869329","103.498778934433","0.97253189","3748.15871714495","1723.41047752178","1479.94804177102","476.703036508746","0.97253189","0.97253189","0.97253189","0.97253189"
2032,"1.78315209106938","73.56652289","80.18157928","103.503486307717","0.97253189","3748.15871714495","1723.41047752178","1479.94804177102","476.703036508746","0.97253189","0.97253189","0.97253189","0.97253189"
2033,"1.78477883453625","73.85705282","80.48944325","103.508649260641","0.97253189","3748.15871714495","1723.41047752178","1479.94804177102","476.703036508746","0.97253189","0.97253189","0.97253189","0.97253189"
2034,"1.78640557800313","74.14796776","80.79691227","103.514317670285","0.97253189","3748.15871714495","1723.41047752178","1479.94804177102","476.703036508746","0.97253189","0.97253189","0.97253189","0.97253189"
2035,"1.78803232147","74.43658896","81.1010646","103.520568632594","0.97253189","3767.12091737521","1750.04880674491","1479.01586433135","495.486275572345","0.97253189","0.97253189","0.97253189","0.97253189"
2036,"1.78965906493688","74.7249391","81.40408796","103.527505645155","0.9563525","3767.12091737521","1750.04880674491","1479.01586433135","495.486275572345","0.9563525","0.9563525","0.9563525","0.9563525"
2037,"1.79128580840375","75.01155429","81.70440202","103.535199571412","0.9563525","3767.12091737521","1750.04880674491","1479.01586433135","495.486275572345","0.9563525","0.9563525","0.9563525","0.9563525"
2038,"1.79291255187063","75.29755876","82.00321828","103.54333712338","0.9563525","3767.12091737521","1750.04880674491","1479.01586433135","495.486275572345","0.9563525","0.9563525","0.9563525","0.9563525"
2039,"1.7945392953375","75.58215786","82.2996758","103.549841118426","0.9563525","3767.12091737521","1750.04880674491","1479.01586433135","495.486275572345","0.9563525","0.9563525","0.9563525","0.9563525"
2040,"1.79616603880438","75.86597748","82.59444911","103.5559177067","0.9563525","3769.91177296973","1763.98798167467","1483.24308676411","493.511812760395","0.9563525","0.9563525","0.9563525","0.9563525"
2041,"1.79779278227125","76.14858857","82.88708584","103.561634598369","0.93899779","3769.91177296973","1763.98798167467","1483.24308676411","493.511812760395","0.93899779","0.93899779","0.93899779","0.93899779"
2042,"1.79941952573813","76.43034927","83.17796201","103.566922637237","0.93899779","3769.91177296973","1763.98798167467","1483.24308676411","493.511812760395","0.93899779","0.93899779","0.93899779","0.93899779"
2043,"1.801046269205","76.71102666","83.46683855","103.571665260613","0.93899779","3769.91177296973","1763.98798167467","1483.24308676411","493.511812760395","0.93899779","0.93899779","0.93899779","0.93899779"
2044,"1.80267301267188","76.99082713","83.75393279","103.575818363556","0.93899779","3769.91177296973","1763.98798167467","1483.24308676411","493.511812760395","0.93899779","0.93899779","0.93899779","0.93899779"
2045,"1.80429975613875","77.26963759","84.03913791","103.579421326472","0.93899779","3735.35613893828","1768.10456334626","1488.19618353048","497.627113309023","0.93899779","0.93899779","0.93899779","0.93899779"
2046,"1.80592649960563","77.54757969","84.32257656","103.582559423196","0.92576718","3735.35613893828","1768.10456334626","1488.19618353048","497.627113309023","0.92576718","0.92576718","0.92576718","0.92576718"
2047,"1.8075532430725","77.82460238","84.6042041","103.585339382209","0.92576718","3735.35613893828","1768.10456334626","1488.19618353048","497.627113309023","0.92576718","0.92576718","0.92576718","0.92576718"
2048,"1.80917998653938","78.1007857","84.88410891","103.58786527124","0.92576718","3735.35613893828","1768.10456334626","1488.19618353048","497.627113309023","0.92576718","0.92576718","0.92576718","0.92576718"
2049,"1.81080673000625","78.37611523","85.16228717","103.590228257013","0.92576718","3735.35613893828","1768.10456334626","1488.19618353048","497.627113309023","0.92576718","0.92576718","0.92576718","0.92576718"
2050,"1.81243347347313","78.65065161","85.43879893","103.592513269216","0.92576718","3690.80978954117","1763.41400265043","1494.53802450411","496.02542673224","0.92576718","0.92576718","0.92576718","0.92576718"
2051,"1.81406021694","78.92440464","85.71366895","103.594795681129","0.90882097","3690.80978954117","1763.41400265043","1494.53802450411","496.02542673224","0.90882097","0.90882097","0.90882097","0.90882097"
2052,"1.81568696040688","79.19742115","85.98694344","103.597142421298","0.90882097","3690.80978954117","1763.41400265043","1494.53802450411","496.02542673224","0.90882097","0.90882097","0.90882097","0.90882097"
2053,"1.81731370387375","79.46972724","86.25866457","103.59928033408","0.90882097","3690.80978954117","1763.41400265043","1494.53802450411","496.02542673224","0.90882097","0.90882097","0.90882097","0.90882097"
2054,"1.81894044734063","79.74137063","86.52888331","103.601563963262","0.90882097","3690.80978954117","1763.41400265043","1494.53802450411","496.02542673224","0.90882097","0.90882097","0.90882097","0.90882097"
2055,"1.8205671908075","80.01238482","86.79763532","103.603934050999","0.90882097","3638.56542521481","1752.62096966595","1503.82492083878","491.929984093235","0.90882097","0.90882097","0.90882097","0.90882097"
2056,"1.82219393427438","80.28281679","87.06497988","103.60632507059","0.89985058","3638.56542521481","1752.62096966595","1503.82492083878","491.929984093235","0.89985058","0.89985058","0.89985058","0.89985058"
2057,"1.82382067774125","80.55270289","87.33096427","103.608694834842","0.89985058","3638.56542521481","1752.62096966595","1503.82492083878","491.929984093235","0.89985058","0.89985058","0.89985058","0.89985058"
2058,"1.82544742120813","80.8220976","87.59563362","103.61101779259","0.89985058","3638.56542521481","1752.62096966595","1503.82492083878","491.929984093235","0.89985058","0.89985058","0.89985058","0.89985058"
2059,"1.827074164675","81.09103667","87.85904054","103.613279896687","0.89985058","3638.56542521481","1752.62096966595","1503.82492083878","491.929984093235","0.89985058","0.89985058","0.89985058","0.89985058"
2060,"1.82870090814188","81.35956962","88.12123689","103.615474945529","0.89985058","3582.52059184117","1738.08129107823","1521.1914860617","487.882839498509","0.89985058","0.89985058","0.89985058","0.89985058"
2061,"1.83032765160875","81.62773371","88.3822656","103.617601664098","0.8873042","3582.52059184117","1738.08129107823","1521.1914860617","487.882839498509","0.8873042","0.8873042","0.8873042","0.8873042"
2062,"1.83195439507563","81.89557972","88.64217759","103.619661938716","0.8873042","3582.52059184117","1738.08129107823","1521.1914860617","487.882839498509","0.8873042","0.8873042","0.8873042","0.8873042"
2063,"1.8335811385425","82.16314679","88.90100959","103.621660145342","0.8873042","3582.52059184117","1738.08129107823","1521.1914860617","487.882839498509","0.8873042","0.8873042","0.8873042","0.8873042"
