"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"AGS","HGO","Total","f",0,0.000484671270296839
"AGS","HGO","Total","f",1,0.000484671270296839
"AGS","HGO","Total","f",2,0.000484671270296839
"AGS","HGO","Total","f",3,0.000484671270296839
"AGS","HGO","Total","f",4,0.000484671270296839
"AGS","HGO","Total","f",5,0.000484671270296839
"AGS","HGO","Total","f",6,0.000484671270296839
"AGS","HGO","Total","f",7,0.000484671270296839
"AGS","HGO","Total","f",8,0.000484671270296839
"AGS","HGO","Total","f",9,0.000484671270296839
"AGS","HGO","Total","f",10,0.000384186562944076
"AGS","HGO","Total","f",11,0.000384186562944076
"AGS","HGO","Total","f",12,0.000384186562944076
"AGS","HGO","Total","f",13,0.000384186562944076
"AGS","HGO","Total","f",14,0.000384186562944076
"AGS","HGO","Total","f",15,0.000344428749579327
"AGS","HGO","Total","f",16,0.000344428749579327
"AGS","HGO","Total","f",17,0.000344428749579327
"AGS","HGO","Total","f",18,0.000344428749579327
"AGS","HGO","Total","f",19,0.000344428749579327
"AGS","HGO","Total","f",20,0.000397245413044668
"AGS","HGO","Total","f",21,0.000397245413044668
"AGS","HGO","Total","f",22,0.000397245413044668
"AGS","HGO","Total","f",23,0.000397245413044668
"AGS","HGO","Total","f",24,0.000397245413044668
"AGS","HGO","Total","f",25,0.000449279188142089
"AGS","HGO","Total","f",26,0.000449279188142089
"AGS","HGO","Total","f",27,0.000449279188142089
"AGS","HGO","Total","f",28,0.000449279188142089
"AGS","HGO","Total","f",29,0.000449279188142089
"AGS","HGO","Total","f",30,0.000400800254962308
"AGS","HGO","Total","f",31,0.000400800254962308
"AGS","HGO","Total","f",32,0.000400800254962308
"AGS","HGO","Total","f",33,0.000400800254962308
"AGS","HGO","Total","f",34,0.000400800254962308
"AGS","HGO","Total","f",35,0.000349997266719268
"AGS","HGO","Total","f",36,0.000349997266719268
"AGS","HGO","Total","f",37,0.000349997266719268
"AGS","HGO","Total","f",38,0.000349997266719268
"AGS","HGO","Total","f",39,0.000349997266719268
"AGS","HGO","Total","f",40,0.000337135817689436
"AGS","HGO","Total","f",41,0.000337135817689436
"AGS","HGO","Total","f",42,0.000337135817689436
"AGS","HGO","Total","f",43,0.000337135817689436
"AGS","HGO","Total","f",44,0.000337135817689436
"AGS","HGO","Total","f",45,0.000352871374795868
"AGS","HGO","Total","f",46,0.000352871374795868
"AGS","HGO","Total","f",47,0.000352871374795868
"AGS","HGO","Total","f",48,0.000352871374795868
"AGS","HGO","Total","f",49,0.000352871374795868
"AGS","HGO","Total","f",50,0.000305520477046561
"AGS","HGO","Total","f",51,0.000305520477046561
"AGS","HGO","Total","f",52,0.000305520477046561
"AGS","HGO","Total","f",53,0.000305520477046561
"AGS","HGO","Total","f",54,0.000305520477046561
"AGS","HGO","Total","f",55,0.000279908155910041
"AGS","HGO","Total","f",56,0.000279908155910041
