"Race","Sex","Age","lx"
"Total","Female","0",1e+05
"Total","Female","1",99555.7876526034
"Total","Female","2",99078.5905272902
"Total","Female","3",99028.2776718746
"Total","Female","4",98995.661005014
"Total","Female","5",98972.0906095367
"Total","Female","6",98949.2929842427
"Total","Female","7",98930.777370204
"Total","Female","8",98912.6106005747
"Total","Female","9",98894.8035883867
"Total","Female","10",98877.3516668824
"Total","Female","11",98860.156502862
"Total","Female","12",98839.697033387
"Total","Female","13",98809.0590932365
"Total","Female","14",98774.9305152131
"Total","Female","15",98737.2151105351
"Total","Female","16",98695.7651689109
"Total","Female","17",98647.1448546014
"Total","Female","18",98591.3430402943
"Total","Female","19",98517.8601135017
"Total","Female","20",98429.8521628545
"Total","Female","21",98340.7285937749
"Total","Female","22",98249.9027920185
"Total","Female","23",98161.0290671953
"Total","Female","24",98067.3407198312
"Total","Female","25",97961.9850224766
"Total","Female","26",97845.6606765973
"Total","Female","27",97722.0874431895
"Total","Female","28",97594.9765754032
"Total","Female","29",97460.2647485286
"Total","Female","30",97309.7179020355
"Total","Female","31",97138.9025364061
"Total","Female","32",96951.2832997525
"Total","Female","33",96754.7955710757
"Total","Female","34",96565.0385223862
"Total","Female","35",96389.8444274597
"Total","Female","36",96221.0940127709
"Total","Female","37",96022.6672743135
"Total","Female","38",95773.289090968
"Total","Female","39",95508.1868322258
"Total","Female","40",95264.3379011787
"Total","Female","41",95017.3818636485
"Total","Female","42",94755.3815222855
"Total","Female","43",94495.9001067007
"Total","Female","44",94184.1804244761
"Total","Female","45",93785.9567523852
"Total","Female","46",93363.4780687844
"Total","Female","47",92953.0891541964
"Total","Female","48",92499.225339274
"Total","Female","49",91989.2113955927
"Total","Female","50",91442.726959162
"Total","Female","51",90857.2938835418
"Total","Female","52",90246.157217333
"Total","Female","53",89633.7698677945
"Total","Female","54",88999.7647701674
"Total","Female","55",88296.2935755769
"Total","Female","56",87521.1901082344
"Total","Female","57",86697.3953302027
"Total","Female","58",85774.0389264995
"Total","Female","59",84739.4705934058
"Total","Female","60",83618.3106961717
"Total","Female","61",82346.8138962375
"Total","Female","62",80882.2893775588
"Total","Female","63",79349.9036421579
"Total","Female","64",77853.9827966089
"Total","Female","65",76268.7125890214
"Total","Female","66",74442.8948294945
"Total","Female","67",72443.5471071075
"Total","Female","68",70451.3093955791
"Total","Female","69",68486.929785778
"Total","Female","70",66324.1846346481
"Total","Female","71",63867.2475992074
"Total","Female","72",61317.6744855709
"Total","Female","73",58893.487354746
"Total","Female","74",56543.8929536053
"Total","Female","75",53925.0566016467
"Total","Female","76",51028.3137735765
"Total","Female","77",48219.0698229898
"Total","Female","78",45516.2716337465
"Total","Female","79",42693.406198805
"Total","Female","80",39635.4219285579
"Total","Female","81",36487.6980458174
"Total","Female","82",33569.4844601824
"Total","Female","83",30844.2116912707
"Total","Female","84",27988.8367827881
"Total","Female","85",25008.8792990754
"Total","Female","86",22140.6992474487
"Total","Female","87",19576.9313864658
"Total","Female","88",17247.1995779585
"Total","Female","89",14896.7145189181
"Total","Female","90",12456.6470340575
"Total","Female","91",10104.4477146493
"Total","Female","92",8146.890892438
"Total","Female","93",6615.31231016766
"Total","Female","94",5338.4347800737
"Total","Female","95",4231.46837082765
"Total","Female","96",3254.30454086333
"Total","Female","97",2346.12652945961
"Total","Female","98",1574.37438161105
"Total","Female","99",1019.49933416427
"Total","Female","100+",625.407154571358
"Total","Male","0",1e+05
"Total","Male","1",99418.7808666109
"Total","Male","2",98804.2901767693
"Total","Male","3",98747.6688070405
"Total","Male","4",98712.2774915371
"Total","Male","5",98685.7587364303
"Total","Male","6",98663.772380468
"Total","Male","7",98642.3361610922
