"Race","Sex","Age","Population"
"Total","Male",0,23453
"Total","Male",1,23871
"Total","Male",2,24423
"Total","Male",3,25107
"Total","Male",4,26053
"Total","Male",5,26928
"Total","Male",6,27613
"Total","Male",7,28127
"Total","Male",8,28685
"Total","Male",9,29259
"Total","Male",10,29680
"Total","Male",11,29913
"Total","Male",12,29904
"Total","Male",13,29715
"Total","Male",14,29442
"Total","Male",15,29088
"Total","Male",16,28825
"Total","Male",17,28604
"Total","Male",18,28405
"Total","Male",19,28106
"Total","Male",20,27561
"Total","Male",21,26822
"Total","Male",22,26068
"Total","Male",23,25493
"Total","Male",24,25105
"Total","Male",25,24876
"Total","Male",26,24610
"Total","Male",27,24323
"Total","Male",28,23977
"Total","Male",29,23514
"Total","Male",30,23014
"Total","Male",31,22507
"Total","Male",32,22064
"Total","Male",33,21634
"Total","Male",34,21181
"Total","Male",35,20664
"Total","Male",36,20057
"Total","Male",37,19424
"Total","Male",38,18839
"Total","Male",39,18365
"Total","Male",40,18020
"Total","Male",41,17827
"Total","Male",42,17760
"Total","Male",43,17799
"Total","Male",44,17882
"Total","Male",45,17887
"Total","Male",46,17788
"Total","Male",47,17572
"Total","Male",48,17263
"Total","Male",49,16891
"Total","Male",50,16469
"Total","Male",51,16041
"Total","Male",52,15602
"Total","Male",53,15159
"Total","Male",54,14732
"Total","Male",55,14311
"Total","Male",56,13851
"Total","Male",57,13349
"Total","Male",58,12841
"Total","Male",59,12332
"Total","Male",60,11809
"Total","Male",61,11274
"Total","Male",62,10740
"Total","Male",63,10230
"Total","Male",64,9737
"Total","Male",65,9219
"Total","Male",66,8645
"Total","Male",67,8078
"Total","Male",68,7576
"Total","Male",69,7134
"Total","Male",70,6771
"Total","Male",71,6444
"Total","Male",72,6104
"Total","Male",73,5758
"Total","Male",74,5410
"Total","Male",75,5057
"Total","Male",76,4691
"Total","Male",77,4321
"Total","Male",78,3975
"Total","Male",79,3642
"Total","Male",80,3309
"Total","Male",81,2992
"Total","Male",82,2691
"Total","Male",83,2408
"Total","Male",84,2142
"Total","Male",85,1896
"Total","Male",86,1669
"Total","Male",87,1458
"Total","Male",88,1262
"Total","Male",89,1082
"Total","Male",90,914
"Total","Male",91,760
"Total","Male",92,625
"Total","Male",93,507
"Total","Male",94,406
"Total","Male",95,321
"Total","Male",96,251
"Total","Male",97,192
"Total","Male",98,143
"Total","Male",99,105
"Total","Male",100,232
"Total","Female",0,22650
"Total","Female",1,23102
"Total","Female",2,23625
"Total","Female",3,24285
"Total","Female",4,25197
"Total","Female",5,26045
"Total","Female",6,26718
"Total","Female",7,27226
"Total","Female",8,27771
"Total","Female",9,28331
"Total","Female",10,28749
"Total","Female",11,28989
"Total","Female",12,29030
"Total","Female",13,28947
"Total","Female",14,28803
"Total","Female",15,28579
"Total","Female",16,28412
"Total","Female",17,28277
"Total","Female",18,28165
"Total","Female",19,27973
"Total","Female",20,27598
"Total","Female",21,27056
"Total","Female",22,26520
"Total","Female",23,26181
"Total","Female",24,26049
"Total","Female",25,26091
"Total","Female",26,26113
"Total","Female",27,26122
"Total","Female",28,26063
"Total","Female",29,25875
"Total","Female",30,25613
"Total","Female",31,25345
"Total","Female",32,25139
"Total","Female",33,24960
"Total","Female",34,24781
"Total","Female",35,24540
"Total","Female",36,24221
"Total","Female",37,23842
"Total","Female",38,23450
"Total","Female",39,23079
"Total","Female",40,22730
"Total","Female",41,22454
"Total","Female",42,22245
"Total","Female",43,22093
"Total","Female",44,21949
"Total","Female",45,21706
"Total","Female",46,21338
"Total","Female",47,20839
"Total","Female",48,20257
"Total","Female",49,19636
"Total","Female",50,18995
"Total","Female",51,18373
"Total","Female",52,17771
"Total","Female",53,17187
"Total","Female",54,16634
"Total","Female",55,16105
"Total","Female",56,15544
"Total","Female",57,14943
"Total","Female",58,14339
"Total","Female",59,13740
"Total","Female",60,13118
"Total","Female",61,12483
"Total","Female",62,11868
"Total","Female",63,11297
"Total","Female",64,10743
"Total","Female",65,10153
"Total","Female",66,9514
"Total","Female",67,8894
"Total","Female",68,8346
"Total","Female",69,7854
"Total","Female",70,7445
"Total","Female",71,7095
"Total","Female",72,6744
"Total","Female",73,6387
"Total","Female",74,6011
"Total","Female",75,5634
"Total","Female",76,5264
"Total","Female",77,4890
"Total","Female",78,4531
"Total","Female",79,4173
"Total","Female",80,3821
"Total","Female",81,3493
"Total","Female",82,3179
"Total","Female",83,2864
"Total","Female",84,2561
"Total","Female",85,2285
"Total","Female",86,2034
"Total","Female",87,1794
"Total","Female",88,1559
"Total","Female",89,1334
"Total","Female",90,1127
"Total","Female",91,951
"Total","Female",92,800
"Total","Female",93,660
"Total","Female",94,536
"Total","Female",95,429
"Total","Female",96,333
"Total","Female",97,254
"Total","Female",98,194
"Total","Female",99,144
"Total","Female",100,325
