"year","f_A","m_M","m_F","sr_A","int_mig","iim_M","iim_F","iom_M","iom_F","idm_M","idm_F","odm_M","odm_F"
NA,"fertility","mortality","mortality","sex ratio at birth","internal migration change","net international in-migrants","net international in-migrants","net international out-migrants","net international out-migrants","domestic in-migration","domestic in-migration","domestic out-migration","domestic out-migration"
NA,"Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
NA,NA,"male","female",NA,"Total","male","female","male","female","male","female","male","female"
2020,"2.026578616","67.61597726","75.26745102","103.93098459323","1","9316.76233877611","5606.59071036623","12877.1200068304","14055.1285694096","1","1","1","1"
2021,"1.997411787","65.71697533","73.49133266","103.920139722598","1","9316.76233877611","5606.59071036623","12877.1200068304","14055.1285694096","1","1","1","1"
2022,"1.970463878","72.66693996","78.90887158","103.910588972616","1","9316.76233877611","5606.59071036623","12877.1200068304","14055.1285694096","1","1","1","1"
2023,"1.948889718","72.8189155","79.07848317","103.902275165869","1","9316.76233877611","5606.59071036623","12877.1200068304","14055.1285694096","1","1","1","1"
2024,"1.928020132","73.00428523","79.28475904","103.895137012807","1","9316.76233877611","5606.59071036623","12877.1200068304","14055.1285694096","1","1","1","1"
2025,"1.904222112","73.17120661","79.46993145","103.889119933906","1","9244.63432502885","5231.35391452788","13252.6116199568","14211.7599490777","1","1","1","1"
2026,"1.879061315","73.35441096","79.67250514","103.884176235428","1","9244.63432502885","5231.35391452788","13252.6116199568","14211.7599490777","1","1","1","1"
2027,"1.856293245","73.526165","79.8617941","103.880264525388","1","9244.63432502885","5231.35391452788","13252.6116199568","14211.7599490777","1","1","1","1"
2028,"1.836760754","73.70580948","80.05910751","103.877350487165","1","9244.63432502885","5231.35391452788","13252.6116199568","14211.7599490777","1","1","1","1"
2029,"1.818728088","73.87839946","80.24801153","103.875408760815","1","9244.63432502885","5231.35391452788","13252.6116199568","14211.7599490777","1","1","1","1"
2030,"1.800919685","74.0546458","80.44023382","103.874426149313","1","9172.5063112816","5305.46910649746","13406.8726639937","14486.1832199596","1","1","1","1"
2031,"1.783780504","74.22644589","80.62692899","103.874406060363","1","9172.5063112816","5305.46910649746","13406.8726639937","14486.1832199596","1","1","1","1"
2032,"1.768446434","74.39971918","80.81453179","103.875374750082","1","9172.5063112816","5305.46910649746","13406.8726639937","14486.1832199596","1","1","1","1"
2033,"1.755214746","74.57004979","80.99825924","103.877389517885","1","9172.5063112816","5305.46910649746","13406.8726639937","14486.1832199596","1","1","1","1"
2034,"1.74332478","74.74070764","81.18164271","103.880550339271","1","9172.5063112816","5305.46910649746","13406.8726639937","14486.1832199596","1","1","1","1"
2035,"1.732335924","74.90929028","81.36210274","103.885016403794","1","9100.37829753434","5474.60215489534","13337.366641914","14560.1692619004","1","1","1","1"
2036,"1.722235981","75.077597","81.5415661","103.891018204884","1","9100.37829753434","5474.60215489534","13337.366641914","14560.1692619004","1","1","1","1"
2037,"1.713332493","75.24432012","81.71863812","103.898780306419","1","9100.37829753434","5474.60215489534","13337.366641914","14560.1692619004","1","1","1","1"
2038,"1.705413031","75.41046105","81.894392","103.907866196318","1","9100.37829753434","5474.60215489534","13337.366641914","14560.1692619004","1","1","1","1"
2039,"1.69825089","75.57529948","82.06806774","103.914423118585","1","9100.37829753434","5474.60215489534","13337.366641914","14560.1692619004","1","1","1","1"
2040,"1.691487735","75.73939736","82.24025608","103.920167795724","1","9028.25028378709","5394.1513858676","13183.390766182","14495.9704072141","1","1","1","1"
2041,"1.685162177","75.90236398","82.41056346","103.925374083372","1","9028.25028378709","5394.1513858676","13183.390766182","14495.9704072141","1","1","1","1"
2042,"1.679346301","76.0645168","82.57931883","103.930234156508","1","9028.25028378709","5394.1513858676","13183.390766182","14495.9704072141","1","1","1","1"
2043,"1.673983554","76.2256427","82.74630965","103.934728872403","1","9028.25028378709","5394.1513858676","13183.390766182","14495.9704072141","1","1","1","1"
2044,"1.6690071","76.38592716","82.91173588","103.938816744738","1","9028.25028378709","5394.1513858676","13183.390766182","14495.9704072141","1","1","1","1"
2045,"1.664337319","76.54526791","83.07549171","103.942498670858","1","8956.12227003984","5377.71996407089","12905.6818638845","14355.3114260766","1","1","1","1"
2046,"1.660068683","76.70376468","83.23769467","103.94581501815","1","8956.12227003984","5377.71996407089","12905.6818638845","14355.3114260766","1","1","1","1"
2047,"1.656196579","76.86137501","83.39829972","103.948845698584","1","8956.12227003984","5377.71996407089","12905.6818638845","14355.3114260766","1","1","1","1"
2048,"1.652701782","77.01816787","83.55739392","103.951693908275","1","8956.12227003984","5377.71996407089","12905.6818638845","14355.3114260766","1","1","1","1"
2049,"1.649560192","77.17412948","83.71496083","103.954472504168","1","8956.12227003984","5377.71996407089","12905.6818638845","14355.3114260766","1","1","1","1"
2050,"1.646768065","77.32930445","83.87106486","103.95727771023","1","8883.99425629258","5294.67808622136","12582.1058910892","14126.7314858293","1","1","1","1"
2051,"1.644226536","77.48371068","84.02571959","103.960175482302","1","8883.99425629258","5294.67808622136","12582.1058910892","14126.7314858293","1","1","1","1"
2052,"1.641909311","77.63738401","84.17897711","103.963190540201","1","8883.99425629258","5294.67808622136","12582.1058910892","14126.7314858293","1","1","1","1"
2053,"1.63982458","77.79034473","84.33086335","103.965862759808","1","8883.99425629258","5294.67808622136","12582.1058910892","14126.7314858293","1","1","1","1"
2054,"1.637808523","77.94263959","84.4814265","103.968551405706","1","8883.99425629258","5294.67808622136","12582.1058910892","14126.7314858293","1","1","1","1"
2055,"1.635985171","78.09429291","84.63070359","103.971276452645","1","8811.86624254533","5176.16645651258","12208.7455358196","13819.253718216","1","1","1","1"
2056,"1.634176141","78.24534623","84.77874138","103.974009541696","1","8811.86624254533","5176.16645651258","12208.7455358196","13819.253718216","1","1","1","1"
2057,"1.632467624","78.39583535","84.92557805","103.976721885459","1","8811.86624254533","5176.16645651258","12208.7455358196","13819.253718216","1","1","1","1"
2058,"1.630756586","78.54579805","85.07126458","103.97939137179","1","8811.86624254533","5176.16645651258","12208.7455358196","13819.253718216","1","1","1","1"
2059,"1.629096877","78.6952763","85.2158415","103.98200278265","1","8811.86624254533","5176.16645651258","12208.7455358196","13819.253718216","1","1","1","1"
2060,"1.627495335","78.84431087","85.35935553","103.984546918941","1","8739.73822879808","5033.43427909769","11804.9772339438","13458.6740926177","1","1","1","1"
2061,"1.625942547","78.99293283","85.50184254","103.987019571321","1","8739.73822879808","5033.43427909769","11804.9772339438","13458.6740926177","1","1","1","1"
2062,"1.624421715","79.14118722","85.64335693","103.989420405756","1","8739.73822879808","5033.43427909769","11804.9772339438","13458.6740926177","1","1","1","1"
2063,"1.622978818","79.28910278","85.78391629","103.991751957642","1","8739.73822879808","5033.43427909769","11804.9772339438","13458.6740926177","1","1","1","1"
2064,"1.621596024","79.43671814","85.9235758","103.99401859767","1","8739.73822879808","5033.43427909769","11804.9772339438","13458.6740926177","1","1","1","1"
2065,"1.620295086","79.58406256","86.06236404","103.996225644316","1","8667.61021505082","5023.70641777385","11837.8657354693","13549.068805478","1","1","1","1"
2066,"1.619025958","79.7311664","86.20031321","103.998378927299","1","8667.61021505082","5023.70641777385","11837.8657354693","13549.068805478","1","1","1","1"
2067,"1.6177785","79.87805347","86.33744783","104.000484444684","1","8667.61021505082","5023.70641777385","11837.8657354693","13549.068805478","1","1","1","1"
2068,"1.61659888","80.02474487","86.47379715","104.002548137418","1","8667.61021505082","5023.70641777385","11837.8657354693","13549.068805478","1","1","1","1"
2069,"1.615444337","80.17126034","86.60937845","104.004575545754","1","8667.61021505082","5023.70641777385","11837.8657354693","13549.068805478","1","1","1","1"
2070,"1.614335735","80.31761922","86.74421293","104.006571422755","1","8595.48220130357","4967.63380787574","11646.3155926982","13434.5954289558","1","1","1","1"
2071,"1.613227133","80.4556202152539","86.8688825787469","104.008539631658","1","8595.48220130357","4967.63380787574","11646.3155926982","13434.5954289558","1","1","1","1"
2072,"1.612118531","80.5986762008245","86.9988252759425","104.010483488608","1","8595.48220130357","4967.63380787574","11646.3155926982","13434.5954289558","1","1","1","1"
2073,"1.611009929","80.7412241342171","87.1276275336809","104.01240593546","1","8595.48220130357","4967.63380787574","11646.3155926982","13434.5954289558","1","1","1","1"
2074,"1.609901327","80.8832660218461","87.2552916673251","104.014309591202","1","8595.48220130357","4967.63380787574","11646.3155926982","13434.5954289558","1","1","1","1"
2075,"1.608792725","81.0248036329096","87.3818197165093","104.01619678981","1","8523.35418755631","4911.56119797764","11454.7654499272","13320.1220524336","1","1","1","1"
2076,"1.607684123","81.1658385341668","87.5072134858466","104.018069614059","1","8523.35418755631","4911.56119797764","11454.7654499272","13320.1220524336","1","1","1","1"
