"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"AGS","JAL","Total","f",0,0.0066840077794202
"AGS","JAL","Total","f",1,0.0066840077794202
"AGS","JAL","Total","f",2,0.0066840077794202
"AGS","JAL","Total","f",3,0.0066840077794202
"AGS","JAL","Total","f",4,0.0066840077794202
"AGS","JAL","Total","f",5,0.00511333582834851
"AGS","JAL","Total","f",6,0.00511333582834851
"AGS","JAL","Total","f",7,0.00511333582834851
"AGS","JAL","Total","f",8,0.00511333582834851
"AGS","JAL","Total","f",9,0.00511333582834851
"AGS","JAL","Total","f",10,0.00314475134033488
"AGS","JAL","Total","f",11,0.00314475134033488
"AGS","JAL","Total","f",12,0.00314475134033488
"AGS","JAL","Total","f",13,0.00314475134033488
"AGS","JAL","Total","f",14,0.00314475134033488
"AGS","JAL","Total","f",15,0.00358563821159651
"AGS","JAL","Total","f",16,0.00358563821159651
"AGS","JAL","Total","f",17,0.00358563821159651
"AGS","JAL","Total","f",18,0.00358563821159651
"AGS","JAL","Total","f",19,0.00358563821159651
"AGS","JAL","Total","f",20,0.00598547373909054
"AGS","JAL","Total","f",21,0.00598547373909054
"AGS","JAL","Total","f",22,0.00598547373909054
"AGS","JAL","Total","f",23,0.00598547373909054
"AGS","JAL","Total","f",24,0.00598547373909054
"AGS","JAL","Total","f",25,0.0066840077794202
"AGS","JAL","Total","f",26,0.0066840077794202
"AGS","JAL","Total","f",27,0.0066840077794202
"AGS","JAL","Total","f",28,0.0066840077794202
"AGS","JAL","Total","f",29,0.0066840077794202
"AGS","JAL","Total","f",30,0.00608970583955412
"AGS","JAL","Total","f",31,0.00608970583955412
"AGS","JAL","Total","f",32,0.00608970583955412
"AGS","JAL","Total","f",33,0.00608970583955412
"AGS","JAL","Total","f",34,0.00608970583955412
"AGS","JAL","Total","f",35,0.00385860197032461
"AGS","JAL","Total","f",36,0.00385860197032461
"AGS","JAL","Total","f",37,0.00385860197032461
"AGS","JAL","Total","f",38,0.00385860197032461
"AGS","JAL","Total","f",39,0.00385860197032461
"AGS","JAL","Total","f",40,0.00288375865823204
"AGS","JAL","Total","f",41,0.00288375865823204
"AGS","JAL","Total","f",42,0.00288375865823204
"AGS","JAL","Total","f",43,0.00288375865823204
"AGS","JAL","Total","f",44,0.00288375865823204
"AGS","JAL","Total","f",45,0.0024518254965739
"AGS","JAL","Total","f",46,0.0024518254965739
"AGS","JAL","Total","f",47,0.0024518254965739
"AGS","JAL","Total","f",48,0.0024518254965739
"AGS","JAL","Total","f",49,0.0024518254965739
"AGS","JAL","Total","f",50,0.00205147857393289
"AGS","JAL","Total","f",51,0.00205147857393289
"AGS","JAL","Total","f",52,0.00205147857393289
"AGS","JAL","Total","f",53,0.00205147857393289
"AGS","JAL","Total","f",54,0.00205147857393289
"AGS","JAL","Total","f",55,0.00177091199163345
"AGS","JAL","Total","f",56,0.00177091199163345
"AGS","JAL","Total","f",57,0.00177091199163345
"AGS","JAL","Total","f",58,0.00177091199163345
"AGS","JAL","Total","f",59,0.00177091199163345
"AGS","JAL","Total","f",60,0.00150559337767614
"AGS","JAL","Total","f",61,0.00150559337767614
"AGS","JAL","Total","f",62,0.00150559337767614
"AGS","JAL","Total","f",63,0.00150559337767614
"AGS","JAL","Total","f",64,0.00150559337767614
"AGS","JAL","Total","f",65,0.00136075047561312
"AGS","JAL","Total","f",66,0.00136075047561312
"AGS","JAL","Total","f",67,0.00136075047561312
"AGS","JAL","Total","f",68,0.00136075047561312
"AGS","JAL","Total","f",69,0.00136075047561312
"AGS","JAL","Total","f",70,0.00193970218395618
"AGS","JAL","Total","f",71,0.00193970218395618
"AGS","JAL","Total","f",72,0.00193970218395618
"AGS","JAL","Total","f",73,0.00193970218395618
"AGS","JAL","Total","f",74,0.00193970218395618
"AGS","JAL","Total","f",75,0.00172469006083184
"AGS","JAL","Total","f",76,0.00172469006083184
"AGS","JAL","Total","f",77,0.00172469006083184
"AGS","JAL","Total","f",78,0.00172469006083184
