"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"JAL","AGS","Total","f",0,0.00131490751436843
"JAL","AGS","Total","f",1,0.00131490751436843
"JAL","AGS","Total","f",2,0.00131490751436843
"JAL","AGS","Total","f",3,0.00131490751436843
"JAL","AGS","Total","f",4,0.00131490751436843
"JAL","AGS","Total","f",5,0.00115606957398449
"JAL","AGS","Total","f",6,0.00115606957398449
"JAL","AGS","Total","f",7,0.00115606957398449
"JAL","AGS","Total","f",8,0.00115606957398449
"JAL","AGS","Total","f",9,0.00115606957398449
"JAL","AGS","Total","f",10,0.00123086560011268
"JAL","AGS","Total","f",11,0.00123086560011268
"JAL","AGS","Total","f",12,0.00123086560011268
"JAL","AGS","Total","f",13,0.00123086560011268
"JAL","AGS","Total","f",14,0.00123086560011268
"JAL","AGS","Total","f",15,0.00156675655356038
"JAL","AGS","Total","f",16,0.00156675655356038
"JAL","AGS","Total","f",17,0.00156675655356038
"JAL","AGS","Total","f",18,0.00156675655356038
"JAL","AGS","Total","f",19,0.00156675655356038
"JAL","AGS","Total","f",20,0.00197150052526806
"JAL","AGS","Total","f",21,0.00197150052526806
"JAL","AGS","Total","f",22,0.00197150052526806
"JAL","AGS","Total","f",23,0.00197150052526806
"JAL","AGS","Total","f",24,0.00197150052526806
"JAL","AGS","Total","f",25,0.00201586764568632
"JAL","AGS","Total","f",26,0.00201586764568632
"JAL","AGS","Total","f",27,0.00201586764568632
"JAL","AGS","Total","f",28,0.00201586764568632
"JAL","AGS","Total","f",29,0.00201586764568632
"JAL","AGS","Total","f",30,0.00169466984040003
"JAL","AGS","Total","f",31,0.00169466984040003
"JAL","AGS","Total","f",32,0.00169466984040003
"JAL","AGS","Total","f",33,0.00169466984040003
"JAL","AGS","Total","f",34,0.00169466984040003
"JAL","AGS","Total","f",35,0.00134015066588852
"JAL","AGS","Total","f",36,0.00134015066588852
"JAL","AGS","Total","f",37,0.00134015066588852
"JAL","AGS","Total","f",38,0.00134015066588852
"JAL","AGS","Total","f",39,0.00134015066588852
"JAL","AGS","Total","f",40,0.000989232953285059
"JAL","AGS","Total","f",41,0.000989232953285059
"JAL","AGS","Total","f",42,0.000989232953285059
"JAL","AGS","Total","f",43,0.000989232953285059
"JAL","AGS","Total","f",44,0.000989232953285059
"JAL","AGS","Total","f",45,0.000808048177441645
"JAL","AGS","Total","f",46,0.000808048177441645
"JAL","AGS","Total","f",47,0.000808048177441645
"JAL","AGS","Total","f",48,0.000808048177441645
"JAL","AGS","Total","f",49,0.000808048177441645
"JAL","AGS","Total","f",50,0.000673944878151976
"JAL","AGS","Total","f",51,0.000673944878151976
"JAL","AGS","Total","f",52,0.000673944878151976
"JAL","AGS","Total","f",53,0.000673944878151976
"JAL","AGS","Total","f",54,0.000673944878151976
"JAL","AGS","Total","f",55,0.00058900188626738
"JAL","AGS","Total","f",56,0.00058900188626738
"JAL","AGS","Total","f",57,0.00058900188626738
"JAL","AGS","Total","f",58,0.00058900188626738
"JAL","AGS","Total","f",59,0.00058900188626738
"JAL","AGS","Total","f",60,0.000473473016659822
"JAL","AGS","Total","f",61,0.000473473016659822
"JAL","AGS","Total","f",62,0.000473473016659822
"JAL","AGS","Total","f",63,0.000473473016659822
"JAL","AGS","Total","f",64,0.000473473016659822
"JAL","AGS","Total","f",65,0.000422390910630459
"JAL","AGS","Total","f",66,0.000422390910630459
"JAL","AGS","Total","f",67,0.000422390910630459
"JAL","AGS","Total","f",68,0.000422390910630459
"JAL","AGS","Total","f",69,0.000422390910630459
"JAL","AGS","Total","f",70,0.000403633125115653
"JAL","AGS","Total","f",71,0.000403633125115653
"JAL","AGS","Total","f",72,0.000403633125115653
"JAL","AGS","Total","f",73,0.000403633125115653
"JAL","AGS","Total","f",74,0.000403633125115653
"JAL","AGS","Total","f",75,0.000541711544046055
"JAL","AGS","Total","f",76,0.000541711544046055
"JAL","AGS","Total","f",77,0.000541711544046055
"JAL","AGS","Total","f",78,0.000541711544046055
"JAL","AGS","Total","f",79,0.000541711544046055
"JAL","AGS","Total","f",80,0.000523266231182932
"JAL","AGS","Total","f",81,0.000523266231182932
"JAL","AGS","Total","f",82,0.000523266231182932
"JAL","AGS","Total","f",83,0.000523266231182932
"JAL","AGS","Total","f",84,0.000523266231182932
"JAL","AGS","Total","f",85,0.0014647553934508
"JAL","AGS","Total","f",86,0.0014647553934508
"JAL","AGS","Total","f",87,0.0014647553934508
"JAL","AGS","Total","f",88,0.0014647553934508
"JAL","AGS","Total","f",89,0.0014647553934508
"JAL","AGS","Total","f",90,0.00170075795306204
"JAL","AGS","Total","f",91,0.00170075795306204
