"Race","Sex","Age","lx"
"Total","Female","0",1e+05
"Total","Female","1",99457.4241784796
"Total","Female","2",98880.5315275723
"Total","Female","3",98832.5017824127
"Total","Female","4",98802.9084705513
"Total","Female","5",98780.6245087305
"Total","Female","6",98761.3276490882
"Total","Female","7",98744.8804485139
"Total","Female","8",98728.518639572
"Total","Female","9",98710.9410623841
"Total","Female","10",98690.861402013
"Total","Female","11",98670.9226458455
"Total","Female","12",98647.0352371998
"Total","Female","13",98620.4342677151
"Total","Female","14",98591.0730179162
"Total","Female","15",98554.9509858308
"Total","Female","16",98514.8434336784
"Total","Female","17",98468.1921524642
"Total","Female","18",98413.8984822281
"Total","Female","19",98352.2146694263
"Total","Female","20",98281.8159579373
"Total","Female","21",98203.5847902561
"Total","Female","22",98116.8603656661
"Total","Female","23",98020.0373525511
"Total","Female","24",97917.4690085683
"Total","Female","25",97809.6619011434
"Total","Female","26",97695.3827537437
"Total","Female","27",97574.496465807
"Total","Female","28",97446.5840836093
"Total","Female","29",97309.6662300859
"Total","Female","30",97162.7200486118
"Total","Female","31",97010.2840271988
"Total","Female","32",96850.8888808841
"Total","Female","33",96686.1167847934
"Total","Female","34",96517.4587666723
"Total","Female","35",96344.8704068753
"Total","Female","36",96162.0670321783
"Total","Female","37",95966.7180410799
"Total","Female","38",95761.2018533155
"Total","Female","39",95546.7026082546
"Total","Female","40",95328.0695330885
"Total","Female","41",95110.7563046696
"Total","Female","42",94893.8636718419
"Total","Female","43",94669.8607634095
"Total","Female","44",94431.0542125943
"Total","Female","45",94167.4821889513
"Total","Female","46",93869.4404634552
"Total","Female","47",93534.4187440494
"Total","Female","48",93166.5281346142
"Total","Female","49",92766.6912028871
"Total","Female","50",92340.0241567403
"Total","Female","51",91886.6392672285
"Total","Female","52",91407.2324160627
"Total","Female","53",90894.6741315777
"Total","Female","54",90339.4377403705
"Total","Female","55",89736.3777955076
"Total","Female","56",89079.7305100632
"Total","Female","57",88361.3007430312
"Total","Female","58",87571.6350627
"Total","Female","59",86702.1277951354
"Total","Female","60",85743.7447065493
"Total","Female","61",84687.682474224
"Total","Female","62",83542.4333530468
"Total","Female","63",82324.784896581
"Total","Female","64",81047.4927079897
"Total","Female","65",79689.9227603692
"Total","Female","66",78208.5450632073
"Total","Female","67",76569.2978587502
"Total","Female","68",74794.5601163208
"Total","Female","69",72913.2669283987
"Total","Female","70",70966.2946069541
"Total","Female","71",68940.8058298514
"Total","Female","72",66756.9862025694
"Total","Female","73",64381.0649077047
"Total","Female","74",61833.7558707225
"Total","Female","75",59196.2621733892
"Total","Female","76",56517.5622762276
"Total","Female","77",53786.724258451
"Total","Female","78",51023.3477937666
"Total","Female","79",48243.2948101964
"Total","Female","80",45426.8115094053
"Total","Female","81",42548.9770981745
"Total","Female","82",39611.7772858243
"Total","Female","83",36639.0969322314
"Total","Female","84",33685.7955230598
"Total","Female","85",30797.6684549175
"Total","Female","86",28013.069137113
"Total","Female","87",25327.2773460652
"Total","Female","88",22708.7901223026
"Total","Female","89",20110.1753687684
"Total","Female","90",17509.255560214
"Total","Female","91",14980.9481183242
"Total","Female","92",12656.1652513937
"Total","Female","93",10611.9390350166
"Total","Female","94",8794.15318179614
"Total","Female","95",7166.65359331082
"Total","Female","96",5697.55348060005
"Total","Female","97",4381.24440920434
"Total","Female","98",3224.90424255217
"Total","Female","99",2253.35874673956
"Total","Female","100+",1475.51949555937
"Total","Male","0",1e+05
"Total","Male","1",99434.4411780861
"Total","Male","2",98842.1034477637
"Total","Male","3",98790.4092099507
"Total","Male","4",98759.2097398078
"Total","Male","5",98733.7485642584
"Total","Male","6",98711.2140271991
"Total","Male","7",98688.8085658162
"Total","Male","8",98667.8327038505
"Total","Male","9",98647.0350788191
"Total","Male","10",98626.4490350573
"Total","Male","11",98602.1846439107
"Total","Male","12",98574.1346269434
"Total","Male","13",98538.3039124316
"Total","Male","14",98491.9335520331
"Total","Male","15",98431.0428948423
"Total","Male","16",98349.3127031104
"Total","Male","17",98243.1472851878
"Total","Male","18",98109.414908417
"Total","Male","19",97945.227831764
"Total","Male","20",97747.1228909339
"Total","Male","21",97514.20429187
"Total","Male","22",97248.3151647773
"Total","Male","23",96951.3114693015
"Total","Male","24",96622.0356401818
"Total","Male","25",96259.7673568183
"Total","Male","26",95857.4303254644
"Total","Male","27",95415.894487945
"Total","Male","28",94941.0000351948
"Total","Male","29",94440.0592130252
"Total","Male","30",93920.3890459271
"Total","Male","31",93385.9277172941
"Total","Male","32",92842.7517721505
"Total","Male","33",92293.7680669032
"Total","Male","34",91742.3584202764
"Total","Male","35",91187.2157591974
"Total","Male","36",90623.0199895009
"Total","Male","37",90050.1061560001
"Total","Male","38",89478.4602696281
"Total","Male","39",88909.8944271743
"Total","Male","40",88344.8715997931
"Total","Male","41",87777.9378487223
"Total","Male","42",87205.1703174875
"Total","Male","43",86625.9328416499
"Total","Male","44",86035.5650384209
"Total","Male","45",85422.3044743048
"Total","Male","46",84777.9364283213
"Total","Male","47",84100.5090886135
"Total","Male","48",83394.3666397398
"Total","Male","49",82659.0012082484
"Total","Male","50",81892.8836507628
"Total","Male","51",81095.0483937305
"Total","Male","52",80263.7693588493
"Total","Male","53",79399.057722817
"Total","Male","54",78495.1809969011
"Total","Male","55",77543.4798556081
"Total","Male","56",76542.7062621241
"Total","Male","57",75488.8054764475
"Total","Male","58",74368.2735901306
"Total","Male","59",73173.4776636072
"Total","Male","60",71905.8912484475
"Total","Male","61",70558.3954455613
"Total","Male","62",69128.1495517939
"Total","Male","63",67609.4494934352
"Total","Male","64",66000.0038615903
"Total","Male","65",64281.9937675889
"Total","Male","66",62463.9279787122
"Total","Male","67",60563.5484594165
"Total","Male","68",58598.2753087666
"Total","Male","69",56558.8751565549
"Total","Male","70",54451.7974135155
"Total","Male","71",52284.3514359734
"Total","Male","72",50033.7055614664
