"Race","Sex","Age","Population"
"Total","Male",0,73021
"Total","Male",1,72805
"Total","Male",2,72639
"Total","Male",3,72816
"Total","Male",4,73688
"Total","Male",5,74476
"Total","Male",6,74888
"Total","Male",7,75270
"Total","Male",8,75899
"Total","Male",9,76663
"Total","Male",10,77219
"Total","Male",11,77324
"Total","Male",12,77017
"Total","Male",13,76483
"Total","Male",14,76000
"Total","Male",15,75842
"Total","Male",16,75922
"Total","Male",17,76349
"Total","Male",18,77019
"Total","Male",19,77544
"Total","Male",20,77545
"Total","Male",21,76912
"Total","Male",22,76175
"Total","Male",23,75836
"Total","Male",24,75871
"Total","Male",25,75923
"Total","Male",26,75810
"Total","Male",27,75358
"Total","Male",28,74476
"Total","Male",29,73036
"Total","Male",30,71143
"Total","Male",31,69256
"Total","Male",32,67447
"Total","Male",33,65583
"Total","Male",34,63597
"Total","Male",35,61388
"Total","Male",36,58972
"Total","Male",37,56530
"Total","Male",38,54279
"Total","Male",39,52390
"Total","Male",40,50948
"Total","Male",41,49950
"Total","Male",42,49367
"Total","Male",43,49134
"Total","Male",44,49067
"Total","Male",45,48865
"Total","Male",46,48363
"Total","Male",47,47558
"Total","Male",48,46517
"Total","Male",49,45320
"Total","Male",50,44024
"Total","Male",51,42704
"Total","Male",52,41360
"Total","Male",53,40003
"Total","Male",54,38694
"Total","Male",55,37414
"Total","Male",56,36064
"Total","Male",57,34638
"Total","Male",58,33218
"Total","Male",59,31818
"Total","Male",60,30396
"Total","Male",61,28958
"Total","Male",62,27551
"Total","Male",63,26233
"Total","Male",64,24987
"Total","Male",65,23703
"Total","Male",66,22270
"Total","Male",67,20858
"Total","Male",68,19622
"Total","Male",69,18545
"Total","Male",70,17679
"Total","Male",71,16889
"Total","Male",72,16048
"Total","Male",73,15166
"Total","Male",74,14252
"Total","Male",75,13311
"Total","Male",76,12313
"Total","Male",77,11295
"Total","Male",78,10331
"Total","Male",79,9394
"Total","Male",80,8468
"Total","Male",81,7580
"Total","Male",82,6750
"Total","Male",83,5984
"Total","Male",84,5277
"Total","Male",85,4633
"Total","Male",86,4045
"Total","Male",87,3506
"Total","Male",88,3016
"Total","Male",89,2571
"Total","Male",90,2166
"Total","Male",91,1800
"Total","Male",92,1481
"Total","Male",93,1203
"Total","Male",94,963
"Total","Male",95,762
"Total","Male",96,593
"Total","Male",97,455
"Total","Male",98,342
"Total","Male",99,252
"Total","Male",100,524
"Total","Female",0,70259
"Total","Female",1,70136
"Total","Female",2,69980
"Total","Female",3,70123
"Total","Female",4,70933
"Total","Female",5,71659
"Total","Female",6,72051
"Total","Female",7,72415
"Total","Female",8,73011
"Total","Female",9,73732
"Total","Female",10,74238
"Total","Female",11,74343
"Total","Female",12,74158
"Total","Female",13,73884
"Total","Female",14,73680
"Total","Female",15,73703
"Total","Female",16,73893
"Total","Female",17,74338
"Total","Female",18,74963
"Total","Female",19,75415
"Total","Female",20,75348
"Total","Female",21,74703
"Total","Female",22,73939
"Total","Female",23,73547
"Total","Female",24,73529
"Total","Female",25,73563
"Total","Female",26,73497
"Total","Female",27,73183
"Total","Female",28,72544
"Total","Female",29,71465
"Total","Female",30,70059
"Total","Female",31,68717
"Total","Female",32,67538
"Total","Female",33,66441
"Total","Female",34,65372
"Total","Female",35,64238
"Total","Female",36,62945
"Total","Female",37,61572
"Total","Female",38,60202
"Total","Female",39,58930
"Total","Female",40,57838
"Total","Female",41,56942
"Total","Female",42,56276
"Total","Female",43,55826
"Total","Female",44,55455
"Total","Female",45,54889
"Total","Female",46,53980
"Total","Female",47,52779
"Total","Female",48,51385
"Total","Female",49,49892
"Total","Female",50,48354
"Total","Female",51,46836
"Total","Female",52,45348
"Total","Female",53,43902
"Total","Female",54,42551
"Total","Female",55,41256
"Total","Female",56,39888
"Total","Female",57,38432
"Total","Female",58,36979
"Total","Female",59,35537
"Total","Female",60,34052
"Total","Female",61,32537
"Total","Female",62,31058
"Total","Female",63,29674
"Total","Female",64,28357
"Total","Female",65,26967
"Total","Female",66,25399
"Total","Female",67,23838
"Total","Female",68,22455
"Total","Female",69,21246
"Total","Female",70,20273
"Total","Female",71,19387
"Total","Female",72,18435
"Total","Female",73,17441
"Total","Female",74,16428
"Total","Female",75,15400
"Total","Female",76,14319
"Total","Female",77,13218
"Total","Female",78,12176
"Total","Female",79,11158
"Total","Female",80,10134
"Total","Female",81,9147
"Total","Female",82,8221
"Total","Female",83,7358
"Total","Female",84,6553
"Total","Female",85,5808
"Total","Female",86,5114
"Total","Female",87,4467
"Total","Female",88,3864
"Total","Female",89,3305
"Total","Female",90,2795
"Total","Female",91,2336
"Total","Female",92,1935
"Total","Female",93,1580
"Total","Female",94,1270
"Total","Female",95,1007
"Total","Female",96,781
"Total","Female",97,592
"Total","Female",98,437
"Total","Female",99,314
"Total","Female",100,626
