"year","f_A","m_M","m_F","sr_A","int_mig","iim_M","iim_F","iom_M","iom_F","idm_M","idm_F","odm_M","odm_F"
NA,"fertility","mortality","mortality","sex ratio at birth","internal migration change","net international in-migrants","net international in-migrants","net international out-migrants","net international out-migrants","domestic in-migration","domestic in-migration","domestic out-migration","domestic out-migration"
NA,"Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
NA,NA,"male","female",NA,"Total","male","female","male","female","male","female","male","female"
2020,"1.79892952324656","62.03246333","72.013065","103.799678671512","1","20415.9472868537","18520.1590070923","7470.70918685935","3903.7270487391","1","1","1","1"
2021,"1.79961278049312","62.4998132","71.57760991","103.796816617556","1.03713729","20415.9472868537","18520.1590070923","7470.70918685935","3903.7270487391","1.03713729","1.03713729","1.03713729","1.03713729"
2022,"1.80029603773969","71.55030736","77.79648858","103.794650398353","1.03713729","20415.9472868537","18520.1590070923","7470.70918685935","3903.7270487391","1.03713729","1.03713729","1.03713729","1.03713729"
2023,"1.80097929498625","71.60963593","77.87516508","103.793144506703","1.03713729","20415.9472868537","18520.1590070923","7470.70918685935","3903.7270487391","1.03713729","1.03713729","1.03713729","1.03713729"
2024,"1.80166255223281","71.70396238","77.9924704","103.79226069642","1.03713729","20415.9472868537","18520.1590070923","7470.70918685935","3903.7270487391","1.03713729","1.03713729","1.03713729","1.03713729"
2025,"1.80234580947937","71.77894636","78.0875359","103.791965864548","1.03713729","20863.0434801748","18594.442050951","7389.83746459455","3631.14029186236","1.03713729","1.03713729","1.03713729","1.03713729"
2026,"1.80302906672594","71.87098629","78.20094253","103.792232343987","1.06961038","20863.0434801748","18594.442050951","7389.83746459455","3631.14029186236","1.06961038","1.06961038","1.06961038","1.06961038"
2027,"1.8037123239725","71.95102044","78.30034064","103.793037542523","1.06961038","20863.0434801748","18594.442050951","7389.83746459455","3631.14029186236","1.06961038","1.06961038","1.06961038","1.06961038"
2028,"1.80439558121906","72.03932999","78.40819593","103.794364364947","1.06961038","20863.0434801748","18594.442050951","7389.83746459455","3631.14029186236","1.06961038","1.06961038","1.06961038","1.06961038"
2029,"1.80507883846562","72.12024429","78.50718688","103.796202193303","1.06961038","20863.0434801748","18594.442050951","7389.83746459455","3631.14029186236","1.06961038","1.06961038","1.06961038","1.06961038"
2030,"1.80576209571219","72.20499524","78.60967269","103.798548595629","1.06961038","20884.0393407877","18754.2666973273","7282.35692030566","3657.56041492987","1.06961038","1.06961038","1.06961038","1.06961038"
2031,"1.80644535295875","72.28509328","78.70633408","103.801411443606","1.09856054","20884.0393407877","18754.2666973273","7282.35692030566","3657.56041492987","1.09856054","1.09856054","1.09856054","1.09856054"
2032,"1.80712861020531","72.36674133","78.80394894","103.804811955014","1.09856054","20884.0393407877","18754.2666973273","7282.35692030566","3657.56041492987","1.09856054","1.09856054","1.09856054","1.09856054"
2033,"1.80781186745187","72.44531852","78.89748519","103.808788551941","1.09856054","20884.0393407877","18754.2666973273","7282.35692030566","3657.56041492987","1.09856054","1.09856054","1.09856054","1.09856054"
2034,"1.80849512469844","72.5242476","78.99065184","103.813402700631","1.09856054","20884.0393407877","18754.2666973273","7282.35692030566","3657.56041492987","1.09856054","1.09856054","1.09856054","1.09856054"
2035,"1.809178381945","72.60101866","79.08073204","103.818746283323","1.09856054","20516.0952928028","18614.4469279479","7161.91602893609","3741.15860034329","1.09856054","1.09856054","1.09856054","1.09856054"
2036,"1.80986163919156","72.67751703","79.16976443","103.824942955681","1.12474611","20516.0952928028","18614.4469279479","7161.91602893609","3741.15860034329","1.12474611","1.12474611","1.12474611","1.12474611"
2037,"1.81054489643812","72.75237529","79.25628033","103.832087921078","1.12474611","20516.0952928028","18614.4469279479","7161.91602893609","3741.15860034329","1.12474611","1.12474611","1.12474611","1.12474611"
2038,"1.81122815368469","72.82663792","79.34139521","103.839823296475","1.12474611","20516.0952928028","18614.4469279479","7161.91602893609","3741.15860034329","1.12474611","1.12474611","1.12474611","1.12474611"
2039,"1.81191141093125","72.89955797","79.42432331","103.846009193683","1.12474611","20516.0952928028","18614.4469279479","7161.91602893609","3741.15860034329","1.12474611","1.12474611","1.12474611","1.12474611"
2040,"1.81259466817781","72.97172404","79.50568554","103.851548925561","1.12474611","19997.4567323338","18274.8588037628","7030.66383254956","3647.53653340001","1.12474611","1.12474611","1.12474611","1.12474611"
2041,"1.81327792542437","73.04272934","79.58505943","103.856636353923","1.14869835","19997.4567323338","18274.8588037628","7030.66383254956","3647.53653340001","1.14869835","1.14869835","1.14869835","1.14869835"
2042,"1.81396118267094","73.11290706","79.6627949","103.861442118201","1.14869835","19997.4567323338","18274.8588037628","7030.66383254956","3647.53653340001","1.14869835","1.14869835","1.14869835","1.14869835"
2043,"1.8146444399175","73.18203507","79.73867709","103.865987213485","1.14869835","19997.4567323338","18274.8588037628","7030.66383254956","3647.53653340001","1.14869835","1.14869835","1.14869835","1.14869835"
2044,"1.81532769716406","73.2503074","79.81289918","103.870265738547","1.14869835","19997.4567323338","18274.8588037628","7030.66383254956","3647.53653340001","1.14869835","1.14869835","1.14869835","1.14869835"
2045,"1.81601095441062","73.3176165","79.88536212","103.874293995141","1.14869835","19318.5142272508","17859.3020000535","6906.05232689307","3600.74039661824","1.14869835","1.14869835","1.14869835","1.14869835"
2046,"1.81669421165719","73.38407154","79.95618395","103.878099366814","1.14869835","19318.5142272508","17859.3020000535","6906.05232689307","3600.74039661824","1.14869835","1.14869835","1.14869835","1.14869835"
2047,"1.81737746890375","73.44962796","80.02532777","103.881716506491","1.14869835","19318.5142272508","17859.3020000535","6906.05232689307","3600.74039661824","1.14869835","1.14869835","1.14869835","1.14869835"
2048,"1.81806072615031","73.51435704","80.09286875","103.885191477552","1.14869835","19318.5142272508","17859.3020000535","6906.05232689307","3600.74039661824","1.14869835","1.14869835","1.14869835","1.14869835"
2049,"1.81874398339687","73.57824336","80.15880079","103.888572130821","1.14869835","19318.5142272508","17859.3020000535","6906.05232689307","3600.74039661824","1.14869835","1.14869835","1.14869835","1.14869835"
2050,"1.81942724064344","73.64133981","80.22319016","103.891893116963","1.14869835","18578.3744472381","17336.2500357852","6781.69166224175","3509.56353104242","1.14869835","1.14869835","1.14869835","1.14869835"
2051,"1.82011049789","73.70365984","80.28604869","103.89517472243","1.14869835","18578.3744472381","17336.2500357852","6781.69166224175","3509.56353104242","1.14869835","1.14869835","1.14869835","1.14869835"
2052,"1.82079375513656","73.76524446","80.34743075","103.898424963705","1.14869835","18578.3744472381","17336.2500357852","6781.69166224175","3509.56353104242","1.14869835","1.14869835","1.14869835","1.14869835"
2053,"1.82147701238312","73.8261202","80.40736625","103.901569164833","1.14869835","18578.3744472381","17336.2500357852","6781.69166224175","3509.56353104242","1.14869835","1.14869835","1.14869835","1.14869835"
2054,"1.82216026962968","73.88632597","80.46590463","103.904649493745","1.14869835","18578.3744472381","17336.2500357852","6781.69166224175","3509.56353104242","1.14869835","1.14869835","1.14869835","1.14869835"
2055,"1.82284352687625","73.9458927","80.52308556","103.907674996604","1.14869835","17758.0068406218","16705.7840529299","6652.1119507984","3392.99847444976","1.14869835","1.14869835","1.14869835","1.14869835"
2056,"1.82352678412281","74.00486698","80.57895424","103.910640040591","1.14869835","17758.0068406218","16705.7840529299","6652.1119507984","3392.99847444976","1.14869835","1.14869835","1.14869835","1.14869835"
2057,"1.82421004136937","74.06328225","80.63356404","103.91353855944","1.14869835","17758.0068406218","16705.7840529299","6652.1119507984","3392.99847444976","1.14869835","1.14869835","1.14869835","1.14869835"
2058,"1.82489329861593","74.12118268","80.68695218","103.916365827191","1.14869835","17758.0068406218","16705.7840529299","6652.1119507984","3392.99847444976","1.14869835","1.14869835","1.14869835","1.14869835"
2059,"1.8255765558625","74.17860819","80.73916929","103.9191184223","1.14869835","17758.0068406218","16705.7840529299","6652.1119507984","3392.99847444976","1.14869835","1.14869835","1.14869835","1.14869835"
2060,"1.82625981310906","74.23560564","80.79025928","103.921794178383","1.14869835","16910.4491759109","16023.2777908444","6499.7198347361","3250.45675001247","1.14869835","1.14869835","1.14869835","1.14869835"
2061,"1.82694307035562","74.29220523","80.84026749","103.924392108488","1.14869835","16910.4491759109","16023.2777908444","6499.7198347361","3250.45675001247","1.14869835","1.14869835","1.14869835","1.14869835"
2062,"1.82762632760218","74.34845235","80.88924342","103.926911940069","1.14869835","16910.4491759109","16023.2777908444","6499.7198347361","3250.45675001247","1.14869835","1.14869835","1.14869835","1.14869835"
2063,"1.82830958484875","74.40438457","80.93721771","103.929353921308","1.14869835","16910.4491759109","16023.2777908444","6499.7198347361","3250.45675001247","1.14869835","1.14869835","1.14869835","1.14869835"
