"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"AGS","MEX","Total","f",0,0.00114678899082569
"AGS","MEX","Total","f",1,0.00114678899082569
"AGS","MEX","Total","f",2,0.00114678899082569
"AGS","MEX","Total","f",3,0.00114678899082569
"AGS","MEX","Total","f",4,0.00114678899082569
"AGS","MEX","Total","f",5,0.00104653365155109
"AGS","MEX","Total","f",6,0.00104653365155109
"AGS","MEX","Total","f",7,0.00104653365155109
"AGS","MEX","Total","f",8,0.00104653365155109
"AGS","MEX","Total","f",9,0.00104653365155109
"AGS","MEX","Total","f",10,0.00100801353164733
"AGS","MEX","Total","f",11,0.00100801353164733
"AGS","MEX","Total","f",12,0.00100801353164733
"AGS","MEX","Total","f",13,0.00100801353164733
"AGS","MEX","Total","f",14,0.00100801353164733
"AGS","MEX","Total","f",15,0.00121528666862841
"AGS","MEX","Total","f",16,0.00121528666862841
"AGS","MEX","Total","f",17,0.00121528666862841
"AGS","MEX","Total","f",18,0.00121528666862841
"AGS","MEX","Total","f",19,0.00121528666862841
"AGS","MEX","Total","f",20,0.00159427587021015
"AGS","MEX","Total","f",21,0.00159427587021015
"AGS","MEX","Total","f",22,0.00159427587021015
"AGS","MEX","Total","f",23,0.00159427587021015
"AGS","MEX","Total","f",24,0.00159427587021015
"AGS","MEX","Total","f",25,0.00188877708319467
"AGS","MEX","Total","f",26,0.00188877708319467
"AGS","MEX","Total","f",27,0.00188877708319467
"AGS","MEX","Total","f",28,0.00188877708319467
"AGS","MEX","Total","f",29,0.00188877708319467
"AGS","MEX","Total","f",30,0.00188429703332887
"AGS","MEX","Total","f",31,0.00188429703332887
"AGS","MEX","Total","f",32,0.00188429703332887
"AGS","MEX","Total","f",33,0.00188429703332887
"AGS","MEX","Total","f",34,0.00188429703332887
"AGS","MEX","Total","f",35,0.0014665766435335
"AGS","MEX","Total","f",36,0.0014665766435335
"AGS","MEX","Total","f",37,0.0014665766435335
"AGS","MEX","Total","f",38,0.0014665766435335
"AGS","MEX","Total","f",39,0.0014665766435335
"AGS","MEX","Total","f",40,0.00119774434804716
"AGS","MEX","Total","f",41,0.00119774434804716
"AGS","MEX","Total","f",42,0.00119774434804716
"AGS","MEX","Total","f",43,0.00119774434804716
"AGS","MEX","Total","f",44,0.00119774434804716
"AGS","MEX","Total","f",45,0.000781336585804543
"AGS","MEX","Total","f",46,0.000781336585804543
"AGS","MEX","Total","f",47,0.000781336585804543
"AGS","MEX","Total","f",48,0.000781336585804543
"AGS","MEX","Total","f",49,0.000781336585804543
"AGS","MEX","Total","f",50,0.000731117721531467
"AGS","MEX","Total","f",51,0.000731117721531467
