"Race","Sex","Age","lx"
"Total","Female","0",1e+05
"Total","Female","1",99508.2101811308
"Total","Female","2",98989.2326005125
"Total","Female","3",98941.2566514567
"Total","Female","4",98911.018805226
"Total","Female","5",98886.4851821107
"Total","Female","6",98866.6264643313
"Total","Female","7",98847.7614184403
"Total","Female","8",98829.9198283786
"Total","Female","9",98812.4210554311
"Total","Female","10",98793.8999644896
"Total","Female","11",98772.9991220104
"Total","Female","12",98749.009727722
"Total","Female","13",98723.1918681915
"Total","Female","14",98692.1975425846
"Total","Female","15",98654.075697962
"Total","Female","16",98610.8692467177
"Total","Female","17",98559.4309117689
"Total","Female","18",98502.5513052513
"Total","Female","19",98437.1854151666
"Total","Female","20",98364.5324018081
"Total","Female","21",98284.0491941336
"Total","Female","22",98197.6490354256
"Total","Female","23",98103.7854089754
"Total","Female","24",98004.1490591861
"Total","Female","25",97897.3046852891
"Total","Female","26",97781.4804759284
"Total","Female","27",97655.2901540515
"Total","Female","28",97519.6901053387
"Total","Female","29",97373.4095817988
"Total","Female","30",97215.4251418665
"Total","Female","31",97047.5345453903
"Total","Female","32",96870.9701872938
"Total","Female","33",96688.80348099
"Total","Female","34",96499.838110068
"Total","Female","35",96304.8624440986
"Total","Female","36",96103.0509749913
"Total","Female","37",95891.6270142541
"Total","Female","38",95668.7221326047
"Total","Female","39",95430.4475683311
"Total","Female","40",95179.1440515236
"Total","Female","41",94909.3081226424
"Total","Female","42",94619.2768782694
"Total","Female","43",94306.2020204279
"Total","Female","44",93963.5873572986
"Total","Female","45",93589.647278897
"Total","Female","46",93176.8518397317
"Total","Female","47",92721.2528421834
"Total","Female","48",92225.1693353024
"Total","Female","49",91686.4166273166
"Total","Female","50",91103.2014730965
"Total","Female","51",90478.8279377217
"Total","Female","52",89810.8873293864
"Total","Female","53",89094.423392585
"Total","Female","54",88320.7664461411
"Total","Female","55",87480.8009403157
"Total","Female","56",86567.0206735559
"Total","Female","57",85573.3290554788
"Total","Female","58",84491.1551244773
"Total","Female","59",83316.6536141645
"Total","Female","60",82041.7018349203
"Total","Female","61",80654.0245421048
"Total","Female","62",79150.9359880466
"Total","Female","63",77532.209357881
"Total","Female","64",75802.0155871063
"Total","Female","65",73949.7615400663
"Total","Female","66",71970.1705497919
"Total","Female","67",69870.41398251
"Total","Female","68",67668.5829073186
"Total","Female","69",65364.1863201051
"Total","Female","70",62966.3828255527
"Total","Female","71",60490.5432675416
"Total","Female","72",57925.5269918234
"Total","Female","73",55266.5085854065
"Total","Female","74",52529.9064648535
"Total","Female","75",49749.7817236731
"Total","Female","76",46949.540720441
"Total","Female","77",44110.3947076622
"Total","Female","78",41264.7986122911
"Total","Female","79",38453.8932469397
"Total","Female","80",35680.4063151509
"Total","Female","81",32946.4984299013
"Total","Female","82",30239.7613844184
"Total","Female","83",27562.7823408671
"Total","Female","84",24929.9318110264
"Total","Female","85",22363.5693879001
"Total","Female","86",19881.5329057968
"Total","Female","87",17502.3648255596
"Total","Female","88",15231.5457308138
"Total","Female","89",13089.9940380622
"Total","Female","90",11082.7402268088
"Total","Female","91",9225.96850376439
"Total","Female","92",7548.51968489814
"Total","Female","93",6073.86549956979
"Total","Female","94",4784.63170176268
"Total","Female","95",3679.18769306619
"Total","Female","96",2741.31503015095
"Total","Female","97",1966.09477683095
"Total","Female","98",1347.03286459263
"Total","Female","99",883.402948407261
"Total","Female","100+",554.275992652193
"Total","Male","0",1e+05
"Total","Male","1",99398.9355742714
"Total","Male","2",98767.8312214188
"Total","Male","3",98712.873696859
"Total","Male","4",98680.1498714638
"Total","Male","5",98653.6962715157
"Total","Male","6",98631.0621389001
"Total","Male","7",98610.1186934211
"Total","Male","8",98588.8134123953
"Total","Male","9",98567.9022997318
"Total","Male","10",98546.0735094982
"Total","Male","11",98523.3034075818
"Total","Male","12",98493.7007899163
"Total","Male","13",98457.8306276302
"Total","Male","14",98411.0997346081
"Total","Male","15",98349.6500063309
"Total","Male","16",98268.5189794247
"Total","Male","17",98161.0713145156
"Total","Male","18",98026.7358457972
"Total","Male","19",97860.0656440223
"Total","Male","20",97659.3842220237
"Total","Male","21",97422.0799451969
"Total","Male","22",97149.1775946829
"Total","Male","23",96842.1255775065
"Total","Male","24",96500.1532662356
"Total","Male","25",96117.9568991293
"Total","Male","26",95687.7971827096
"Total","Male","27",95208.5009574999
"Total","Male","28",94684.4494405572
"Total","Male","29",94121.9473105906
"Total","Male","30",93523.8363598922
"Total","Male","31",92895.7389541839
"Total","Male","32",92242.598078298
"Total","Male","33",91566.1751598297
"Total","Male","34",90866.4463397371
"Total","Male","35",90142.5026558734
"Total","Male","36",89389.6576962076
"Total","Male","37",88605.9795783948
"Total","Male","38",87801.4725014512
"Total","Male","39",86981.3271374879
"Total","Male","40",86141.8081370214
"Total","Male","41",85280.2627539025
"Total","Male","42",84394.0589572946
"Total","Male","43",83483.3933432983
"Total","Male","44",82540.932287215
"Total","Male","45",81560.3042283604
"Total","Male","46",80526.8330233174
"Total","Male","47",79443.8607620172
"Total","Male","48",78312.5648046558
"Total","Male","49",77135.7507841352
"Total","Male","50",75910.0225063
"Total","Male","51",74634.3543005092
"Total","Male","52",73310.8542462961
"Total","Male","53",71936.8276166751
"Total","Male","54",70508.099373794
"Total","Male","55",69018.1548279952
"Total","Male","56",67463.3684988715
"Total","Male","57",65842.1015173115
"Total","Male","58",64143.6737119303
"Total","Male","59",62368.238270295
"Total","Male","60",60516.2293487612
"Total","Male","61",58589.9833217449
"Total","Male","62",56588.9345189397
"Total","Male","63",54517.513380886
"Total","Male","64",52382.0628948512
"Total","Male","65",50177.3852319811
"Total","Male","66",47913.2519158513
"Total","Male","67",45608.2556676805
"Total","Male","68",43294.3521758623
"Total","Male","69",40965.555170197
"Total","Male","70",38641.2282044691
"Total","Male","71",36332.4898816803
"Total","Male","72",34026.7108320723
"Total","Male","73",31735.5562621984
"Total","Male","74",29476.3167838429
"Total","Male","75",27265.5077314956
"Total","Male","76",25106.7771479787
"Total","Male","77",22994.885118927
"Total","Male","78",20950.2799490369
"Total","Male","79",18990.7512771867
"Total","Male","80",17113.7449124201
"Total","Male","81",15327.6483541928
"Total","Male","82",13635.9014900597
"Total","Male","83",12040.0985448328
"Total","Male","84",10543.9465629565
"Total","Male","85",9155.64958031531
"Total","Male","86",7880.32199465038
"Total","Male","87",6717.90449250237
"Total","Male","88",5659.40758530215
"Total","Male","89",4707.66871658611
"Total","Male","90",3861.05204820353
"Total","Male","91",3125.05075336022
"Total","Male","92",2491.9677319453
"Total","Male","93",1958.01211184
"Total","Male","94",1514.57077231642
"Total","Male","95",1149.50181866146
"Total","Male","96",848.83141413613
"Total","Male","97",608.900444344682
"Total","Male","98",423.60445884028
"Total","Male","99",286.140181057818
"Total","Male","100+",187.537821368976
